energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,C_s_up,C_s_down,C_p_up,C_p_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,3.62197047,-3.62197048,0.53290834,-0.53290834,2.72305997,-2.72305997,0.00867959,-0.00867959,0.05529437,-0.05529437,0.29926014,-0.29926014,0.22906847,-0.22906847,0.00322581,-0.00322581,0.55568937,-0.55568937
-5.99399700,3.47646530,-3.47646530,0.52175428,-0.52175428,2.59957145,-2.59957145,0.00869987,-0.00869987,0.05327986,-0.05327986,0.29100973,-0.29100973,0.22458108,-0.22458108,0.00303365,-0.00303365,0.54119999,-0.54119999
-5.98799400,3.33775323,-3.33775324,0.51121995,-0.51121995,2.48039668,-2.48039668,0.00870486,-0.00870486,0.05160253,-0.05160253,0.28316171,-0.28316171,0.22090454,-0.22090454,0.00285474,-0.00285474,0.52813400,-0.52813400
-5.98199100,3.20683825,-3.20683826,0.50132939,-0.50132939,2.36656679,-2.36656679,0.00869173,-0.00869173,0.05026789,-0.05026789,0.27568617,-0.27568617,0.21802732,-0.21802732,0.00269033,-0.00269033,0.51648105,-0.51648105
-5.97598799,3.08451262,-3.08451262,0.49209587,-0.49209587,2.25894038,-2.25894038,0.00865792,-0.00865792,0.04927998,-0.04927998,0.26854475,-0.26854475,0.21592824,-0.21592824,0.00254148,-0.00254148,0.50619822,-0.50619822
-5.96998499,2.97136274,-2.97136274,0.48352468,-0.48352468,2.15820157,-2.15820158,0.00860132,-0.00860132,0.04864149,-0.04864149,0.26169436,-0.26169436,0.21457812,-0.21457812,0.00240909,-0.00240909,0.49721545,-0.49721546
-5.96398199,2.86778158,-2.86778158,0.47561572,-0.47561572,2.06486401,-2.06486401,0.00852032,-0.00852032,0.04835370,-0.04835370,0.25509092,-0.25509092,0.21394165,-0.21394165,0.00229399,-0.00229399,0.48944175,-0.48944175
-5.95797899,2.77398596,-2.77398597,0.46836561,-0.46836561,1.97927969,-1.97927969,0.00841388,-0.00841388,0.04841658,-0.04841658,0.24869300,-0.24869300,0.21397931,-0.21397931,0.00219693,-0.00219693,0.48277169,-0.48277169
-5.95197599,2.69003734,-2.69003734,0.46176931,-0.46176931,1.90165159,-1.90165159,0.00828161,-0.00828161,0.04882873,-0.04882873,0.24246507,-0.24246507,0.21464927,-0.21464927,0.00211868,-0.00211868,0.47709203,-0.47709203
-5.94597299,2.61586416,-2.61586416,0.45582101,-0.45582101,1.83204873,-1.83204873,0.00812378,-0.00812378,0.04958740,-0.04958740,0.23638030,-0.23638030,0.21590912,-0.21590912,0.00206003,-0.00206003,0.47228807,-0.47228807
-5.93996998,2.55128458,-2.55128458,0.45051448,-0.45051448,1.77042260,-1.77042260,0.00794130,-0.00794130,0.05068840,-0.05068840,0.23042273,-0.23042273,0.21771732,-0.21771732,0.00202186,-0.00202186,0.46824926,-0.46824926
-5.93396698,2.49602800,-2.49602800,0.44584267,-0.44584267,1.71662389,-1.71662390,0.00773573,-0.00773573,0.05212601,-0.05212601,0.22458875,-0.22458875,0.22003437,-0.22003437,0.00200520,-0.00200520,0.46487411,-0.46487411
-5.92796398,2.44975461,-2.44975461,0.44179689,-0.44179689,1.67041870,-1.67041871,0.00750916,-0.00750916,0.05389288,-0.05389288,0.21888782,-0.21888782,0.22282347,-0.22282347,0.00201125,-0.00201125,0.46207398,-0.46207398
-5.92196098,2.41207223,-2.41207223,0.43836572,-0.43836572,1.63150361,-1.63150361,0.00726419,-0.00726419,0.05597990,-0.05597990,0.21334249,-0.21334249,0.22605086,-0.22605086,0.00204141,-0.00204141,0.45977569,-0.45977569
-5.91595798,2.38255001,-2.38255001,0.43553367,-0.43553367,1.59951923,-1.59951924,0.00700379,-0.00700379,0.05837596,-0.05837596,0.20798768,-0.20798768,0.22968566,-0.22968566,0.00209730,-0.00209730,0.45792293,-0.45792293
