energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,4.71495174,0.01213012,0.38386428,0.57697659,0.00000000,1.98034506,2.46914291,0.03552830,1.18186603
-5.99399700,4.75073156,0.01181563,0.39187952,0.56838552,0.00000000,2.01136018,2.48807599,0.03520617,1.18535580
-5.98799400,4.82780183,0.01158451,0.40508023,0.56317237,0.00000000,2.06141913,2.52699120,0.03528364,1.19893686
-5.98199100,4.94627738,0.01144081,0.42346391,0.56142762,0.00000000,2.13005059,2.58607875,0.03575174,1.22267758
-5.97598799,5.10566444,0.01138692,0.44697228,0.56317212,0.00000000,2.21650108,2.66522734,0.03659950,1.25648710
-5.96998499,5.30482483,0.01142352,0.47548567,0.56835694,0.00000000,2.31973318,2.76399781,0.03781377,1.30011081
-5.96398199,5.54195004,0.01154962,0.50881779,0.57686486,0.00000000,2.43842917,2.88160209,0.03937903,1.35312841
-5.95797899,5.81454844,0.01176258,0.54671145,0.58851358,0.00000000,2.57100133,3.01688948,0.04127716,1.41495511
-5.95197599,6.11944881,0.01205822,0.58883563,0.60306058,0.00000000,2.71560996,3.16834208,0.04348718,1.48484625
-5.94597299,6.45282248,0.01243093,0.63478443,0.62020948,0.00000000,2.87018959,3.33408097,0.04598504,1.56190580
-5.93996998,6.81022590,0.01287378,0.68407823,0.63961787,0.00000000,3.03248374,3.51188413,0.04874350,1.64509877
-5.93396698,7.18666444,0.01337868,0.73616737,0.66090627,0.00000000,3.20008792,3.69921676,0.05173201,1.73326774
-5.92796398,7.57667728,0.01393655,0.79043852,0.68366808,0.00000000,3.37049999,3.89327400,0.05491681,1.82515334
-5.92196098,7.97444205,0.01453747,0.84622371,0.70748022,0.00000000,3.54117667,4.09103529,0.05826109,1.91941842
-5.91595798,8.37389714,0.01517092,0.90281206,0.73191408,0.00000000,3.70959445,4.28932928,0.06172529,2.01467544
-5.90995498,8.76887836,0.01582589,0.95946373,0.75654656,0.00000000,3.87331270,4.48490742,0.06526761,2.10951656
-5.90395198,9.15326581,0.01649119,1.01542594,0.78097089,0.00000000,4.03003669,4.67452393,0.06884463,2.20254568
-5.89794897,9.52113634,0.01715554,1.06995030,0.80480683,0.00000000,4.17767793,4.85501946,0.07241206,2.29241158
-5.89194597,9.86691634,0.01780788,1.12231097,0.82771012,0.00000000,4.31440936,5.02340552,0.07592564,2.37784113
-5.88594297,10.18552923,0.01843755,1.17182301,0.84938080,0.00000000,4.43871307,5.17694641,0.07934216,2.45767180
-5.87993997,10.47253242,0.01903451,1.21785994,0.86957032,0.00000000,4.54941828,5.31323565,0.08262052,2.53088213
-5.87393697,10.72423817,0.01958960,1.25987007,0.88808712,0.00000000,4.64572818,5.43026390,0.08572286,2.59661933
-5.86793397,10.93781387,0.02009472,1.29739073,0.90480067,0.00000000,4.72723406,5.52647553,0.08861572,2.65422292
-5.86193097,11.11135731,0.02054313,1.33005979,0.91964375,0.00000000,4.79391641,5.60081162,0.09127108,2.70324350
-5.85592796,11.24394389,0.02092961,1.35762410,0.93261301,0.00000000,4.84613259,5.65273751,0.09366742,2.74345577
-5.84992496,11.33564338,0.02125070,1.37994423,0.94376761,0.00000000,4.88459175,5.68225362,0.09579053,2.77486514
-5.84392196,11.38750508,0.02150485,1.39699558,0.95322606,0.00000000,4.91031793,5.68988899,0.09763422,2.79770749
-5.83791896,11.40151141,0.02169261,1.40886549,0.96116121,0.00000000,4.92460271,5.67667752,0.09920074,2.81244157
-5.83191596,11.38050109,0.02181669,1.41574676,0.96779344,0.00000000,4.92894959,5.64411765,0.10050103,2.81973423
-5.82591296,11.32806426,0.02188202,1.41792762,0.97338224,0.00000000,4.92501185,5.59411691,0.10155451,2.82043844
-5.81990995,11.24841294,0.02189574,1.41577868,0.97821615,0.00000000,4.91452671,5.52892330,0.10238876,2.81556467
-5.81390695,11.14623131,0.02186713,1.40973738,0.98260148,0.00000000,4.89924792,5.45104583,0.10303869,2.80624641
-5.80790395,11.02651087,0.02180740,1.40029056,0.98684997,0.00000000,4.88087943,5.36316741,0.10354553,2.79370067
-5.80190095,10.89437652,0.02172946,1.38795593,0.99126568,0.00000000,4.86101245,5.26805304,0.10395547,2.77918483
-5.79589795,10.75490966,0.02164764,1.37326308,0.99613171,0.00000000,4.84106815,5.16845688,0.10431805,2.76395136
-5.78989495,10.61297483,0.02157720,1.35673483,1.00169698,0.00000000,4.82224783,5.06703150,0.10468441,2.74920179
-5.78389195,10.47305618,0.02153395,1.33886969,1.00816373,0.00000000,4.80549228,4.96624278,0.10510530,2.73604201
-5.77788894,10.33910994,0.02153367,1.32012593,1.01567621,0.00000000,4.79145165,4.86829344,0.10562913,2.72544031
-5.77188594,10.21443820,0.02159154,1.30090802,1.02431117,0.00000000,4.78046662,4.77505803,0.10630000,2.71819017
-5.76588294,10.10158871,0.02172161,1.28155563,1.03407052,0.00000000,4.77256145,4.68803166,0.10715577,2.71487918
-5.75987994,10.00228434,0.02193617,1.26233586,1.04487674,0.00000000,4.76744894,4.60829405,0.10822645,2.71586561
-5.75387694,9.91738468,0.02224518,1.24343846,1.05657135,0.00000000,4.76454702,4.53649017,0.10953267,2.72126360
-5.74787394,9.84688081,0.02265582,1.22497453,1.06891668,0.00000000,4.76300617,4.47282761,0.11108464,2.73093787
-5.74187094,9.78992322,0.02317199,1.20697825,1.08160111,0.00000000,4.76174655,4.41709057,0.11288135,2.74450805
-5.73586793,9.74488122,0.02379399,1.18941168,1.09424757,0.00000000,4.75950335,4.36866934,0.11491025,2.76136287
-5.72986493,9.70943096,0.02451830,1.17217210,1.10642529,0.00000000,4.75487867,4.32660382,0.11714739,2.78068342
-5.72386193,9.68066822,0.02533744,1.15510171,1.11766426,0.00000000,4.74639777,4.28963876,0.11955789,2.80147467
