energy_ev,total_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
-6.00000000,2.01579564,1.03908337,0.00696690,0.00069952,0.39516575,1.00648859,0.79553175
-5.99399700,1.95642041,1.00814828,0.00678666,0.00067857,0.38323298,0.97750351,0.77216364
-5.98799400,1.88652445,0.97186365,0.00657271,0.00065447,0.36907487,0.94319129,0.74464370
-5.98199100,1.80760309,0.93101212,0.00633028,0.00062763,0.35297648,0.90428596,0.71356134
-5.97598799,1.72133381,0.88646878,0.00606539,0.00059851,0.33525494,0.86161567,0.67957815
-5.96998499,1.62952440,0.83917441,0.00578468,0.00056769,0.31624921,0.81607683,0.64340745
-5.96398199,1.53405919,0.79010783,0.00549525,0.00053574,0.29630983,0.76860714,0.60579301
-5.95797899,1.43684546,0.74025830,0.00520439,0.00050330,0.27578876,0.72015871,0.56748786
-5.95197599,1.33976205,0.69059902,0.00491946,0.00047099,0.25502986,0.67167224,0.52923393
-5.94597299,1.24461170,0.64206261,0.00464766,0.00043943,0.23436036,0.62405300,0.49174317
-5.93996998,1.15307861,0.59551913,0.00439586,0.00040920,0.21408346,0.57814943,0.45568069
-5.93396698,1.06669223,0.55175732,0.00417043,0.00038084,0.19447244,0.53473493,0.42165034
-5.92796398,0.98679777,0.51146921,0.00397714,0.00035484,0.17576623,0.49449293,0.39018299
-5.92196098,0.91453384,0.47523838,0.00382099,0.00033162,0.15816656,0.45800570,0.36172755
-5.91595798,0.85081714,0.44353173,0.00370613,0.00031152,0.14183667,0.42574664,0.33664477
-5.90995498,0.79633386,0.41669465,0.00363581,0.00029480,0.12690132,0.39807598,0.31520378
-5.90395198,0.75153720,0.39494940,0.00361227,0.00028165,0.11344809,0.37523968,0.29758094
-5.89794897,0.71665053,0.37839627,0.00363676,0.00027218,0.10152977,0.35737109,0.28386101
-5.89194597,0.69167536,0.36701725,0.00370949,0.00026640,0.09116741,0.34449498,0.27404016
-5.88594297,0.67640328,0.36068195,0.00382964,0.00026425,0.08235407,0.33653369,0.26803071
-5.87993997,0.67043149,0.35915528,0.00399541,0.00026561,0.07505882,0.33331486,0.26566716
-5.87393697,0.67318096,0.36210674,0.00420402,0.00027028,0.06923088,0.33458046,0.26671340
-5.86793397,0.68391690,0.36912103,0.00445182,0.00027800,0.06480369,0.33999686,0.27087088
-5.86193097,0.70177099,0.37970985,0.00473432,0.00028845,0.06169875,0.34916558,0.27778750
-5.85592796,0.72576498,0.39332458,0.00504634,0.00030129,0.05982903,0.36163462,0.28706708
-5.84992496,0.75483535,0.40936979,0.00538206,0.00031611,0.05910203,0.37691000,0.29827940
-5.84392196,0.78785868,0.42721740,0.00573519,0.00033249,0.05942223,0.39446761,0.31097043
-5.83791896,0.82367734,0.44622121,0.00609910,0.00035000,0.06069307,0.41376487,0.32467292
-5.83191596,0.86112523,0.46573175,0.00646695,0.00036819,0.06281834,0.43425233,0.33891693
-5.82591296,0.89905303,0.48511097,0.00683187,0.00038662,0.06570314,0.45538488,0.35324026
-5.81990995,0.93635266,0.50374671,0.00718709,0.00040485,0.06925434,0.47663243,0.36719856
-5.81390695,0.97198022,0.52106638,0.00752608,0.00042247,0.07338070,0.49748978,0.38037487
-5.80790395,1.00497703,0.53654969,0.00784276,0.00043909,0.07799269,0.51748567,0.39238840
-5.80190095,1.03448821,0.54973992,0.00813155,0.00045436,0.08300209,0.53619066,0.40290231
-5.79589795,1.05977821,0.56025344,0.00838753,0.00046798,0.08832153,0.55322366,0.41163015
-5.78989495,1.08024302,0.56778717,0.00860650,0.00047967,0.09386398,0.56825715,0.41834101
-5.78389195,1.09541850,0.57212378,0.00878509,0.00048923,0.09954235,0.58102085,0.42286295
