energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,0.86212490,0.00719985,0.00000000,0.00287901,0.18405213,0.42014589,0.00000000,0.27722166,0.19903694
-5.99399700,0.90623100,0.00755303,0.00000000,0.00329655,0.18971098,0.44471372,0.00000000,0.30357414,0.20936463
-5.98799400,0.95545249,0.00796033,0.00000000,0.00376246,0.19621535,0.47185907,0.00000000,0.33211468,0.22112409
-5.98199100,1.00929992,0.00841581,0.00000000,0.00427603,0.20345174,0.50137896,0.00000000,0.36261704,0.23413745
-5.97598799,1.06716330,0.00891246,0.00000000,0.00483550,0.21129036,0.53300344,0.00000000,0.39479534,0.24819953
-5.96998499,1.12830842,0.00944222,0.00000000,0.00543798,0.21958464,0.56639304,0.00000000,0.42830371,0.26307828
-5.96398199,1.19187791,0.00999606,0.00000000,0.00607939,0.22817166,0.60113870,0.00000000,0.46273829,0.27851628
-5.95797899,1.25689803,0.01056405,0.00000000,0.00675438,0.23687354,0.63676453,0.00000000,0.49764183,0.29423354
-5.95197599,1.32229131,0.01113557,0.00000000,0.00745633,0.24549996,0.67273371,0.00000000,0.53251110,0.30993158
-5.94597299,1.38689531,0.01169944,0.00000000,0.00817742,0.25385168,0.70845759,0.00000000,0.56680683,0.32529886
-5.93996998,1.44948721,0.01224422,0.00000000,0.00890866,0.26172503,0.74330786,0.00000000,0.59996614,0.34001734
-5.93396698,1.50881345,0.01275842,0.00000000,0.00964009,0.26891719,0.77663152,0.00000000,0.63141712,0.35377004
-5.92796398,1.56362347,0.01323085,0.00000000,0.01036092,0.27523213,0.80776821,0.00000000,0.66059493,0.36624927
-5.92196098,1.61270630,0.01365092,0.00000000,0.01105978,0.28048677,0.83606918,0.00000000,0.68695891,0.37716533
-5.91595798,1.65492836,0.01400895,0.00000000,0.01172501,0.28451723,0.86091723,0.00000000,0.71001011,0.38625506
-5.90995498,1.68927081,0.01429647,0.00000000,0.01234495,0.28718480,0.88174664,0.00000000,0.72930825,0.39329010
-5.90395198,1.71486472,0.01450655,0.00000000,0.01290828,0.28838123,0.89806235,0.00000000,0.74448760,0.39808425
-5.89794897,1.73102236,0.01463397,0.00000000,0.01340436,0.28803323,0.90945731,0.00000000,0.75527089,0.40049978
-5.89194597,1.73726305,0.01467548,0.00000000,0.01382357,0.28610576,0.91562739,0.00000000,0.76148068,0.40045210
-5.88594297,1.73333235,0.01462988,0.00000000,0.01415760,0.28260407,0.91638290,0.00000000,0.76304755,0.39791279
-5.87993997,1.71921350,0.01449813,0.00000000,0.01439974,0.27757420,0.91165638,0.00000000,0.76001476,0.39291069
-5.87393697,1.69513065,0.01428329,0.00000000,0.01454515,0.27110215,0.90150604,0.00000000,0.75253909,0.38553105
-5.86793397,1.66154352,0.01399048,0.00000000,0.01459095,0.26331143,0.88611496,0.00000000,0.74088774,0.37591266
-5.86193097,1.61913390,0.01362668,0.00000000,0.01453641,0.25435939,0.86578575,0.00000000,0.72543145,0.36424328
-5.85592796,1.56878446,0.01320056,0.00000000,0.01438293,0.24443228,0.84093123,0.00000000,0.70663397,0.35075336
-5.84992496,1.51155085,0.01272221,0.00000000,0.01413402,0.23373942,0.81206139,0.00000000,0.68503850,0.33570851
-5.84392196,1.44862847,0.01220275,0.00000000,0.01379517,0.22250665,0.77976722,0.00000000,0.66125142,0.31940103
-5.83791896,1.38131527,0.01165410,0.00000000,0.01337370,0.21096929,0.74470226,0.00000000,0.63592412,0.30214074
-5.83191596,1.31097223,0.01108852,0.00000000,0.01287846,0.19936513,0.70756266,0.00000000,0.60973360,0.28424573
-5.82591296,1.23898324,0.01051830,0.00000000,0.01231959,0.18792745,0.66906645,0.00000000,0.58336264,0.26603324
-5.81990995,1.16671594,0.00995541,0.00000000,0.01170818,0.17687855,0.62993319,0.00000000,0.55748017,0.24781104
-5.81390695,1.09548506,0.00941115,0.00000000,0.01105591,0.16642390,0.59086452,0.00000000,0.53272284,0.22986979
-5.80790395,1.02651969,0.00889585,0.00000000,0.01037472,0.15674715,0.55252656,0.00000000,0.50967811,0.21247638
-5.80190095,0.96093544,0.00841870,0.00000000,0.00967644,0.14800622,0.51553462,0.00000000,0.48886981,0.19586865
-5.79589795,0.89971246,0.00798746,0.00000000,0.00897253,0.14033037,0.48044090,0.00000000,0.47074639,0.18025150
-5.78989495,0.84367986,0.00760841,0.00000000,0.00827374,0.13381853,0.44772532,0.00000000,0.45567234,0.16579453
-5.78389195,0.79350677,0.00728622,0.00000000,0.00758989,0.12853872,0.41778979,0.00000000,0.44392300,0.15263106
-5.77788894,0.74970007,0.00702399,0.00000000,0.00692971,0.12452869,0.39095595,0.00000000,0.43568300,0.14085864
-5.77188594,0.71260845,0.00682326,0.00000000,0.00630070,0.12179744,0.36746620,0.00000000,0.43104798,0.13054074
-5.76588294,0.68243230,0.00668412,0.00000000,0.00570904,0.12032788,0.34748778,0.00000000,0.43002986,0.12170954
-5.75987994,0.65923882,0.00660539,0.00000000,0.00515960,0.12008010,0.33111960,0.00000000,0.43256507,0.11436973
-5.75387694,0.64298116,0.00658477,0.00000000,0.00465597,0.12099542,0.31840127,0.00000000,0.43852542,0.10850282
-5.74787394,0.63352085,0.00661911,0.00000000,0.00420054,0.12300082,0.30932381,0.00000000,0.44773123,0.10407198
-5.74187094,0.63065215,0.00670463,0.00000000,0.00379462,0.12601364,0.30384150,0.00000000,0.45996592,0.10102713
-5.73586793,0.63412731,0.00683720,0.00000000,0.00343859,0.12994642,0.30188415,0.00000000,0.47499161,0.09930989
-5.72986493,0.64368132,0.00701260,0.00000000,0.00313208,0.13471148,0.30336926,0.00000000,0.49256473,0.09885843
-5.72386193,0.65905514,0.00722675,0.00000000,0.00287411,0.14022527,0.30821342,0.00000000,0.51245122,0.09961174
-5.71785893,0.68001624,0.00747595,0.00000000,0.00266334,0.14641215,0.31634232,0.00000000,0.53444029,0.10151343
-5.71185593,0.70637538,0.00775709,0.00000000,0.00249818,0.15320751,0.32769899,0.00000000,0.55835614,0.10451464
-5.70585293,0.73799883,0.00806777,0.00000000,0.00237697,0.16055994,0.34224975,0.00000000,0.58406704,0.10857620
-5.69984992,0.77481541,0.00840642,0.00000000,0.00229812,0.16843262,0.35998754,0.00000000,0.61149120,0.11366976
