energy_ev,total_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up,W_p_up,W_d_up
-6.00000000,0.24413296,0.00004314,0.01850036,0.11367881,0.00007514,0.09514559,0.10962995
-5.99399700,0.27535684,0.00004902,0.02096313,0.12762813,0.00008638,0.10607187,0.12429967
-5.98799400,0.31000977,0.00005548,0.02368250,0.14320567,0.00009860,0.11839474,0.14047663
-5.98199100,0.34789789,0.00006250,0.02664484,0.16031794,0.00011174,0.13202998,0.15807791
-5.97598799,0.38874798,0.00007003,0.02983048,0.17883577,0.00012572,0.14686464,0.17698373
-5.96998499,0.43220507,0.00007801,0.03321348,0.19859344,0.00014044,0.16275640,0.19703615
-5.96398199,0.47783275,0.00008636,0.03676163,0.21938895,0.00015577,0.17953390,0.21803911
-5.95797899,0.52511655,0.00009499,0.04043679,0.24098568,0.00017153,0.19699819,0.23975983
-5.95197599,0.57347077,0.00010380,0.04419535,0.26311565,0.00018755,0.21492534,0.26193187
-5.94597299,0.62224883,0.00011268,0.04798905,0.28548437,0.00020360,0.23307040,0.28425982
-5.93996998,0.67075719,0.00012151,0.05176609,0.30777723,0.00021946,0.25117261,0.30642562
-5.93396698,0.71827245,0.00013016,0.05547241,0.32966743,0.00023488,0.26896172,0.32809633
-5.92796398,0.76406127,0.00013852,0.05905324,0.35082506,0.00024962,0.28616546,0.34893332
-5.92196098,0.80740240,0.00014645,0.06245473,0.37092723,0.00026343,0.30251758,0.36860230
-5.91595798,0.84760991,0.00015386,0.06562580,0.38966864,0.00027607,0.31776646,0.38678405
-5.90995498,0.88405678,0.00016066,0.06851981,0.40677229,0.00028731,0.33168374,0.40318528
-5.90395198,0.91619750,0.00016677,0.07109635,0.42199970,0.00029697,0.34407252,0.41754905
-5.89794897,0.94358889,0.00017214,0.07332265,0.43516022,0.00030489,0.35477492,0.42966450
-5.89194597,0.96590773,0.00017677,0.07517494,0.44611888,0.00031093,0.36367832,0.43937506
-5.88594297,0.98296444,0.00018068,0.07663936,0.45480231,0.00031503,0.37072014,0.44658499
-5.87993997,0.99471188,0.00018392,0.07771250,0.46120235,0.00031716,0.37589070,0.45126366
-5.87393697,1.00124870,0.00018658,0.07840154,0.46537714,0.00031735,0.37923404,0.45344745
-5.86793397,1.00281686,0.00018881,0.07872392,0.46744942,0.00031566,0.38084646,0.45323896
-5.86193097,0.99979331,0.00019079,0.07870652,0.46760214,0.00031223,0.38087292,0.45080366
-5.85592796,0.99267607,0.00019271,0.07838452,0.46607142,0.00030724,0.37950128,0.44636394
-5.84992496,0.98206525,0.00019483,0.07779975,0.46313721,0.00030090,0.37695471,0.44019095
-5.84392196,0.96863983,0.00019743,0.07699886,0.45911197,0.00029346,0.37348248,0.43259436
-5.83791896,0.95313125,0.00020078,0.07603118,0.45432794,0.00028520,0.36934964,0.42391083
-5.83191596,0.93629502,0.00020521,0.07494659,0.44912358,0.00027642,0.36482610,0.41449139
-5.82591296,0.91888171,0.00021102,0.07379324,0.44382976,0.00026743,0.36017550,0.40468851
-5.81990995,0.90160856,0.00021852,0.07261553,0.43875641,0.00025854,0.35564448,0.39484343
-5.81390695,0.88513319,0.00022802,0.07145223,0.43418030,0.00025005,0.35145297,0.38527425
-5.80790395,0.87003044,0.00023979,0.07033493,0.43033441,0.00024223,0.34778567,0.37626542
-5.80190095,0.85677343,0.00025407,0.06928685,0.42739943,0.00023533,0.34478548,0.36805893
-5.79589795,0.84571967,0.00027106,0.06832219,0.42549788,0.00022957,0.34254889,0.36084775
-5.78989495,0.83710261,0.00029094,0.06744579,0.42469085,0.00022514,0.34112358,0.35477151
-5.78389195,0.83102907,0.00031380,0.06665345,0.42497768,0.00022216,0.34050849,0.34991477
-5.77788894,0.82748221,0.00033969,0.06593256,0.42629845,0.00022072,0.34065598,0.34630769
-5.77188594,0.82633001,0.00036860,0.06526321,0.42853907,0.00022086,0.34147619,0.34392906
-5.76588294,0.82733843,0.00040047,0.06461961,0.43153869,0.00022259,0.34284324,0.34271137
-5.75987994,0.83018853,0.00043517,0.06397181,0.43509901,0.00022584,0.34460284,0.34254768
-5.75387694,0.83449660,0.00047251,0.06328757,0.43899495,0.00023054,0.34658101,0.34329971
-5.74787394,0.83983608,0.00051228,0.06253425,0.44298619,0.00023656,0.34859337,0.34480693
-5.74187094,0.84576036,0.00055419,0.06168072,0.44682890,0.00024376,0.35045456,0.34689592
-5.73586793,0.85182509,0.00059796,0.06069914,0.45028718,0.00025195,0.35198734,0.34938967
-5.72986493,0.85760906,0.00064326,0.05956652,0.45314361,0.00026097,0.35303082,0.35211632
-5.72386193,0.86273273,0.00068975,0.05826599,0.45520845,0.00027061,0.35344771,0.35491703
-5.71785893,0.86687364,0.00073711,0.05678778,0.45632720,0.00028068,0.35312995,0.35765242
-5.71185593,0.86977800,0.00078500,0.05512981,0.45638600,0.00029101,0.35200283,0.36020764
-5.70585293,0.87126832,0.00083311,0.05329799,0.45531508,0.00030142,0.35002728,0.36249570
-5.69984992,0.87124686,0.00088115,0.05130612,0.45308980,0.00031175,0.34720041,0.36445906
-5.69384692,0.86969498,0.00092886,0.04917549,0.44972976,0.00032188,0.34355440,0.36606963
-5.68784392,0.86666885,0.00097599,0.04693423,0.44529585,0.00033170,0.33915380,0.36732715
-5.68184092,0.86229198,0.00102233,0.04461644,0.43988577,0.00034112,0.33409166,0.36825634
-5.67583792,0.85674530,0.00106769,0.04226121,0.43362820,0.00035010,0.32848465,0.36890305
-5.66983492,0.85025548,0.00111192,0.03991146,0.42667619,0.00035859,0.32246755,0.36932970
-5.66383192,0.84308257,0.00115486,0.03761292,0.41920016,0.00036661,0.31618750,0.36961044
-5.65782891,0.83550756,0.00119637,0.03541297,0.41138089,0.00037416,0.30979838,0.36982647
-5.65182591,0.82782087,0.00123633,0.03335971,0.40340306,0.00038129,0.30345549,0.37006169
-5.64582291,0.82031241,0.00127459,0.03150105,0.39544961,0.00038804,0.29731107,0.37039911
-5.63981991,0.81326382,0.00131104,0.02988399,0.38769728,0.00039450,0.29151059,0.37091835
-5.63381691,0.80694321,0.00134553,0.02855402,0.38031345,0.00040074,0.28619023,0.37169412
-5.62781391,0.80160264,0.00137793,0.02755471,0.37345451,0.00040685,0.28147535,0.37279605
-5.62181091,0.79747842,0.00140810,0.02692731,0.36726566,0.00041294,0.27748015,0.37428970
-5.61580790,0.79479376,0.00143591,0.02671059,0.36188199,0.00041912,0.27430829,0.37623853
-5.60980490,0.79376350,0.00146126,0.02694061,0.35743079,0.00042549,0.27205433,0.37870686
