energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,0.56693558,0.00669055,0.02661486,0.20549752,0.08996102,0.00882204,0.27796075,0.08331620,0.04012372
-5.99399700,0.58801903,0.00698918,0.02942140,0.19484073,0.10034785,0.00979704,0.28297818,0.07865841,0.04346881
-5.98799400,0.61964443,0.00740197,0.03268948,0.18750520,0.11283074,0.01095701,0.29313640,0.07539484,0.04750445
-5.98199100,0.66231482,0.00793252,0.03642628,0.18364802,0.12755252,0.01231141,0.30870134,0.07359985,0.05224493
-5.97598799,0.71640455,0.00858279,0.04063043,0.18338608,0.14463863,0.01386758,0.32988032,0.07333199,0.05769255
-5.96998499,0.78214847,0.00935298,0.04529120,0.18679759,0.16419259,0.01563037,0.35681792,0.07463430,0.06383667
-5.96398199,0.85963087,0.01024148,0.05038787,0.19392306,0.18629126,0.01760174,0.38959146,0.07753451,0.07065290
-5.95797899,0.94877450,0.01124482,0.05588935,0.20476573,0.21097995,0.01978046,0.42820611,0.08204473,0.07810268
-5.95197599,1.04932986,0.01235765,0.06175399,0.21929129,0.23826736,0.02216176,0.47258973,0.08816093,0.08613298
-5.94597299,1.16086551,0.01357272,0.06792968,0.23742680,0.26812082,0.02473705,0.52258765,0.09586193,0.09467645
-5.93996998,1.28275970,0.01488094,0.07435437,0.25905907,0.30046173,0.02749374,0.57795761,0.10510819,0.10365194
-5.93396698,1.41419438,0.01627140,0.08095674,0.28403244,0.33516164,0.03041507,0.63836536,0.11584036,0.11296533
-5.92796398,1.55415192,0.01773149,0.08765733,0.31214636,0.37203902,0.03348007,0.70338115,0.12797772,0.12251088
-5.92196098,1.70141570,0.01924698,0.09436999,0.34315298,0.41085711,0.03666361,0.77247764,0.14141676,0.13217286
-5.91595798,1.85457488,0.02080223,0.10100351,0.37675512,0.45132297,0.03993652,0.84502967,0.15603000,0.14182761
