energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,0.02689100,0.00022349,0.00019622,0.00900731,0.00028329,0.01596466,0.00523834,0.00127535
-5.99399700,0.02951099,0.00027440,0.00015876,0.00962466,0.00031832,0.01763359,0.00618232,0.00133063
-5.98799400,0.03322091,0.00033466,0.00012841,0.01058441,0.00036441,0.01995010,0.00734200,0.00143730
-5.98199100,0.03807860,0.00040545,0.00010428,0.01189500,0.00042225,0.02295088,0.00873831,0.00159665
-5.97598799,0.04414866,0.00048799,0.00008556,0.01356624,0.00049256,0.02667640,0.01039288,0.00181045
-5.96998499,0.05150049,0.00058352,0.00007161,0.01560863,0.00057609,0.03116973,0.01232755,0.00208085
-5.96398199,0.06020598,0.00069328,0.00006188,0.01803263,0.00067361,0.03647508,0.01456371,0.00241033
-5.95797899,0.07033678,0.00081847,0.00005599,0.02084765,0.00078585,0.04263610,0.01712164,0.00280159
-5.95197599,0.08196143,0.00096024,0.00005369,0.02406126,0.00091351,0.04969419,0.02001978,0.00325748
-5.94597299,0.09514246,0.00111966,0.00005489,0.02767818,0.00105725,0.05768669,0.02327402,0.00378088
-5.93996998,0.10993376,0.00129771,0.00005964,0.03169953,0.00121764,0.06664527,0.02689701,0.00437465
-5.93396698,0.12637817,0.00149520,0.00006818,0.03612219,0.00139517,0.07659447,0.03089754,0.00504152
-5.92796398,0.14450586,0.00171284,0.00008091,0.04093834,0.00159029,0.08755074,0.03528013,0.00578408
-5.92196098,0.16433335,0.00195115,0.00009844,0.04613539,0.00180338,0.09952182,0.04004467,0.00660481
-5.91595798,0.18586356,0.00221048,0.00012155,0.05169613,0.00203480,0.11250680,0.04518632,0.00750605
-5.90995498,0.20908698,0.00249103,0.00015129,0.05759939,0.00228497,0.12649686,0.05069572,0.00849014
-5.90395198,0.23398393,0.00279282,0.00018894,0.06382096,0.00255438,0.14147667,0.05655932,0.00955954
-5.89794897,0.26052804,0.00311570,0.00023605,0.07033504,0.00284369,0.15742658,0.06276007,0.01071701
-5.89194597,0.28869082,0.00345940,0.00029445,0.07711597,0.00315382,0.17432540,0.06927830,0.01196587
-5.88594297,0.31844715,0.00382350,0.00036627,0.08414023,0.00348604,0.19215387,0.07609288,0.01331019
-5.87993997,0.34978135,0.00420748,0.00045399,0.09138878,0.00384206,0.21089842,0.08318242,0.01475513
-5.87393697,0.38269363,0.00461071,0.00056038,0.09884935,0.00422411,0.23055521,0.09052669,0.01630718
