energy_ev,total_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,1.97757602,0.00038912,0.30848241,1.05719766,1.04624859,0.00866093,0.40515793
-5.99399700,1.93378111,0.00037957,0.29354959,1.04164305,1.02253498,0.00857986,0.39731910
-5.98799400,1.89557144,0.00038395,0.28019171,1.02581935,1.00325505,0.00856019,0.38986588
-5.98199100,1.86248217,0.00040240,0.26835113,1.00975602,0.98797612,0.00860240,0.38279592
-5.97598799,1.83406430,0.00043533,0.25795747,0.99347849,0.97627859,0.00870697,0.37611554
-5.96998499,1.80990668,0.00048342,0.24893100,0.97701316,0.96777282,0.00887439,0.36984125
-5.96398199,1.78965659,0.00054765,0.24118608,0.96039387,0.96211408,0.00910518,0.36400120
-5.95797899,1.77303787,0.00062929,0.23463467,0.94366919,0.95901501,0.00939986,0.35863661
-5.95197599,1.75986597,0.00072984,0.22918966,0.92691027,0.95825518,0.00975899,0.35380286
-5.94597299,1.75005922,0.00085105,0.22476810,0.91021847,0.95968748,0.01018312,0.34957014
-5.93996998,1.74364559,0.00099485,0.22129408,0.89373225,0.96324118,0.01067274,0.34602354
-5.93396698,1.74076459,0.00116334,0.21870136,0.87763274,0.96892141,0.01122828,0.34326252
-5.92796398,1.74166408,0.00135869,0.21693541,0.86214755,0.97680523,0.01185002,0.34139948
-5.92196098,1.74669178,0.00158312,0.21595496,0.84755235,0.98703442,0.01253803,0.34055771
-5.91595798,1.75628199,0.00183878,0.21573296,0.83417004,0.99980522,0.01329211,0.34086846
-5.90995498,1.77093771,0.00212771,0.21625675,0.82236737,1.01535559,0.01411167,0.34246740
-5.90395198,1.79120880,0.00245172,0.21752768,0.81254901,1.03395028,0.01499570,0.34549047
-5.89794897,1.81766722,0.00281232,0.21955994,0.80514923,1.05586455,0.01594265,0.35006940
-5.89194597,1.85087992,0.00321057,0.22237872,0.80062141,1.08136693,0.01695037,0.35632685
-5.88594297,1.89138063,0.00364705,0.22601774,0.79942573,1.11070182,0.01801604,0.36437166
-5.87993997,1.93964137,0.00412172,0.23051630,0.80201547,1.14407244,0.01913612,0.37429407
-5.87393697,1.99604465,0.00463384,0.23591576,0.80882230,1.18162480,0.02030630,0.38616129
-5.86793397,2.06085732,0.00518187,0.24225577,0.82024102,1.22343311,0.02152147,0.40001350
-5.86193097,2.13420670,0.00576346,0.24957020,0.83661428,1.26948705,0.02277570,0.41586030
-5.85592796,2.21605983,0.00637532,0.25788305,0.85821770,1.31968139,0.02406228,0.43367785
-5.84992496,2.30620624,0.00701329,0.26720440,0.88524575,1.37380803,0.02537364,0.45340665
-5.84392196,2.40424490,0.00767226,0.27752658,0.91779897,1.43155085,0.02670146,0.47494995
-5.83791896,2.50957553,0.00834623,0.28882075,0.95587287,1.49248337,0.02803663,0.49817299
-5.83191596,2.62139477,0.00902839,0.30103398,0.99934881,1.55606941,0.02936936,0.52290287
-5.82591296,2.73869749,0.00971118,0.31408705,1.04798741,1.62166674,0.03068914,0.54892925
-5.81990995,2.86028327,0.01038641,0.32787303,1.10142467,1.68853381,0.03198490,0.57600570
-5.81390695,2.98476849,0.01104546,0.34225687,1.15917119,1.75583948,0.03324502,0.60385195
-5.80790395,3.11060401,0.01167936,0.35707591,1.22061477,1.82267575,0.03445747,0.63215691
-5.80190095,3.23609838,0.01227911,0.37214159,1.28502647,1.88807338,0.03560991,0.66058252
-5.79589795,3.35944669,0.01283576,0.38724220,1.35157037,1.95102019,0.03668990,0.68876851
-5.78989495,3.47876453,0.01334075,0.40214673,1.41931698,2.01048184,0.03768501,0.71633804
-5.78389195,3.59212678,0.01378605,0.41660967,1.48726006,2.06542471,0.03858313,0.74290429
-5.77788894,3.69761033,0.01416443,0.43037682,1.55433683,2.11484037,0.03937264,0.76807777
-5.77188594,3.79333997,0.01446960,0.44319165,1.61945087,2.15777101,0.04004278,0.79147448
-5.76588294,3.87753592,0.01469646,0.45480223,1.68149740,2.19333527,0.04058391,0.81272459
-5.75987994,3.94856190,0.01484119,0.46496842,1.73938996,2.22075335,0.04098784,0.83148154
-5.75387694,4.00497176,0.01490138,0.47346893,1.79208796,2.23937079,0.04124818,0.84743127
-5.74787394,4.04555312,0.01487612,0.48010814,1.83862387,2.24867972,0.04136062,0.86030118
-5.74187094,4.06936614,0.01476600,0.48472221,1.87812929,2.24833683,0.04132324,0.86986864
-5.73586793,4.07577562,0.01457312,0.48718440,1.90985882,2.23817702,0.04113669,0.87596851
-5.72986493,4.06447496,0.01430100,0.48740916,1.93321076,2.21822213,0.04080441,0.87849942
-5.72386193,4.03550058,0.01395453,0.48535500,1.94774388,2.18868407,0.04033266,0.87742843
-5.71785893,3.98923585,0.01353976,0.48102589,1.95318940,2.14996199,0.03973052,0.87279365
-5.71185593,3.92640410,0.01306381,0.47447112,1.94945776,2.10263348,0.03900978,0.86470489
-5.70585293,3.84805063,0.01253462,0.46578372,1.93663988,2.04743999,0.03818466,0.85334185
-5.69984992,3.75551421,0.01196078,0.45509746,1.91500262,1.98526680,0.03727152,0.83895005
-5.69384692,3.65038909,0.01135127,0.44258254,1.88497893,1.91711850,0.03628838,0.82183450
-5.68784392,3.53447902,0.01071531,0.42844022,1.84715273,1.84409078,0.03525444,0.80235124
-5.68184092,3.40974512,0.01006208,0.41289666,1.80223942,1.76733982,0.03418947,0.78089722
-5.67583792,3.27824973,0.00940054,0.39619611,1.75106273,1.68805054,0.03311319,0.75789866
-5.66983492,3.14209862,0.00873931,0.37859395,1.69452880,1.60740496,0.03204464,0.73379859
-5.66383192,3.00338402,0.00808643,0.36034967,1.63359873,1.52655214,0.03100156,0.70904396
-5.65782891,2.86413063,0.00744930,0.34172020,1.56926051,1.44658078,0.02999983,0.68407287
-5.65182591,2.72624695,0.00683452,0.32295376,1.50250164,1.36849565,0.02905296,0.65930256
-5.64582291,2.59148358,0.00624790,0.30428452,1.43428338,1.29319860,0.02817173,0.63511855
-5.63981991,2.46140009,0.00569435,0.28592819,1.36551754,1.22147474,0.02736385,0.61186542
-5.63381691,2.33734124,0.00517789,0.26807858,1.29704677,1.15398416,0.02663390,0.58983962
-5.62781391,2.22042319,0.00470166,0.25090538,1.22962870,1.09125913,0.02598329,0.56928449
-5.62181091,2.11152963,0.00426797,0.23455295,1.16392466,1.03370647,0.02541042,0.55038777
-5.61580790,2.01131728,0.00387828,0.21914022,1.10049280,0.98161474,0.02491093,0.53328138
-5.60980490,1.92022986,0.00353335,0.20476154,1.03978588,0.93516530,0.02447818,0.51804366
-5.60380190,1.83851927,0.00323324,0.19148835,0.98215329,0.89444658,0.02410367,0.50470357
-5.59779890,1.76627230,0.00297739,0.17937155,0.92784695,0.85947041,0.02377769,0.49324676
-5.59179590,1.70344124,0.00276474,0.16844436,0.87703046,0.83018955,0.02348991,0.48362295
-5.58579290,1.64987650,0.00259376,0.15872540,0.82979087,0.80651523,0.02323005,0.47575435
-5.57978989,1.60535933,0.00246253,0.15022200,0.78615208,0.78833389,0.02298853,0.46954444
-5.57378689,1.56963311,0.00236884,0.14293328,0.74608933,0.77552232,0.02275702,0.46488684
-5.56778389,1.54243150,0.00231022,0.13685309,0.70954370,0.76796036,0.02252900,0.46167366
-5.56178089,1.52350226,0.00228402,0.13197241,0.67643600,0.76554074,0.02230013,0.45980305
-5.55577789,1.51262568,0.00228747,0.12828137,0.64667929,0.76817570,0.02206863,0.45918552
-5.54977489,1.50962698,0.00231770,0.12577048,0.62018949,0.77580015,0.02183537,0.45974876
-5.54377189,1.51438229,0.00237182,0.12443134,0.59689365,0.78837145,0.02160398,0.46144090
-5.53776888,1.52681822,0.00244695,0.12425656,0.57673551,0.80586585,0.02138068,0.46423195
-5.53176588,1.54690517,0.00254024,0.12523904,0.55967837,0.82827192,0.02117412,0.46811356
-5.52576288,1.57464508,0.00264892,0.12737068,0.54570510,0.85558145,0.02099495,0.47309707
-5.51975988,1.61005426,0.00277031,0.13064054,0.53481563,0.88777806,0.02085542,0.47921010
-5.51375688,1.65314238,0.00290185,0.13503260,0.52702210,0.92482445,0.02076880,0.48649184
-5.50775388,1.70388865,0.00304112,0.14052329,0.52234216,0.96664853,0.02074874,0.49498731
-5.50175088,1.76221649,0.00318583,0.14707891,0.52079080,1.01312935,0.02080868,0.50474087
-5.49574787,1.82796794,0.00333387,0.15465308,0.52237136,1.06408340,0.02096115,0.51578945
-5.48974487,1.90087915,0.00348326,0.16318447,0.52706625,1.11925194,0.02121712,0.52815554
-5.48374187,1.98055826,0.00363218,0.17259486,0.53482792,1.17829004,0.02158540,0.54184065
-5.47773887,2.06646682,0.00377895,0.18278781,0.54557062,1.24075797,0.02207210,0.55681919
-5.47173587,2.15790587,0.00392203,0.19364783,0.55916359,1.30611553,0.02268017,0.57303333
-5.46573287,2.25400777,0.00406000,0.20504047,0.57542586,1.37371974,0.02340903,0.59038894
-5.45972986,2.35373437,0.00419154,0.21681309,0.59412314,1.44282641,0.02425435,0.60875291
-5.45372686,2.45588213,0.00431544,0.22879655,0.61496705,1.51259581,0.02520795,0.62795196
-5.44772386,2.55909454,0.00443057,0.24080765,0.63761676,1.58210259,0.02625781,0.64777304
-5.44172086,2.66188175,0.00453590,0.25265241,0.66168292,1.65035000,0.02738826,0.66796548
-5.43571786,2.76264711,0.00463047,0.26413001,0.68673404,1.71628811,0.02858027,0.68824469
-5.42971486,2.85972003,0.00471343,0.27503731,0.71230487,1.77883574,0.02981185,0.70829746
-5.42371186,2.95139418,0.00478405,0.28517381,0.73790649,1.83690542,0.03105868,0.72778872
-5.41770885,3.03596988,0.00484172,0.29434675,0.76303783,1.88943076,0.03229464,0.74636940
-5.41170585,3.11179912,0.00488602,0.30237643,0.78719808,1.93539517,0.03349262,0.76368535
-5.40570285,3.17733171,0.00491672,0.30910116,0.80989940,1.97386097,0.03462522,0.77938683
-5.39969985,3.23116055,0.00493384,0.31438204,0.83067962,2.00399773,0.03566560,0.79313828
-5.39369685,3.27206451,0.00493766,0.31810705,0.84911423,2.02510876,0.03658823,0.80462805
-5.38769385,3.29904690,0.00492880,0.32019444,0.86482730,2.03665440,0.03736964,0.81357768
-5.38169085,3.31136794,0.00490821,0.32059528,0.87750083,2.03827138,0.03798917,0.81975036
-5.37568784,3.30856997,0.00487719,0.31929498,0.88688233,2.02978706,0.03842954,0.82295822
-5.36968484,3.29049406,0.00483742,0.31631370,0.89279016,2.01122806,0.03867735,0.82306828
-5.36368184,3.25728740,0.00479095,0.31170578,0.89511666,1.98282263,0.03872349,0.82000670
-5.35767884,3.20940107,0.00474015,0.30555795,0.89382896,1.94499674,0.03856335,0.81376114
-5.35167584,3.14757821,0.00468766,0.29798667,0.88896747,1.89836392,0.03819693,0.80438135
-5.34567284,3.07283316,0.00463638,0.28913444,0.88064223,1.84370912,0.03762878,0.79197776
-5.33966983,2.98642239,0.00458934,0.27916543,0.86902739,1.78196743,0.03686781,0.77671821
-5.33366683,2.88980843,0.00454961,0.26826049,0.85435398,1.71419843,0.03592694,0.75882307
-5.32766383,2.78461841,0.00452022,0.25661178,0.83690148,1.64155720,0.03482271,0.73855877
-5.32166083,2.67259883,0.00450399,0.24441719,0.81698840,1.56526327,0.03357469,0.71623024
-5.31565783,2.55556842,0.00450348,0.23187483,0.79496233,1.48656875,0.03220493,0.69217233
-5.30965483,2.43537101,0.00452083,0.21917769,0.77118989,1.40672683,0.03073728,0.66674078
-5.30365183,2.31383002,0.00455762,0.20650880,0.74604676,1.32696192,0.02919673,0.64030291
-5.29764882,2.19270640,0.00461486,0.19403686,0.71990830,1.24844245,0.02760876,0.61322846
-5.29164582,2.07366113,0.00469281,0.18191269,0.69314095,1.17225721,0.02599874,0.58588088
-5.28564282,1.95822364,0.00479101,0.17026642,0.66609460,1.09939588,0.02439129,0.55860939
-5.27963982,1.84776664,0.00490820,0.15920555,0.63909611,1.03073421,0.02280984,0.53174197
-5.27363682,1.74348792,0.00504236,0.14881394,0.61244415,0.96702396,0.02127614,0.50557947
-5.26763382,1.64639900,0.00519071,0.13915160,0.58640536,0.90888752,0.01980997,0.48039108
-5.26163082,1.55732046,0.00534981,0.13025535,0.56121172,0.85681694,0.01842881,0.45641100
-5.25562781,1.47688325,0.00551563,0.12214017,0.53705929,0.81117670,0.01714771,0.43383651
-5.24962481,1.40553509,0.00568371,0.11480121,0.51410798,0.77220975,0.01597917,0.41282711
-5.24362181,1.34355098,0.00584926,0.10821623,0.49248238,0.74004586,0.01493310,0.39350495
-5.23761881,1.29104665,0.00600735,0.10234843,0.47227339,0.71471147,0.01401684,0.37595600
-5.23161581,1.24799375,0.00615307,0.09714950,0.45354045,0.69614030,0.01323524,0.36023202
-5.22561281,1.21423563,0.00628170,0.09256267,0.43631425,0.68418381,0.01259073,0.34635310
-5.21960980,1.18950272,0.00638889,0.08852575,0.42059961,0.67862099,0.01208346,0.33431039
-5.21360680,1.17342667,0.00647077,0.08497393,0.40637847,0.67916677,0.01171142,0.32406902
-5.20760380,1.16555257,0.00652413,0.08184231,0.39361274,0.68547899,0.01147060,0.31557094
-5.20160080,1.16534909,0.00654647,0.07906809,0.38224692,0.69716357,0.01135506,0.30873754
-5.19559780,1.17221622,0.00653612,0.07659224,0.37221041,0.71377807,0.01135716,0.30347207
-5.18959480,1.18549101,0.00649226,0.07436083,0.36341943,0.73483388,0.01146761,0.29966166
-5.18359180,1.20445170,0.00641488,0.07232588,0.35577861,0.75979750,0.01167565,0.29717913
-5.17758879,1.22832090,0.00630485,0.07044573,0.34918228,0.78809141,0.01196920,0.29588455
-5.17158579,1.25626852,0.00616375,0.06868511,0.34351547,0.81909524,0.01233500,0.29562662
-5.16558279,1.28741550,0.00599386,0.06701486,0.33865485,0.85214792,0.01275881,0.29624414
-5.15957979,1.32083900,0.00579804,0.06541138,0.33446963,0.88655129,0.01322560,0.29756755
-5.15357679,1.35557990,0.00557958,0.06385590,0.33082261,0.92157590,0.01371980,0.29942078
-5.14757379,1.39065318,0.00534209,0.06233377,0.32757153,0.95646929,0.01422557,0.30162344
-5.14157079,1.42506157,0.00508936,0.06083355,0.32457069,0.99046693,0.01472706,0.30399357
-5.13556778,1.45781257,0.00482524,0.05934635,0.32167311,1.02280593,0.01520878,0.30635082
-5.12956478,1.48793853,0.00455352,0.05786508,0.31873301,1.05274110,0.01565591,0.30852025
-5.12356178,1.51451949,0.00427781,0.05638403,0.31560882,1.07956311,0.01605465,0.31033649
-5.11755878,1.53670775,0.00400150,0.05489847,0.31216647,1.10261794,0.01639257,0.31164832
-5.11155578,1.55375340,0.00372763,0.05340451,0.30828300,1.12132678,0.01665891,0.31232335
-5.10555278,1.56502939,0.00345888,0.05189909,0.30385014,1.13520559,0.01684492,0.31225276
-5.09954977,1.57005499,0.00319756,0.05038012,0.29877788,1.14388307,0.01694404,0.31135572
-5.09354677,1.56851628,0.00294557,0.04884675,0.29299775,1.14711636,0.01695215,0.30958334
-5.08754377,1.56028242,0.00270444,0.04729967,0.28646554,1.14480319,0.01686763,0.30692185
-5.08154077,1.54541676,0.00247534,0.04574146,0.27916346,1.13699002,0.01669142,0.30339489
-5.07553777,1.52418171,0.00225911,0.04417691,0.27110141,1.12387541,0.01642700,0.29906457
-5.06953477,1.49703714,0.00205633,0.04261330,0.26231739,1.10580827,0.01608019,0.29403138
-5.06353177,1.46463183,0.00186734,0.04106053,0.25287692,1.08328094,0.01565903,0.28843267
-5.05752876,1.42778826,0.00169229,0.03953117,0.24287145,1.05691720,0.01517342,0.28243981
-5.05152576,1.38748121,0.00153120,0.03804035,0.23241590,1.02745567,0.01463486,0.27625405
-5.04552276,1.34481076,0.00138401,0.03660551,0.22164532,0.99572919,0.01405599,0.27010120
-5.03951976,1.30097102,0.00125060,0.03524597,0.21071088,0.96264097,0.01345025,0.26422529
-5.03351676,1.25721556,0.00113082,0.03398240,0.19977530,0.92913857,0.01283145,0.25888143
-5.02751376,1.21482100,0.00102456,0.03283617,0.18900803,0.89618668,0.01221330,0.25432814
-5.02151076,1.17505015,0.00093169,0.03182863,0.17858025,0.86473967,0.01160910,0.25081935
-5.01550775,1.13911609,0.00085219,0.03098031,0.16866000,0.83571517,0.01103135,0.24859646
-5.00950475,1.10814837,0.00078604,0.03031012,0.15940757,0.80996934,0.01049146,0.24788064
-5.00350175,1.08316261,0.00073333,0.02983462,0.15097136,0.78827490,0.00999956,0.24886566
-4.99749875,1.06503432,0.00069419,0.02956724,0.14348430,0.77130237,0.00956425,0.25171156
-4.99149575,1.05447770,0.00066882,0.02951774,0.13706105,0.75960514,0.00919262,0.25653925
-4.98549275,1.05202993,0.00065751,0.02969164,0.13179587,0.75360857,0.00889014,0.26342629
-4.97948974,1.05804114,0.00066057,0.03008989,0.12776137,0.75360330,0.00866077,0.27240400
-4.97348674,1.07267012,0.00067839,0.03070867,0.12500801,0.75974264,0.00850706,0.28345589
-4.96748374,1.09588557,0.00071142,0.03153934,0.12356443,0.77204393,0.00843027,0.29651766
