energy_ev,total_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,2.46981948,1.10694679,1.07574451,0.05654235,0.61085293,0.65592014,0.00000000
-5.99399700,2.38135470,1.06360222,1.05197437,0.05255372,0.57749345,0.64459627,0.00000000
-5.98799400,2.29498439,1.01973936,1.03029367,0.04859661,0.54383405,0.63508618,0.00000000
-5.98199100,2.21272394,0.97640479,1.01143731,0.04472891,0.51045748,0.62781317,0.00000000
-5.97598799,2.13637740,0.93459947,0.99602393,0.04100188,0.47791287,0.62311430,0.00000000
-5.96998499,2.06749517,0.89525425,0.98454040,0.03745929,0.44670328,0.62123205,0.00000000
-5.96398199,2.00734339,0.85920905,0.97733198,0.03413701,0.41727571,0.62230988,0.00000000
-5.95797899,1.95688538,0.82719614,0.97459823,0.03106280,0.39001379,0.62639152,0.00000000
-5.95197599,1.91677510,0.79982778,0.97639463,0.02825643,0.36523313,0.63342383,0.00000000
-5.94597299,1.88736181,0.77758830,0.98263923,0.02573013,0.34317932,0.64326300,0.00000000
-5.93996998,1.86870487,0.76083030,0.99312396,0.02348911,0.32402846,0.65568344,0.00000000
-5.93396698,1.86059695,0.74977482,1.00752965,0.02153240,0.30788970,0.67038896,0.00000000
-5.92796398,1.86259403,0.74451489,1.02544377,0.01985366,0.29480977,0.68702553,0.00000000
-5.92196098,1.87405004,0.74502193,1.04637999,0.01844216,0.28477883,0.70519496,0.00000000
-5.91595798,1.89415436,0.75115455,1.06979857,0.01728370,0.27773741,0.72446897,0.00000000
-5.90995498,1.92197025,0.76266904,1.09512660,0.01636152,0.27358399,0.74440296,0.00000000
-5.90395198,1.95647258,0.77923124,1.12177726,0.01565718,0.27218281,0.76454907,0.00000000
-5.89794897,1.99658364,0.80042912,1.14916756,0.01515129,0.27337178,0.78446805,0.00000000
-5.89194597,2.04120579,0.82578602,1.17673390,0.01482419,0.27696994,0.80373974,0.00000000
