energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,1.33252416,0.50814216,0.28715426,0.00283823,0.09004950,0.83489573,0.00000000,0.20538246,0.22261472
-5.99399700,1.30775581,0.49867526,0.27739015,0.00291348,0.08914340,0.81995099,0.00000000,0.20159727,0.22115241
-5.98799400,1.28134272,0.48881516,0.26771492,0.00300659,0.08810504,0.80379419,0.00000000,0.19810733,0.21899417
-5.98199100,1.25444699,0.47901805,0.25839149,0.00312119,0.08701390,0.78714457,0.00000000,0.19516878,0.21631488
-5.97598799,1.22832721,0.46977215,0.24969850,0.00326135,0.08595588,0.77078524,0.00000000,0.19304705,0.21331239
-5.96998499,1.20430562,0.46158468,0.24192469,0.00343141,0.08502073,0.75554273,0.00000000,0.19201143,0.21020162
-5.96398199,1.18373227,0.45496774,0.23536283,0.00363584,0.08429925,0.74226455,0.00000000,0.19232929,0.20720785
-5.95797899,1.16794746,0.45042346,0.23030355,0.00387904,0.08388029,0.73179564,0.00000000,0.19426005,0.20455954
-5.95197599,1.15824347,0.44842912,0.22702912,0.00416516,0.08384775,0.72495435,0.00000000,0.19804905,0.20248091
-5.94597299,1.15582705,0.44942241,0.22580739,0.00449790,0.08427756,0.72250879,0.00000000,0.20392149,0.20118458
-5.93996998,1.16178378,0.45378772,0.22688588,0.00488029,0.08523492,0.72515445,0.00000000,0.21207653,0.20086456
-5.93396698,1.17704551,0.46184355,0.23048633,0.00531446,0.08677168,0.73349360,0.00000000,0.22268168,0.20168983
-5.92796398,1.20236192,0.47383176,0.23679960,0.00580150,0.08892420,0.74801743,0.00000000,0.23586777,0.20379875
-5.92196098,1.23827724,0.48990892,0.24598116,0.00634123,0.09171162,0.76909131,0.00000000,0.25172457,0.20729457
-5.91595798,1.28511279,0.51014017,0.25814726,0.00693209,0.09513466,0.79694369,0.00000000,0.27029714,0.21224209
-5.90995498,1.34295607,0.53449575,0.27337168,0.00757100,0.09917502,0.83165916,0.00000000,0.29158332,0.21866568
-5.90395198,1.41165652,0.56285049,0.29168337,0.00825334,0.10379538,0.87317560,0.00000000,0.31553212,0.22654870
-5.89794897,1.49082840,0.59498613,0.31306482,0.00897287,0.10894009,0.92128576,0.00000000,0.34204343,0.23583426
-5.89194597,1.57986028,0.63059666,0.33745131,0.00972183,0.11453646,0.97564300,0.00000000,0.37096895,0.24642734
-5.88594297,1.67793111,0.66929630,0.36473098,0.01049099,0.12049659,1.03577091,0.00000000,0.40211428,0.25819820
-5.87993997,1.78403192,0.71062987,0.39474584,0.01126986,0.12671980,1.10107655,0.00000000,0.43524230,0.27098677
-5.87393697,1.89699242,0.75408533,0.42729349,0.01204681,0.13309551,1.17086661,0.00000000,0.47007768,0.28460795
-5.86793397,2.01551149,0.79910770,0.46212971,0.01280944,0.13950639,1.24436578,0.00000000,0.50631226,0.29885762
-5.86193097,2.13819013,0.84511410,0.49897170,0.01354478,0.14583180,1.32073679,0.00000000,0.54361127,0.31351896
-5.85592796,2.26356571,0.89150902,0.53750195,0.01423971,0.15195131,1.39910094,0.00000000,0.58162003,0.32836890
-5.84992496,2.39014606,0.93769943,0.57737260,0.01488128,0.15774815,1.47855858,0.00000000,0.61997095,0.34318447
-5.84392196,2.51644205,0.98310892,0.61821016,0.01545710,0.16311249,1.55820853,0.00000000,0.65829046,0.35774869
-5.83791896,2.64099749,1.02719031,0.65962051,0.01595567,0.16794445,1.63716581,0.00000000,0.69620566,0.37185584
-5.83191596,2.76241523,1.06943636,0.70119402,0.01636680,0.17215668,1.71457688,0.00000000,0.73335045,0.38531591
-5.82591296,2.87937861,1.10938810,0.74251069,0.01668185,0.17567635,1.78963214,0.00000000,0.76937082,0.39795810
-5.81990995,2.99066787,1.14664046,0.78314520,0.01689404,0.17844672,1.86157522,0.00000000,0.80392931,0.40963317
-5.81390695,3.09517122,1.18084534,0.82267189,0.01699865,0.18042793,1.92970905,0.00000000,0.83670836,0.42021482
-5.80790395,3.19189069,1.21171194,0.86066952,0.01699316,0.18159727,1.99339888,0.00000000,0.86741273,0.42959996
-5.80190095,3.27994339,1.23900474,0.89672590,0.01687733,0.18194880,2.05207251,0.00000000,0.89577091,0.43770801
-5.79589795,3.35855878,1.26253955,0.93044241,0.01665318,0.18149246,2.10521837,0.00000000,0.92153571,0.44447943
-5.78989495,3.42707310,1.28217790,0.96143835,0.01632493,0.18025261,2.15238198,0.00000000,0.94448428,0.44987361
