energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Li_s_up,S_s_up,S_p_up
-6.00000000,5.19707749,0.01526131,0.31800771,2.31270190,2.02169831,0.19579963,0.08145080,1.90591493
-5.99399700,5.40783342,0.01525597,0.34350783,2.41183004,2.11215222,0.19887668,0.08500439,1.96835919
-5.98799400,5.63160370,0.01526359,0.37097489,2.52054812,2.20671834,0.20156058,0.08872391,2.03458455
-5.98199100,5.86711148,0.01528024,0.40032646,2.63868293,2.30466661,0.20384414,0.09259209,2.10420309
-5.97598799,6.11253860,0.01530120,0.43141841,2.76571923,2.40508290,0.20572180,0.09658391,2.17665071
-5.96998499,6.36551034,0.01532112,0.46404052,2.90077545,2.50687122,0.20718831,0.10066627,2.25118171
-5.96398199,6.62310046,0.01533417,0.49791434,3.04259184,2.60876252,0.20823744,0.10479784,2.32687023
-5.95797899,6.88185820,0.01533422,0.53269354,3.18953282,2.70933067,0.20886107,0.10892926,2.40261933
-5.95197599,7.13785849,0.01531504,0.56796705,3.33960450,2.80701552,0.20904842,0.11300379,2.47717795
-5.94597299,7.38677534,0.01527052,0.60326499,3.49048796,2.90015318,0.20878572,0.11695816,2.54916568
-5.93996998,7.62397735,0.01519482,0.63806753,3.63958781,2.98701287,0.20805627,0.12072398,2.61710499
-5.93396698,7.84464314,0.01508260,0.67181639,3.78409511,3.06583962,0.20684097,0.12422931,2.67945997
-5.92796398,8.04389314,0.01492920,0.70392877,3.92106276,3.13490151,0.20511914,0.12740064,2.73468039
-5.92196098,8.21693335,0.01473076,0.73381315,4.04749075,3.19253986,0.20286978,0.13016506,2.78124947
-5.91595798,8.35920535,0.01448439,0.76088652,4.16041809,3.23722060,0.20007312,0.13245250,2.81773333
-5.90995498,8.46653658,0.01418829,0.78459223,4.25701765,3.26758466,0.19671235,0.13419817,2.84283026
-5.90395198,8.53528430,0.01384176,0.80441779,4.33469009,3.28249518,0.19277539,0.13534475,2.85541732
-5.89794897,8.56246665,0.01344531,0.81991186,4.39115248,3.28107937,0.18825664,0.13584459,2.85459234
-5.89194597,8.54587475,0.01300060,0.83069959,4.42451799,3.26276304,0.18315865,0.13566150,2.83970919
-5.88594297,8.48416030,0.01251044,0.83649571,4.43336280,3.22729597,0.17749335,0.13477231,2.81040464
-5.87993997,8.37689451,0.01197870,0.83711474,4.41677724,3.17476679,0.17128305,0.13316787,2.76661547
-5.87393697,8.22459518,0.01141020,0.83247777,4.37439896,3.10560647,0.16456095,0.13085367,2.70858494
-5.86793397,8.02872071,0.01081056,0.82261560,4.30642656,3.02058017,0.15737109,0.12784987,2.63685840
-5.86193097,7.79163107,0.01018605,0.80766812,4.21361322,2.92076748,0.14976790,0.12419083,2.55226804
-5.85592796,7.51651755,0.00954341,0.78787984,4.09724087,2.80753214,0.14181520,0.11992416,2.45590769
-5.84992496,7.20730475,0.00888962,0.76359198,3.95907623,2.68248234,0.13358474,0.11510928,2.34909885
-5.84392196,6.86852925,0.00823174,0.73523146,3.80131102,2.54742350,0.12515440,0.10981558,2.23334948
-5.83791896,6.50520073,0.00757672,0.70329722,3.62648920,2.40430563,0.11660612,0.10412033,2.11030753
-5.83191596,6.12265180,0.00693118,0.66834468,3.43742477,2.25516756,0.10802365,0.09810635,1.98171143
-5.82591296,5.72638314,0.00630129,0.63096902,3.23711386,2.10208042,0.09949021,0.09185957,1.84933948
-5.81990995,5.32191053,0.00569261,0.59178787,3.02864490,1.94709285,0.09108630,0.08546660,1.71496044
-5.81390695,4.91461991,0.00511001,0.55142439,2.81511074,1.79217986,0.08288758,0.07901241,1.58028727
