energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,S_s_up,S_p_up
-6.00000000,5.35195649,1.37292422,2.63944747,0.01550346,0.26670510,1.40201987,0.69313320,0.00566551,1.71716259
-5.99399700,5.27447547,1.34353310,2.63804945,0.01500281,0.26945957,1.36496933,0.66831316,0.00537058,1.65962079
-5.98799400,5.19872144,1.31281552,2.63971694,0.01443742,0.27298828,1.32576688,0.64339715,0.00509296,1.60042338
-5.98199100,5.12658561,1.28138822,2.64509592,0.01381496,0.27733173,1.28514515,0.61869814,0.00483568,1.54046957
-5.97598799,5.05982500,1.24985544,2.65472492,0.01314413,0.28251108,1.24384282,0.59452275,0.00460144,1.48065492
-5.96998499,4.99999536,1.21878901,2.66900613,0.01243440,0.28852563,1.20258066,0.57116279,0.00439254,1.42184461
-5.96398199,4.94838821,1.18870924,2.68817897,0.01169574,0.29535070,1.16203809,0.54888708,0.00421083,1.36484760
-5.95797899,4.90597489,1.16006754,2.71229775,0.01093830,0.30293610,1.12283150,0.52793392,0.00405770,1.31039272
-5.95197599,4.87336072,1.13323159,2.74121459,0.01017215,0.31120514,1.08549525,0.50850460,0.00393401,1.25910780
-5.94597299,4.85075167,1.10847364,2.77456891,0.00940696,0.32005457,1.05046622,0.49075811,0.00384010,1.21150274
-5.93996998,4.83793557,1.08596269,2.81178432,0.00865181,0.32935521,1.01807261,0.47480747,0.00377570,1.16795715
-5.93396698,4.83427918,1.06576062,2.85207370,0.00791494,0.33895364,0.98852741,0.46071760,0.00374000,1.12871323
-5.92796398,4.83874188,1.04782272,2.89445260,0.00720357,0.34867467,0.96192674,0.44850497,0.00373158,1.09387382
-5.92196098,4.84990552,1.03200246,2.93776107,0.00652384,0.35832486,0.93825305,0.43813896,0.00374844,1.06340580
-5.91595798,4.86601976,1.01806018,2.98069323,0.00588067,0.36769677,0.91738284,0.42954467,0.00378805,1.03714839
-5.90995498,4.88506106,1.00567549,3.02183385,0.00527778,0.37657403,0.89909838,0.42260722,0.00384737,1.01482585
-5.90395198,4.90480292,0.99446263,3.05970067,0.00471769,0.38473697,0.88310278,0.41717716,0.00392290,0.99606387
-5.89794897,4.92289446,0.98398809,3.09279079,0.00420180,0.39196867,0.86903747,0.41307668,0.00401077,0.98040864
-5.89194597,4.93694418,0.97378984,3.11962955,0.00373046,0.39806123,0.85650123,0.41010645,0.00410682,0.96734786
-5.88594297,4.94460513,0.96339705,3.13881980,0.00330310,0.40282197,0.84506976,0.40805261,0.00420670,0.95633240
-5.87993997,4.94365808,0.95234970,3.14908952,0.00291838,0.40607942,0.83431484,0.40669378,0.00430599,0.94679792
-5.87393697,4.93208922,0.94021705,3.14933601,0.00257429,0.40768878,0.82382225,0.40580766,0.00440031,0.93818534
-5.86793397,4.90815924,0.92661432,3.13866461,0.00226835,0.40753660,0.81320765,0.40517718,0.00448541,0.92995946
-5.86193097,4.87046116,0.91121687,3.11642052,0.00199773,0.40554458,0.80212983,0.40459591,0.00455737,0.92162517
-5.85592796,4.81796481,0.89377136,3.08221237,0.00175938,0.40167225,0.79030095,0.40387261,0.00461261,0.91274063
-5.84992496,4.75004667,0.87410360,3.03592664,0.00155017,0.39591838,0.77749349,0.40283504,0.00464808,0.90292738
-5.84392196,4.66650430,0.85212280,2.97773255,0.00136696,0.38832114,0.76354398,0.40133278,0.00466129,0.89187711
-5.83791896,4.56755551,0.82782230,2.90807736,0.00120675,0.37895697,0.74835344,0.39923932,0.00465042,0.87935527
-5.83191596,4.45382300,0.80127681,2.82767244,0.00106667,0.36793813,0.73188516,0.39645338,0.00461433,0.86520177
-5.82591296,4.32630596,0.77263661,2.73747107,0.00094408,0.35540917,0.71415989,0.39289960,0.00455260,0.84932911
-5.81990995,4.18634048,0.74211902,2.63863910,0.00083659,0.34154236,0.69524922,0.38852869,0.00446555,0.83171829
-5.81390695,4.03555107,0.70999772,2.53251988,0.00074209,0.32653233,0.67526762,0.38331718,0.00435419,0.81241312
-5.80790395,3.87579590,0.67659058,2.42059514,0.00065872,0.31059022,0.65436362,0.37726677,0.00422016,0.79151339
-5.80190095,3.70910835,0.64224648,2.30444365,0.00058489,0.29393739,0.63271093,0.37040354,0.00406571,0.76916719
-5.79589795,3.53763743,0.60733199,2.18569914,0.00051926,0.27679920,0.61049966,0.36277674,0.00389358,0.74556310
-5.78989495,3.36358932,0.57221832,2.06600941,0.00046071,0.25939888,0.58792838,0.35445759,0.00370690,0.72092228
-5.78389195,3.18917228,0.53726917,1.94699769,0.00040831,0.24195195,0.56519704,0.34553770,0.00350908,0.69549092
-5.77788894,3.01654624,0.50282994,1.83022778,0.00036134,0.22466111,0.54250113,0.33612726,0.00330372,0.66953320
-5.77188594,2.84777853,0.46921862,1.71717352,0.00031918,0.20771204,0.52002708,0.32635304,0.00309450,0.64332469
-5.76588294,2.68480615,0.43671862,1.60919334,0.00028136,0.19126998,0.49794894,0.31635585,0.00288501,0.61714637
-5.75987994,2.52940501,0.40557362,1.50751001,0.00024749,0.17547733,0.47642612,0.30628778,0.00267874,0.59127920
-5.75387694,2.38316589,0.37598449,1.41319551,0.00021727,0.16045217,0.45560219,0.29630890,0.00247894,0.56599898
-5.74787394,2.24747663,0.34810805,1.32716075,0.00019044,0.14628769,0.43560436,0.28658354,0.00228854,0.54157161
-5.74187094,2.12350974,0.32205773,1.25014955,0.00016681,0.13305253,0.41654347,0.27727620,0.00211011,0.51824852
-5.73586793,2.01221471,0.29790550,1.18273629,0.00014621,0.12079178,0.39851427,0.26854706,0.00194583,0.49626221
-5.72986493,1.91431400,0.27568515,1.12532643,0.00012847,0.10952868,0.38159578,0.26054724,0.00179742,0.47582184
-5.72386193,1.83030191,0.25539630,1.07815931,0.00011348,0.09926667,0.36585150,0.25341400,0.00166620,0.45710888
-5.71785893,1.76044564,0.23700896,1.04131254,0.00010112,0.08999192,0.35132944,0.24726593,0.00155300,0.44027300
-5.71185593,1.70478803,0.22046833,1.01470749,0.00009127,0.08167590,0.33806183,0.24219840,0.00145825,0.42542803
-5.70585293,1.66315174,0.20569953,0.99811551,0.00008384,0.07427810,0.32606466,0.23827950,0.00138198,0.41264842
-5.69984992,1.63514481,0.19261205,0.99116475,0.00007875,0.06774860,0.31533694,0.23554662,0.00132384,0.40196632
-5.69384692,1.62016776,0.18110385,0.99334752,0.00007589,0.06203056,0.30585998,0.23400390,0.00128317,0.39336939
-5.68784392,1.61742262,0.17106484,1.00402827,0.00007521,0.05706246,0.29759667,0.23362075,0.00125901,0.38679968
-5.68184092,1.62592435,0.16237990,1.02245255,0.00007661,0.05278007,0.29049106,0.23433154,0.00125017,0.38215373
-5.67583792,1.64451506,0.15493128,1.04775712,0.00008002,0.04911814,0.28446838,0.23603657,0.00125525,0.37928404
-5.66983492,1.67188159,0.14860051,1.07898159,0.00008538,0.04601179,0.27943557,0.23860440,0.00127274,0.37800199
-5.66383192,1.70657677,0.14326988,1.11508185,0.00009259,0.04339769,0.27528257,0.24187543,0.00130097,0.37808236
-5.65782891,1.74704443,0.13882361,1.15494558,0.00010158,0.04121486,0.27188436,0.24566672,0.00133826,0.37926924
-5.65182591,1.79164830,0.13514873,1.19740978,0.00011225,0.03940541,0.26910378,0.24977787,0.00138287,0.38128332
-5.64582291,1.83870417,0.13213586,1.24128038,0.00012447,0.03791499,0.26679510,0.25399771,0.00143306,0.38383030
-5.63981991,1.88651512,0.12967994,1.28535365,0.00013814,0.03669317,0.26480830,0.25811164,0.00148717,0.38661018
-5.63381691,1.93340859,0.12768093,1.32843905,0.00015308,0.03569364,0.26299387,0.26190924,0.00154357,0.38932703
-5.62781391,1.97777451,0.12604461,1.36938291,0.00016914,0.03487443,0.26120785,0.26519182,0.00160073,0.39169890
-5.62181091,2.01810313,0.12468336,1.40709245,0.00018610,0.03419797,0.25931711,0.26777972,0.00165724,0.39346745
-5.61580790,2.05302132,0.12351712,1.44055907,0.00020374,0.03363119,0.25720439,0.26951886,0.00171184,0.39440688
-5.60980490,2.08132582,0.12247425,1.46888053,0.00022182,0.03314555,0.25477304,0.27028641,0.00176338,0.39433174
-5.60380190,2.10201241,0.12149245,1.49128075,0.00024005,0.03271707,0.25195109,0.26999526,0.00181093,0.39310336
-5.59779890,2.11429957,0.12051962,1.50712688,0.00025816,0.03232628,0.24869454,0.26859707,0.00185369,0.39063453
-5.59179590,2.11764587,0.11951448,1.51594273,0.00027583,0.03195817,0.24498964,0.26608389,0.00189111,0.38689223
-5.58579290,2.11176022,0.11844711,1.51741810,0.00029276,0.03160214,0.24085406,0.26248812,0.00192281,0.38189838
-5.57978989,2.09660466,0.11729920,1.51141365,0.00030863,0.03125177,0.23633689,0.25788099,0.00194865,0.37572837
-5.57378689,2.07238950,0.11606394,1.49796108,0.00032314,0.03090470,0.23151739,0.25236950,0.00196870,0.36850771
-5.56778389,2.03956104,0.11474569,1.47725863,0.00033600,0.03056230,0.22650259,0.24609207,0.00198327,0.36040670
-5.56178089,1.99878235,0.11335915,1.44966209,0.00034695,0.03022934,0.22142382,0.23921301,0.00199292,0.35163351
-5.55577789,1.95090785,0.11192837,1.41567167,0.00035577,0.02991359,0.21643222,0.23191610,0.00199842,0.34242585
-5.54977489,1.89695278,0.11048524,1.37591514,0.00036227,0.02962534,0.21169351,0.22439764,0.00200077,0.33304168
