energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,6.55083697,-6.55083681,0.72313764,-0.72313764,3.01968670,-3.01968662,0.07460760,-0.07460760,0.22845413,-0.22845413,0.80202497,-0.80202496,0.60917699,-0.60917698,0.09393534,-0.09393533,2.08376300,-2.08376295
-5.99399700,6.35901924,-6.35901908,0.71479724,-0.71479724,2.92301455,-2.92301446,0.07277217,-0.07277217,0.22613740,-0.22613739,0.80013580,-0.80013578,0.58633239,-0.58633238,0.08870231,-0.08870231,2.02468875,-2.02468870
-5.98799400,6.16035036,-6.16035020,0.70778156,-0.70778155,2.81958578,-2.81958569,0.07056384,-0.07056384,0.22363463,-0.22363463,0.79907690,-0.79907688,0.56316736,-0.56316735,0.08362687,-0.08362686,1.96533215,-1.96533211
-5.98199100,5.95810707,-5.95810691,0.70226173,-0.70226172,2.71122893,-2.71122884,0.06801170,-0.06801170,0.22098882,-0.22098881,0.79905707,-0.79905706,0.54003389,-0.54003389,0.07874535,-0.07874535,1.90667440,-1.90667436
-5.97598799,5.75567833,-5.75567818,0.69842242,-0.69842242,2.59986363,-2.59986355,0.06515180,-0.06515180,0.21824479,-0.21824478,0.80027167,-0.80027165,0.51728665,-0.51728665,0.07408953,-0.07408952,1.84970802,-1.84970798
-5.96998499,5.55647103,-5.55647089,0.69645333,-0.69645333,2.48744846,-2.48744837,0.06202610,-0.06202610,0.21544753,-0.21544753,0.80289389,-0.80289387,0.49527441,-0.49527440,0.06968647,-0.06968647,1.79540802,-1.79540799
-5.96398199,5.36381258,-5.36381245,0.69653912,-0.69653912,2.37592758,-2.37592750,0.05868109,-0.05868109,0.21264056,-0.21264055,0.80706677,-0.80706675,0.47433139,-0.47433138,0.06555851,-0.06555851,1.74470191,-1.74470188
-5.95797899,5.18085499,-5.18085486,0.69884839,-0.69884839,2.26717858,-2.26717850,0.05516643,-0.05516643,0.20986455,-0.20986454,0.81289617,-0.81289616,0.45476896,-0.45476896,0.06172323,-0.06172323,1.69843992,-1.69843989
-5.95197599,5.01048484,-5.01048473,0.70352237,-0.70352237,2.16296349,-2.16296342,0.05153343,-0.05153343,0.20715628,-0.20715627,0.82044536,-0.82044535,0.43686797,-0.43686797,0.05819347,-0.05819346,1.65736696,-1.65736694
-5.94597299,4.85524360,-4.85524351,0.71066426,-0.71066426,2.06488543,-2.06488536,0.04783353,-0.04783353,0.20454799,-0.20454799,0.82973134,-0.82973133,0.42087209,-0.42087209,0.05497742,-0.05497742,1.62209776,-1.62209774
