energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,3.34876494,0.00905974,0.41174219,1.06315932,0.43568021,1.68038859,0.74854962,0.01506501,1.53983143
-5.99399700,3.18081233,0.00864920,0.39406319,1.00787864,0.40953686,1.61553952,0.71297718,0.01400425,1.45893144
-5.98799400,3.00777396,0.00820766,0.37530792,0.95145035,0.38334640,1.54566151,0.67578370,0.01293404,1.37647284
-5.98199100,2.83209640,0.00774320,0.35579476,0.89461248,0.35744662,1.47206416,0.63749245,0.01186975,1.29356580
-5.97598799,2.65629995,0.00726418,0.33585829,0.83812293,0.33217361,1.39612338,0.59865716,0.01082560,1.21134144
-5.96998499,2.48290798,0.00677896,0.31583936,0.78273828,0.30785371,1.31923855,0.55984569,0.00981441,1.13092108
-5.96398199,2.31437844,0.00629572,0.29607547,0.72919310,0.28479606,1.24279029,0.52162380,0.00884739,1.05338655
-5.95797899,2.15304036,0.00582222,0.27689162,0.67818036,0.26328609,1.16810065,0.48453986,0.00793406,0.97975274
-5.95197599,2.00103761,0.00536560,0.25859216,0.63033407,0.24358000,1.09639724,0.44911094,0.00708213,0.91094364
-5.94597299,1.86028186,0.00493230,0.24145375,0.58621448,0.22590059,1.02878243,0.41581080,0.00629758,0.84777241
-5.93996998,1.73241596,0.00452785,0.22571976,0.54629642,0.21043416,0.96620874,0.38506016,0.00558472,0.79092628
-5.93396698,1.61878859,0.00415689,0.21159608,0.51096115,0.19732877,0.90946090,0.35721950,0.00494631,0.74095650
-5.92796398,1.52044028,0.00382302,0.19924852,0.48049165,0.18669370,0.85914506,0.33258436,0.00438370,0.69827333
-5.92196098,1.43810054,0.00352889,0.18880178,0.45507144,0.17859992,0.81568494,0.31138325,0.00389706,0.66314613
-5.91595798,1.37219535,0.00327615,0.18033975,0.43478673,0.17308162,0.77932484,0.29377789,0.00348556,0.63570790
-5.90995498,1.32286381,0.00306550,0.17390723,0.41963153,0.17013850,0.75013873,0.27986569,0.00314753,0.61596397
-5.90395198,1.28998261,0.00289680,0.16951272,0.40951531,0.16973880,0.72804478,0.26968400,0.00288072,0.60380409
-5.89794897,1.27319663,0.00276911,0.16713223,0.40427281,0.17182273,0.71282424,0.26321592,0.00268243,0.59901716
-5.89194597,1.27195405,0.00268082,0.16671368,0.40367548,0.17630636,0.70414377,0.26039716,0.00254968,0.60130785
-5.88594297,1.28554408,0.00262973,0.16818183,0.40744390,0.18308558,0.70157984,0.26112358,0.00247934,0.61031428
-5.87993997,1.31313563,0.00261317,0.17144348,0.41526088,0.19204019,0.70464428,0.26525917,0.00246821,0.62562601
-5.87393697,1.35381531,0.00262813,0.17639254,0.42678448,0.20303786,0.71280958,0.27264374,0.00251311,0.64680154
-5.86793397,1.40662307,0.00267133,0.18291500,0.44166069,0.21593787,0.72553314,0.28310037,0.00261091,0.67338465
-5.86193097,1.47058439,0.00273935,0.19089337,0.45953515,0.23059456,0.74227922,0.29644207,0.00275851,0.70491898
-5.85592796,1.54473765,0.00282873,0.20021057,0.48006371,0.24686027,0.76253805,0.31247743,0.00295289,0.74096042
-5.84992496,1.62815589,0.00293601,0.21075305,0.50292141,0.26458786,0.78584114,0.33101510,0.00319100,0.78108676
-5.84392196,1.71996237,0.00305788,0.22241301,0.52780957,0.28363259,0.81177250,0.35186701,0.00346975,0.82490453
-5.83791896,1.81933962,0.00319114,0.23508979,0.55446102,0.30385347,0.83997548,0.37485013,0.00378594,0.87205281
