energy_ev,total_up,As_p_up,As_d_up,Hf_p_up,Hf_d_up,Te_p_up,Te_d_up
-6.00000000,2.02114514,0.60010751,0.00000000,0.71561580,0.77097503,0.90035499,0.00000000
-5.99399700,2.15387950,0.63711327,0.00000000,0.74670242,0.82724341,0.96586455,0.00000000
-5.98799400,2.28578537,0.67558968,0.00000000,0.77888728,0.88450580,1.02956417,0.00000000
-5.98199100,2.41465167,0.71490699,0.00000000,0.81152765,0.94187704,1.09041148,0.00000000
-5.97598799,2.53816127,0.75435436,0.00000000,0.84390953,0.99839021,1.14735654,0.00000000
-5.96998499,2.65395622,0.79315890,0.00000000,0.87526958,1.05302158,1.19937125,0.00000000
-5.96398199,2.75970765,0.83050783,0.00000000,0.90481962,1.10471911,1.24547968,0.00000000
-5.95797899,2.85318777,0.86557310,0.00000000,0.93177253,1.15243342,1.28478799,0.00000000
-5.95197599,2.93234089,0.89753746,0.00000000,0.95536872,1.19515016,1.31651263,0.00000000
-5.94597299,2.99535057,0.92562089,0.00000000,0.97490183,1.23192227,1.34000578,0.00000000
-5.93996998,3.04070006,0.94910651,0.00000000,0.98974299,1.26190102,1.35477666,0.00000000
-5.93396698,3.06722330,0.96736462,0.00000000,0.99936220,1.28436435,1.36050794,0.00000000
-5.92796398,3.07414429,0.97987407,0.00000000,1.00334634,1.29874129,1.35706646,0.00000000
-5.92196098,3.06110316,0.98623984,0.00000000,1.00141278,1.30463133,1.34450763,0.00000000
-5.91595798,3.02816784,0.98620620,0.00000000,0.99341832,1.30181803,1.32307358,0.00000000
-5.90995498,2.97583080,0.97966486,0.00000000,0.97936293,1.29027600,1.29318497,0.00000000
-5.90395198,2.90499125,0.96665772,0.00000000,0.95938835,1.27017124,1.25542686,0.00000000
-5.89794897,2.81692378,0.94737428,0.00000000,0.93377171,1.24185469,1.21052952,0.00000000
-5.89194597,2.71323478,0.92214375,0.00000000,0.90291454,1.20584935,1.15934480,0.00000000
-5.88594297,2.59580909,0.89142242,0.00000000,0.86732769,1.16283175,1.10281940,0.00000000
-5.87993997,2.46674909,0.85577694,0.00000000,0.82761306,1.11360855,1.04196606,0.00000000
-5.87393697,2.32830904,0.81586419,0.00000000,0.78444296,1.05908942,0.97783397,0.00000000
-5.86793397,2.18282773,0.77240895,0.00000000,0.73853805,1.00025748,0.91147967,0.00000000
-5.86193097,2.03266192,0.72618020,0.00000000,0.69064478,0.93813867,0.84393945,0.00000000
-5.85592796,1.88012349,0.67796717,0.00000000,0.64151346,0.87377121,0.77620440,0.00000000
-5.84992496,1.72742241,0.62855619,0.00000000,0.59187757,0.80817658,0.70919883,0.00000000
-5.84392196,1.57661740,0.57870917,0.00000000,0.54243531,0.74233289,0.64376262,0.00000000
-5.83791896,1.42957579,0.52914453,0.00000000,0.49383379,0.67715187,0.58063802,0.00000000
-5.83191596,1.28794324,0.48052115,0.00000000,0.44665641,0.61345973,0.52046083,0.00000000
-5.82591296,1.15312374,0.43342576,0.00000000,0.40141354,0.55198275,0.46375608,0.00000000
-5.81990995,1.02626964,0.38836398,0.00000000,0.35853673,0.49333747,0.41093779,0.00000000
-5.81390695,0.90828112,0.34575499,0.00000000,0.31837622,0.43802555,0.36231237,0.00000000
-5.80790395,0.79981388,0.30592967,0.00000000,0.28120149,0.38643302,0.31808520,0.00000000
-5.80190095,0.70129403,0.26913199,0.00000000,0.24720457,0.33883348,0.27836954,0.00000000
-5.79589795,0.61293839,0.23552304,0.00000000,0.21650553,0.29539460,0.24319727,0.00000000
-5.78989495,0.53477875,0.20518735,0.00000000,0.18915975,0.25618728,0.21253060,0.00000000
-5.78389195,0.46668850,0.17814085,0.00000000,0.16516632,0.22119680,0.18627422,0.00000000
-5.77788894,0.40841005,0.15433997,0.00000000,0.14447710,0.19033515,0.16428712,0.00000000
-5.77188594,0.35958184,0.13369124,0.00000000,0.12700596,0.16345393,0.14639374,0.00000000
-5.76588294,0.31976362,0.11606102,0.00000000,0.11263774,0.14035715,0.13239398,0.00000000
-5.75987994,0.28845928,0.10128487,0.00000000,0.10123652,0.12081347,0.12207174,0.00000000
-5.75387694,0.26513658,0.08917618,0.00000000,0.09265302,0.10456746,0.11520186,0.00000000
-5.74787394,0.24924334,0.07953394,0.00000000,0.08673086,0.09134957,0.11155540,0.00000000
-5.74187094,0.24022007,0.07214943,0.00000000,0.08331167,0.08088457,0.11090334,0.00000000
-5.73586793,0.23750920,0.06681168,0.00000000,0.08223886,0.07289860,0.11301875,0.00000000
-5.72986493,0.24056104,0.06331188,0.00000000,0.08336032,0.06712451,0.11767765,0.00000000
-5.72386193,0.24883716,0.06144670,0.00000000,0.08653001,0.06330597,0.12465898,0.00000000
-5.71785893,0.26181163,0.06102062,0.00000000,0.09160860,0.06120014,0.13374370,0.00000000
-5.71185593,0.27897072,0.06184751,0.00000000,0.09846349,0.06057940,0.14471357,0.00000000
