energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,2.94508242,0.00967502,0.01648313,1.04964808,2.38357200,0.62116290,0.00000000,0.34200979,0.11815020
-5.99399700,2.94781913,0.01021317,0.01662237,1.05883491,2.37435068,0.62583055,0.00000000,0.34865488,0.11920326
-5.98799400,2.95017763,0.01074161,0.01670884,1.06723847,2.36762206,0.62819310,0.00000000,0.35401482,0.11979154
-5.98199100,2.95122456,0.01125370,0.01674018,1.07462877,2.36246533,0.62822400,0.00000000,0.35803551,0.11990819
-5.97598799,2.95013910,0.01174321,0.01671585,1.08083439,2.35799844,0.62596409,0.00000000,0.36069519,0.11955948
-5.96998499,2.94623308,0.01220438,0.01663705,1.08574564,2.35340214,0.62151867,0.00000000,0.36200430,0.11876427
-5.96398199,2.93896651,0.01263216,0.01650669,1.08931548,2.34794177,0.61505250,0.00000000,0.36200428,0.11755312
-5.95797899,2.92795790,0.01302226,0.01632918,1.09155799,2.34098570,0.60678280,0.00000000,0.36076553,0.11596691
-5.95197599,2.91298872,0.01337134,0.01611025,1.09254443,2.33201967,0.59697063,0.00000000,0.35838455,0.11405528
-5.94597299,2.89400179,0.01367708,0.01585671,1.09239707,2.32065620,0.58591098,0.00000000,0.35498045,0.11187465
-5.93996998,2.87109359,0.01393831,0.01557615,1.09128085,2.30663860,0.57392199,0.00000000,0.35069085,0.10948620
-5.93396698,2.84450061,0.01415506,0.01527666,1.08939325,2.28983951,0.56133365,0.00000000,0.34566738,0.10695372
-5.92796398,2.81458043,0.01432861,0.01496651,1.08695281,2.27025394,0.54847653,0.00000000,0.34007096,0.10434137
-5.92196098,2.78178831,0.01446148,0.01465385,1.08418669,2.24798728,0.53567084,0.00000000,0.33406697,0.10171162
-5.91595798,2.74665038,0.01455747,0.01434642,1.08131785,2.22323892,0.52321626,0.00000000,0.32782054,0.09912328
-5.90995498,2.70973471,0.01462159,0.01405132,1.07855244,2.19628255,0.51138293,0.00000000,0.32149205,0.09662979
-5.90395198,2.67162180,0.01466001,0.01377475,1.07606807,2.16744409,0.50040386,0.00000000,0.31523304,0.09427767
-5.89794897,2.63287583,0.01467999,0.01352189,1.07400339,2.13707871,0.49046909,0.00000000,0.30918269,0.09210547
-5.89194597,2.59401828,0.01468978,0.01329673,1.07244981,2.10554818,0.48172161,0.00000000,0.30346488,0.09014294
-5.88594297,2.55550532,0.01469853,0.01310204,1.07144556,2.07319987,0.47425543,0.00000000,0.29818610,0.08841060
-5.87993997,2.51771000,0.01471618,0.01293936,1.07097260,2.04034859,0.46811551,0.00000000,0.29343409,0.08691976
-5.87393697,2.48091036,0.01475330,0.01280902,1.07095664,2.00726226,0.46329970,0.00000000,0.28927727,0.08567282
-5.86793397,2.44528378,0.01482098,0.01271029,1.07127029,1.97415217,0.45976252,0.00000000,0.28576503,0.08466394
-5.86193097,2.41090802,0.01493068,0.01264147,1.07173918,1.94116829,0.45742049,0.00000000,0.28292871,0.08388005
-5.85592796,2.37776850,0.01509404,0.01260010,1.07215094,1.90839964,0.45615872,0.00000000,0.28078320,0.08330202
-5.84992496,2.34577137,0.01532269,0.01258314,1.07226651,1.87587956,0.45583855,0.00000000,0.27932903,0.08290604
-5.84392196,2.31476129,0.01562804,0.01258722,1.07183313,1.84359533,0.45630562,0.00000000,0.27855483,0.08266515
-5.83791896,2.28454273,0.01602102,0.01260881,1.07059854,1.81150121,0.45739815,0.00000000,0.27843982,0.08255071
-5.83191596,2.25490332,0.01651178,0.01264447,1.06832536,1.77953398,0.45895495,0.00000000,0.27895639,0.08253385
-5.82591296,2.22563765,0.01710940,0.01269099,1.06480505,1.74762965,0.46082270,0.00000000,0.28007237,0.08258685
-5.81990995,2.19656990,0.01782155,0.01274558,1.05987071,1.71574022,0.46286224,0.00000000,0.28175296,0.08268420
-5.81390695,2.16757396,0.01865409,0.01280594,1.05340778,1.68384926,0.46495358,0.00000000,0.28396213,0.08280358
-5.80790395,2.13858968,0.01961072,0.01287037,1.04536237,1.65198512,0.46699933,0.00000000,0.28666354,0.08292642
-5.80190095,2.10963434,0.02069263,0.01293774,1.03574664,1.62023113,0.46892661,0.00000000,0.28982074,0.08303827
-5.79589795,2.08080876,0.02189815,0.01300752,1.02464097,1.58873184,0.47068732,0.00000000,0.29339691,0.08312879
-5.78989495,2.05229781,0.02322247,0.01307966,1.01219302,1.55769526,0.47225689,0.00000000,0.29735411,0.08319158
-5.78389195,2.02436554,0.02465744,0.01315454,0.99861357,1.52739082,0.47363180,0.00000000,0.30165213,0.08322362
-5.77788894,1.99734545,0.02619145,0.01323282,0.98416987,1.49814342,0.47482601,0.00000000,0.30624730,0.08322467
-5.77188594,1.97162677,0.02780947,0.01331529,0.96917646,1.47032394,0.47586673,0.00000000,0.31109120,0.08319648
-5.76588294,1.94763783,0.02949319,0.01340276,0.95398457,1.44433706,0.47678997,0.00000000,0.31612973,0.08314193
-5.75987994,1.92582775,0.03122130,0.01349590,0.93897032,1.42060704,0.47763601,0.00000000,0.32130256,0.08306421
-5.75387694,1.90664762,0.03297003,0.01359514,0.92452266,1.39956240,0.47844541,0.00000000,0.32654318,0.08296611
-5.74787394,1.89053253,0.03471366,0.01370057,0.91103153,1.38162052,0.47925574,0.00000000,0.33177972,0.08284939
-5.74187094,1.87788528,0.03642539,0.01381191,0.89887697,1.36717279,0.48009921,0.00000000,0.33693650,0.08271434
-5.73586793,1.86906273,0.03807808,0.01392844,0.88841935,1.35657119,0.48100144,0.00000000,0.34193638,0.08255962
-5.72986493,1.86436541,0.03964531,0.01404906,0.87999142,1.35011675,0.48198141,0.00000000,0.34670378,0.08238224
-5.72386193,1.86403043,0.04110230,0.01417233,0.87389198,1.34805035,0.48305247,0.00000000,0.35116825,0.08217778
-5.71785893,1.86822799,0.04242689,0.01429655,0.87038148,1.35054599,0.48422433,0.00000000,0.35526840,0.08194085
-5.71185593,1.87706101,0.04360048,0.01441984,0.86967934,1.35770669,0.48550579,0.00000000,0.35895582,0.08166564
-5.70585293,1.89056757,0.04460883,0.01454030,0.87196274,1.36956275,0.48690790,0.00000000,0.36219884,0.08134664
-5.69984992,1.90872549,0.04544271,0.01465613,0.87736678,1.38607229,0.48844735,0.00000000,0.36498579,0.08097937
-5.69384692,1.93145845,0.04609837,0.01476573,0.88598547,1.40712373,0.49014960,0.00000000,0.36732739,0.08056118
-5.68784392,1.95864287,0.04657771,0.01486783,0.89787341,1.43253987,0.49205158,0.00000000,0.36925819,0.08009189
-5.68184092,1.99011512,0.04688831,0.01496157,0.91304773,1.46208325,0.49420370,0.00000000,0.37083672,0.07957447
-5.67583792,2.02567826,0.04704307,0.01504659,0.93149012,1.49546252,0.49667088,0.00000000,0.37214436,0.07901542
-5.66983492,2.06510818,0.04705970,0.01512309,0.95314869,1.53233943,0.49953256,0.00000000,0.37328275,0.07842512
-5.66383192,2.10815880,0.04695988,0.01519177,0.97793958,1.57233640,0.50288160,0.00000000,0.37437000,0.07781789
-5.65782891,2.15456610,0.04676831,0.01525388,1.00574834,1.61504429,0.50682212,0.00000000,0.37553566,0.07721189
-5.65182591,2.20405123,0.04651150,0.01531116,1.03643095,1.66003044,0.51146640,0.00000000,0.37691474,0.07662887
-5.64582291,2.25632270,0.04621654,0.01536575,1.06981476,1.70684668,0.51693098,0.00000000,0.37864114,0.07609364
-5.63981991,2.31107787,0.04590979,0.01542010,1.10569929,1.75503727,0.52333220,0.00000000,0.38084069,0.07563353
-5.63381691,2.36800394,0.04561560,0.01547689,1.14385723,1.80414672,0.53078144,0.00000000,0.38362430,0.07527761
-5.62781391,2.42677874,0.04535515,0.01553888,1.18403555,1.85372724,0.53938026,0.00000000,0.38708151,0.07505588
-5.62181091,2.48707147,0.04514539,0.01560881,1.22595704,1.90334581,0.54921576,0.00000000,0.39127484,0.07499837
-5.61580790,2.54854351,0.04499823,0.01568926,1.26932215,1.95259056,0.56035632,0.00000000,0.39623517,0.07513428
-5.60980490,2.61084939,0.04491996,0.01578255,1.31381145,2.00107640,0.57284787,0.00000000,0.40195858,0.07549099
-5.60380190,2.67363803,0.04491096,0.01589064,1.35908832,2.04844968,0.58671099,0.00000000,0.40840464,0.07609326
-5.59779890,2.73655401,0.04496567,0.01601500,1.40480221,2.09439174,0.60193864,0.00000000,0.41549637,0.07696233
-5.59179590,2.79923907,0.04507289,0.01615655,1.45059209,2.13862117,0.61849486,0.00000000,0.42312181,0.07811518
-5.58579290,2.86133352,0.04521634,0.01631561,1.49609012,2.18089490,0.63631418,0.00000000,0.43113727,0.07956379
-5.57978989,2.92247759,0.04537544,0.01649181,1.54092537,2.22100785,0.65530182,0.00000000,0.43937184,0.08131456
-5.57378689,2.98231272,0.04552634,0.01668408,1.58472747,2.25879150,0.67533456,0.00000000,0.44763329,0.08336778
-5.56778389,3.04048262,0.04564308,0.01689065,1.62713020,2.29411132,0.69626223,0.00000000,0.45571466,0.08571724
