energy_ev,total_up,Ag_p_up,Ag_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
-6.00000000,4.79959750,0.34283908,4.34409612,0.21641951,0.00318360,0.01630102,0.09536737
-5.99399700,4.85004884,0.34716635,4.39293941,0.21689197,0.00320308,0.01650651,0.09684912
-5.98799400,4.89968509,0.35141681,4.44093368,0.21735540,0.00322378,0.01671832,0.09847170
-5.98199100,4.94863813,0.35553104,4.48825958,0.21778675,0.00324594,0.01693304,0.10022547
-5.97598799,4.99715635,0.35945497,4.53520564,0.21816641,0.00326990,0.01714754,0.10210186
-5.96998499,5.04559544,0.36314122,4.58215802,0.21847908,0.00329606,0.01735907,0.10409351
-5.96398199,5.09440340,0.36655031,4.62958492,0.21871440,0.00332489,0.01756533,0.10619449
-5.95797899,5.14410020,0.36965150,4.67801602,0.21886746,0.00335691,0.01776445,0.10840033
-5.95197599,5.19525270,0.37242333,4.72801760,0.21893902,0.00339262,0.01795511,0.11070803
-5.94597299,5.24844569,0.37485392,4.78016420,0.21893550,0.00343253,0.01813648,0.11311600
-5.93996998,5.30425034,0.37694092,4.83500805,0.21886874,0.00347708,0.01830830,0.11562387
-5.93396698,5.36319147,0.37869125,4.89304756,0.21875554,0.00352667,0.01847084,0.11823222
-5.92796398,5.42571502,0.38012061,4.95469639,0.21861694,0.00358156,0.01862489,0.12094224
-5.92196098,5.49215751,0.38125284,5.02025454,0.21847739,0.00364192,0.01877177,0.12375533
-5.91595798,5.56271882,0.38211908,5.08988287,0.21836373,0.00370774,0.01891323,0.12667263
-5.90995498,5.63743973,0.38275692,5.16358242,0.21830409,0.00377888,0.01905149,0.12969453
-5.90395198,5.71618543,0.38320939,5.24117959,0.21832676,0.00385503,0.01918912,0.13282021
-5.89794897,5.79863579,0.38352389,5.32231799,0.21845900,0.00393570,0.01932905,0.13604714
-5.89194597,5.88428298,0.38375107,5.40645740,0.21872596,0.00402025,0.01947447,0.13937064
-5.88594297,5.97243656,0.38394365,5.49288010,0.21914960,0.00410788,0.01962879,0.14278355
