energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,3.42489305,0.00810317,0.26302906,0.68624869,0.54607211,1.89766861,1.95429395,0.88982640,0.00000000
-5.99399700,3.54279857,0.00857692,0.26730210,0.69601512,0.56339098,1.94509529,2.03066617,0.92173215,0.00000000
-5.98799400,3.66517731,0.00905966,0.27160766,0.70702408,0.58124216,1.99580139,2.10960272,0.95553060,0.00000000
-5.98199100,3.79087307,0.00954446,0.27588207,0.71908958,0.59944035,2.04918015,2.19048460,0.99084713,0.00000000
-5.97598799,3.91857125,0.01002367,0.28005332,0.73196250,0.61778253,2.10447743,2.27262110,1.02723659,0.00000000
-5.96998499,4.04682511,0.01048907,0.28404393,0.74533722,0.63604984,2.16080976,2.35526356,1.06419165,0.00000000
-5.96398199,4.17408906,0.01093209,0.28777430,0.75886084,0.65401044,2.21718930,2.43762222,1.10115411,0.00000000
-5.95797899,4.29875792,0.01134398,0.29116660,0.77214461,0.67142342,2.27255504,2.51888519,1.13752895,0.00000000
-5.95197599,4.41921087,0.01171613,0.29414889,0.78477712,0.68804347,2.32580902,2.59823901,1.17270045,0.00000000
-5.94597299,4.53385809,0.01204028,0.29665942,0.79633884,0.70362645,2.37585627,2.67488989,1.20604997,0.00000000
-5.93996998,4.64118856,0.01230883,0.29865083,0.80641717,0.71793544,2.42164669,2.74808473,1.23697456,0.00000000
-5.93396698,4.73981663,0.01251505,0.30009410,0.81462166,0.73074714,2.46221705,2.81713107,1.26490570,0.00000000
-5.92796398,4.82852555,0.01265335,0.30098207,0.82059845,0.74185825,2.49673124,2.88141510,1.28932728,0.00000000
-5.92196098,4.90630598,0.01271945,0.30133225,0.82404365,0.75109173,2.52451667,2.94041697,1.30979214,0.00000000
-5.91595798,4.97238770,0.01271056,0.30118882,0.82471466,0.75830235,2.54509521,2.99372291,1.32593637,0.00000000
-5.90995498,5.02626326,0.01262546,0.30062374,0.82243940,0.76338155,2.55820681,3.04103356,1.33749072,0.00000000
-5.90395198,5.06770234,0.01246458,0.29973667,0.81712263,0.76626107,2.56382472,3.08216849,1.34428865,0.00000000
-5.89794897,5.09675644,0.01222996,0.29865391,0.80874947,0.76691539,2.56216125,3.11706671,1.34627071,0.00000000
-5.89194597,5.11375371,0.01192521,0.29752605,0.79738567,0.76536271,2.55366369,3.14578348,1.34348500,0.00000000
-5.88594297,5.11928418,0.01155536,0.29652466,0.78317497,0.76166439,2.53900032,3.16848367,1.33608377,0.00000000
-5.87993997,5.11417631,0.01112674,0.29583782,0.76633347,0.75592292,2.51903704,3.18543217,1.32431640,0.00000000
-5.87393697,5.09946581,0.01064671,0.29566488,0.74714142,0.74827851,2.49480554,3.19698185,1.30851911,0.00000000
