energy_ev,total_up,N_s_up,N_p_up,Na_s_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,0.58932589,0.00248445,0.10099879,0.08626628,0.00368341,0.24764225,0.22086091,0.14802231
-5.99399700,0.55035250,0.00224759,0.09122019,0.07566849,0.00319051,0.23479052,0.20040885,0.13878541
-5.98799400,0.52167951,0.00203624,0.08394546,0.06631958,0.00275256,0.22552913,0.18478757,0.13244507
-5.98199100,0.50300394,0.00184990,0.07914780,0.05820752,0.00236814,0.21969997,0.17388017,0.12895235
-5.97598799,0.49396417,0.00168760,0.07679670,0.05130611,0.00203533,0.21711441,0.16755824,0.12824521
-5.96998499,0.49415567,0.00154799,0.07686053,0.04557763,0.00175184,0.21755992,0.16568735,0.13025222
-5.96398199,0.50314357,0.00142937,0.07930782,0.04097541,0.00151520,0.22080616,0.16813050,0.13489514
-5.95797899,0.52047177,0.00132982,0.08410719,0.03744611,0.00132286,0.22661037,0.17474932,0.14209030
-5.95197599,0.54566846,0.00124724,0.09122603,0.03493168,0.00117235,0.23472196,0.18540323,0.15174874
-5.94597299,0.57824834,0.00117942,0.10062805,0.03337101,0.00106138,0.24488623,0.19994667,0.16377526
-5.93996998,0.61771180,0.00112415,0.11226993,0.03270120,0.00098799,0.25684726,0.21822477,0.17806658
-5.93396698,0.66354170,0.00107923,0.12609733,0.03285836,0.00095058,0.27035006,0.24006788,0.19450874
-5.92796398,0.71519848,0.00104256,0.14204057,0.03377828,0.00094802,0.28514198,0.26528530,0.21297415
-5.92196098,0.77211437,0.00101216,0.16001031,0.03539663,0.00097971,0.30097378,0.29365904,0.23331854
-5.91595798,0.83368768,0.00098622,0.17989362,0.03764910,0.00104561,0.31760013,0.32493783,0.25537805
-5.90995498,0.89927797,0.00096314,0.20155078,0.04047132,0.00114626,0.33478012,0.35883224,0.27896706
-5.90395198,0.96820307,0.00094150,0.22481309,0.04379881,0.00128281,0.35227768,0.39501123,0.30387671
-5.89794897,1.03973855,0.00092012,0.24948205,0.04756693,0.00145701,0.36986222,0.43310075,0.32987475
-5.89194597,1.11312046,0.00089806,0.27533011,0.05171084,0.00167119,0.38730945,0.47268459,0.35670662
-5.88594297,1.18755141,0.00087455,0.30210301,0.05616568,0.00192820,0.40440271,0.51330788,0.38409807
-5.87993997,1.26221045,0.00084909,0.32952394,0.06086689,0.00223137,0.42093459,0.55448317,0.41175934
-5.87393697,1.33626634,0.00082134,0.35729925,0.06575063,0.00258439,0.43670911,0.59569914,0.43939069
-5.86793397,1.40889407,0.00079115,0.38512565,0.07075443,0.00299125,0.45154415,0.63643159,0.46668937
-5.86193097,1.47929369,0.00075852,0.41269857,0.07581789,0.00345603,0.46527418,0.67615636,0.49335742
-5.85592796,1.54671067,0.00072361,0.43972125,0.08088352,0.00398278,0.47775313,0.71436355,0.51911023
-5.84992496,1.61045671,0.00068667,0.46591413,0.08589752,0.00457530,0.48885716,0.75057246,0.54368521
-5.84392196,1.66992963,0.00064804,0.49102400,0.09081060,0.00523694,0.49848723,0.78434622,0.56685018
-5.83791896,1.72463128,0.00060814,0.51483237,0.09557866,0.00597033,0.50657111,0.81530569,0.58841092
-5.83191596,1.77418196,0.00056743,0.53716253,0.10016329,0.00677718,0.51306489,0.84314137,0.60821738
-5.82591296,1.81833062,0.00052639,0.55788477,0.10453207,0.00765796,0.51795357,0.86762298,0.62616817
-5.81990995,1.85695969,0.00048551,0.57691953,0.10865873,0.00861170,0.52125086,0.88860582,0.64221284
-5.81390695,1.89008421,0.00044528,0.59423797,0.11252294,0.00963576,0.52299801,0.90603359,0.65635195
-5.80790395,1.91784510,0.00040619,0.60986008,0.11610997,0.01072561,0.52326173,0.91993747,0.66863452
-5.80190095,1.94049669,0.00036866,0.62385024,0.11941016,0.01187473,0.52213136,0.93043134,0.67915326
-5.79589795,1.95838928,0.00033314,0.63631047,0.12241825,0.01307451,0.51971542,0.93770347,0.68803759
-5.78989495,1.97194785,0.00030002,0.64737184,0.12513263,0.01431429,0.51613770,0.94200515,0.69544488
-5.78389195,1.98164804,0.00026968,0.65718438,0.12755469,0.01558141,0.51153333,0.94363695,0.70155055
-5.77788894,1.98799126,0.00024248,0.66590635,0.12968818,0.01686145,0.50604502,0.94293346,0.70653748
-5.77188594,1.99148051,0.00021880,0.67369344,0.13153886,0.01813850,0.49981973,0.94024751,0.71058553
-5.76588294,1.99259867,0.00019901,0.68068866,0.13311433,0.01939557,0.49300618,0.93593489,0.71386191
-5.75987994,1.99179093,0.00018352,0.68701369,0.13442418,0.02061511,0.48575334,0.93034060,0.71651286
-5.75387694,1.98945257,0.00017278,0.69276226,0.13548048,0.02177952,0.47821000,0.92378753,0.71865749
-5.74787394,1.98592323,0.00016733,0.69799610,0.13629854,0.02287185,0.47052566,0.91656836,0.72038407
-5.74187094,1.98148812,0.00016778,0.70274376,0.13689797,0.02387644,0.46285255,0.90894117,0.72174903
-5.73586793,1.97638612,0.00017487,0.70700254,0.13730391,0.02477962,0.45534865,0.90112918,0.72277890
-5.72986493,1.97082453,0.00018946,0.71074335,0.13754839,0.02557036,0.44818158,0.89332441,0.72347493
-5.72386193,1.96499902,0.00021257,0.71391829,0.13767158,0.02624091,0.44153294,0.88569529,0.72382018
-5.71785893,1.95911774,0.00024539,0.71647039,0.13772304,0.02678730,0.43560272,0.87839731,0.72378849
-5.71185593,1.95342741,0.00028931,0.71834505,0.13776247,0.02720978,0.43061329,0.87158619,0.72335480
-5.70585293,1.94823945,0.00034587,0.71950210,0.13786016,0.02751309,0.42681259,0.86543241,0.72250587
-5.69984992,1.94395380,0.00041686,0.71992791,0.13809685,0.02770657,0.42447599,0.86013600,0.72125080
-5.69384692,1.94107845,0.00050419,0.71964647,0.13856290,0.02780410,0.42390639,0.85594046,0.71963037
-5.68784392,1.94024238,0.00061000,0.71872874,0.13935677,0.02782384,0.42543231,0.85314450,0.71772443
-5.68184092,1.94220049,0.00073652,0.71729933,0.14058278,0.02778784,0.42940362,0.85211053,0.71565681
-5.67583792,1.94782921,0.00088613,0.71554013,0.14234814,0.02772136,0.43618487,0.85326904,0.71359712
-5.66983492,1.95811197,0.00106123,0.71369025,0.14475932,0.02765220,0.44614615,0.85711799,0.71175919
-5.66383192,1.97411464,0.00126424,0.71204220,0.14791787,0.02760972,0.45965174,0.86421686,0.71039603
-5.65782891,1.99695140,0.00149748,0.71093428,0.15191598,0.02762387,0.47704681,0.87517509,0.70979150
-5.65182591,2.02774213,0.00176313,0.71073939,0.15683170,0.02772413,0.49864253,0.89063510,0.71024897
-5.64582291,2.06756308,0.00206310,0.71185078,0.16272430,0.02793839,0.52470033,0.91125032,0.71207753
-5.63981991,2.11739311,0.00239896,0.71466538,0.16962986,0.02829186,0.55541576,0.93765901,0.71557657
-5.63381691,2.17805785,0.00277180,0.71956543,0.17755737,0.02880606,0.59090285,0.97045484,0.72101939
-5.62781391,2.25017473,0.00318217,0.72689950,0.18648557,0.02949785,0.63117965,1.01015546,0.72863692
-5.62181091,2.33410164,0.00362996,0.73696361,0.19636064,0.03037864,0.67615575,1.05717053,0.73860232
-5.61580790,2.42989216,0.00411427,0.74998365,0.20709515,0.03145373,0.72562249,1.11177061,0.75101751
-5.60980490,2.53725966,0.00463339,0.76609980,0.21856807,0.03272190,0.77924654,1.17405857,0.76590219
-5.60380190,2.65555283,0.00518472,0.78535392,0.23062618,0.03417510,0.83656748,1.24394486,0.78318627
-5.59779890,2.78374409,0.00576469,0.80768047,0.24308677,0.03579854,0.89699959,1.32112818,0.80270591
-5.59179590,2.92043222,0.00636880,0.83290148,0.25574160,0.03757084,0.95983835,1.40508266,0.82420376
-5.58579290,3.06385970,0.00699157,0.86072589,0.26836200,0.03946451,1.02427156,1.49505255,0.84733312
-5.57978989,3.21194460,0.00762667,0.89075335,0.28070500,0.04144664,1.08939494,1.59005511,0.87166618
-5.57378689,3.36232628,0.00826693,0.92248232,0.29252017,0.04347979,1.15423195,1.68889212,0.89670584
-5.56778389,3.51242348,0.00890447,0.95532224,0.30355705,0.04552297,1.21775728,1.79016985,0.92190065
-5.56178089,3.65950277,0.00953086,0.98860927,0.31357271,0.04753292,1.27892323,1.89232730,0.94666218
-5.55577789,3.80075487,0.01013728,1.02162495,0.32233929,0.04946530,1.33668816,1.99367192,0.97038414
-5.54977489,3.93337613,0.01071474,1.05361709,0.32965115,0.05127607,1.39004611,2.09242165,0.99246229
-5.54377189,4.05465187,0.01125425,1.08382205,0.33533132,0.05292282,1.43805627,2.18675205,1.01231447
-5.53776888,4.16203865,0.01174711,1.11148753,0.33923703,0.05436604,1.47987154,2.27484679,1.02939973
-5.53176588,4.25324210,0.01218510,1.13589507,0.34126408,0.05557032,1.51476469,2.35494963,1.04323597
-5.52576288,4.32628746,0.01256072,1.15638139,0.34134987,0.05650543,1.54215148,2.42541607,1.05341533
-5.51975988,4.37958013,0.01286741,1.17235784,0.33947510,0.05714717,1.56160945,2.48476258,1.05961679
-5.51375688,4.41195387,0.01309976,1.18332729,0.33566386,0.05747810,1.57289180,2.53171160,1.06161552
-5.50775388,4.42270504,0.01325362,1.18889782,0.32998239,0.05748796,1.57593574,2.56523036,1.05928884
-5.50175088,4.41161142,0.01332632,1.18879300,0.32253641,0.05717389,1.57086481,2.58456221,1.05261850
-5.49574787,4.37893525,0.01331667,1.18285826,0.31346731,0.05654038,1.55798515,2.58924900,1.04168940
-5.48974487,4.32541037,0.01322506,1.17106335,0.30294717,0.05559904,1.53777563,2.57914378,1.02668483
-5.48374187,4.25221410,0.01305342,1.15350096,0.29117313,0.05436803,1.51087241,2.55441329,1.00787868
-5.47773887,4.16092511,0.01280521,1.13038146,0.27836102,0.05287140,1.47804819,2.51553009,0.98562471
-5.47173587,4.05346899,0.01248526,1.10202436,0.26473881,0.05113823,1.44018714,2.46325497,0.96034364
-5.46573287,3.93205373,0.01209970,1.06884663,0.25053995,0.04920157,1.39825630,2.39861014,0.93250839
-5.45972986,3.79909757,0.01165571,1.03134849,0.23599682,0.04709736,1.35327464,2.32284459,0.90262811
-5.45372686,3.65715210,0.01116138,0.99009733,0.22133474,0.04486332,1.30628080,2.23739296,0.87123159
-5.44772386,3.50882341,0.01062544,0.94571023,0.20676638,0.04253776,1.25830084,2.14382977,0.83885065
-5.44172086,3.35669432,0.01005701,0.89883584,0.19248710,0.04015849,1.21031719,2.04382075,0.80600405
-5.43571786,3.20325041,0.00946540,0.85013626,0.17867095,0.03776179,1.16323985,1.93907334,0.77318250
-5.42971486,3.05081254,0.00885982,0.80026946,0.16546781,0.03538150,1.11788102,1.83128819,0.74083523
-5.42371186,2.90147806,0.00824919,0.74987293,0.15300130,0.03304822,1.07493404,1.72211352,0.70935861
-5.41770885,2.75707272,0.00764190,0.69954893,0.14136778,0.03078873,1.03495725,1.61310383,0.67908700
-5.41170585,2.61911449,0.00704567,0.64985191,0.13063622,0.02862554,0.99836338,1.50568447,0.65028633
