energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,2.35467003,0.00707429,0.25871888,1.16614600,0.34631566,0.95491767,0.64787540,0.00421726,0.99135432
-5.99399700,2.45078798,0.00724696,0.27378016,1.21361641,0.36013079,0.98449392,0.68155948,0.00449539,1.02347252
-5.98799400,2.55147896,0.00740451,0.28964572,1.26376668,0.37458227,1.01586741,0.71661998,0.00480681,1.05726063
-5.98199100,2.65601771,0.00754368,0.30623840,1.31626206,0.38957616,1.04887779,0.75276687,0.00515078,1.09249069
-5.97598799,2.76347630,0.00766190,0.32345069,1.37063443,0.40499812,1.08326129,0.78965825,0.00552642,1.12884763
-5.96998499,2.87273613,0.00775730,0.34114490,1.42628666,0.42071441,1.11865272,0.82690545,0.00593268,1.16593322
-5.96398199,2.98250750,0.00782883,0.35915436,1.48250226,0.43657340,1.15459151,0.86408005,0.00636836,1.20327342
-5.95797899,3.09135624,0.00787621,0.37728569,1.53846007,0.45240778,1.19053186,0.90072259,0.00683205,1.24032894
-5.95197599,3.19773672,0.00789992,0.39532220,1.59325366,0.46803731,1.22585655,0.93635275,0.00732214,1.27650857
-5.94597299,3.30002983,0.00790116,0.41302814,1.64591485,0.48327204,1.25989404,0.97048060,0.00783675,1.31118490
-5.93996998,3.39658497,0.00788175,0.43015386,1.69544043,0.49791598,1.29193815,1.00261867,0.00837370,1.34371179
-5.93396698,3.48576420,0.00784401,0.44644176,1.74082139,0.51177099,1.32126969,1.03229436,0.00893047,1.37344299
-5.92796398,3.56598735,0.00779062,0.46163271,1.78107330,0.52464087,1.34717922,1.05906229,0.00950410,1.39975113
-5.92196098,3.63577634,0.00772451,0.47547282,1.81526704,0.53633559,1.36899005,1.08251619,0.01009122,1.42204665
-5.91595798,3.69379724,0.00764867,0.48772039,1.84255852,0.54667533,1.38608076,1.10229996,0.01068794,1.43979568
-5.90995498,3.73889884,0.00756599,0.49815274,1.86221642,0.55549450,1.39790620,1.11811756,0.01128986,1.45253658
-5.90395198,3.77014628,0.00747919,0.50657274,1.87364683,0.56264539,1.40401642,1.12974134,0.01189208,1.45989440
-5.89794897,3.78684901,0.00739061,0.51281469,1.87641398,0.56800161,1.40407266,1.13701873,0.01248917,1.46159297
-5.89194597,3.78858215,0.00730221,0.51674962,1.87025621,0.57146103,1.39785993,1.13987700,0.01307525,1.45746416
-5.88594297,3.77520071,0.00721543,0.51828949,1.85509674,0.57294824,1.38529572,1.13832592,0.01364411,1.44745421
-5.87993997,3.74684664,0.00713122,0.51739038,1.83104874,0.57241662,1.36643446,1.13245852,0.01418926,1.43162692
-5.87393697,3.70394840,0.00705000,0.51405452,1.79841472,0.56984970,1.34146776,1.12244968,0.01470415,1.41016380
-5.86793397,3.64721347,0.00697176,0.50833097,1.75768031,0.56526211,1.31072043,1.10855284,0.01518233,1.38336123
-5.86193097,3.57761422,0.00689608,0.50031509,1.70950267,0.55869983,1.27464234,1.09109487,0.01561767,1.35162479
-5.85592796,3.49636758,0.00682223,0.49014667,1.65469415,0.55023992,1.23379671,1.07046926,0.01600461,1.31546119
-5.84992496,3.40490935,0.00674936,0.47800695,1.59420181,0.53998966,1.18884515,1.04712786,0.01633840,1.27546782
-5.84392196,3.30486396,0.00667656,0.46411442,1.52908366,0.52808509,1.14053003,1.02157142,0.01661536,1.23232066
-5.83791896,3.19801044,0.00660304,0.44871977,1.46048241,0.51468901,1.08965493,0.99433914,0.01683310,1.18676056
-5.83191596,3.08624569,0.00652826,0.43209994,1.38959779,0.49998847,1.03706380,0.96599743,0.01699073,1.13957854
-5.82591296,2.97154574,0.00645209,0.41455162,1.31765826,0.48419168,0.98361956,0.93712831,0.01708899,1.09160028
-5.81990995,2.85592597,0.00637487,0.39638425,1.24589304,0.46752454,0.93018284,0.90831747,0.01713040,1.04367029
-5.81390695,2.74140123,0.00629755,0.37791289,1.17550526,0.45022673,0.87759140,0.88014250,0.01711926,0.99663590
-5.80790395,2.62994641,0.00622171,0.35945098,1.10764694,0.43254739,0.82664101,0.85316127,0.01706161,0.95133158
-5.80190095,2.52345842,0.00614959,0.34130334,1.04339630,0.41474063,0.77806808,0.82790095,0.01696513,0.90856355
-5.79589795,2.42372020,0.00608413,0.32375955,0.98373803,0.39706079,0.73253456,0.80484770,0.01683892,0.86909513
-5.78989495,2.33236732,0.00602882,0.30708777,0.92954654,0.37975765,0.69061535,0.78443736,0.01669320,0.83363294
-5.78389195,2.25085794,0.00598770,0.29152936,0.88157271,0.36307163,0.65278842,0.76704731,0.01653903,0.80281413
-5.77788894,2.18044650,0.00596520,0.27729422,0.84043395,0.34722924,0.61942785,0.75298962,0.01638783,0.77719480
-5.77188594,2.12216180,0.00596602,0.26455714,0.80660767,0.33243864,0.59079963,0.74250573,0.01625098,0.75723986
-5.76588294,2.07678984,0.00599491,0.25345508,0.78042802,0.31888580,0.56706035,0.73576279,0.01613931,0.74331451
-5.75987994,2.04486184,0.00605652,0.24408552,0.76208574,0.30673101,0.54825856,0.73285168,0.01606269,0.73567737
-5.75387694,2.02664781,0.00615517,0.23650588,0.75163091,0.29610610,0.53433864,0.73378681,0.01602953,0.73447571
-5.74787394,2.02215580,0.00629469,0.23073402,0.74897832,0.28711233,0.52514700,0.73850781,0.01604638,0.73974274
-5.74187094,2.03113697,0.00647816,0.22674973,0.75391523,0.27981905,0.52044038,0.74688289,0.01611761,0.75139721
-5.73586793,2.05309658,0.00670776,0.22449719,0.76611122,0.27426321,0.51989579,0.75871395,0.01624513,0.76924540
-5.72986493,2.08731044,0.00698463,0.22388824,0.78512984,0.27044963,0.52312206,0.77374333,0.01642821,0.79298560
-5.72386193,2.13284670,0.00730866,0.22480642,0.81044165,0.26835213,0.52967242,0.79166179,0.01666343,0.82221511
-5.71785893,2.18859240,0.00767844,0.22711155,0.84143850,0.26791542,0.53905782,0.81211774,0.01694476,0.85643957
-5.71185593,2.25328382,0.00809119,0.23064465,0.87744854,0.26905755,0.55076073,0.83472729,0.01726367,0.89508457
-5.70585293,2.32554012,0.00854272,0.23523312,0.91775168,0.27167313,0.56424888,0.85908480,0.01760943,0.93750920
-5.69984992,2.40389891,0.00902745,0.24069593,0.96159508,0.27563680,0.57898865,0.88477365,0.01796951,0.98302126
-5.69384692,2.48685276,0.00953850,0.24684856,1.00820839,0.28080719,0.59445779,0.91137680,0.01832996,1.03089359
-5.68784392,2.57288541,0.01006781,0.25350766,1.05681830,0.28703084,0.61015700,0.93848679,0.01867599,1.08038104
-5.68184092,2.66050648,0.01060627,0.26049514,1.10666202,0.29414636,0.62562022,0.96571483,0.01899253,1.13073760
-5.67583792,2.74828356,0.01114398,0.26764164,1.15699956,0.30198823,0.64042323,0.99269877,0.01926475,1.18123293
