energy_ev,total_up,Al_p_up,Al_d_up,S_s_up,S_p_up,Ta_p_up,Ta_d_up
-6.00000000,1.03179969,0.00803011,0.00000000,0.00537347,0.75537885,0.67241158,0.45107892
-5.99399700,0.98475655,0.00736986,0.00000000,0.00518750,0.72366578,0.64339386,0.42967067
-5.98799400,0.94773822,0.00680328,0.00000000,0.00504593,0.69900601,0.62020466,0.41273438
-5.98199100,0.92165164,0.00633196,0.00000000,0.00495134,0.68213466,0.60348964,0.40067291
-5.97598799,0.90723164,0.00595637,0.00000000,0.00490531,0.67365871,0.59379938,0.39380088
-5.96998499,0.90503199,0.00567591,0.00000000,0.00490842,0.67404928,0.59158250,0.39234176
-5.96398199,0.91541923,0.00548905,0.00000000,0.00496024,0.68363600,0.59718028,0.39642655
-5.95797899,0.93856884,0.00539343,0.00000000,0.00505931,0.70260350,0.61082269,0.40609383
-5.95197599,0.97446370,0.00538595,0.00000000,0.00520320,0.73098961,0.63262579,0.42129108
-5.94597299,1.02289470,0.00546287,0.00000000,0.00538853,0.76868537,0.66259038,0.44187705
-5.93996998,1.08346344,0.00561992,0.00000000,0.00561107,0.81543674,0.70060203,0.46762510
-5.93396698,1.15558713,0.00585239,0.00000000,0.00586582,0.87084799,0.74643237,0.49822752
-5.92796398,1.23850572,0.00615522,0.00000000,0.00614711,0.93438687,0.79974177,0.53330074
-5.92196098,1.33129131,0.00652301,0.00000000,0.00644873,1.00539153,0.86008336,0.57239148
-5.91595798,1.43286024,0.00695016,0.00000000,0.00676411,1.08307949,0.92690855,0.61498380
-5.90995498,1.54198764,0.00743083,0.00000000,0.00708642,1.16655847,0.99957395,0.66050719
-5.90395198,1.65732483,0.00795902,0.00000000,0.00740876,1.25483929,1.07734983,0.70834554
-5.89794897,1.77741929,0.00852859,0.00000000,0.00772430,1.34685089,1.15943000,0.75784720
-5.89194597,1.90073723,0.00913322,0.00000000,0.00802646,1.44145713,1.24494308,0.80833572
-5.88594297,2.02568849,0.00976648,0.00000000,0.00830904,1.53747546,1.33296503,0.85912154
-5.87993997,2.15065332,0.01042176,0.00000000,0.00856635,1.63369702,1.42253275,0.90951416
-5.87393697,2.27401061,0.01109230,0.00000000,0.00879333,1.72890787,1.51265860,0.95883464
-5.86793397,2.39416695,0.01177117,0.00000000,0.00898566,1.82191090,1.60234549,1.00642824
-5.86193097,2.50958566,0.01245128,0.00000000,0.00913978,1.91154783,1.69060225,1.05167678
-5.85592796,2.61881529,0.01312534,0.00000000,0.00925300,1.99672084,1.77645902,1.09401040
-5.84992496,2.72051645,0.01378595,0.00000000,0.00932346,2.07641306,1.85898232,1.13291836
-5.84392196,2.81348645,0.01442558,0.00000000,0.00935017,2.14970752,1.93728936,1.16795857
-5.83791896,2.89668083,0.01503662,0.00000000,0.00933295,2.21580378,2.01056141,1.19876552
-5.83191596,2.96923112,0.01561149,0.00000000,0.00927239,2.27403179,2.07805582,1.22505623
-5.82591296,3.03045840,0.01614272,0.00000000,0.00916978,2.32386258,2.13911654,1.24663418
-5.81990995,3.07988201,0.01662307,0.00000000,0.00902703,2.36491530,2.19318276,1.26339088
-5.81390695,3.11722334,0.01704570,0.00000000,0.00884660,2.39696048,2.23979561,1.27530515
-5.80790395,3.14240449,0.01740429,0.00000000,0.00863138,2.41991931,2.27860270,1.28243998
-5.80190095,3.15554188,0.01769328,0.00000000,0.00838462,2.43385895,2.30936047,1.28493714
-5.79589795,3.15693516,0.01790802,0.00000000,0.00810981,2.43898405,2.33193421,1.28300976
-5.78989495,3.14705162,0.01804497,0.00000000,0.00781065,2.43562481,2.34629585,1.27693296
-5.78389195,3.12650682,0.01810191,0.00000000,0.00749090,2.42422182,2.35251953,1.26703302
-5.77788894,3.09604217,0.01807810,0.00000000,0.00715438,2.40530837,2.35077510,1.25367542
-5.77188594,3.05649998,0.01797442,0.00000000,0.00680488,2.37949080,2.34131975,1.23725213
-5.76588294,3.00879723,0.01779351,0.00000000,0.00644611,2.34742749,2.32448794,1.21816863
-5.75987994,2.95389862,0.01753985,0.00000000,0.00608168,2.30980746,2.30068006,1.19683121
-5.75387694,2.89279015,0.01721977,0.00000000,0.00571506,2.26732914,2.27035014,1.17363493
-5.74787394,2.82645383,0.01684148,0.00000000,0.00534956,2.22068026,2.23399291,1.14895266
-5.74187094,2.75584472,0.01641494,0.00000000,0.00498831,2.17051953,2.19213093,1.12312578
-5.73586793,2.68187072,0.01595182,0.00000000,0.00463425,2.11746082,2.14530194,1.09645661
-5.72986493,2.60537603,0.01546525,0.00000000,0.00429011,2.06206043,2.09404717,1.06920308
-5.72386193,2.52712851,0.01496967,0.00000000,0.00395842,2.00480785,2.03890087,1.04157565
-5.71785893,2.44781140,0.01448050,0.00000000,0.00364148,1.94612032,1.98038148,1.01373663
-5.71185593,2.36801938,0.01401388,0.00000000,0.00334139,1.88634134,1.91898476,0.98580171
-5.70585293,2.28825883,0.01358629,0.00000000,0.00305999,1.82574301,1.85517912,0.95784378
-5.69984992,2.20895200,0.01321423,0.00000000,0.00279888,1.76453182,1.78940306,0.92989848
-5.69384692,2.13044455,0.01291377,0.00000000,0.00255943,1.70285769,1.72206494,0.90197142
-5.68784392,2.05301569,0.01270023,0.00000000,0.00234272,1.64082539,1.65354460,0.87404634
-5.68184092,1.97689028,0.01258772,0.00000000,0.00214958,1.57850776,1.58419683,0.84609401
-5.67583792,1.90225181,0.01258880,0.00000000,0.00198057,1.51595992,1.51435612,0.81808118
-5.66983492,1.82925562,0.01271407,0.00000000,0.00183596,1.45323354,1.44434235,0.78997910
-5.66383192,1.75804133,0.01297188,0.00000000,0.00171575,1.39039043,1.37446687,0.76177132
-5.65782891,1.68874388,0.01336798,0.00000000,0.00161965,1.32751473,1.30503853,0.73346014
-5.65182591,1.62150253,0.01390529,0.00000000,0.00154709,1.26472292,1.23636914,0.70507158
-5.64582291,1.55646751,0.01458375,0.00000000,0.00149726,1.20217140,1.16877809,0.67665860
-5.63981991,1.49380409,0.01540013,0.00000000,0.00146906,1.14006104,1.10259571,0.64830252
-5.63381691,1.43369400,0.01634808,0.00000000,0.00146116,1.07863887,1.03816516,0.62011262
-5.62781391,1.37633466,0.01741813,0.00000000,0.00147204,1.01819678,0.97584292,0.59222414
-5.62181091,1.32193630,0.01859792,0.00000000,0.00149996,0.95906758,0.91599769,0.56479482
-5.61580790,1.27071769,0.01987239,0.00000000,0.00154304,0.90161865,0.85900794,0.53800039
-5.60980490,1.22290097,0.02122420,0.00000000,0.00159928,0.84624389,0.80525826,0.51202922
-5.60380190,1.17870610,0.02263418,0.00000000,0.00166661,0.79335432,0.75513476,0.48707670
-5.59779890,1.13834556,0.02408185,0.00000000,0.00174290,0.74336790,0.70901972,0.46333945
-5.59179590,1.10201968,0.02554611,0.00000000,0.00182607,0.69669928,0.66728582,0.44100995
-5.58579290,1.06991291,0.02700584,0.00000000,0.00191407,0.65374976,0.63029010,0.42027159
-5.57978989,1.04219116,0.02844065,0.00000000,0.00200498,0.61489796,0.59836795,0.40129456
-5.57378689,1.01900032,0.02983158,0.00000000,0.00209700,0.58049141,0.57182707,0.38423247
-5.56778389,1.00046561,0.03116176,0.00000000,0.00218854,0.55083935,0.55094174,0.36921991
-5.56178089,0.98669171,0.03241707,0.00000000,0.00227822,0.52620663,0.53594717,0.35637078
-5.55577789,0.97776310,0.03358668,0.00000000,0.00236490,0.50680889,0.52703416,0.34577734
-5.54977489,0.97374441,0.03466347,0.00000000,0.00244771,0.49280874,0.52434397,0.33750978
-5.54377189,0.97468032,0.03564439,0.00000000,0.00252605,0.48431296,0.52796341,0.33161625
-5.53776888,0.98059471,0.03653062,0.00000000,0.00259956,0.48137047,0.53792026,0.32812305
-5.53176588,0.99148896,0.03732765,0.00000000,0.00266817,0.48397107,0.55417903,0.32703491
-5.52576288,1.00733929,0.03804519,0.00000000,0.00273201,0.49204476,0.57663733,0.32833534
-5.51975988,1.02809328,0.03869694,0.00000000,0.00279145,0.50546167,0.60512289,0.33198678
-5.51375688,1.05366589,0.03930030,0.00000000,0.00284700,0.52403263,0.63939170,0.33793081
-5.50775388,1.08393528,0.03987597,0.00000000,0.00289932,0.54751047,0.67912735,0.34608828
-5.50175088,1.11873906,0.04044744,0.00000000,0.00294916,0.57559217,0.72394203,0.35635952
-5.49574787,1.15787134,0.04104049,0.00000000,0.00299735,0.60792205,0.77337937,0.36862484
-5.48974487,1.20108129,0.04168268,0.00000000,0.00304472,0.64409608,0.82691936,0.38274525
-5.48374187,1.24807349,0.04240276,0.00000000,0.00309210,0.68366749,0.88398542,0.39856385
-5.47773887,1.29851051,0.04323017,0.00000000,0.00314028,0.72615372,0.94395374,0.41590760
-5.47173587,1.35201771,0.04419458,0.00000000,0.00319001,0.77104464,1.00616460,0.43458994
-5.46573287,1.40819042,0.04532531,0.00000000,0.00324197,0.81781201,1.06993542,0.45441393
-5.45972986,1.46660296,0.04665096,0.00000000,0.00329674,0.86591974,1.13457514,0.47517603
-5.45372686,1.52681915,0.04819893,0.00000000,0.00335485,0.91483483,1.19939921,0.49667033
-5.44772386,1.58840367,0.04999493,0.00000000,0.00341671,0.96403838,1.26374471,0.51869308
-5.44172086,1.65093323,0.05206254,0.00000000,0.00348268,1.01303621,1.32698461,0.54104710
-5.43571786,1.71400698,0.05442267,0.00000000,0.00355301,1.06136857,1.38854054,0.56354614
-5.42971486,1.77725497,0.05709301,0.00000000,0.00362785,1.10861823,1.44789334,0.58601843
-5.42371186,1.84034407,0.06008739,0.00000000,0.00370728,1.15441678,1.50459072,0.60830955
-5.41770885,1.90298064,0.06341516,0.00000000,0.00379123,1.19844829,1.55825165,0.63028418
-5.41170585,1.96490944,0.06708043,0.00000000,0.00387953,1.24045046,1.60856703,0.65182650
-5.40570285,2.02590884,0.07108138,0.00000000,0.00397184,1.28021284,1.65529684,0.67283930
-5.39969985,2.08578220,0.07540954,0.00000000,0.00406768,1.31757240,1.69826381,0.69324169
-5.39369685,2.14434616,0.08004909,0.00000000,0.00416636,1.35240651,1.73734402,0.71296555
-5.38769385,2.20141637,0.08497633,0.00000000,0.00426698,1.38462396,1.77245529,0.73195087
-5.38169085,2.25679184,0.09015920,0.00000000,0.00436842,1.41415447,1.80354388,0.75014036
-5.37568784,2.31023898,0.09555709,0.00000000,0.00446934,1.44093743,1.83057081,0.76747367
-5.36968484,2.36147658,0.10112074,0.00000000,0.00456814,1.46491083,1.85349850,0.78388164
-5.36368184,2.41016325,0.10679255,0.00000000,0.00466304,1.48600093,1.87227890,0.79928103
-5.35767884,2.45588822,0.11250711,0.00000000,0.00475204,1.50411380,1.88684402,0.81357019
-5.35167584,2.49816684,0.11819205,0.00000000,0.00483303,1.51912907,1.89709950,0.82662608
-5.34567284,2.53644129,0.12376922,0.00000000,0.00490376,1.53089681,1.90292192,0.83830300
-5.33966983,2.57008721,0.12915611,0.00000000,0.00496197,1.53923768,1.90416006,0.84843313
-5.33366683,2.59842612,0.13426762,0.00000000,0.00500546,1.54394654,1.90064010,0.85682924
-5.32766383,2.62074352,0.13901797,0.00000000,0.00503210,1.54479955,1.89217465,0.86328933
-5.32166083,2.63631187,0.14332279,0.00000000,0.00504001,1.54156437,1.87857494,0.86760318
-5.31565783,2.64441758,0.14710132,0.00000000,0.00502754,1.53401294,1.85966559,0.86956054
-5.30965483,2.64439060,0.15027856,0.00000000,0.00499343,1.52193618,1.83530087,0.86896050
-5.30365183,2.63563532,0.15278743,0.00000000,0.00493680,1.50515974,1.80538162,0.86562165
-5.29764882,2.61766099,0.15457065,0.00000000,0.00485724,1.48355990,1.76987167,0.85939254
-5.29164582,2.59011026,0.15558253,0.00000000,0.00475481,1.45707872,1.72881268,0.85016173
-5.28564282,2.55278419,0.15579037,0.00000000,0.00463008,1.42573740,1.68233659,0.83786699
-5.27963982,2.50566246,0.15517546,0.00000000,0.00448412,1.38964731,1.63067480,0.82250325
-5.27363682,2.44891775,0.15373384,0.00000000,0.00431845,1.34901770,1.57416353,0.80412857
-5.26763382,2.38292333,0.15147642,0.00000000,0.00413501,1.30415995,1.51324503,0.78286815
-5.26163082,2.30825363,0.14842882,0.00000000,0.00393612,1.25548776,1.44846441,0.75891581
-5.25562781,2.22567758,0.14463070,0.00000000,0.00372436,1.20351353,1.38046239,0.73253309
-5.24962481,2.13614503,0.14013473,0.00000000,0.00350255,1.14884079,1.30996412,0.70404586
-5.24362181,2.04076683,0.13500511,0.00000000,0.00327361,1.09215312,1.23776473,0.67383857
-5.23761881,1.94078934,0.12931587,0.00000000,0.00304052,1.03420015,1.16471216,0.64234636
-5.23161581,1.83756462,0.12314890,0.00000000,0.00280620,0.97578096,1.09168808,0.61004549
-5.22561281,1.73251728,0.11659176,0.00000000,0.00257344,0.91772576,1.01958766,0.57744213
-5.21960980,1.62710936,0.10973544,0.00000000,0.00234485,0.86087646,0.94929895,0.54506030
-5.21360680,1.52280456,0.10267212,0.00000000,0.00212277,0.80606677,0.88168263,0.51342910
-5.20760380,1.42103288,0.09549297,0.00000000,0.00190928,0.75410256,0.81755272,0.48306973
-5.20160080,1.32315694,0.08828610,0.00000000,0.00170610,0.70574291,0.75765878,0.45448272
-5.19559780,1.23044073,0.08113468,0.00000000,0.00151462,0.66168248,0.70267013,0.42813568
-5.18959480,1.14402177,0.07411537,0.00000000,0.00133591,0.62253544,0.65316214,0.40445180
-5.18359180,1.06488712,0.06729701,0.00000000,0.00117068,0.58882143,0.60960504,0.38379954
-5.17758879,0.99385374,0.06073960,0.00000000,0.00101933,0.56095356,0.57235513,0.36648353
-5.17158579,0.93155349,0.05449370,0.00000000,0.00088199,0.53922888,0.54164854,0.35273694
-5.16558279,0.87842280,0.04860004,0.00000000,0.00075854,0.52382114,0.51759741,0.34271546
