energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.81729159,0.35132912,0.00000000,0.01661193,0.01445472,0.02999710,0.56405244,0.21677933,0.70590750
-5.99399700,1.78030491,0.34147860,0.00000000,0.01563544,0.01545855,0.03032966,0.55583107,0.21506809,0.68450150
-5.98799400,1.74901243,0.33325065,0.00000000,0.01473031,0.01674355,0.03075449,0.54949035,0.21451389,0.66466272
-5.98199100,1.72418135,0.32676571,0.00000000,0.01390969,0.01833469,0.03127486,0.54524166,0.21529039,0.64669241
-5.97598799,1.70651118,0.32211788,0.00000000,0.01318509,0.02025807,0.03189210,0.54326284,0.21756797,0.63088068
-5.96998499,1.69660846,0.31937187,0.00000000,0.01256626,0.02254035,0.03260510,0.54369054,0.22150988,0.61749680
-5.96398199,1.69496350,0.31856063,0.00000000,0.01206124,0.02520824,0.03340994,0.54661360,0.22726822,0.60677996
-5.95797899,1.70192990,0.31968381,0.00000000,0.01167635,0.02828770,0.03429950,0.55206762,0.23497993,0.59893086
-5.95197599,1.71770760,0.32270708,0.00000000,0.01141622,0.03180313,0.03526334,0.56003115,0.24476269,0.59410436
-5.94597299,1.74233035,0.32756242,0.00000000,0.01128386,0.03577636,0.03628758,0.57042366,0.25671096,0.59240349
-5.93996998,1.77565778,0.33414936,0.00000000,0.01128071,0.04022560,0.03735510,0.58310539,0.27089212,0.59387491
-5.93396698,1.81737257,0.34233713,0.00000000,0.01140670,0.04516427,0.03844576,0.59787925,0.28734281,0.59850597
-5.92796398,1.86698264,0.35196771,0.00000000,0.01166033,0.05059978,0.03953689,0.61449469,0.30606560,0.60622336
-5.92196098,1.92382835,0.36285964,0.00000000,0.01203870,0.05653227,0.04060386,0.63265342,0.32702591,0.61689338
-5.91595798,1.98709432,0.37481247,0.00000000,0.01253763,0.06295344,0.04162081,0.65201682,0.35014952,0.63032377
-5.90995498,2.05582537,0.38761168,0.00000000,0.01315171,0.06984539,0.04256144,0.67221467,0.37532042,0.64626690
-5.90395198,2.12894603,0.40103392,0.00000000,0.01387438,0.07717961,0.04339990,0.69285503,0.40237948,0.66442422
-5.89794897,2.20528298,0.41485238,0.00000000,0.01469804,0.08491619,0.04411170,0.71353469,0.43112371,0.68445191
-5.89194597,2.28358956,0.42884205,0.00000000,0.01561420,0.09300325,0.04467452,0.73384992,0.46130642,0.70596737
-5.88594297,2.36257163,0.44278480,0.00000000,0.01661360,0.10137664,0.04506912,0.75340701,0.49263838,0.72855657
-5.87993997,2.44091417,0.45647402,0.00000000,0.01768642,0.10996013,0.04527997,0.77183228,0.52478995,0.75178195
-5.87393697,2.51730780,0.46971879,0.00000000,0.01882247,0.11866588,0.04529591,0.78878114,0.55739448,0.77519084
-5.86793397,2.59047470,0.48234732,0.00000000,0.02001144,0.12739540,0.04511055,0.80394594,0.59005285,0.79832416
-5.86193097,2.65919326,0.49420979,0.00000000,0.02124314,0.13604094,0.04472258,0.81706232,0.62233931,0.82072532
-5.85592796,2.72232123,0.50518037,0.00000000,0.02250783,0.14448738,0.04413583,0.82791397,0.65380851,0.84194912
-5.84992496,2.77881666,0.51515849,0.00000000,0.02379644,0.15261446,0.04335921,0.83633563,0.68400373,0.86157057
-5.84392196,2.82775663,0.52406935,0.00000000,0.02510083,0.16029947,0.04240639,0.84221444,0.71246611,0.87919341
-5.83791896,2.86835319,0.53186375,0.00000000,0.02641410,0.16742014,0.04129542,0.84548960,0.73874476,0.89445816
-5.83191596,2.89996647,0.53851716,0.00000000,0.02773072,0.17385784,0.04004813,0.84615052,0.76240734,0.90704955
-5.82591296,2.92211464,0.54402830,0.00000000,0.02904666,0.17950083,0.03868944,0.84423370,0.78305095,0.91670310
-5.81990995,2.93448058,0.54841710,0.00000000,0.03035950,0.18424748,0.03724659,0.83981848,0.80031290,0.92321066
-5.81390695,2.93691513,0.55172221,0.00000000,0.03166837,0.18800939,0.03574829,0.83302193,0.81388096,0.92642464
-5.80790395,2.92943678,0.55399818,0.00000000,0.03297384,0.19071421,0.03422387,0.82399317,0.82350262,0.92626095
-5.80190095,2.91222773,0.55531230,0.00000000,0.03427767,0.19230804,0.03270245,0.81290738,0.82899314,0.92270018
-5.79589795,2.88562654,0.55574122,0.00000000,0.03558257,0.19275738,0.03121212,0.79995971,0.83024181,0.91578726
-5.78989495,2.85011728,0.55536756,0.00000000,0.03689176,0.19205046,0.02977917,0.78535927,0.82721630,0.90562930
-5.78389195,2.80631549,0.55427630,0.00000000,0.03820853,0.19019786,0.02842751,0.76932356,0.81996473,0.89239179
-5.77788894,2.75495149,0.55255147,0.00000000,0.03953574,0.18723255,0.02717806,0.75207333,0.80861549,0.87629314
-5.77188594,2.69685123,0.55027279,0.00000000,0.04087532,0.18320912,0.02604837,0.73382803,0.79337453,0.85759791
-5.76588294,2.63291555,0.54751276,0.00000000,0.04222777,0.17820241,0.02505235,0.71480211,0.77452049,0.83660871
-5.75987994,2.56409838,0.54433404,0.00000000,0.04359168,0.17230549,0.02420008,0.69520193,0.75239765,0.81365742
-5.75387694,2.49138470,0.54078732,0.00000000,0.04496339,0.16562710,0.02349783,0.67522366,0.72740700,0.78909577
-5.74787394,2.41576903,0.53690981,0.00000000,0.04633668,0.15828873,0.02294820,0.65505185,0.69999592,0.76328583
-5.74187094,2.33823515,0.53272430,0.00000000,0.04770263,0.15042134,0.02255030,0.63485878,0.67064669,0.73659082
-5.73586793,2.25973790,0.52823897,0.00000000,0.04904962,0.14216191,0.02230018,0.61480458,0.63986446,0.70936644
-5.72986493,2.18118742,0.52344797,0.00000000,0.05036347,0.13364996,0.02219123,0.59503783,0.60816497,0.68195324
-5.72386193,2.10343641,0.51833256,0.00000000,0.05162776,0.12502419,0.02221474,0.57569667,0.57606265,0.65467013
-5.71785893,2.02727056,0.51286314,0.00000000,0.05282425,0.11641925,0.02236042,0.55691021,0.54405922,0.62780930
-5.71185593,1.95340222,0.50700170,0.00000000,0.05393349,0.10796286,0.02261708,0.53880008,0.51263346,0.60163261
-5.70585293,1.88246711,0.50070480,0.00000000,0.05493547,0.09977325,0.02297317,0.52148193,0.48223205,0.57636945
