energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,2.27405888,0.24875253,1.17767322,0.00277426,0.37545200,0.90352716,0.56338076,0.03611835,0.12989494
-5.99399700,2.29944927,0.24896983,1.18068866,0.00277714,0.38665710,0.94643517,0.57395130,0.03567580,0.13036016
-5.98799400,2.32838898,0.24948094,1.18551453,0.00277353,0.39866808,0.99220722,0.58538563,0.03523725,0.13095535
-5.98199100,2.36166442,0.25034376,1.19280919,0.00276314,0.41148395,1.04071179,0.59771361,0.03482445,0.13172184
-5.97598799,2.40001184,0.25162969,1.20320478,0.00274594,0.42508737,1.09177119,0.61095108,0.03445766,0.13270394
-5.96998499,2.44407816,0.25341779,1.21728191,0.00272217,0.43944150,1.14515408,0.62509433,0.03415500,0.13394635
-5.96398199,2.49438514,0.25578896,1.23554590,0.00269228,0.45448746,1.20056983,0.64011567,0.03393184,0.13549170
-5.95797899,2.55129800,0.25882026,1.25840549,0.00265696,0.47014276,1.25766522,0.65595989,0.03380037,0.13737821
-5.95197599,2.61500007,0.26257974,1.28615476,0.00261703,0.48630067,1.31602391,0.67254212,0.03376926,0.13963758
-5.94597299,2.68547421,0.26712170,1.31895883,0.00257346,0.50283064,1.37516879,0.68974711,0.03384347,0.14229327
-5.93996998,2.76249208,0.27248294,1.35684413,0.00252732,0.51957981,1.43456742,0.70742992,0.03402427,0.14535916
-5.93396698,2.84561145,0.27867973,1.39969324,0.00247977,0.53637557,1.49364048,0.72541813,0.03430927,0.14883857
-5.92796398,2.93418196,0.28570600,1.44724488,0.00243200,0.55302909,1.55177311,0.74351541,0.03469267,0.15272390
-5.92196098,3.02735903,0.29353254,1.49909874,0.00238526,0.56933977,1.60832880,0.76150641,0.03516563,0.15699668
-5.91595798,3.12412538,0.30210733,1.55472529,0.00234080,0.58510036,1.66266545,0.77916260,0.03571663,0.16162810
-5.90995498,3.22331960,0.31135697,1.61347987,0.00229988,0.60010272,1.71415305,0.79624899,0.03633199,0.16658002
-5.90395198,3.32367029,0.32118918,1.67462094,0.00226374,0.61414375,1.76219227,0.81253143,0.03699639,0.17180638
-5.89794897,3.42383477,0.33149604,1.73733140,0.00223360,0.62703158,1.80623333,0.82778398,0.03769344,0.17725494
-5.89194597,3.52244053,0.34215805,1.80074245,0.00221064,0.63859155,1.84579430,0.84179632,0.03840624,0.18286920
-5.88594297,3.61812782,0.35304855,1.86395892,0.00219599,0.64867175,1.88047799,0.85438069,0.03911790,0.18859053
-5.87993997,3.70959156,0.36403845,1.92608506,0.00219074,0.65714805,1.90998671,0.86537802,0.03981206,0.19436024
-5.87393697,3.79562073,0.37500087,1.98624981,0.00219590,0.66392815,1.93413400,0.87466314,0.04047334,0.20012161
-5.86793397,3.87513350,0.38581548,2.04363055,0.00221236,0.66895465,1.95285268,0.88214859,0.04108770,0.20582165
-5.86193097,3.94720660,0.39637229,2.09747430,0.00224095,0.67220691,1.96619871,0.88778704,0.04164278,0.21141256
-5.85592796,4.01109752,0.40657471,2.14711564,0.00228235,0.67370144,1.97435024,0.89157201,0.04212806,0.21685286
-5.84992496,4.06625866,0.41634164,2.19199055,0.00233707,0.67349104,1.97760181,0.89353692,0.04253506,0.22210792
-5.84392196,4.11234270,0.42560849,2.23164589,0.00240546,0.67166239,1.97635351,0.89375238,0.04285732,0.22715012
-5.83791896,4.14919919,0.43432717,2.26574400,0.00248768,0.66833232,1.97109541,0.89232193,0.04309043,0.23195847
-5.83191596,4.17686246,0.44246495,2.29406271,0.00258363,0.66364279,1.96238772,0.88937630,0.04323185,0.23651776
-5.82591296,4.19553181,0.45000234,2.31649069,0.00269297,0.65775485,1.95083733,0.88506643,0.04328078,0.24081732
-5.81990995,4.20554510,0.45693026,2.33301886,0.00281508,0.65084175,1.93707177,0.87955560,0.04323790,0.24484950
-5.81390695,4.20734732,0.46324650,2.34372838,0.00294906,0.64308161,1.92171173,0.87301115,0.04310515,0.24860793
-5.80790395,4.20145603,0.46895197,2.34877616,0.00309368,0.63464984,1.90534336,0.86559599,0.04288539,0.25208572
-5.80190095,4.18842581,0.47404696,2.34837877,0.00324744,0.62571189,1.88849190,0.85746050,0.04258215,0.25527379
-5.79589795,4.16881381,0.47852761,2.34279591,0.00340849,0.61641651,1.87159779,0.84873532,0.04219934,0.25815942
-5.78989495,4.14314850,0.48238308,2.33231436,0.00357476,0.60689001,1.85499694,0.83952527,0.04174101,0.26072511
-5.78389195,4.11190358,0.48559349,2.31723335,0.00374388,0.59723181,1.83890596,0.82990488,0.04121115,0.26294799
-5.77788894,4.07547856,0.48812902,2.29785240,0.00391328,0.58751146,1.82341353,0.81991577,0.04061352,0.26479970
-5.77188594,4.03418719,0.48995002,2.27446197,0.00408027,0.57776745,1.80847850,0.80956615,0.03995156,0.26624696
-5.76588294,3.98825440,0.49100849,2.24733762,0.00424202,0.56800778,1.79393493,0.79883237,0.03922837,0.26725260
-5.75987994,3.93782173,0.49125064,2.21673771,0.00439574,0.55821232,1.77950393,0.78766254,0.03844673,0.26777726
-5.75387694,3.88296095,0.49062046,2.18290457,0.00453867,0.54833678,1.76481195,0.77598206,0.03760916,0.26778152
-5.74787394,3.82369456,0.48906415,2.14606886,0.00466824,0.53831817,1.74941436,0.76370068,0.03671811,0.26722834
-5.74187094,3.76002180,0.48653499,2.10645645,0.00478212,0.52808131,1.73282331,0.75072079,0.03577604,0.26608576
