energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,6.92208653,0.01597688,0.38015986,3.07341877,2.50014378,0.06190568,2.86016317
-5.99399700,6.87966404,0.01624186,0.38222398,3.05866503,2.48513808,0.06420955,2.83054958
-5.98799400,6.83953796,0.01654232,0.38491877,3.04282796,2.46990446,0.06673207,2.80142310
-5.98199100,6.80112098,0.01687137,0.38825405,3.02551099,2.45433009,0.06945697,2.77245211
-5.97598799,6.76366328,0.01722159,0.39221863,3.00626853,2.43826124,0.07236105,2.74325197
-5.96998499,6.72625058,0.01758513,0.39677688,2.98461551,2.42149847,0.07541398,2.71339167
-5.96398199,6.68780766,0.01795388,0.40186608,2.96003887,2.40379358,0.07857830,2.68240220
-5.95797899,6.64710886,0.01831966,0.40739457,2.93201109,2.38484893,0.08180967,2.64978684
-5.95197599,6.60279681,0.01867432,0.41324116,2.90000541,2.36431983,0.08505746,2.61503359
-5.94597299,6.55341009,0.01901000,0.41925593,2.86351290,2.34182025,0.08826553,2.57762949
-5.93996998,6.49741972,0.01931927,0.42526240,2.82206050,2.31693212,0.09137345,2.53707677
-5.93396698,6.43327382,0.01959534,0.43106143,2.77522978,2.28921792,0.09431786,2.49291003
-5.92796398,6.35944905,0.01983214,0.43643644,2.72267551,2.25823641,0.09703407,2.44471416
-5.92196098,6.27450689,0.02002456,0.44116006,2.66414332,2.22356063,0.09945791,2.39214189
-5.91595798,6.17715217,0.02016848,0.44500179,2.59948550,2.18479751,0.10152762,2.33493029
-5.90995498,6.06629116,0.02026089,0.44773656,2.52867422,2.14160803,0.10318576,2.27291531
-5.90395198,5.94108617,0.02029987,0.44915356,2.45181137,2.09372689,0.10438112,2.20604349
-5.89794897,5.80100387,0.02028464,0.44906515,2.36913438,2.04098066,0.10507045,2.13438015
-5.89194597,5.64585454,0.02021547,0.44731527,2.28101765,1.98330323,0.10522005,2.05811362
-5.88594297,5.47582014,0.02009361,0.44378707,2.18796944,1.92074797,0.10480698,1.97755492
-5.87993997,5.29146951,0.01992114,0.43840914,2.09062401,1.85349556,0.10382002,1.89313311
-5.87393697,5.09375969,0.01970089,0.43116040,1.98972964,1.78185727,0.10226022,1.80538626
-5.86793397,4.88402329,0.01943619,0.42207298,1.88613271,1.70627328,0.10014099,1.71494838
-5.86193097,4.66394217,0.01913079,0.41123330,1.78075873,1.62730628,0.09748785,1.62253316
-5.85592796,4.43550899,0.01878862,0.39878108,1.67459103,1.54563046,0.09433772,1.52891501
-5.84992496,4.20097821,0.01841368,0.38490650,1.56864814,1.46201653,0.09073788,1.43490849
-5.84392196,3.96280898,0.01800991,0.36984551,1.46396087,1.37731354,0.08674462,1.34134694
-5.83791896,3.72360271,0.01758106,0.35387367,1.36154989,1.29242832,0.08242155,1.24906144
-5.83191596,3.48603787,0.01713066,0.33729870,1.26240488,1.20830344,0.07783786,1.15886083
-5.82591296,3.25280523,0.01666198,0.32045222,1.16746598,1.12589488,0.07306639,1.07151373
-5.81990995,3.02654581,0.01617803,0.30368092,1.07760804,1.04615017,0.06818170,0.98773310
-5.81390695,2.80979421,0.01568160,0.28733771,0.99362827,0.96998799,0.06325827,0.90816399
-5.80790395,2.60492898,0.01517538,0.27177303,0.91623742,0.89827990,0.05836871,0.83337446
-5.80190095,2.41413159,0.01466198,0.25732673,0.84605453,0.83183486,0.05358232,0.76385014
-5.79589795,2.23935483,0.01414409,0.24432087,0.78360510,0.77138685,0.04896376,0.69999193
-5.78989495,2.08230083,0.01362457,0.23305349,0.72932246,0.71758583,0.04457204,0.64211686
-5.78389195,1.94440863,0.01310657,0.22379360,0.68355167,0.67099198,0.04045983,0.59046155
-5.77788894,1.82685041,0.01259355,0.21677743,0.64655564,0.63207316,0.03667299,0.54518766
-5.77188594,1.73053554,0.01208942,0.21220595,0.61852269,0.60120511,0.03325041,0.50638901
-5.76588294,1.65612085,0.01159847,0.21024356,0.59957487,0.57867414,0.03022403,0.47409944
-5.75987994,1.60402568,0.01112542,0.21101792,0.58977658,0.56468154,0.02761910,0.44830101
-5.75387694,1.57445012,0.01067530,0.21462068,0.58914262,0.55934936,0.02545457,0.42893192
-5.74787394,1.56739473,0.01025339,0.22110898,0.59764530,0.56272682,0.02374359,0.41589367
-5.74187094,1.58268035,0.00986505,0.23050746,0.61522013,0.57479693,0.02249399,0.40905703
-5.73586793,1.61996670,0.00951555,0.24281075,0.64176962,0.59548267,0.02170889,0.40826665
-5.72986493,1.67876866,0.00920988,0.25798591,0.67716509,0.62465245,0.02138711,0.41334408
-5.72386193,1.75846957,0.00895251,0.27597510,0.72124627,0.66212453,0.02152371,0.42408914
