energy_ev,total_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,2.66528278,0.60725068,1.77209529,0.03645810,0.65878779,0.22869186,0.01581957
-5.99399700,2.57438280,0.58291718,1.71685663,0.03604742,0.62809558,0.21754220,0.01604297
-5.98799400,2.48554726,0.55872819,1.66312174,0.03558037,0.59808785,0.20710863,0.01623600
-5.98199100,2.39917281,0.53495364,1.61100101,0.03505491,0.56898235,0.19747770,0.01639495
-5.97598799,2.31560126,0.51183871,1.56057611,0.03446921,0.54097909,0.18871560,0.01651674
-5.96998499,2.23511963,0.48959967,1.51190388,0.03382182,0.51425743,0.18086679,0.01659911
-5.96398199,2.15796029,0.46842041,1.46501993,0.03311193,0.48897346,0.17395329,0.01664060
-5.95797899,2.08430129,0.44844972,1.41994162,0.03233952,0.46525772,0.16797444,0.01664070
-5.95197599,2.01426680,0.42979942,1.37667063,0.03150560,0.44321331,0.16290732,0.01659977
-5.94597299,1.94792772,0.41254334,1.33519495,0.03061227,0.42291439,0.15870764,0.01651907
-5.93996998,1.88530262,0.39671718,1.29549052,0.02966286,0.40440528,0.15531132,0.01640066
-5.93396698,1.82635924,0.38231925,1.25752257,0.02866191,0.38770009,0.15263653,0.01624736
-5.92796398,1.77101688,0.36931218,1.22124699,0.02761521,0.37278308,0.15058632,0.01606259
-5.92196098,1.71914975,0.35762544,1.18661174,0.02652962,0.35960967,0.14905155,0.01585030
-5.91595798,1.67059172,0.34715886,1.15355862,0.02541299,0.34810827,0.14791438,0.01561481
-5.90995498,1.62514247,0.33778687,1.12202558,0.02427395,0.33818285,0.14705180,0.01536071
-5.90395198,1.58257522,0.32936348,1.09194950,0.02312171,0.32971632,0.14633950,0.01509273
-5.89794897,1.54264595,0.32172796,1.06326969,0.02196584,0.32257453,0.14565566,0.01481562
-5.89194597,1.50510405,0.31471083,1.03593190,0.02081603,0.31661098,0.14488470,0.01453410
-5.88594297,1.46970402,0.30814029,1.00989298,0.01968190,0.31167202,0.14392078,0.01425276
-5.87993997,1.43621795,0.30184859,0.98512571,0.01857281,0.30760235,0.14267096,0.01397607
-5.87393697,1.40444835,0.29567833,0.96162400,0.01749773,0.30425071,0.14105795,0.01370832
-5.86793397,1.37424065,0.28948839,0.93940781,0.01646513,0.30147553,0.13902232,0.01345362
-5.86193097,1.34549501,0.28315926,0.91852784,0.01548296,0.29915033,0.13652401,0.01321597
-5.85592796,1.31817669,0.27659760,0.89906954,0.01455860,0.29716865,0.13354332,0.01299926
-5.84992496,1.29232455,0.26973990,0.88115625,0.01369889,0.29544826,0.13008114,0.01280732
-5.84392196,1.26805715,0.26255496,0.86495112,0.01291026,0.29393459,0.12615852,0.01264400
-5.83791896,1.24557600,0.25504530,0.85065771,0.01219874,0.29260310,0.12181565,0.01251316
-5.83191596,1.22516573,0.24724728,0.83851910,0.01157007,0.29146049,0.11711025,0.01241874
-5.82591296,1.20719086,0.23923010,0.82881520,0.01102983,0.29054476,0.11211540,0.01236480
-5.81990995,1.19208919,0.23109351,0.82185846,0.01058346,0.28992398,0.10691711,0.01235547
-5.81390695,1.18036184,0.22296464,0.81798770,0.01023635,0.28969392,0.10161142,0.01239496
-5.80790395,1.17256002,0.21499371,0.81756034,0.00999382,0.28997439,0.09630145,0.01248750
-5.80190095,1.16926900,0.20734913,0.82094295,0.00986113,0.29090474,0.09109424,0.01263726
-5.79589795,1.17108944,0.20021198,0.82850038,0.00984337,0.29263829,0.08609765,0.01284826
-5.78989495,1.17861682,0.19377001,0.84058367,0.00994536,0.29533620,0.08141736,0.01312421
-5.78389195,1.19241934,0.18821158,0.85751702,0.01017151,0.29916078,0.07715394,0.01346839
-5.77788894,1.21301502,0.18371949,0.87958413,0.01052556,0.30426860,0.07340026,0.01388347
-5.77188594,1.24084883,0.18046501,0.90701435,0.01101040,0.31080354,0.07023905,0.01437133
-5.76588294,1.27627027,0.17860229,0.93996906,0.01162777,0.31889016,0.06774085,0.01493288
-5.75987994,1.31951252,0.17826311,0.97852869,0.01237804,0.32862746,0.06596218,0.01556790
-5.75387694,1.37067368,0.17955241,1.02268099,0.01325991,0.34008336,0.06494413,0.01627486
-5.74787394,1.42970092,0.18254437,1.07231099,0.01427017,0.35329012,0.06471129,0.01705084
-5.74187094,1.49637822,0.18727936,1.12719314,0.01540348,0.36824076,0.06527094,0.01789134
-5.73586793,1.57031842,0.19376179,1.18698618,0.01665218,0.38488675,0.06661274,0.01879034
-5.72986493,1.65095992,0.20195889,1.25123106,0.01800622,0.40313699,0.06870872,0.01974019
-5.72386193,1.73756864,0.21180043,1.31935235,0.01945305,0.42285814,0.07151365,0.02073170
-5.71785893,1.82924545,0.22317957,1.39066331,0.02097768,0.44387638,0.07496582,0.02175425
-5.71185593,1.92493904,0.23595471,1.46437473,0.02256282,0.46598049,0.07898828,0.02279593
-5.70585293,2.02346437,0.24995247,1.53960761,0.02418905,0.48892632,0.08349035,0.02384372
-5.69984992,2.12352619,0.26497168,1.61540937,0.02583516,0.51244231,0.08836967,0.02488381
-5.69384692,2.22374724,0.28078841,1.69077329,0.02747853,0.53623615,0.09351458,0.02590184
-5.68784392,2.32270041,0.29716191,1.76466079,0.02909565,0.56000218,0.09880676,0.02688329
-5.68184092,2.41894389,0.31384141,1.83602572,0.03066266,0.58342953,0.10412428,0.02781376
-5.67583792,2.51105834,0.33057358,1.90384010,0.03215597,0.60621045,0.10934483,0.02867941
-5.66983492,2.59768477,0.34711038,1.96712020,0.03355297,0.62804883,0.11434900,0.02946726
-5.66383192,2.67756190,0.36321725,2.02495237,0.03483270,0.64866853,0.11902370,0.03016559
-5.65782891,2.74956159,0.37868113,2.07651734,0.03597653,0.66782111,0.12326540,0.03076418
-5.65182591,2.81272115,0.39331815,2.12111236,0.03696883,0.68529294,0.12698320,0.03125462
-5.64582291,2.86627103,0.40698066,2.15817006,0.03779760,0.70091115,0.13010150,0.03163053
-5.63981991,2.90965714,0.41956320,2.18727360,0.03845493,0.71454842,0.13256221,0.03188770
-5.63381691,2.94255642,0.43100712,2.20816725,0.03893744,0.72612627,0.13432645,0.03202418
-5.62781391,2.96488548,0.44130361,2.22076214,0.03924655,0.73561678,0.13537553,0.03204030
-5.62181091,2.97680140,0.45049487,2.22513692,0.03938859,0.74304260,0.13571115,0.03193862
-5.61580790,2.97869503,0.45867326,2.22153333,0.03937480,0.74847532,0.13535503,0.03172382
-5.60980490,2.97117658,0.46597834,2.21034689,0.03922105,0.75203213,0.13434759,0.03140253
-5.60380190,2.95505434,0.47259179,2.19211312,0.03894757,0.75387089,0.13274609,0.03098310
-5.59779890,2.93130707,0.47873036,2.16748984,0.03857836,0.75418386,0.13062203,0.03047531
-5.59179590,2.90105119,0.48463698,2.13723622,0.03814056,0.75319019,0.12805813,0.02989014
-5.58579290,2.86550399,0.49057044,2.10218951,0.03766370,0.75112759,0.12514486,0.02923937
-5.57978989,2.82594412,0.49679384,2.06324020,0.03717882,0.74824324,0.12197679,0.02853531
-5.57378689,2.78367086,0.50356250,2.02130656,0.03671755,0.74478462,0.11864879,0.02779044
-5.56778389,2.73996370,0.51111157,1.97730934,0.03631121,0.74099021,0.11525242,0.02701714
-5.56178089,2.69604329,0.51964416,1.93214756,0.03598985,0.73708076,0.11187255,0.02622737
-5.55577789,2.65303551,0.52932024,1.88667590,0.03578134,0.73325121,0.10858432,0.02543243
-5.54977489,2.61193932,0.54024701,1.84168442,0.03571060,0.72966362,0.10545070,0.02464270
-5.54377189,2.57359967,0.55247119,1.79788104,0.03579885,0.72644147,0.10252065,0.02386751
-5.53776888,2.53868601,0.56597349,1.75587698,0.03606295,0.72366531,0.09982789,0.02311494
-5.53176588,2.50767695,0.58066574,1.71617555,0.03651494,0.72137019,0.09739051,0.02239171
-5.52576288,2.48085135,0.59639068,1.67916422,0.03716168,0.71954470,0.09521113,0.02170317
-5.51975988,2.45828583,0.61292462,1.64511003,0.03800459,0.71813176,0.09327784,0.02105317
-5.51375688,2.43985865,0.62998285,1.61415827,0.03903959,0.71703112,0.09156564,0.02044414
-5.50775388,2.42525954,0.64722758,1.58633417,0.04025714,0.71610340,0.09003850,0.01987709
-5.50175088,2.41400491,0.66427819,1.56154757,0.04164240,0.71517562,0.08865164,0.01935167
-5.49574787,2.40545806,0.68072334,1.53960028,0.04317552,0.71404780,0.08735420,0.01886626
-5.48974487,2.39885333,0.69613439,1.52019573,0.04483206,0.71250066,0.08609196,0.01841809
-5.48374187,2.39332366,0.71007974,1.50295099,0.04658347,0.71030383,0.08481012,0.01800339
-5.47773887,2.38793049,0.72213933,1.48741051,0.04839769,0.70722451,0.08345583,0.01761752
-5.47173587,2.38169521,0.73191886,1.47306157,0.05023982,0.70303614,0.08198066,0.01725513
-5.46573287,2.37363114,0.73906307,1.45935087,0.05207288,0.69752681,0.08034253,0.01691039
-5.45972986,2.36277528,0.74326763,1.44570216,0.05385860,0.69050708,0.07850741,0.01657714
-5.45372686,2.34821876,0.74428916,1.43153424,0.05555830,0.68181701,0.07645048,0.01624912
-5.44772386,2.32913537,0.74195307,1.41627917,0.05713377,0.67133216,0.07415684,0.01592016
-5.44172086,2.30480726,0.73615894,1.39940005,0.05854821,0.65896826,0.07162175,0.01558434
-5.43571786,2.27464717,0.72688342,1.38040799,0.05976714,0.64468467,0.06885041,0.01523624
-5.42971486,2.23821679,0.71418045,1.35887784,0.06075929,0.62848626,0.06585741,0.01487105
-5.42371186,2.19524053,0.69817915,1.33446210,0.06149752,0.61042399,0.06266570,0.01448475
-5.41770885,2.14561478,0.67907942,1.30690273,0.06195957,0.59059399,0.05930546,0.01407424
-5.41170585,2.08941220,0.65714556,1.27604044,0.06212878,0.56913537,0.05581261,0.01363738
-5.40570285,2.02688125,0.63269834,1.24182110,0.06199472,0.54622691,0.05222737,0.01317313
-5.39969985,1.95844099,0.60610587,1.20429922,0.06155358,0.52208266,0.04859267,0.01268149
-5.39369685,1.88467159,0.57777363,1.16363826,0.06080853,0.49694685,0.04495265,0.01216356
-5.38769385,1.80630084,0.54813419,1.12010780,0.05976977,0.47108816,0.04135127,0.01162144
-5.38169085,1.72418719,0.51763689,1.07407780,0.05845451,0.44479367,0.03783104,0.01105818
-5.37568784,1.63930005,0.48673787,1.02601003,0.05688664,0.41836260,0.03443201,0.01047767
-5.36968484,1.55269773,0.45589071,0.97644703,0.05509632,0.39210013,0.03119092,0.00988450
-5.36368184,1.46550400,0.42553789,0.92599898,0.05311931,0.36631137,0.02814061,0.00928383
-5.35767884,1.37888363,0.39610324,0.87532895,0.05099616,0.34129571,0.02530965,0.00868118
-5.35167584,1.29401764,0.36798532,0.82513692,0.04877131,0.31734147,0.02272217,0.00808234
-5.34567284,1.21207888,0.34155197,0.77614307,0.04649197,0.29472115,0.02039790,0.00749313
-5.33966983,1.13420830,0.31713569,0.72907088,0.04420702,0.27368709,0.01835233,0.00691931
-5.33366683,1.06149233,0.29503000,0.68463028,0.04196579,0.25446764,0.01659701,0.00636636
-5.32766383,0.99494181,0.27548650,0.64350144,0.03981689,0.23726386,0.01513993,0.00583943
-5.32166083,0.93547255,0.25871259,0.60631943,0.03780698,0.22224660,0.01398593,0.00534317
-5.31565783,0.88388784,0.24486966,0.57366002,0.03597966,0.20955401,0.01313708,0.00488166
-5.30965483,0.84086304,0.23407170,0.54602688,0.03437440,0.19928942,0.01259307,0.00445836
-5.30365183,0.80693225,0.22638427,0.52384037,0.03302553,0.19151961,0.01235155,0.00407606
-5.29764882,0.78247739,0.22182364,0.50742805,0.03196147,0.18627338,0.01240834,0.00373684
-5.29164582,0.76771956,0.22035638,0.49701702,0.03120396,0.18354050,0.01275762,0.00344213
-5.28564282,0.76271303,0.22189916,0.49272823,0.03076757,0.18327111,0.01339198,0.00319266
-5.27963982,0.76734196,0.22631914,0.49457283,0.03065926,0.18537557,0.01430244,0.00298855
-5.27363682,0.78131997,0.23343475,0.50245062,0.03087821,0.18972489,0.01547834,0.00282932
-5.26763382,0.80419286,0.24301737,0.51615072,0.03141579,0.19615177,0.01690725,0.00271400
-5.26163082,0.83534464,0.25479370,0.53535455,0.03225569,0.20445244,0.01857478,0.00264112
-5.25562781,0.87400703,0.26844925,0.55964106,0.03337432,0.21438931,0.02046446,0.00260886
-5.24962481,0.91927251,0.28363285,0.58849437,0.03474128,0.22569450,0.02255756,0.00261507
-5.24362181,0.97011099,0.29996234,0.62131366,0.03632011,0.23807428,0.02483301,0.00265736
-5.23761881,1.02538989,0.31703141,0.65742525,0.03806915,0.25121448,0.02726741,0.00273316
-5.23161581,1.08389749,0.33441759,0.69609673,0.03994255,0.26478670,0.02983502,0.00283977
-5.22561281,1.14436900,0.35169108,0.73655286,0.04189149,0.27845527,0.03250798,0.00297443
-5.21960980,1.20551484,0.36842445,0.77799279,0.04386540,0.29188486,0.03525650,0.00313438
