energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,0.84335297,-1.73930447,0.30336818,-0.30506081,0.04715647,-0.11794333,0.20403737,-0.45878186,0.11117249,-0.36150379,0.00005223,-0.00020207,0.10786528,-0.09016695,0.00588697,-0.01410455,0.42294534,-0.93240108
-5.99399700,0.83661710,-1.84897425,0.30186349,-0.31975072,0.04687813,-0.12532953,0.20057048,-0.48657518,0.11123660,-0.38991787,0.00004456,-0.00021344,0.10733701,-0.09429484,0.00578158,-0.01514133,0.41938116,-0.99202796
-5.98799400,0.82629138,-1.95719283,0.29857281,-0.33410442,0.04642068,-0.13255936,0.19673908,-0.51345470,0.11067458,-0.41892054,0.00003832,-0.00022454,0.10619132,-0.09835846,0.00566725,-0.01618822,0.41414580,-1.05074472
-5.98199100,0.81247382,-2.06254565,0.29356201,-0.34785384,0.04578868,-0.13953638,0.19254618,-0.53901844,0.10949633,-0.44824300,0.00003331,-0.00023540,0.10444432,-0.10228005,0.00554200,-0.01723585,0.40728559,-1.10779606
-5.97598799,0.79540053,-2.16364903,0.28694283,-0.36074744,0.04499455,-0.14616808,0.18802734,-0.56288226,0.10773169,-0.47760008,0.00002934,-0.00024607,0.10212831,-0.10598849,0.00540508,-0.01827457,0.39891750,-1.16244152
-5.96998499,0.77544091,-2.25917792,0.27887005,-0.37255572,0.04405846,-0.15236803,0.18325072,-0.58468916,0.10542950,-0.50669398,0.00002625,-0.00025666,0.09929087,-0.10942089,0.00525687,-0.01929458,0.38922708,-1.21397055
-5.96398199,0.75308815,-2.34789278,0.26953710,-0.38307608,0.04300790,-0.15805788,0.17831587,-0.60411786,0.10265611,-0.53521864,0.00002392,-0.00026733,0.09599351,-0.11252403,0.00509884,-0.02028603,0.37846372,-1.26171704
-5.95797899,0.72894529,-2.42866501,0.25917045,-0.39213700,0.04187709,-0.16316928,0.17335109,-0.62089071,0.09949334,-0.56286471,0.00002225,-0.00027831,0.09230981,-0.11525552,0.00493346,-0.02123914,0.36693389,-1.30507323
-5.95197599,0.70370761,-2.50050032,0.24802285,-0.39960141,0.04070595,-0.16764554,0.16850969,-0.63478046,0.09603596,-0.58932517,0.00002117,-0.00028987,0.08832310,-0.11758475,0.00476403,-0.02214437,0.35499229,-1.34350248
-5.94597299,0.67814196,-2.56255966,0.23636602,-0.40536924,0.03953901,-0.17144316,0.16396523,-0.64561577,0.09238888,-0.61430137,0.00002062,-0.00030233,0.08412395,-0.11949349,0.00459456,-0.02299252,0.34303140,-1.37655072
-5.93996998,0.65306394,-2.61417728,0.22448270,-0.40937907,0.03842411,-0.17453299,0.15990583,-0.65328526,0.08866410,-0.63750958,0.00002056,-0.00031608,0.07980742,-0.12097627,0.00442962,-0.02377492,0.33146989,-1.40385637
-5.93396698,0.62931360,-2.65487551,0.21265877,-0.41160897,0.03741089,-0.17690117,0.15652795,-0.65774000,0.08497743,-0.65868762,0.00002098,-0.00033153,0.07547026,-0.12204058,0.00427409,-0.02448357,0.32074017,-1.42515840
-5.92796398,0.60773062,-2.68437592,0.20117538,-0.41207641,0.03654931,-0.17854981,0.15402966,-0.65899442,0.08144537,-0.67760170,0.00002184,-0.00034911,0.07120813,-0.12270667,0.00413305,-0.02511134,0.31127556,-1.44030236
-5.92196098,0.58912976,-2.70260657,0.19030155,-0.41083741,0.03588809,-0.17949721,0.15260370,-0.65712557,0.07818188,-0.69405284,0.00002316,-0.00036931,0.06711302,-0.12300727,0.00401154,-0.02565211,0.30349749,-1.44924426
-5.91595798,0.57427713,-2.70970511,0.18028748,-0.40798486,0.03547318,-0.17977795,0.15243061,-0.65227078,0.07529547,-0.70788295,0.00002492,-0.00039258,0.06327077,-0.12298702,0.00391441,-0.02610099,0.29780308,-1.45205211
-5.90995498,0.56386823,-2.70601742,0.17135858,-0.40364607,0.03534626,-0.17944245,0.15367196,-0.64462386,0.07288646,-0.71898003,0.00002714,-0.00041937,0.05975901,-0.12270168,0.00384615,-0.02645443,0.29455344,-1.44890498
