energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,2.33624970,-2.84964042,2.62345581,-3.32834835,0.61624682,-0.63888481,0.00121813,-0.00036052,0.04486218,-0.08369513,0.01108963,-0.01574766,1.43697310,-1.79113166
-5.99399700,2.29019143,-2.84283806,2.56784974,-3.31273717,0.60694399,-0.64101859,0.00118718,-0.00033329,0.04237958,-0.08264224,0.01089267,-0.01570316,1.41146630,-1.78784225
-5.98799400,2.23964278,-2.82388831,2.50699563,-3.28348754,0.59600371,-0.64015975,0.00115469,-0.00031124,0.03992883,-0.08141137,0.01070339,-0.01562228,1.38299472,-1.77672099
-5.98199100,2.18481360,-2.79292356,2.44099742,-3.24093085,0.58348997,-0.63626999,0.00112048,-0.00029356,0.03752263,-0.07999758,0.01052523,-0.01550124,1.35166966,-1.75787811
-5.97598799,2.12599442,-2.75026805,2.37005609,-3.18559410,0.56949783,-0.62936423,0.00108444,-0.00027949,0.03517313,-0.07839675,0.01036159,-0.01533733,1.31765537,-1.73154807
-5.96998499,2.06355346,-2.69642971,2.29447477,-3.11818717,0.55415127,-0.61951047,0.00104654,-0.00026836,0.03289184,-0.07660623,0.01021552,-0.01512892,1.28116747,-1.69808303
-5.96398199,1.99792912,-2.63208770,2.21465804,-3.03958573,0.53759959,-0.60682831,0.00100685,-0.00025960,0.03068946,-0.07462535,0.01008958,-0.01487553,1.24246860,-1.65794355
-5.95797899,1.92961845,-2.55807596,2.13110567,-2.95081035,0.52001274,-0.59148598,0.00096547,-0.00025268,0.02857574,-0.07245592,0.00998555,-0.01457774,1.20186149,-1.61168691
-5.95197599,1.85916242,-2.47536347,2.04440159,-2.85300257,0.50157559,-0.57369610,0.00092258,-0.00024719,0.02655922,-0.07010263,0.00990434,-0.01423723,1.15968001,-1.55995341
-5.94597299,1.78712903,-2.38503186,1.95519868,-2.74739883,0.48248174,-0.55371021,0.00087839,-0.00024273,0.02464708,-0.06757341,0.00984581,-0.01385672,1.11627873,-1.50345114
-5.93996998,1.71409538,-2.28825100,1.86420081,-2.63530316,0.46292706,-0.53181244,0.00083314,-0.00023901,0.02284498,-0.06487957,0.00980877,-0.01343994,1.07202175,-1.44293975
-5.93396698,1.64062989,-2.18625359,1.77214303,-2.51805941,0.44310347,-0.50831243,0.00078711,-0.00023573,0.02115689,-0.06203587,0.00979089,-0.01299158,1.02727158,-1.37921376
-5.92796398,1.56727576,-2.08030924,1.67977146,-2.39702421,0.42319320,-0.48353770,0.00074059,-0.00023269,0.01958509,-0.05906040,0.00978880,-0.01251715,0.98237865,-1.31308591
-5.92196098,1.49453674,-1.97169905,1.58782377,-2.27354127,0.40336388,-0.45782595,0.00069389,-0.00022969,0.01813009,-0.05597435,0.00979816,-0.01202298,0.93767212,-1.24537109
-5.91595798,1.42286588,-1.86169141,1.49701148,-2.14891785,0.38376478,-0.43151737,0.00064731,-0.00022658,0.01679074,-0.05280163,0.00981385,-0.01151604,0.89345252,-1.17687122
-5.90995498,1.35265782,-1.75151943,1.40800487,-2.02440403,0.36452415,-0.40494723,0.00060116,-0.00022322,0.01556434,-0.04956831,0.00983010,-0.01100382,0.84998652,-1.10836150
-5.90395198,1.28424505,-1.64236077,1.32142098,-1.90117522,0.34574795,-0.37843913,0.00055574,-0.00021951,0.01444684,-0.04630210,0.00984080,-0.01049423,0.80750403,-1.04057841
-5.89794897,1.21789777,-1.53532012,1.23781510,-1.78031813,0.32751982,-0.35229882,0.00051133,-0.00021538,0.01343308,-0.04303160,0.00983968,-0.00999539,0.76619758,-0.97420939
-5.89194597,1.15382741,-1.43141465,1.15767582,-1.66282036,0.30990225,-0.32680906,0.00046819,-0.00021075,0.01251709,-0.03978564,0.00982059,-0.00951549,0.72622395,-0.90988463
-5.88594297,1.09219313,-1.33156240,1.08142329,-1.54956346,0.29293872,-0.30222529,0.00042657,-0.00020558,0.01169245,-0.03659257,0.00977781,-0.00906259,0.68770752,-0.84817073
-5.87993997,1.03311054,-1.23657379,1.00941045,-1.44131928,0.27665672,-0.27877244,0.00038668,-0.00019987,0.01095259,-0.03347955,0.00970622,-0.00864447,0.65074518,-0.78956625
-5.87393697,0.97666202,-1.14714588,0.94192651,-1.33874919,0.26107121,-0.25664266,0.00034870,-0.00019359,0.01029115,-0.03047193,0.00960157,-0.00826839,0.61541217,-0.73449900
-5.86793397,0.92290764,-1.06385932,0.87920215,-1.24240575,0.24618844,-0.23599401,0.00031279,-0.00018675,0.00970236,-0.02759272,0.00946064,-0.00794096,0.58176825,-0.68332481
-5.86193097,0.87189593,-0.98717748,0.82141557,-1.15273622,0.23200973,-0.21695011,0.00027906,-0.00017940,0.00918130,-0.02486214,0.00928139,-0.00766791,0.54986394,-0.63632762
-5.85592796,0.82367363,-0.91744762,0.76869881,-1.07008745,0.21853502,-0.19960050,0.00024759,-0.00017156,0.00872421,-0.02229727,0.00906303,-0.00745397,0.51974610,-0.59372050
-5.84992496,0.77829397,-0.85490351,0.72114368,-0.99471154,0.20576604,-0.18400167,0.00021844,-0.00016329,0.00832872,-0.01991185,0.00880608,-0.00730266,0.49146259,-0.55564756
-5.84392196,0.73582279,-0.79966931,0.67880680,-0.92677190,0.19370881,-0.17017866,0.00019162,-0.00015465,0.00799406,-0.01771618,0.00851234,-0.00721621,0.46506576,-0.52218630
-5.83791896,0.69634239,-0.75176436,0.64171334,-0.86634910,0.18237551,-0.15812706,0.00016713,-0.00014573,0.00772118,-0.01571714,0.00818483,-0.00719542,0.44061442,-0.49335042
-5.83191596,0.65995293,-0.71110866,0.60985940,-0.81344641,0.17178560,-0.14781529,0.00014491,-0.00013659,0.00751287,-0.01391829,0.00782769,-0.00723962,0.41817447,-0.46909277
-5.82591296,0.62677151,-0.67752876,0.58321280,-0.76799473,0.16196623,-0.13918714,0.00012490,-0.00012733,0.00737379,-0.01232013,0.00744602,-0.00734657,0.39781802,-0.44930862
