energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,3.96883383,3.95890127,0.94737125,0.00032551,1.65859715,0.00890872,0.71518149
-5.99399700,3.69268556,3.67782772,0.87550465,0.00032719,1.53178116,0.00829845,0.67838634
-5.98799400,3.42140777,3.40069570,0.80458485,0.00033187,1.40623751,0.00770432,0.64320696
-5.98199100,3.15850811,3.13099199,0.73543980,0.00033985,1.28342028,0.00713463,0.61030320
-5.97598799,2.90710446,2.87183670,0.66880489,0.00035137,1.16463100,0.00659661,0.58025358
-5.96998499,2.66986970,2.62593044,0.60531185,0.00036660,1.05099959,0.00609629,0.55354073
-5.96398199,2.44899332,2.39551824,0.54548178,0.00038562,0.94347253,0.00563839,0.53053980
-5.95797899,2.24616038,2.18237022,0.48972229,0.00040840,0.84280810,0.00522629,0.51151023
-5.95197599,2.06254708,1.98777858,0.43832842,0.00043483,0.74957818,0.00486203,0.49659096
-5.94597299,1.89883220,1.81256985,0.39148700,0.00046468,0.66417596,0.00454633,0.48579932
-5.93996998,1.75522271,1.65713069,0.34928404,0.00049763,0.58682880,0.00427868,0.47903348
-5.93396698,1.63149182,1.52144522,0.31171444,0.00053324,0.51761494,0.00405746,0.47607839
-5.92796398,1.52702705,1.40514171,0.27869358,0.00057100,0.45648336,0.00388004,0.47661498
-5.92196098,1.44088625,1.30754606,0.25007003,0.00061031,0.40327527,0.00374293,0.48023236
-5.91595798,1.37185881,1.22773952,0.22563894,0.00065051,0.35774639,0.00364196,0.48644258
-5.90995498,1.31852975,1.16461822,0.20515537,0.00069087,0.31958898,0.00357245,0.49469755
-5.90395198,1.27934431,1.11695207,0.18834717,0.00073065,0.28845251,0.00352938,0.50440743
-5.89794897,1.25267067,1.08344076,0.17492699,0.00076908,0.26396247,0.00350755,0.51496009
-5.89194597,1.23685883,1.06276504,0.16460293,0.00080544,0.24573640,0.00350176,0.52574084
-5.88594297,1.23029381,1.05363140,0.15708770,0.00083900,0.23339692,0.00350698,0.53615190
-5.87993997,1.23144166,1.05480901,0.15210602,0.00086913,0.22658126,0.00351843,0.54563079
-5.87393697,1.23888709,1.06515782,0.14940018,0.00089524,0.22494735,0.00353179,0.55366725
-5.86793397,1.25136187,1.08364738,0.14873368,0.00091687,0.22817634,0.00354323,0.55981787
-5.86193097,1.26776359,1.10936612,0.14989317,0.00093366,0.23597184,0.00354949,0.56371819
-5.85592796,1.28716474,1.14152148,0.15268862,0.00094537,0.24805621,0.00354799,0.56509164
