energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,2.62536847,0.00467648,0.23869919,0.90190844,0.35631927,0.99447236,0.62005138,0.01327746,1.26679835
-5.99399700,2.72602864,0.00480455,0.25323106,0.93853743,0.36988831,1.02779670,0.64902031,0.01370677,1.30918238
-5.98799400,2.82701884,0.00494216,0.26847416,0.97465673,0.38364584,1.06080050,0.67860210,0.01410087,1.35051354
-5.98199100,2.92739854,0.00508744,0.28430112,1.00985686,0.39746288,1.09316377,0.70859105,0.01445820,1.39032845
-5.97598799,3.02624071,0.00523866,0.30056663,1.04372754,0.41121634,1.12456221,0.73877726,0.01477887,1.42819079
-5.96998499,3.12263438,0.00539419,0.31710880,1.07586140,0.42478955,1.15466838,0.76894583,0.01506468,1.46369314
-5.96398199,3.21568692,0.00555251,0.33375130,1.10585813,0.43807237,1.18315336,0.79887607,0.01531904,1.49645858
-5.95797899,3.30452654,0.00571224,0.35030594,1.13332941,0.45096110,1.20968929,0.82834094,0.01554683,1.52614190
-5.95197599,3.38830569,0.00587213,0.36657594,1.15790447,0.46335813,1.23395259,0.85710683,0.01575418,1.55243099
-5.94597299,3.46620567,0.00603104,0.38235973,1.17923630,0.47517152,1.25562826,0.88493400,0.01594820,1.57504824
-5.93996998,3.53744261,0.00618800,0.39745517,1.19700830,0.48631445,1.27441504,0.91157765,0.01613664,1.59375222
-5.93396698,3.60127511,0.00634213,0.41166408,1.21094117,0.49670474,1.29003126,0.93678988,0.01632756,1.60833960
-5.92796398,3.65701330,0.00649270,0.42479701,1.22079984,0.50626443,1.30222131,0.96032242,0.01652886,1.61864712
-5.92196098,3.70402908,0.00663910,0.43667802,1.22639998,0.51491938,1.31076234,0.98193030,0.01674798,1.62455360
-5.91595798,3.74176731,0.00678080,0.44714929,1.22761384,0.52259914,1.31547087,1.00137624,0.01699142,1.62598184
-5.90995498,3.76975734,0.00691739,0.45607548,1.22437509,0.52923689,1.31620901,1.01843579,0.01726443,1.62290006
-5.90395198,3.78762444,0.00704848,0.46334758,1.21668228,0.53476959,1.31288987,1.03290292,0.01757068,1.61532289
-5.89794897,3.79510058,0.00717374,0.46888614,1.20460082,0.53913837,1.30548194,1.04459605,0.01791198,1.60331163
-5.89194597,3.79203400,0.00729279,0.47264379,1.18826313,0.54228906,1.29401204,1.05336406,0.01828811,1.58697374
-5.88594297,3.77839713,0.00740524,0.47460686,1.16786708,0.54417296,1.27856676,1.05909225,0.01869672,1.56646141
-5.87993997,3.75429234,0.00751062,0.47479607,1.14367249,0.54474777,1.25929225,1.06170777,0.01913328,1.54196933
-5.87393697,3.71995523,0.00760833,0.47326628,1.11599605,0.54397869,1.23639224,1.06118443,0.01959119,1.51373156
-5.86793397,3.67575520,0.00769764,0.47010516,1.08520452,0.54183967,1.21012445,1.05754646,0.02006191,1.48201778
-5.86193097,3.62219305,0.00777766,0.46543096,1.05170676,0.53831472,1.18079539,1.05087106,0.02053526,1.44712887
-5.85592796,3.55989556,0.00784737,0.45938929,1.01594460,0.53339929,1.14875387,1.04128947,0.02099967,1.40939215
-5.84992496,3.48960697,0.00790557,0.45214904,0.97838309,0.52710163,1.11438325,1.02898643,0.02144264,1.36915629
-5.84392196,3.41217760,0.00795098,0.44389758,0.93950025,0.51944401,1.07809291,1.01419790,0.02185116,1.32678621
-5.83791896,3.32854956,0.00798221,0.43483534,0.89977683,0.51046384,1.04030901,0.99720698,0.02221215,1.28265797
-5.83191596,3.23973994,0.00799786,0.42516984,0.85968628,0.50021453,1.00146507,0.97833805,0.02251297,1.23715388
-5.82591296,3.14682185,0.00799656,0.41510962,0.81968521,0.48876596,0.96199238,0.95794932,0.02274189,1.19065791
-5.81990995,3.05090370,0.00797709,0.40485791,0.78020468,0.47620467,0.92231077,0.93642392,0.02288852,1.14355130
-5.81390695,2.95310718,0.00793839,0.39460658,0.74164240,0.46263353,0.88281986,0.91415987,0.02294419,1.09620873
-5.80790395,2.85454483,0.00787971,0.38453038,0.70435614,0.44817097,0.84389112,0.89155926,0.02290231,1.04899473
-5.80190095,2.75629765,0.00780062,0.37478178,0.66865842,0.43294970,0.80586085,0.86901705,0.02275860,1.00226061
-5.79589795,2.65939357,0.00770114,0.36548657,0.63481249,0.41711501,0.76902443,0.84691003,0.02251125,0.95634173
-5.78989495,2.56478768,0.00758177,0.35674051,0.60302993,0.40082260,0.73363189,0.82558626,0.02216101,0.91155526
-5.78389195,2.47334488,0.00744350,0.34860700,0.57346954,0.38423606,0.69988489,0.80535565,0.02171117,0.86819837
-5.77788894,2.38582559,0.00728790,0.34111608,0.54623780,0.36752410,0.66793530,0.78648198,0.02116741,0.82654688
-5.77188594,2.30287530,0.00711705,0.33426470,0.52139072,0.35085755,0.63788533,0.76917671,0.02053768,0.78685439
-5.76588294,2.22501829,0.00693359,0.32801832,0.49893705,0.33440643,0.60978918,0.75359501,0.01983191,0.74935191
-5.75987994,2.15265575,0.00674063,0.32231375,0.47884260,0.31833691,0.58365618,0.73983405,0.01906169,0.71424795
-5.75387694,2.08606840,0.00654172,0.31706316,0.46103580,0.30280856,0.55945516,0.72793365,0.01823992,0.68172914
-5.74787394,2.02542346,0.00634079,0.31215912,0.44541387,0.28797186,0.53712005,0.71787933,0.01738048,0.65196114
-5.74187094,1.97078541,0.00614204,0.30748026,0.43184980,0.27396593,0.51655618,0.70960739,0.01649781,0.62508995
