energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Pb_p_up,Pb_p_down,Pb_d_up,Pb_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.23090644,-1.23090645,0.57013612,-0.57013612,0.21931614,-0.21931614,0.17475080,-0.17475080,0.00082773,-0.00082773,0.74647420,-0.74647420,0.00000000,-0.00000000
-5.99399700,1.27251701,-1.27251701,0.59073313,-0.59073313,0.23021730,-0.23021730,0.17724542,-0.17724542,0.00082739,-0.00082739,0.77295357,-0.77295358,0.00000000,-0.00000000
-5.98799400,1.31643625,-1.31643625,0.61161857,-0.61161857,0.24156760,-0.24156760,0.17894780,-0.17894780,0.00083331,-0.00083331,0.80164565,-0.80164565,0.00000000,-0.00000000
-5.98199100,1.36248378,-1.36248379,0.63265500,-0.63265500,0.25330772,-0.25330772,0.17983702,-0.17983702,0.00084551,-0.00084551,0.83244914,-0.83244915,0.00000000,-0.00000000
-5.97598799,1.41045234,-1.41045234,0.65371603,-0.65371604,0.26537333,-0.26537333,0.17990870,-0.17990870,0.00086389,-0.00086389,0.86523323,-0.86523323,0.00000000,-0.00000000
-5.96998499,1.46009552,-1.46009553,0.67468128,-0.67468128,0.27769270,-0.27769270,0.17917490,-0.17917490,0.00088814,-0.00088814,0.89982885,-0.89982885,0.00000000,-0.00000000
-5.96398199,1.51111561,-1.51111562,0.69543056,-0.69543056,0.29018445,-0.29018445,0.17766344,-0.17766344,0.00091784,-0.00091784,0.93602036,-0.93602036,0.00000000,-0.00000000
-5.95797899,1.56315201,-1.56315201,0.71583784,-0.71583784,0.30275539,-0.30275540,0.17541646,-0.17541646,0.00095237,-0.00095237,0.97353807,-0.97353807,0.00000000,-0.00000000
-5.95197599,1.61577150,-1.61577151,0.73576517,-0.73576517,0.31529882,-0.31529882,0.17248857,-0.17248857,0.00099098,-0.00099098,1.01205233,-1.01205234,0.00000000,-0.00000000
-5.94597299,1.66846108,-1.66846108,0.75505729,-0.75505729,0.32769336,-0.32769336,0.16894448,-0.16894448,0.00103277,-0.00103277,1.05116968,-1.05116968,0.00000000,-0.00000000
-5.93996998,1.72062421,-1.72062421,0.77353730,-0.77353730,0.33980256,-0.33980256,0.16485633,-0.16485633,0.00107675,-0.00107675,1.09043156,-1.09043156,0.00000000,-0.00000000
-5.93396698,1.77158134,-1.77158134,0.79100387,-0.79100387,0.35147544,-0.35147544,0.16030087,-0.16030086,0.00112183,-0.00112183,1.12931616,-1.12931616,0.00000000,-0.00000000
-5.92796398,1.82057515,-1.82057515,0.80723029,-0.80723030,0.36254789,-0.36254790,0.15535661,-0.15535661,0.00116684,-0.00116684,1.16724353,-1.16724353,0.00000000,-0.00000000
-5.92196098,1.86678089,-1.86678089,0.82196573,-0.82196574,0.37284529,-0.37284530,0.15010115,-0.15010115,0.00121062,-0.00121062,1.20358422,-1.20358422,0.00000000,-0.00000000
-5.91595798,1.90932176,-1.90932176,0.83493870,-0.83493870,0.38218593,-0.38218593,0.14460872,-0.14460872,0.00125198,-0.00125198,1.23767136,-1.23767136,0.00000000,-0.00000000
-5.90995498,1.94728910,-1.94728911,0.84586280,-0.84586280,0.39038546,-0.39038546,0.13894816,-0.13894816,0.00128977,-0.00128977,1.26881593,-1.26881593,0.00000000,-0.00000000
-5.90395198,1.97976681,-1.97976681,0.85444455,-0.85444455,0.39726210,-0.39726210,0.13318129,-0.13318129,0.00132293,-0.00132293,1.29632474,-1.29632474,0.00000000,-0.00000000
-5.89794897,2.00585889,-2.00585889,0.86039295,-0.86039295,0.40264235,-0.40264235,0.12736191,-0.12736191,0.00135048,-0.00135048,1.31952047,-1.31952047,0.00000000,-0.00000000
-5.89194597,2.02471921,-2.02471921,0.86343026,-0.86343026,0.40636697,-0.40636697,0.12153517,-0.12153517,0.00137157,-0.00137157,1.33776299,-1.33776299,0.00000000,-0.00000000
-5.88594297,2.03558186,-2.03558186,0.86330361,-0.86330361,0.40829705,-0.40829705,0.11573761,-0.11573761,0.00138551,-0.00138551,1.35047096,-1.35047096,0.00000000,-0.00000000
-5.87993997,2.03779079,-2.03779079,0.85979659,-0.85979659,0.40831964,-0.40831964,0.10999753,-0.10999753,0.00139177,-0.00139177,1.35714272,-1.35714272,0.00000000,-0.00000000
-5.87393697,2.03082708,-2.03082707,0.85274031,-0.85274031,0.40635284,-0.40635284,0.10433581,-0.10433581,0.00139001,-0.00139001,1.35737542,-1.35737542,0.00000000,-0.00000000
-5.86793397,2.01433247,-2.01433247,0.84202318,-0.84202318,0.40234998,-0.40234998,0.09876698,-0.09876698,0.00138006,-0.00138006,1.35088153,-1.35088153,0.00000000,-0.00000000
-5.86193097,1.98812790,-1.98812790,0.82759891,-0.82759891,0.39630262,-0.39630262,0.09330055,-0.09330055,0.00136196,-0.00136196,1.33750166,-1.33750165,0.00000000,-0.00000000
-5.85592796,1.95222588,-1.95222587,0.80949215,-0.80949215,0.38824227,-0.38824227,0.08794228,-0.08794228,0.00133592,-0.00133592,1.31721322,-1.31721322,0.00000000,-0.00000000
-5.84992496,1.90683608,-1.90683607,0.78780148,-0.78780148,0.37824071,-0.37824070,0.08269562,-0.08269562,0.00130231,-0.00130231,1.29013431,-1.29013430,0.00000000,-0.00000000
-5.84392196,1.85236379,-1.85236378,0.76269951,-0.76269951,0.36640869,-0.36640869,0.07756286,-0.07756286,0.00126168,-0.00126168,1.25652259,-1.25652258,0.00000000,-0.00000000
