energy_ev,total_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up,V_p_up,V_d_up
-6.00000000,0.98475888,0.01625843,0.50988216,0.05154008,0.00008540,0.41376320,0.25724076
-5.99399700,0.96637888,0.01644272,0.49546785,0.05180118,0.00008642,0.38974427,0.25610553
-5.98799400,0.95179894,0.01669532,0.48410055,0.05229430,0.00008733,0.36823179,0.25596324
-5.98199100,0.94032592,0.01699731,0.47535463,0.05296749,0.00008806,0.34898061,0.25660530
-5.97598799,0.93123574,0.01732908,0.46877663,0.05376539,0.00008861,0.33174306,0.25781072
-5.96998499,0.92380338,0.01767087,0.46390422,0.05463123,0.00008892,0.31628040,0.25935514
-5.96398199,0.91733258,0.01800344,0.46028507,0.05550891,0.00008899,0.30237287,0.26102014
-5.95797899,0.91118401,0.01830865,0.45749484,0.05634498,0.00008879,0.28982820,0.26260243
-5.95197599,0.90480122,0.01857003,0.45515384,0.05709070,0.00008832,0.27848856,0.26392259
-5.94597299,0.89773347,0.01877338,0.45294180,0.05770390,0.00008756,0.26823583,0.26483307
-5.93996998,0.88965469,0.01890719,0.45061030,0.05815059,0.00008654,0.25899539,0.26522502
-5.93396698,0.88037806,0.01896306,0.44799251,0.05840640,0.00008527,0.25073822,0.26503386
-5.92796398,0.86986561,0.01893603,0.44500986,0.05845765,0.00008379,0.24348157,0.26424321
-5.92196098,0.85823260,0.01882471,0.44167553,0.05830207,0.00008212,0.23728826,0.26288705
-5.91595798,0.84574645,0.01863141,0.43809459,0.05794914,0.00008034,0.23226449,0.26105008
-5.90995498,0.83282040,0.01836208,0.43446081,0.05742006,0.00007849,0.22855650,0.25886614
-5.90395198,0.82000179,0.01802611,0.43105032,0.05674724,0.00007664,0.22634596,0.25651482
-5.89794897,0.80795570,0.01763610,0.42821214,0.05597355,0.00007488,0.22584424,0.25421628
-5.89194597,0.79744407,0.01720748,0.42635616,0.05515111,0.00007327,0.22728567,0.25222448
-5.88594297,0.78930125,0.01675800,0.42593868,0.05433977,0.00007190,0.23091993,0.25081905
-5.87993997,0.78440646,0.01630719,0.42744609,0.05360542,0.00007085,0.23700352,0.25029605
-5.87393697,0.78365428,0.01587582,0.43137725,0.05301802,0.00007019,0.24579080,0.25095783
-5.86793397,0.78792373,0.01548516,0.43822492,0.05264946,0.00006999,0.25752437,0.25310245
-5.86193097,0.79804718,0.01515641,0.44845700,0.05257142,0.00007032,0.27242539,0.25701286
-5.85592796,0.81477982,0.01490996,0.46249802,0.05285316,0.00007122,0.29068380,0.26294625
-5.84992496,0.83877056,0.01476478,0.48071151,0.05355931,0.00007274,0.31244885,0.27112383
-5.84392196,0.87053548,0.01473781,0.50338370,0.05474778,0.00007490,0.33782022,0.28172141
-5.83791896,0.91043433,0.01484336,0.53070921,0.05646784,0.00007772,0.36683992,0.29486110
-5.83191596,0.95865100,0.01509259,0.56277900,0.05875832,0.00008118,0.39948538,0.31060423
-5.82591296,1.01517850,0.01549313,0.59957111,0.06164608,0.00008528,0.43566397,0.32894598
-5.81990995,1.07980898,0.01604866,0.64094457,0.06514474,0.00008996,0.47520914,0.34981167
-5.81390695,1.15212920,0.01675870,0.68663648,0.06925372,0.00009519,0.51787856,0.37305511
-5.80790395,1.23152164,0.01761844,0.73626280,0.07395757,0.00010089,0.56335413,0.39845885
-5.80190095,1.31717141,0.01861871,0.78932259,0.07922568,0.00010697,0.61124434,0.42573667
-5.79589795,1.40807887,0.01974605,0.84520587,0.08501242,0.00011336,0.66108865,0.45453807
-5.78989495,1.50307769,0.02098289,0.90320491,0.09125755,0.00011995,0.71236409,0.48445487
-5.78389195,1.60085809,0.02230795,0.96252866,0.09788715,0.00012662,0.76449378,0.51502971
-5.77788894,1.69999458,0.02369660,1.02232003,0.10481482,0.00013328,0.81685736,0.54576628
-5.77188594,1.79897755,0.02512148,1.08167550,0.11194340,0.00013980,0.86880280,0.57614099
-5.76588294,1.89624794,0.02655314,1.13966667,0.11916690,0.00014608,0.91965959,0.60561592
