energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,3.01840821,0.98649616,1.22894088,0.00567972,0.06662470,0.00768033,1.96283881,0.29429563,0.19884630
-5.99399700,3.10592597,1.00581452,1.27307359,0.00577473,0.06744716,0.00777133,2.01926379,0.30191131,0.20345506
-5.98799400,3.18098225,1.02113033,1.31214924,0.00583599,0.06793631,0.00782106,2.06780714,0.30835892,0.20726320
-5.98199100,3.24287940,1.03244826,1.34569113,0.00586414,0.06808424,0.00783012,2.10807077,0.31365657,0.21023467
-5.97598799,3.29117575,1.03986334,1.37332130,0.00586082,0.06788855,0.00780005,2.13982265,0.31785632,0.21234726
-5.96998499,3.32570062,1.04355914,1.39477237,0.00582869,0.06735251,0.00773327,2.16300490,0.32104254,0.21359329
-5.96398199,3.34656024,1.04380256,1.40989584,0.00577137,0.06648508,0.00763303,2.17773598,0.32332892,0.21398002
-5.95797899,3.35413417,1.04093560,1.41866629,0.00569333,0.06530077,0.00750328,2.18430663,0.32485415,0.21352941
-5.95197599,3.34906192,1.03536430,1.42118153,0.00559981,0.06381934,0.00734852,2.18316955,0.32577655,0.21227758
-5.94597299,3.33222032,1.02754510,1.41765820,0.00549659,0.06206532,0.00717367,2.17492327,0.32626777,0.21027370
-5.93996998,3.30469231,1.01796930,1.40842332,0.00538989,0.06006743,0.00698386,2.16029047,0.32650588,0.20757850
-5.93396698,3.26772848,1.00714614,1.39390190,0.00528609,0.05785786,0.00678430,2.14009204,0.32666813,0.20426237
-5.92796398,3.22270290,0.99558516,1.37460129,0.00519158,0.05547143,0.00658008,2.11521753,0.32692371,0.20040321
-5.92196098,3.17106512,0.98377860,1.35109286,0.00511248,0.05294471,0.00637602,2.08659348,0.32742682,0.19608405
-5.91595798,3.11429045,0.97218452,1.32399191,0.00505448,0.05031514,0.00617654,2.05515102,0.32831031,0.19139053
-5.90995498,3.05383064,0.96121129,1.29393674,0.00502258,0.04762006,0.00598550,2.02179392,0.32968022,0.18640842
-5.90395198,2.99106702,0.95120419,1.26156766,0.00502096,0.04489589,0.00580615,1.98736867,0.33161142,0.18122120
-5.89794897,2.92726814,0.94243447,1.22750712,0.00505275,0.04217725,0.00564106,1.95263777,0.33414449,0.17590786
-5.89194597,2.86355365,0.93509147,1.19234154,0.00511996,0.03949628,0.00549208,1.91825729,0.33728398,0.17054096
-5.88594297,2.80086577,0.92927795,1.15660576,0.00522336,0.03688199,0.00536033,1.88475971,0.34099815,0.16518507
-5.87993997,2.73994943,0.92500891,1.12077060,0.00536240,0.03435981,0.00524624,1.85254257,0.34522008,0.15989558
-5.87393697,2.68134173,0.92221380,1.08523397,0.00553527,0.03195125,0.00514964,1.82186336,0.34985021,0.15471803
-5.86793397,2.62537086,0.92074214,1.05031573,0.00573885,0.02967366,0.00506977,1.79284070,0.35476011,0.14968778
-5.86193097,2.57216416,0.92037219,1.01625639,0.00596886,0.02754026,0.00500545,1.76546163,0.35979732,0.14483027
-5.85592796,2.52166474,0.92082237,0.98321933,0.00621997,0.02556018,0.00495514,1.73959448,0.36479117,0.14016155
-5.84992496,2.47365562,0.92176497,0.95129642,0.00648592,0.02373867,0.00491711,1.71500664,0.36955923,0.13568929
-5.84392196,2.42778998,0.92284160,0.92051631,0.00675980,0.02207745,0.00488951,1.69138636,0.37391424,0.13141407
-5.83791896,2.38362597,0.92367979,0.89085510,0.00703419,0.02057514,0.00487053,1.66836739,0.37767120,0.12733086
-5.83191596,2.34066443,0.92391006,0.86224840,0.00730150,0.01922769,0.00485853,1.64555543,0.38065447,0.12343071
-5.82591296,2.29838762,0.92318286,0.83460436,0.00755415,0.01802889,0.00485211,1.62255512,0.38270451,0.11970248
