energy_ev,total_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,0.44849515,0.16019833,0.10389705,0.00721396,0.27796279,0.01118348,0.00003414
-5.99399700,0.45217322,0.16057876,0.10726391,0.00761601,0.28276805,0.01037223,0.00003323
-5.98799400,0.45656513,0.16124971,0.11081651,0.00803653,0.28774417,0.00961319,0.00003232
-5.98199100,0.46147779,0.16214420,0.11449745,0.00847172,0.29279072,0.00890722,0.00003141
-5.97598799,0.46671402,0.16319156,0.11824842,0.00891756,0.29780366,0.00825377,0.00003048
-5.96998499,0.47207927,0.16432010,0.12201191,0.00936980,0.30267952,0.00765105,0.00002953
-5.96398199,0.47738816,0.16545974,0.12573291,0.00982414,0.30731962,0.00709630,0.00002856
-5.95797899,0.48247071,0.16654456,0.12936058,0.01027630,0.31163406,0.00658610,0.00002755
-5.95197599,0.48717782,0.16751501,0.13284973,0.01072207,0.31554517,0.00611654,0.00002652
-5.94597299,0.49138580,0.16831980,0.13616214,0.01115745,0.31899051,0.00568355,0.00002546
-5.93996998,0.49499971,0.16891730,0.13926749,0.01157867,0.32192495,0.00528306,0.00002439
-5.93396698,0.49795542,0.16927651,0.14214410,0.01198228,0.32432205,0.00491121,0.00002329
-5.92796398,0.50022029,0.16937744,0.14477920,0.01236520,0.32617442,0.00456447,0.00002219
-5.92196098,0.50179251,0.16921102,0.14716886,0.01272471,0.32749333,0.00423977,0.00002109
-5.91595798,0.50269902,0.16877855,0.14931753,0.01305852,0.32830736,0.00393453,0.00002000
-5.90995498,0.50299241,0.16809065,0.15123723,0.01336470,0.32866030,0.00364674,0.00001894
-5.90395198,0.50274671,0.16716595,0.15294646,0.01364174,0.32860848,0.00337491,0.00001791
-5.89794897,0.50205245,0.16602946,0.15446878,0.01388848,0.32821755,0.00311810,0.00001693
-5.89194597,0.50101131,0.16471082,0.15583127,0.01410408,0.32755894,0.00287583,0.00001600
-5.88594297,0.49973050,0.16324243,0.15706286,0.01428798,0.32670620,0.00264806,0.00001515
-5.87993997,0.49831723,0.16165766,0.15819263,0.01443991,0.32573140,0.00243517,0.00001437
-5.87393697,0.49687362,0.15998915,0.15924822,0.01455974,0.32470173,0.00223787,0.00001368
-5.86793397,0.49549221,0.15826739,0.16025437,0.01464754,0.32367659,0.00205721,0.00001309
-5.86193097,0.49425236,0.15651941,0.16123172,0.01470349,0.32270512,0.00189455,0.00001260
-5.85592796,0.49321773,0.15476797,0.16219593,0.01472783,0.32182454,0.00175161,0.00001223
-5.84992496,0.49243494,0.15303098,0.16315714,0.01472088,0.32105914,0.00163048,0.00001197
-5.84392196,0.49193342,0.15132133,0.16411989,0.01468300,0.32042016,0.00153370,0.00001184
-5.83791896,0.49172660,0.14964706,0.16508336,0.01461458,0.31990640,0.00146440,0.00001184
-5.83191596,0.49181416,0.14801185,0.16604207,0.01451605,0.31950567,0.00142636,0.00001197
-5.82591296,0.49218530,0.14641584,0.16698694,0.01438791,0.31919684,0.00142425,0.00001225
-5.81990995,0.49282279,0.14485664,0.16790655,0.01423073,0.31895241,0.00146375,0.00001267
-5.81390695,0.49370753,0.14333050,0.16878871,0.01404520,0.31874153,0.00155178,0.00001325
-5.80790395,0.49482320,0.14183354,0.16962204,0.01383219,0.31853305,0.00169672,0.00001399
-5.80190095,0.49616079,0.14036303,0.17039753,0.01359274,0.31829858,0.00190860,0.00001490
-5.79589795,0.49772260,0.13891853,0.17111001,0.01332817,0.31801530,0.00219932,0.00001598
-5.78989495,0.49952525,0.13750279,0.17175931,0.01304005,0.31766819,0.00258283,0.00001725
-5.78389195,0.50160169,0.13612251,0.17235105,0.01273029,0.31725167,0.00307528,0.00001871
-5.77788894,0.50400163,0.13478870,0.17289700,0.01240109,0.31677038,0.00369511,0.00002037
-5.77188594,0.50679054,0.13351669,0.17341490,0.01205500,0.31623903,0.00446310,0.00002223
-5.76588294,0.51004696,0.13232583,0.17392778,0.01169485,0.31568137,0.00540227,0.00002429
-5.75987994,0.51385831,0.13123866,0.17446273,0.01132377,0.31512816,0.00653772,0.00002655
-5.75387694,0.51831526,0.13027994,0.17504921,0.01094505,0.31461436,0.00789635,0.00002901
-5.74787394,0.52350506,0.12947519,0.17571696,0.01056213,0.31417567,0.00950644,0.00003166
-5.74187094,0.52950409,0.12884914,0.17649365,0.01017849,0.31384464,0.01139702,0.00003448
-5.73586793,0.53637006,0.12842397,0.17740243,0.00979753,0.31364655,0.01359718,0.00003745
-5.72986493,0.54413449,0.12821758,0.17845947,0.00942250,0.31359549,0.01613518,0.00004055
-5.72386193,0.55279576,0.12824190,0.17967174,0.00905635,0.31369078,0.01903741,0.00004374
-5.71785893,0.56231343,0.12850143,0.18103518,0.00870167,0.31391408,0.02232721,0.00004698
-5.71185593,0.57260402,0.12899199,0.18253326,0.00836057,0.31422746,0.02602368,0.00005024
-5.70585293,0.58353888,0.12969993,0.18413634,0.00803464,0.31457258,0.03014029,0.00005345
-5.69984992,0.59494409,0.13060177,0.18580155,0.00772489,0.31487109,0.03468362,0.00005658
-5.69384692,0.60660276,0.13166420,0.18747353,0.00743173,0.31502635,0.03965206,0.00005957
-5.68784392,0.61825959,0.13284474,0.18908585,0.00715497,0.31492635,0.04503462,0.00006235
-5.68184092,0.62962745,0.13409271,0.19056308,0.00689389,0.31444779,0.05080992,0.00006488
-5.67583792,0.64039595,0.13535068,0.19182349,0.00664726,0.31346105,0.05694548,0.00006710
-5.66983492,0.65024127,0.13655632,0.19278211,0.00641342,0.31183583,0.06339717,0.00006897
-5.66383192,0.65883709,0.13764441,0.19335415,0.00619042,0.30944711,0.07010919,0.00007043
-5.65782891,0.66586586,0.13854908,0.19345840,0.00597608,0.30618114,0.07701427,0.00007146
-5.65182591,0.67102996,0.13920612,0.19302068,0.00576815,0.30194105,0.08403450,0.00007204
-5.64582291,0.67406220,0.13955511,0.19197692,0.00556437,0.29665189,0.09108242,0.00007213
-5.63981991,0.67473513,0.13954154,0.19027586,0.00536265,0.29026463,0.09806265,0.00007174
-5.63381691,0.67286883,0.13911859,0.18788115,0.00516110,0.28275912,0.10487394,0.00007086
-5.62781391,0.66833677,0.13824862,0.18477291,0.00495814,0.27414566,0.11141152,0.00006952
-5.62181091,0.66106957,0.13690424,0.18094842,0.00475257,0.26446527,0.11756976,0.00006773
-5.61580790,0.65105661,0.13506908,0.17642225,0.00454357,0.25378854,0.12324504,0.00006553
-5.60980490,0.63834546,0.13273799,0.17122561,0.00433078,0.24221325,0.12833872,0.00006296
-5.60380190,0.62303932,0.12991705,0.16540506,0.00411424,0.22986090,0.13276002,0.00006007
-5.59779890,0.60529272,0.12662300,0.15902072,0.00389439,0.21687230,0.13642891,0.00005691
-5.59179590,0.58530566,0.12288253,0.15214408,0.00367204,0.20340254,0.13927858,0.00005353
-5.58579290,0.56331672,0.11873122,0.14485542,0.00344833,0.18961560,0.14125771,0.00005000
-5.57978989,0.53959541,0.11421230,0.13724121,0.00322465,0.17567887,0.14233223,0.00004638
-5.57378689,0.51443413,0.10937534,0.12939138,0.00300259,0.16175788,0.14248656,0.00004271
-5.56778389,0.48814022,0.10427481,0.12139671,0.00278389,0.14801139,0.14172437,0.00003905
-5.56178089,0.46102824,0.09896872,0.11334651,0.00257038,0.13458719,0.14006867,0.00003545
-5.55577789,0.43341291,0.09351723,0.10532646,0.00236394,0.12161860,0.13756142,0.00003195
