energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,2.07477513,0.61578328,0.27591670,0.00100121,0.15141910,0.00747345,1.15733419,0.69176368,0.20393459
-5.99399700,2.05079539,0.60563752,0.27917273,0.00097524,0.14616494,0.00714939,1.14826826,0.67969512,0.20059759
-5.98799400,2.02591447,0.59539321,0.28271367,0.00094713,0.14061287,0.00683212,1.13899376,0.66601666,0.19734263
-5.98199100,2.00116513,0.58540015,0.28660156,0.00091744,0.13487952,0.00652779,1.13004003,0.65106142,0.19430622
-5.97598799,1.97747371,0.57596845,0.29087417,0.00088671,0.12908096,0.00624202,1.12186926,0.63515622,0.19161307
-5.96998499,1.95563038,0.56735907,0.29554205,0.00085547,0.12333019,0.00597986,1.11486026,0.61861136,0.18937284
-5.96398199,1.93626557,0.55977659,0.30058674,0.00082426,0.11773481,0.00574563,1.10929589,0.60171157,0.18767750
-5.95797899,1.91983326,0.55336441,0.30596017,0.00079355,0.11239516,0.00554286,1.10535450,0.58470855,0.18659947
-5.95197599,1.90660202,0.54820252,0.31158533,0.00076379,0.10740273,0.00537428,1.10310583,0.56781537,0.18619049
-5.94597299,1.89665374,0.54430782,0.31735825,0.00073540,0.10283901,0.00524173,1.10251132,0.55120287,0.18648130
-5.93996998,1.88989011,0.54163693,0.32315128,0.00070872,0.09877477,0.00514618,1.10342892,0.53499835,0.18748206
-5.93396698,1.88604635,0.54009119,0.32881751,0.00068408,0.09526973,0.00508773,1.10562202,0.51928621,0.18918345
-5.92796398,1.88471126,0.53952361,0.33419608,0.00066173,0.09237261,0.00506562,1.10877204,0.50411075,0.19155843
-5.92196098,1.88535272,0.53974733,0.33911841,0.00064187,0.09012149,0.00507826,1.11249408,0.48948054,0.19456450
-5.91595798,1.88734721,0.54054519,0.34341475,0.00062466,0.08854455,0.00512332,1.11635488,0.47537438,0.19814637
-5.90995498,1.89001197,0.54167982,0.34692109,0.00061022,0.08766086,0.00519779,1.11989215,0.46174811,0.20223888
-5.90395198,1.89263826,0.54290399,0.34948584,0.00059862,0.08748150,0.00529809,1.12263464,0.44854220,0.20677006
-5.89794897,1.89452429,0.54397057,0.35097627,0.00058986,0.08801066,0.00542016,1.12412177,0.43568931,0.21166428
-5.89194597,1.89500646,0.54464178,0.35128412,0.00058396,0.08924686,0.00555962,1.12392225,0.42312175,0.21684521
-5.88594297,1.89348755,0.54469745,0.35033045,0.00058087,0.09118406,0.00571188,1.12165088,0.41077823,0.22223864
-5.87993997,1.88946102,0.54394196,0.34806927,0.00058051,0.09381283,0.00587233,1.11698290,0.39860963,0.22777500
-5.87393697,1.88253060,0.54220969,0.34449008,0.00058280,0.09712139,0.00603648,1.10966556,0.38658365,0.23339157
-5.86793397,1.87242476,0.53936899,0.33961893,0.00058763,0.10109657,0.00620015,1.09952645,0.37468812,0.23903435
-5.86193097,1.85900581,0.53532464,0.33351833,0.00059489,0.10572476,0.00635957,1.08647874,0.36293290,0.24465949
-5.85592796,1.84227398,0.53001886,0.32628586,0.00060444,0.11099265,0.00651160,1.07052314,0.35135050,0.25023442
-5.84992496,1.82236652,0.52343111,0.31805155,0.00061615,0.11688813,0.00665386,1.05174693,0.33999548,0.25573868
-5.84392196,1.79955268,0.51557678,0.30897444,0.00062990,0.12340104,0.00678478,1.03032030,0.32894276,0.26116444
-5.83791896,1.77422516,0.50650516,0.29923822,0.00064558,0.13052397,0.00690378,1.00649050,0.31828524,0.26651682
-5.83191596,1.74688873,0.49629674,0.28904631,0.00066308,0.13825316,0.00701128,0.98057409,0.30813079,0.27181403
-5.82591296,1.71814698,0.48506025,0.27861669,0.00068234,0.14658939,0.00710872,0.95294794,0.29859895,0.27708745
-5.81990995,1.68868781,0.47292945,0.26817640,0.00070330,0.15553896,0.00719860,0.92403937,0.28981762,0.28238156
-5.81390695,1.65926844,0.46006008,0.25795625,0.00072595,0.16511472,0.00728439,0.89431581,0.28191981,0.28775388
-5.80790395,1.63070028,0.44662678,0.24818566,0.00075033,0.17533707,0.00737044,0.86427442,0.27504077,0.29327483
-5.80190095,1.60383428,0.43282033,0.23908789,0.00077651,0.18623491,0.00746190,0.83443187,0.26931545,0.29902745
-5.79589795,1.57954662,0.41884492,0.23087565,0.00080463,0.19784647,0.00756455,0.80531457,0.26487641,0.30510707
-5.78989495,1.55872506,0.40491572,0.22374732,0.00083487,0.21021979,0.00768462,0.77744933,0.26185211,0.31162063
-5.78389195,1.54225562,0.39125637,0.21788365,0.00086745,0.22341295,0.00782860,0.75135465,0.26036563,0.31868581
-5.77788894,1.53100944,0.37809646,0.21344493,0.00090267,0.23749371,0.00800306,0.72753249,0.26053360,0.32642962
-5.77188594,1.52582949,0.36566893,0.21056880,0.00094085,0.25253860,0.00821440,0.70646054,0.26246519,0.33498650
-5.76588294,1.52751683,0.35420702,0.20936840,0.00098235,0.26863124,0.00846865,0.68858478,0.26626123,0.34449580
-5.75987994,1.53681607,0.34394102,0.20993097,0.00102755,0.28585991,0.00877131,0.67431246,0.27201309,0.35509854
-5.75387694,1.55439991,0.33509445,0.21231676,0.00107687,0.30431425,0.00912714,0.66400512,0.27980133,0.36693335
-5.74787394,1.58085254,0.32787985,0.21655829,0.00113067,0.32408115,0.00953998,0.65797191,0.28969405,0.38013184
