energy_ev,total_up,C_s_up,C_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,3.15490398,0.00954889,0.35020787,2.30927559,0.98173809,0.06250651,1.07341595,0.14355261,0.34049907
-5.99399700,3.18828234,0.00926974,0.34902845,2.37515409,0.95732048,0.06186441,1.09145450,0.15024239,0.35209699
-5.98799400,3.23113725,0.00905855,0.34966223,2.44364929,0.93848856,0.06138624,1.11156678,0.15669474,0.36435348
-5.98199100,3.28097873,0.00890961,0.35180197,2.51295840,0.92445543,0.06104591,1.13301117,0.16281928,0.37696976
-5.97598799,3.33525112,0.00881645,0.35512800,2.58132056,0.91440457,0.06081452,1.15502967,0.16853016,0.38963476
-5.96998499,3.39139795,0.00877215,0.35931529,2.64704462,0.90751435,0.06066129,1.17686784,0.17374818,0.40203289
-5.96398199,3.44692993,0.00876965,0.36404094,2.70853799,0.90298280,0.06055461,1.19779596,0.17840299,0.41385222
-5.95797899,3.49949432,0.00880208,0.36899204,2.76433635,0.90005170,0.06046316,1.21713090,0.18243547,0.42479314
-5.95197599,3.54694363,0.00886306,0.37387352,2.81313393,0.89802954,0.06035700,1.23425815,0.18580007,0.43457700
-5.94597299,3.58740144,0.00894704,0.37841594,2.85381361,0.89631250,0.06020870,1.24865303,0.18846707,0.44295450
-5.93996998,3.61932279,0.00904962,0.38238290,2.88547607,0.89440268,0.05999436,1.25990047,0.19042458,0.44971350
-5.93396698,3.64154669,0.00916777,0.38557773,2.90746645,0.89192302,0.05969460,1.26771212,0.19168032,0.45468601
-5.92796398,3.65333798,0.00930010,0.38784921,2.91939741,0.88862804,0.05929531,1.27194026,0.19226281,0.45775389
-5.92196098,3.65441648,0.00944697,0.38909601,2.92116672,0.88441018,0.05878836,1.27258730,0.19222210,0.45885306
-5.91595798,3.64497109,0.00961065,0.38926958,2.91296795,0.87930096,0.05817190,1.26981033,0.19162967,0.45797605
-5.90995498,3.62565743,0.00979530,0.38837525,2.89529275,0.87346700,0.05745062,1.26392001,0.19057770,0.45517256
-5.90395198,3.59757798,0.01000694,0.38647136,2.86892342,0.86720066,0.05663566,1.25537346,0.18917740,0.45054796
-5.89794897,3.56224442,0.01025330,0.38366643,2.83491505,0.86090546,0.05574418,1.24476088,0.18755648,0.44425983
-5.89194597,3.52152269,0.01054362,0.38011417,2.79456665,0.85507670,0.05479886,1.23278622,0.18585581,0.43651242
-5.88594297,3.47756206,0.01088839,0.37600671,2.74938163,0.85027769,0.05382694,1.22024209,0.18422527,0.42754930
-5.87993997,3.43271037,0.01129895,0.37156600,2.70101826,0.84711254,0.05285924,1.20797991,0.18281892,0.41764444
-5.87393697,3.38941832,0.01178718,0.36703376,2.65123156,0.84619625,0.05192881,1.19687597,0.18178966,0.40709204
-5.86793397,3.35013644,0.01236500,0.36266048,2.60180856,0.84812339,0.05106965,1.18779502,0.18128352,0.39619542
-5.86193097,3.31720867,0.01304393,0.35869367,2.55449945,0.85343649,0.05031517,1.18155252,0.18143381,0.38525561
-5.85592796,3.29276721,0.01383468,0.35536614,2.51094737,0.86259549,0.04969677,1.17887734,0.18235546,0.37455987
-5.84992496,3.27863297,0.01474665,0.35288454,2.47262003,0.87594949,0.04924241,1.18037658,0.18413966,0.36437089
-5.84392196,3.27622640,0.01578756,0.35141897,2.44074629,0.89371222,0.04897531,1.18650398,0.18684913,0.35491690
-5.83791896,3.28649265,0.01696306,0.35109391,2.41626087,0.91594214,0.04891282,1.19753366,0.19051432,0.34638329
-5.83191596,3.30984490,0.01827644,0.35198103,2.39975987,0.94252856,0.04906553,1.21354043,0.19513057,0.33890597
-5.82591296,3.34612873,0.01972839,0.35409428,2.39146963,0.97318423,0.04943663,1.23438780,0.20065661,0.33256691
-5.81990995,3.39460963,0.02131685,0.35738738,2.39123061,1.00744512,0.05002156,1.25972445,0.20701438,0.32739191
-5.81390695,3.45398463,0.02303690,0.36175397,2.39849748,1.04467759,0.05080803,1.28898963,0.21409025,0.32335074
-5.80790395,3.52241799,0.02488082,0.36703047,2.41235565,1.08409295,0.05177627,1.32142736,0.22173774,0.32035967
-5.80190095,3.59759974,0.02683807,0.37300139,2.43155381,1.12476873,0.05289967,1.35610906,0.22978152,0.31828613
-5.79589795,3.67682474,0.02889554,0.37940708,2.45455114,1.16567631,0.05414561,1.39196386,0.23802267,0.31695543
-5.78989495,3.75708895,0.03103763,0.38595342,2.47957721,1.20571347,0.05547660,1.42781514,0.24624495,0.31615908
-5.78389195,3.83519884,0.03324659,0.39232303,2.50470186,1.24374080,0.05685154,1.46242200,0.25422188,0.31566436
-5.77788894,3.90788904,0.03550273,0.39818760,2.52791185,1.27862040,0.05822712,1.49452376,0.26172428,0.31522468
-5.77188594,3.97194309,0.03778471,0.40322067,2.54719093,1.30925516,0.05955932,1.52288555,0.26852795,0.31459027
