energy_ev,total_up,Mo_p_up,Mo_d_up,P_s_up,P_p_up,S_s_up,S_p_up
-6.00000000,2.42349011,1.24352183,1.31720795,0.01499687,0.47555718,0.02387936,1.01318589
-5.99399700,2.38115893,1.21334277,1.30832687,0.01473128,0.46960022,0.02374608,0.99641865
-5.98799400,2.33660973,1.18215728,1.29793745,0.01442347,0.46268699,0.02358924,0.97911589
-5.98199100,2.29002927,1.15022588,1.28592432,0.01407529,0.45485355,0.02340828,0.96132247
-5.97598799,2.24159185,1.11778478,1.27218432,0.01368901,0.44614536,0.02320353,0.94307075
-5.96998499,2.19146390,1.08504657,1.25663357,0.01326738,0.43661803,0.02297619,0.92438322
-5.96398199,2.13980966,1.05220211,1.23921423,0.01281355,0.42633769,0.02272820,0.90527602
-5.95797899,2.08679713,1.01942309,1.21990057,0.01233109,0.41538103,0.02246203,0.88576271
-5.95197599,2.03260373,0.98686488,1.19870384,0.01182391,0.40383488,0.02218058,0.86585831
-5.94597299,1.97742122,0.95466946,1.17567568,0.01129625,0.39179525,0.02188697,0.84558309
-5.93996998,1.92145913,0.92296797,1.15090984,0.01075257,0.37936590,0.02158430,0.82496602
-5.93396698,1.86494673,0.89188271,1.12454203,0.01019752,0.36665630,0.02127555,0.80404749
-5.92796398,1.80813305,0.86152862,1.09674792,0.00963585,0.35377921,0.02096335,0.78288134
-5.92196098,1.75128514,0.83201397,1.06773933,0.00907233,0.34084795,0.02064988,0.76153594
-5.91595798,1.69468466,0.80344045,1.03775893,0.00851164,0.32797336,0.02033680,0.74009441
-5.90995498,1.63862309,0.77590282,1.00707358,0.00795834,0.31526078,0.02002518,0.71865402
-5.90395198,1.58339604,0.74948824,0.97596692,0.00741672,0.30280716,0.01971552,0.69732484
-5.89794897,1.52929707,0.72427551,0.94473133,0.00689082,0.29069844,0.01940781,0.67622782
-5.89194597,1.47661161,0.70033446,0.91365998,0.00638428,0.27900739,0.01910164,0.65549249
-5.88594297,1.42561135,0.67772576,0.88303920,0.00590038,0.26779202,0.01879636,0.63525444
-5.87993997,1.37654978,0.65650119,0.85314160,0.00544195,0.25709476,0.01849124,0.61565281
-5.87393697,1.32965894,0.63670455,0.82422033,0.00501141,0.24694232,0.01818572,0.59682801
-5.86793397,1.28514787,0.61837335,0.79650458,0.00461078,0.23734636,0.01787960,0.57891960
-5.86193097,1.24320270,0.60154103,0.77019667,0.00424170,0.22830484,0.01757328,0.56206478
-5.85592796,1.20398841,0.58623977,0.74547054,0.00390549,0.21980410,0.01726798,0.54639720
-5.84992496,1.16765215,0.57250378,0.72247191,0.00360322,0.21182141,0.01696589,0.53204641
-5.84392196,1.13432775,0.56037258,0.70131972,0.00333576,0.20432792,0.01667034,0.51913774
-5.83791896,1.10414110,0.54989444,0.68210884,0.00310391,0.19729180,0.01638586,0.50779255
-5.83191596,1.07721604,0.54112929,0.66491383,0.00290841,0.19068139,0.01611822,0.49812896
