energy_ev,total_up,B_p_up,B_d_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
-6.00000000,2.68125130,0.80244203,0.00000000,0.05903741,0.40092349,0.60626757,1.16999213
-5.99399700,2.64863859,0.79659431,0.00000000,0.05753543,0.38974488,0.61085533,1.16990418
-5.98799400,2.61331804,0.78967382,0.00000000,0.05592251,0.37866877,0.61442666,1.16825199
-5.98199100,2.57583066,0.78178305,0.00000000,0.05422273,0.36787664,0.61695047,1.16505197
-5.97598799,2.53682541,0.77306461,0.00000000,0.05246211,0.35755327,0.61844208,1.16039334
-5.96998499,2.49706025,0.76370285,0.00000000,0.05066815,0.34788510,0.61896745,1.15444434
-5.96398199,2.45739845,0.75392385,0.00000000,0.04886935,0.33905821,0.61864530,1.14745515
-5.95797899,2.41879972,0.74399342,0.00000000,0.04709464,0.33125621,0.61764699,1.13975729
-5.95197599,2.38230541,0.73421314,0.00000000,0.04537285,0.32465769,0.61619386,1.13175898
-5.94597299,2.34901778,0.72491418,0.00000000,0.04373206,0.31943325,0.61455210,1.12393642
-5.93996998,2.32007339,0.71644919,0.00000000,0.04219903,0.31574212,0.61302514,1.11682106
-5.93396698,2.29661120,0.70918224,0.00000000,0.04079857,0.31372830,0.61194374,1.11098325
-5.92796398,2.27973629,0.70347732,0.00000000,0.03955296,0.31351636,0.61165422,1.10701264
-5.92196098,2.27048054,0.69968567,0.00000000,0.03848141,0.31520692,0.61250525,1.10549624
-5.91595798,2.26976195,0.69813261,0.00000000,0.03759959,0.31887216,0.61483368,1.10699503
-5.90995498,2.27834427,0.69910432,0.00000000,0.03691921,0.32455133,0.61895022,1.11202009
-5.90395198,2.29679933,0.70283533,0.00000000,0.03644772,0.33224672,0.62512551,1.12100951
-5.89794897,2.32547377,0.70949731,0.00000000,0.03618812,0.34192034,0.63357736,1.13430713
-5.89194597,2.36446241,0.71918972,0.00000000,0.03613886,0.35349145,0.64445975,1.15214432
-5.88594297,2.41358988,0.73193298,0.00000000,0.03629389,0.36683539,0.65785424,1.17462568
-5.87993997,2.47240192,0.74766447,0.00000000,0.03664283,0.38178377,0.67376420,1.20171961
-5.87393697,2.54016734,0.76623768,0.00000000,0.03717125,0.39812630,0.69211227,1.23325418
-5.86793397,2.61589111,0.78742468,0.00000000,0.03786112,0.41561423,0.71274116,1.26891880
-5.86193097,2.69833837,0.81092191,0.00000000,0.03869127,0.43396556,0.73541785,1.30827160
-5.85592796,2.78606860,0.83635891,0.00000000,0.03963804,0.45287171,0.75984103,1.35075227
-5.84992496,2.87747883,0.86330989,0.00000000,0.04067590,0.47200567,0.78565136,1.39569988
-5.84392196,2.97085394,0.89130739,0.00000000,0.04177816,0.49103118,0.81244412,1.44237480
-5.83791896,3.06442186,0.91985757,0.00000000,0.04291772,0.50961266,0.83978372,1.48998375
-5.83191596,3.15641134,0.94845635,0.00000000,0.04406771,0.52742556,0.86721916,1.53770676
-5.82591296,3.24510951,0.97660568,0.00000000,0.04520221,0.54416643,0.89429989,1.58472485
