energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.87360885,0.24087782,0.53167868,0.04147291,0.02956938,0.11462480,1.64572132,1.19846590,0.32793424
-5.99399700,2.82495699,0.23183855,0.51765448,0.03947992,0.02830729,0.11431679,1.62301039,1.17785495,0.32994717
-5.98799400,2.78503924,0.22339706,0.50478217,0.03758137,0.02714916,0.11434226,1.60527896,1.15698303,0.33463786
-5.98199100,2.75424316,0.21555234,0.49304909,0.03578010,0.02609440,0.11468224,1.59283086,1.13605112,0.34215852
-5.97598799,2.73274733,0.20829205,0.48241556,0.03407724,0.02514047,0.11530978,1.58584796,1.11525350,0.35260816
-5.96998499,2.72051483,0.20159426,0.47281709,0.03247243,0.02428314,0.11619033,1.58438315,1.09477249,0.36602687
-5.96398199,2.71728908,0.19542915,0.46416688,0.03096405,0.02351665,0.11728214,1.58835474,1.07477236,0.38239086
-5.95797899,2.72259247,0.18976042,0.45635838,0.02954940,0.02283402,0.11853682,1.59754252,1.05539280,0.40160833
-5.95197599,2.73572871,0.18454662,0.44926801,0.02822488,0.02222719,0.11990001,1.61158619,1.03674242,0.42351668
-5.94597299,2.75578949,0.17974223,0.44275808,0.02698612,0.02168725,0.12131233,1.62998673,1.01889279,0.44788111
-5.93996998,2.78166655,0.17529869,0.43667996,0.02582811,0.02120468,0.12271041,1.65211122,1.00187369,0.47439523
-5.93396698,2.81206969,0.17116534,0.43087740,0.02474533,0.02076957,0.12402815,1.67720182,0.98566998,0.50268353
-5.92796398,2.84555128,0.16729042,0.42519025,0.02373178,0.02037182,0.12519818,1.70438909,0.97022054,0.53230636
-5.92196098,2.88053753,0.16362204,0.41945840,0.02278116,0.02000139,0.12615347,1.73271010,0.95541976,0.56276715
-5.91595798,2.91536630,0.16010943,0.41352599,0.02188690,0.01964858,0.12682907,1.76113094,0.94112153,0.59352219
-5.90995498,2.94833076,0.15670411,0.40724573,0.02104230,0.01930425,0.12716389,1.78857365,0.92714597,0.62399272
-5.90395198,2.97772797,0.15336137,0.40048338,0.02024067,0.01896009,0.12710257,1.81394668,0.91328858,0.65357910
