energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,8.56890021,0.01761852,1.14755869,0.13447704,0.08502065,2.31566361,4.30056624,0.11778186,2.89192348
-5.99399700,8.82429356,0.01817059,1.17122969,0.13767605,0.08619064,2.25131141,4.48873099,0.12042297,2.98383764
-5.98799400,9.09303563,0.01880471,1.19650430,0.14161713,0.08796490,2.20116635,4.67821052,0.12329795,3.08107939
-5.98199100,9.37025068,0.01951043,1.22276528,0.14627173,0.09031290,2.16558953,4.86577754,0.12636737,3.18208961
-5.97598799,9.65069883,0.02027489,1.24934948,0.15159679,0.09319190,2.14470413,5.04810927,0.12958405,3.28516949
-5.96998499,9.92888508,0.02108301,1.27556325,0.15753403,0.09654783,2.13838903,5.22186146,0.13289352,3.38851290
-5.96398199,10.19918173,0.02191784,1.30069972,0.16400966,0.10031645,2.14627642,5.38374815,0.13623475,3.49024337
-5.95797899,10.45596171,0.02276094,1.32405777,0.17093455,0.10442481,2.16775431,5.53062497,0.13954105,3.58845494
-5.95197599,10.69373964,0.02359284,1.34496179,0.17820483,0.10879299,2.20197484,5.65957365,0.14274135,3.68125626
-5.94597299,10.90731694,0.02439358,1.36278198,0.18570315,0.11333598,2.24786917,5.76798484,0.14576164,3.76681693
-5.93996998,11.09192682,0.02514333,1.37695423,0.19330046,0.11796589,2.30416964,5.85363667,0.14852666,3.84341490
-5.93396698,11.24337477,0.02582299,1.38699892,0.20085836,0.12259417,2.36943939,5.91476578,0.15096183,3.90948382
-5.92796398,11.35816961,0.02641482,1.39253805,0.20823207,0.12713409,2.44210968,5.95012841,0.15299521,3.96365876
-5.92196098,11.43364060,0.02690307,1.39330975,0.21527384,0.13150311,2.52052420,5.95904866,0.15455961,4.00481886
-5.91595798,11.46803583,0.02727456,1.38917979,0.22183677,0.13562533,2.60298967,5.94145174,0.15559464,4.03212543
-5.90995498,11.46059773,0.02751914,1.38014927,0.22777888,0.13943381,2.68783108,5.89788054,0.15604867,4.04505382
-5.90395198,11.41161183,0.02763020,1.36635830,0.23296740,0.14287266,2.77345002,5.82949404,0.15588059,4.04341770
-5.89794897,11.32242604,0.02760489,1.34808523,0.23728287,0.14589892,2.85838340,5.73804720,0.15506133,4.02738453
-5.89194597,11.19543815,0.02744435,1.32574127,0.24062317,0.14848406,2.94136036,5.62585215,0.15357501,3.99748101
-5.88594297,11.03405068,0.02715375,1.29986070,0.24290711,0.15061504,3.02135420,5.49572165,0.15141969,3.95458787
-5.87993997,10.84259311,0.02674221,1.27108671,0.24407746,0.15229492,3.09762684,5.35089612,0.14860770,3.89992354
-5.87393697,10.62621301,0.02622257,1.24015330,0.24410329,0.15354286,3.16976275,5.19495647,0.14516542,3.83501680
-5.86793397,10.39073849,0.02561105,1.20786387,0.24298153,0.15439359,3.23769028,5.03172523,0.14113268,3.76166870
-5.86193097,10.14251578,0.02492673,1.17506698,0.24073755,0.15489630,3.30168826,4.86515933,0.13656161,3.68190471
-5.85592796,9.88822680,0.02419104,1.14263026,0.23742486,0.15511293,3.36237669,4.69923778,0.13151520,3.59791844
-5.84992496,9.63469240,0.02342710,1.11141320,0.23312384,0.15511598,3.42069096,4.53784819,0.12606536,3.51200854
-5.84392196,9.38866774,0.02265901,1.08223979,0.22793947,0.15498583,3.47783995,4.38467572,0.12029085,3.42651087
-5.83791896,9.15663687,0.02191111,1.05587206,0.22199837,0.15480776,3.53524927,4.24309828,0.11427495,3.34372825
-5.83191596,8.94461353,0.02120731,1.03298522,0.21544501,0.15466863,3.59449165,4.11609154,0.10810309,3.26586026
-5.82591296,8.75795554,0.02057032,1.01414553,0.20843747,0.15465353,3.65720746,4.00614682,0.10186045,3.19493567
-5.81990995,8.60119942,0.02002107,0.99979154,0.20114274,0.15484243,3.72501883,3.91520466,0.09562976,3.13275005
-5.81390695,8.47792151,0.01957805,0.99021953,0.19373195,0.15530696,3.79944156,3.84460633,0.08948919,3.08081094
-5.80790395,8.39063100,0.01925684,0.98557353,0.18637559,0.15610754,3.88179898,3.79506474,0.08351062,3.04029276
-5.80190095,8.34069894,0.01906968,0.98584053,0.17923893,0.15729089,3.97314248,3.76665568,0.07775815,3.01200318
-5.79589795,8.32832613,0.01902518,0.99085093,0.17247796,0.15888812,4.07418252,3.75882964,0.07228704,2.99636246
-5.78989495,8.35255135,0.01912810,1.00028430,0.16623580,0.16091337,4.18523425,3.77044348,0.06714299,2.99339642
-5.78389195,8.41129969,0.01937925,1.01368032,0.16063984,0.16336323,4.30618059,3.79981089,0.06236182,3.00274347
-5.77788894,8.50146911,0.01977554,1.03045448,0.15579968,0.16621678,4.43645504,3.84476948,0.05796952,3.02367531
-5.77188594,8.61905192,0.02031009,1.04991792,0.15180580,0.16943633,4.57504548,3.90276211,0.05398265,3.05513047
-5.76588294,8.75928626,0.02097243,1.07130085,0.14872908,0.17296890,4.72051889,3.97092927,0.05040894,3.09575917
-5.75987994,8.91683147,0.02174881,1.09377837,0.14662104,0.17674816,4.87106608,4.04620899,0.04724821,3.14397758
-5.75387694,9.08596011,0.02262264,1.11649804,0.14551475,0.18069701,5.02456427,4.12544062,0.04449341,3.19802917
-5.74787394,9.26075870,0.02357486,1.13860780,0.14542622,0.18473041,5.17865421,4.20546834,0.04213178,3.25605039
-5.74187094,9.43532899,0.02458450,1.15928342,0.14635621,0.18875850,5.33082825,4.28324075,0.04014598,3.31613785
-5.73586793,9.60398124,0.02562922,1.17775418,0.14829226,0.19268986,5.47852444,4.35590264,0.03851531,3.37641414
-5.72986493,9.76141190,0.02668584,1.19332594,0.15121077,0.19643461,5.61922220,4.42087559,0.03721676,3.43508935
-5.72386193,9.90285836,0.02773093,1.20540071,0.15507896,0.19990743,5.75053437,4.47592475,0.03622600,3.49051595
-5.71785893,10.02422500,0.02874140,1.21349191,0.15985662,0.20303020,5.87029122,4.51920929,0.03551818,3.54123452
-5.71185593,10.12217597,0.02969499,1.21723497,0.16549754,0.20573421,5.97661219,4.54931534,0.03506861,3.58600891
-5.70585293,10.19419200,0.03057080,1.21639285,0.17195045,0.20796185,6.06796200,4.56527067,0.03485320,3.62384945
-5.69984992,10.23859015,0.03134977,1.21085660,0.17915958,0.20966778,6.14318884,4.56654123,0.03484883,3.65402388
-5.69384692,10.25450762,0.03201501,1.20064102,0.18706469,0.21081941,6.20154320,4.55301085,0.03503342,3.67605601
-5.68784392,10.24185216,0.03255218,1.18587594,0.19560077,0.21139692,6.24267723,4.52494570,0.03538593,3.68971299
-5.68184092,10.20122354,0.03294971,1.16679376,0.20469736,0.21139261,6.26662564,4.48294622,0.03588629,3.69498254
-5.67583792,10.13381181,0.03319896,1.14371394,0.21427767,0.21080983,6.27377008,4.42788945,0.03651511,3.69204199
-5.66983492,10.04127909,0.03329433,1.11702550,0.22425768,0.20966151,6.26479000,4.36086523,0.03725348,3.68122152
-5.66383192,9.92563228,0.03323323,1.08716825,0.23454531,0.20796847,6.24060361,4.28310985,0.03808265,3.66296402
-5.65782891,9.78909423,0.03301605,1.05461397,0.24503981,0.20575743,6.20230288,4.19594077,0.03898378,3.63778426
-5.65182591,9.63398069,0.03264597,1.01984817,0.25563164,0.20305920,6.15108701,4.10069555,0.03993771,3.60622986
-5.64582291,9.46258947,0.03212883,0.98335349,0.26620279,0.19990675,6.08819826,3.99867817,0.04092483,3.56884650
-5.63981991,9.27710754,0.03147280,0.94559515,0.27662781,0.19633365,6.01486404,3.89111479,0.04192503,3.52614922
-5.63381691,9.07953998,0.03068819,0.90700908,0.28677547,0.19237270,5.93224838,3.77912084,0.04291774,3.47860140
-5.62781391,8.87166354,0.02978705,0.86799302,0.29651120,0.18805497,5.84141498,3.66368016,0.04388212,3.42660234
-5.62181091,8.65500549,0.02878292,0.82890063,0.30570008,0.18340921,5.74330351,3.54563649,0.04479732,3.37048374
-5.61580790,8.43084723,0.02769047,0.79003856,0.31421050,0.17846171,5.63871956,3.42569648,0.04564287,3.31051485
-5.60980490,8.20025026,0.02652517,0.75166628,0.32191820,0.17323650,5.52833776,3.30444312,0.04639909,3.24691544
-5.60380190,7.96410085,0.02530303,0.71399828,0.32871058,0.16775594,5.41271684,3.18235761,0.04704765,3.17987533
-5.59779890,7.72316905,0.02404023,0.67720814,0.33449105,0.16204155,5.29232470,3.05984752,0.04757208,3.10957858
-5.59179590,7.47817646,0.02275293,0.64143405,0.33918318,0.15611511,5.16757080,2.93727854,0.04795831,3.03623062
-5.58579290,7.22986757,0.02145698,0.60678513,0.34273450,0.14999976,5.03884308,2.81500757,0.04819513,2.96008597
-5.57978989,6.97907881,0.02016773,0.57334817,0.34511964,0.14372117,4.90654653,2.69341426,0.04827469,2.88147459
-5.57378689,6.72680066,0.01889980,0.54119415,0.34634263,0.13730864,4.77114026,2.57292909,0.04819281,2.80082490
-5.56778389,6.47422825,0.01766693,0.51038441,0.34643827,0.13079595,4.63317070,2.45405598,0.04794918,2.71868175
-5.56178089,6.22279724,0.01648183,0.48097584,0.34547234,0.12422207,4.49329867,2.33738803,0.04754752,2.63571810
-5.55577789,5.97420265,0.01535603,0.45302518,0.34354077,0.11763149,4.35231856,2.22361546,0.04699551,2.55273943
-5.54977489,5.73039974,0.01429976,0.42659217,0.34076752,0.11107428,4.21116869,2.11352552,0.04630463,2.47068060
-5.54377189,5.49358673,0.01332187,0.40174153,0.33730145,0.10460583,4.07093233,2.00799446,0.04548981,2.39059496
-5.53776888,5.26617080,0.01242968,0.37854386,0.33331220,0.09828625,3.93282957,1.90797210,0.04456905,2.31363643
-5.53176588,5.05071904,0.01162899,0.35707553,0.32898513,0.09217950,3.79820046,1.81446021,0.04356284,2.24103514
-5.52576288,4.84989734,0.01092396,0.33741776,0.32451576,0.08635232,3.66848077,1.72848581,0.04249355,2.17406792
-5.51975988,4.66640019,0.01031706,0.31965489,0.32010364,0.08087286,3.54517136,1.65107097,0.04138473,2.11402480
-5.51375688,4.50287476,0.00980910,0.30387227,0.31594614,0.07580933,3.42980289,1.58320071,0.04026040,2.06217314
-5.50775388,4.36184276,0.00939920,0.29015363,0.31223218,0.07122845,3.32389733,1.52579041,0.03914436,2.01972068
-5.50175088,4.24562315,0.00908482,0.27857827,0.30913636,0.06719399,3.22892790,1.47965432,0.03805946,1.98777896
-5.49574787,4.15625862,0.00886184,0.26921808,0.30681345,0.06376522,3.14627872,1.44547629,0.03702696,1.96732855
-5.48974487,4.09544825,0.00872462,0.26213450,0.30539365,0.06099555,3.07720561,1.42378381,0.03606597,1.95918689
-5.48374187,4.06448824,0.00866614,0.25737546,0.30497860,0.05893117,3.02279907,1.41492626,0.03519293,1.96397993
-5.47773887,4.06422219,0.00867816,0.25497238,0.30563840,0.05760986,2.98395032,1.41905763,0.03442128,1.98211819
-5.47173587,4.09500175,0.00875138,0.25493729,0.30740952,0.05705994,2.96132109,1.43612442,0.03376107,2.01377765
-5.46573287,4.15665843,0.00887569,0.25725997,0.31029386,0.05729933,2.95531784,1.46585841,0.03321890,2.05888588
-5.45972986,4.24848649,0.00904037,0.26190539,0.31425871,0.05833477,2.96607084,1.50777466,0.03279778,2.11711362
-5.45372686,4.36923723,0.00923438,0.26881136,0.31923779,0.06016123,2.99341835,1.56117429,0.03249717,2.18787173
-5.44772386,4.51712436,0.00944658,0.27788644,0.32513311,0.06276142,3.03689654,1.62515199,0.03231317,2.27031365
-5.44172086,4.68984046,0.00966605,0.28900847,0.33181771,0.06610559,3.09573521,1.69860805,0.03223869,2.36334320
-5.43571786,4.88458429,0.00988233,0.30202354,0.33913902,0.07015138,3.16885976,1.78026450,0.03226375,2.46562774
-5.42971486,5.09809885,0.01008566,0.31674577,0.34692286,0.07484402,3.25489981,1.86868544,0.03237590,2.57561645
-5.42371186,5.32672026,0.01026727,0.33295799,0.35497789,0.08011666,3.35220461,1.96230113,0.03256055,2.69156390
-5.41770885,5.56643712,0.01041952,0.35041337,0.36310034,0.08589105,3.45886561,2.05943584,0.03280147,2.81155852
-5.41170585,5.81296047,0.01053613,0.36883829,0.37107901,0.09207845,3.57274620,2.15833922,0.03308126,2.93355609
