energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.01550231,0.67435260,0.36060591,0.00173661,0.07134112,0.01108841,1.25327118,0.66353141,0.14788214
-5.99399700,2.07866911,0.70098069,0.37288996,0.00176439,0.07256572,0.01128088,1.29415213,0.68074512,0.15295939
-5.98799400,2.13734854,0.72606880,0.38392254,0.00178617,0.07387286,0.01149215,1.33201304,0.69682476,0.15778538
-5.98199100,2.19030102,0.74913929,0.39347832,0.00180164,0.07522002,0.01171495,1.36608039,0.71143863,0.16225619
-5.97598799,2.23631998,0.76972572,0.40134883,0.00181052,0.07656136,0.01194118,1.39560407,0.72425458,0.16626880
-5.96998499,2.27426644,0.78738537,0.40734910,0.00181259,0.07784888,0.01216211,1.41987902,0.73494899,0.16972396
-5.96398199,2.30310382,0.80171199,0.41132386,0.00180763,0.07903371,0.01236868,1.43826685,0.74321619,0.17252916
-5.95797899,2.32193140,0.81234811,0.41315293,0.00179554,0.08006752,0.01255183,1.45021666,0.74877799,0.17460150
-5.95197599,2.33001523,0.81899659,0.41275578,0.00177623,0.08090402,0.01270279,1.45528410,0.75139282,0.17587050
-5.94597299,2.32681491,0.82143071,0.41009486,0.00174973,0.08150044,0.01281339,1.45314787,0.75086430,0.17628049
-5.93996998,2.31200523,0.81950247,0.40517763,0.00171612,0.08181894,0.01287638,1.44362283,0.74704870,0.17579272
-5.93396698,2.28549151,0.81314863,0.39805716,0.00167560,0.08182802,0.01288569,1.42666923,0.73986101,0.17438688
-5.92796398,2.24741805,0.80239425,0.38883134,0.00162845,0.08150362,0.01283667,1.40239740,0.72927932,0.17206215
-5.92196098,2.19816914,0.78735356,0.37764066,0.00157506,0.08083017,0.01272625,1.37106791,0.71534740,0.16883754
-5.91595798,2.13836267,0.76822795,0.36466466,0.00151592,0.07980129,0.01255313,1.33308693,0.69817511,0.16475171
-5.90995498,2.06883651,0.74530143,0.35011732,0.00145161,0.07842028,0.01231779,1.28899718,0.67793685,0.15986207
-5.90395198,1.99062827,0.71893342,0.33424144,0.00138280,0.07670029,0.01202253,1.23946465,0.65486797,0.15424336
-5.89794897,1.90494931,0.68954947,0.31730240,0.00131022,0.07466418,0.01167141,1.18526178,0.62925924,0.14798567
-5.89194597,1.81315402,0.65763010,0.29958143,0.00123468,0.07234409,0.01127013,1.12724784,0.60144969,0.14119209
-5.88594297,1.71670576,0.62369825,0.28136878,0.00115701,0.06978076,0.01082587,1.06634713,0.57181807,0.13397590
-5.87993997,1.61714063,0.58830597,0.26295695,0.00107807,0.06702254,0.01034709,1.00352608,0.54077324,0.12645769
-5.87393697,1.51603049,0.55202070,0.24463423,0.00099872,0.06412420,0.00984327,0.93976998,0.50874388,0.11876225
-5.86793397,1.41494666,0.51541171,0.22667885,0.00091979,0.06114557,0.00932463,0.87606016,0.47616796,0.11101557
-5.86193097,1.31542516,0.47903720,0.20935366,0.00084208,0.05815002,0.00880191,0.81335247,0.44348221,0.10334183
-5.85592796,1.21893485,0.44343233,0.19290175,0.00076633,0.05520286,0.00828598,0.75255752,0.41111214,0.09586068
-5.84992496,1.12684897,0.40909872,0.17754274,0.00069320,0.05236975,0.00778768,0.69452333,0.37946276,0.08868479
-5.84392196,1.04042077,0.37649534,0.16347011,0.00062328,0.04971499,0.00731748,0.64002056,0.34891031,0.08191772
-5.83791896,0.96076351,0.34603123,0.15084915,0.00055704,0.04729999,0.00688526,0.58973070,0.31979526,0.07565208
-5.83191596,0.88883498,0.31805992,0.13981578,0.00049487,0.04518177,0.00650017,0.54423701,0.29241662,0.06996823
-5.82591296,0.82542638,0.29287559,0.13047606,0.00043707,0.04341153,0.00617035,0.50401838,0.26702768,0.06493319
-5.81990995,0.77115539,0.27071083,0.12290615,0.00038381,0.04203348,0.00590293,0.46944573,0.24383322,0.06060003
-5.81390695,0.72646297,0.25173589,0.11715288,0.00033519,0.04108370,0.00570382,0.44078082,0.22298800,0.05700753
-5.80790395,0.69161370,0.23605927,0.11323460,0.00029121,0.04058933,0.00557773,0.41817711,0.20459664,0.05418019
-5.80190095,0.66669897,0.22372934,0.11114236,0.00025180,0.04056788,0.00552812,0.40168240,0.18871456,0.05212845
-5.79589795,0.65164283,0.21473689,0.11084136,0.00021681,0.04102678,0.00555724,0.39124300,0.17535006,0.05084914
-5.78989495,0.64621000,0.20901838,0.11227251,0.00018604,0.04196318,0.00566614,0.38670907,0.16446709,0.05032618
-5.78389195,0.65001590,0.20645979,0.11535424,0.00015925,0.04336399,0.00585479,0.38784108,0.15598887,0.05053139
-5.77788894,0.66253832,0.20690079,0.11998447,0.00013616,0.04520617,0.00612213,0.39431706,0.14980195,0.05142542
-5.77188594,0.68313073,0.21013939,0.12604272,0.00011647,0.04745727,0.00646624,0.40574077,0.14576075,0.05295888
-5.76588294,0.71103703,0.21593667,0.13339245,0.00009987,0.05007626,0.00688442,0.42165046,0.14369235,0.05507348
-5.75987994,0.74540774,0.22402187,0.14188363,0.00008604,0.05301458,0.00737336,0.44152837,0.14340149,0.05770340
-5.75387694,0.78531750,0.23409765,0.15135551,0.00007469,0.05621741,0.00792931,0.46481095,0.14467568,0.06077665
-5.74787394,0.82978382,0.24584553,0.16163963,0.00006552,0.05962521,0.00854818,0.49089960,0.14729035,0.06421656
-5.74187094,0.87778687,0.25893155,0.17256300,0.00005826,0.06317540,0.00922569,0.51917205,0.15101391,0.06794342
-5.73586793,0.92829019,0.27301211,0.18395148,0.00005267,0.06680419,0.00995751,0.54899423,0.15561283,0.07187611
-5.72986493,0.98026183,0.28774004,0.19563322,0.00004855,0.07044854,0.01073936,0.57973240,0.16085651,0.07593380
-5.72386193,1.03269573,0.30277074,0.20744212,0.00004571,0.07404809,0.01156704,0.61076545,0.16652200,0.08003776
-5.71785893,1.08463274,0.31776846,0.21922115,0.00004403,0.07754715,0.01243652,0.64149718,0.17239843,0.08411308
-5.71185593,1.13518074,0.33241251,0.23082558,0.00004341,0.08089652,0.01334393,0.67136810,0.17829122,0.08809041
-5.70585293,1.18353353,0.34640343,0.24212579,0.00004382,0.08405525,0.01428548,0.69986666,0.18402585,0.09190765
-5.69984992,1.22898760,0.35946895,0.25300971,0.00004525,0.08699210,0.01525745,0.72653950,0.18945126,0.09551142
-5.69384692,1.27095669,0.37136949,0.26338481,0.00004777,0.08968680,0.01625603,0.75100046,0.19444279,0.09885855
-5.68784392,1.30898339,0.38190330,0.27317947,0.00005150,0.09213102,0.01727721,0.77293807,0.19890453,0.10191721
-5.68184092,1.34274763,0.39091087,0.28234383,0.00005660,0.09432892,0.01831661,0.79212137,0.20277112,0.10466792
-5.67583792,1.37207181,0.39827862,0.29084999,0.00006333,0.09629745,0.01936931,0.80840389,0.20600899,0.10710427
-5.66983492,1.39692250,0.40394171,0.29869171,0.00007199,0.09806623,0.02042969,0.82172557,0.20861684,0.10923336
-5.66383192,1.41740869,0.40788583,0.30588356,0.00008294,0.09967712,0.02149132,0.83211283,0.21062556,0.11107592
-5.65782891,1.43377682,0.41014788,0.31245960,0.00009662,0.10118343,0.02254680,0.83967655,0.21209737,0.11266618
-5.65182591,1.44640268,0.41081559,0.31847178,0.00011353,0.10264888,0.02358776,0.84460829,0.21312440,0.11405132
-5.64582291,1.45578062,0.41002581,0.32398794,0.00013424,0.10414624,0.02460486,0.84717467,0.21382650,0.11529076
-5.63981991,1.46251024,0.40796167,0.32908975,0.00015937,0.10575578,0.02558782,0.84771016,0.21434844,0.11645496
