energy_ev,total_up,Ag_p_up,Ag_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,6.57247534,0.47545729,1.84822927,2.71899891,1.32072359,0.02180709,0.89921036,0.02983112,2.30259988
-5.99399700,6.63065791,0.47292249,1.87379243,2.74499036,1.34333884,0.02169577,0.91308212,0.03006422,2.31439845
-5.98799400,6.68676423,0.47093198,1.89769914,2.77183854,1.36553485,0.02160289,0.92650231,0.03038644,2.32587338
-5.98199100,6.74102563,0.46959365,1.92011400,2.79962722,1.38715772,0.02153191,0.93939879,0.03080239,2.33714048
-5.97598799,6.79382881,0.46901583,1.94124654,2.82852071,1.40808950,0.02148585,0.95173973,0.03131611,2.34835492
-5.96998499,6.84568106,0.46930328,1.96133731,2.85874949,1.42824633,0.02146716,0.96353115,0.03193083,2.35969965
-5.96398199,6.89716927,0.47055296,1.98064265,2.89059165,1.44757505,0.02147767,0.97481276,0.03264871,2.37137201
-5.95797899,6.94891429,0.47284959,1.99941871,2.92435100,1.46604868,0.02151845,0.98565244,0.03347062,2.38356927
-5.95197599,7.00152291,0.47626138,2.01790563,2.96033266,1.48366060,0.02158978,0.99613936,0.03439588,2.39647355
-5.94597299,7.05553960,0.48083604,2.03631256,2.99881733,1.50041807,0.02169108,1.00637620,0.03542202,2.41023694
-5.93996998,7.11140024,0.48659720,2.05480428,3.04003517,1.51633499,0.02182083,1.01647069,0.03654455,2.42496747
-5.93396698,7.16939018,0.49354157,2.07349014,3.08414074,1.53142450,0.02197659,1.02652689,0.03775683,2.44071656
-5.92796398,7.22960853,0.50163682,2.09241583,3.13119001,1.54569172,0.02215499,1.03663652,0.03904995,2.45746868
-5.92196098,7.29194073,0.51082037,2.11155845,3.18112079,1.55912696,0.02235174,1.04687093,0.04041269,2.47513374
-5.91595798,7.35604086,0.52099931,2.13082517,3.23373746,1.57169984,0.02256176,1.05727382,0.04183158,2.49354258
-5.90995498,7.42132486,0.53205122,2.15005563,3.28870114,1.58335465,0.02277923,1.06785541,0.04329098,2.51244605
-5.90395198,7.48697548,0.54382615,2.16902797,3.34552590,1.59400740,0.02299777,1.07858812,0.04477336,2.53151780
-5.89794897,7.55195902,0.55614964,2.18746837,3.40358154,1.60354462,0.02321058,1.08940422,0.04625959,2.55036076
-5.89194597,7.61505375,0.56882666,2.20506363,3.46210322,1.61182427,0.02341068,1.10019559,0.04772931,2.56851737
-5.88594297,7.67488908,0.58164640,2.22147625,3.52020780,1.61867879,0.02359108,1.11081555,0.04916146,2.58548308
-5.87993997,7.72999401,0.59438776,2.23636148,3.57691646,1.62392022,0.02374506,1.12108305,0.05053479,2.60072274
-5.87393697,7.77885317,0.60682536,2.24938524,3.63118302,1.62734722,0.02386636,1.13078879,0.05182845,2.61368929
