energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up,V_p_up,V_d_up
-5.69384692,3.54798902,0.02016931,0.33296030,1.94066454,0.00000000,0.80017707,0.38173031,0.79398881,0.57883915
-5.68784392,3.68632551,0.02059270,0.35015935,2.01458272,0.00000000,0.83878682,0.40231809,0.83782000,0.59356207
-5.68184092,3.83189868,0.02103702,0.36803386,2.09261703,0.00000000,0.87895746,0.42371650,0.88343202,0.60958355
-5.67583792,3.98393265,0.02150620,0.38645913,2.17437774,0.00000000,0.92045218,0.44580026,0.93057959,0.62685769
-5.66983492,4.14148146,0.02200326,0.40529524,2.25938113,0.00000000,0.96300559,0.46842705,0.97898404,0.64530207
-5.66383192,4.30344548,0.02253012,0.42438990,2.34705801,0.00000000,1.00632912,0.49144034,1.02833901,0.66479798
-5.65782891,4.46859269,0.02308752,0.44358171,2.43676478,0.00000000,1.05011713,0.51467272,1.07831712,0.68519177
-5.65182591,4.63558389,0.02367484,0.46270374,2.52779672,0.00000000,1.09405318,0.53794958,1.12857721,0.70629733
-5.64582291,4.80300123,0.02429017,0.48158725,2.61940287,0.00000000,1.13781663,0.56109295,1.17877190,0.72789964
-5.63981991,4.96937884,0.02493023,0.50006553,2.71080215,0.00000000,1.18108901,0.58392551,1.22855511,0.74975932
-5.63381691,5.13323458,0.02559051,0.51797753,2.80120003,0.00000000,1.22356009,0.60627443,1.27758924,0.77161805
-5.62781391,5.29310179,0.02626537,0.53517147,2.88980509,0.00000000,1.26493355,0.62797501,1.32555165,0.79320460
-5.62181091,5.44755994,0.02694820,0.55150793,2.97584499,0.00000000,1.30493182,0.64887405,1.37214034,0.81424141
-5.61580790,5.59526315,0.02763164,0.56686271,3.05858135,0.00000000,1.34330019,0.66883267,1.41707842,0.83445136
-5.60980490,5.73496581,0.02830783,0.58112903,3.13732294,0.00000000,1.37980998,0.68772870,1.46011741,0.85356456
-5.60380190,5.86554444,0.02896863,0.59421933,3.21143705,0.00000000,1.41426079,0.70545852,1.50103924,0.87132493
-5.59779890,5.98601543,0.02960590,0.60606638,3.28035860,0.00000000,1.44648165,0.72193822,1.53965701,0.88749632
-5.59179590,6.09554827,0.03021176,0.61662387,3.34359697,0.00000000,1.47633136,0.73710431,1.57581451,0.90186799
-5.58579290,6.19347405,0.03077882,0.62586639,3.40074053,0.00000000,1.50369784,0.75091380,1.60938471,0.91425930
-5.57978989,6.27928939,0.03130042,0.63378889,3.45145880,0.00000000,1.52849671,0.76334387,1.64026745,0.92452334
-5.57378689,6.35265600,0.03177083,0.64040559,3.49550255,0.00000000,1.55066924,0.77439103,1.66838633,0.93254966
-5.56778389,6.41339606,0.03218533,0.64574855,3.53270188,0.00000000,1.57017965,0.78406992,1.69368528,0.93826571
-5.56178089,6.46148399,0.03254042,0.64986581,3.56296266,0.00000000,1.58701217,0.79241192,1.71612482,0.94163728
-5.55577789,6.49703511,0.03283379,0.65281919,3.58626151,0.00000000,1.60116777,0.79946337,1.73567840,0.94266778
-5.54977489,6.52029172,0.03306438,0.65468198,3.60263970,0.00000000,1.61266087,0.80528373,1.75232877,0.94139644
-5.54377189,6.53160725,0.03323231,0.65553643,3.61219615,0.00000000,1.62151620,0.80994364,1.76606489,0.93789569
-5.53776888,6.53142912,0.03333886,0.65547120,3.61508008,0.00000000,1.62776584,0.81352279,1.77687910,0.93226764
-5.53176588,6.52028092,0.03338627,0.65457880,3.61148325,0.00000000,1.63144678,0.81610786,1.78476507,0.92464002
-5.52576288,6.49874449,0.03337766,0.65295313,3.60163241,0.00000000,1.63259889,0.81779043,1.78971619,0.91516159
-5.51975988,6.46744249,0.03331683,0.65068722,3.58578194,0.00000000,1.63126363,0.81866490,1.79172483,0.90399735
-5.51375688,6.42702202,0.03320806,0.64787105,3.56420705,0.00000000,1.62748334,0.81882641,1.79078219,0.89132367
-5.50775388,6.37813957,0.03305594,0.64458977,3.53719764,0.00000000,1.62130137,0.81836888,1.78687880,0.87732344
-5.50175088,6.32144786,0.03286514,0.64092213,3.50505294,0.00000000,1.61276277,0.81738312,1.78000577,0.86218162
-5.49574787,6.25758470,0.03264030,0.63693928,3.46807706,0.00000000,1.60191572,0.81595505,1.77015650,0.84608100
-5.48974487,6.18716406,0.03238577,0.63270390,3.42657543,0.00000000,1.58881348,0.81416408,1.75732893,0.82919862
-5.48374187,6.11076948,0.03210555,0.62826974,3.38085209,0.00000000,1.57351670,0.81208166,1.74152812,0.81170259
-5.47773887,6.02894968,0.03180313,0.62368151,3.33120786,0.00000000,1.55609603,0.80977014,1.72276913,0.79374962
-5.47173587,5.94221637,0.03148146,0.61897517,3.27793914,0.00000000,1.53663462,0.80728183,1.70107997,0.77548308
-5.46573287,5.85104394,0.03114286,0.61417845,3.22133730,0.00000000,1.51523062,0.80465843,1.67650453,0.75703170
-5.45972986,5.75587082,0.03078908,0.60931182,3.16168855,0.00000000,1.49199911,0.80193078,1.64910533,0.73850873
-5.45372686,5.65710224,0.03042124,0.60438963,3.09927399,0.00000000,1.46707353,0.79911902,1.61896590,0.72001163
-5.44772386,5.55511385,0.03003997,0.59942138,3.03436978,0.00000000,1.44060632,0.79623307,1.58619276,0.70162219
-5.44172086,5.45025614,0.02964545,0.59441325,2.96724739,0.00000000,1.41276865,0.79327353,1.55091674,0.68340694
-5.43571786,5.34285905,0.02923755,0.58936947,2.89817359,0.00000000,1.38374920,0.79023281,1.51329366,0.66541790
-5.42971486,5.23323667,0.02881588,0.58429381,2.82741046,0.00000000,1.35375194,0.78709662,1.47350425,0.64769353
-5.42371186,5.12169156,0.02837999,0.57919078,2.75521503,0.00000000,1.32299291,0.78384555,1.43175334,0.63025985
-5.41770885,5.00851872,0.02792944,0.57406672,2.68183894,0.00000000,1.29169627,0.78045680,1.38826823,0.61313172
-5.41170585,4.89400892,0.02746393,0.56893048,2.60752786,0.00000000,1.26008953,0.77690587,1.34329636,0.59631426
-5.40570285,4.77845128,0.02698340,0.56379392,2.53252101,0.00000000,1.22839847,0.77316819,1.29710239,0.57980428
-5.39969985,4.66213519,0.02648809,0.55867184,2.45705066,0.00000000,1.19684170,0.76922053,1.24996468,0.56359193
-5.39369685,4.54535162,0.02597863,0.55358176,2.38134189,0.00000000,1.16562542,0.76504218,1.20217146,0.54766230
-5.38769385,4.42839380,0.02545603,0.54854323,2.30561257,0.00000000,1.13493848,0.76061584,1.15401667,0.53199713
-5.38169085,4.31155748,0.02492172,0.54357688,2.23007370,0.00000000,1.10494807,0.75592819,1.10579580,0.51657656
-5.37568784,4.19514102,0.02437751,0.53870337,2.15493012,0.00000000,1.07579634,0.75097020,1.05780174,0.50138090
-5.36968484,4.07944527,0.02382555,0.53394218,2.08038156,0.00000000,1.04759810,0.74573718,1.01032089,0.48639231
-5.36368184,3.96477366,0.02326827,0.52931048,2.00662410,0.00000000,1.02043976,0.74022873,0.96362964,0.47159650
-5.35767884,3.85143248,0.02270831,0.52482221,1.93385186,0.00000000,0.99437965,0.73444853,0.91799119,0.45698426
-5.35167584,3.73973148,0.02214843,0.52048741,1.86225883,0.00000000,0.96944965,0.72840434,0.87365310,0.44255279
-5.34567284,3.62998496,0.02159145,0.51631198,1.79204075,0.00000000,0.94565812,0.72210795,0.83084521,0.42830682
-5.33966983,3.52251321,0.02104012,0.51229793,1.72339682,0.00000000,0.92299396,0.71557558,0.78977831,0.41425945
-5.33366683,3.41764429,0.02049713,0.50844416,1.65653119,0.00000000,0.90143159,0.70882840,0.75064328,0.40043258
-5.32766383,3.31571598,0.01996497,0.50474770,1.59165385,0.00000000,0.88093658,0.70189348,0.71361083,0.38685706
-5.32166083,3.21707765,0.01944592,0.50120546,1.52898106,0.00000000,0.86147161,0.69480501,0.67883157,0.37357227
-5.31565783,3.12209178,0.01894203,0.49781635,1.46873492,0.00000000,0.84300234,0.68760568,0.64643659,0.36062543
-5.30965483,3.03113484,0.01845506,0.49458356,1.41114218,0.00000000,0.82550303,0.68034828,0.61653810,0.34807041
