energy_ev,total_up,In_p_up,In_d_up,Nb_p_up,Nb_d_up,Se_s_up,Se_p_up
-6.00000000,8.27427299,0.31145589,0.01093902,3.30767568,3.92407113,0.02638367,5.54987622
-5.99399700,8.11284643,0.29365602,0.01064407,3.24209858,3.89078807,0.02517108,5.48097159
-5.98799400,7.93541487,0.27607276,0.01034435,3.17035213,3.84490361,0.02397231,5.39729393
-5.98199100,7.74407099,0.25891359,0.01004350,3.09320280,3.78689665,0.02279896,5.29983999
-5.97598799,7.54090913,0.24235997,0.00974471,3.01142639,3.71738042,0.02166066,5.18972042
-5.96998499,7.32799852,0.22656452,0.00945068,2.92580205,3.63709642,0.02056502,5.06814738
-5.96398199,7.10735762,0.21164940,0.00916355,2.83710543,3.54690446,0.01951756,4.93641877
-5.95797899,6.88092929,0.19770558,0.00888494,2.74610072,3.44776874,0.01852184,4.79589872
-5.95197599,6.65055671,0.18479326,0.00861590,2.65353146,3.34074021,0.01757954,4.64799489
-5.94597299,6.41796048,0.17294306,0.00835699,2.56011040,3.22693561,0.01669068,4.49413289
-5.93996998,6.18471719,0.16215800,0.00810828,2.46650881,3.10751398,0.01585384,4.33572910
-5.93396698,5.95224061,0.15241617,0.00786939,2.37334579,2.98365152,0.01506644,4.17416282
-5.92796398,5.72176616,0.14367379,0.00763958,2.28117832,2.85651586,0.01432500,4.01074935
-5.92196098,5.49434000,0.13586871,0.00741781,2.19049285,2.72724110,0.01362543,3.84671531
-5.91595798,5.27081349,0.12892408,0.00720276,2.10169921,2.59690439,0.01296327,3.68317764
-5.90995498,5.05184404,0.12275212,0.00699296,2.01512737,2.46650555,0.01233395,3.52112758
-5.90395198,4.83790269,0.11725786,0.00678687,1.93102758,2.33695029,0.01173296,3.36142036
-5.89794897,4.62928862,0.11234272,0.00658288,1.84957412,2.20903784,0.01115609,3.20477134
-5.89194597,4.42615028,0.10790788,0.00637946,1.77087266,2.08345342,0.01059950,3.05175861
-5.88594297,4.22851224,0.10385736,0.00617519,1.69497070,1.96076558,0.01005985,2.90283178
-5.87993997,4.03630654,0.10010071,0.00596882,1.62187084,1.84142824,0.00953438,2.75832625
-5.87393697,3.84940696,0.09655527,0.00575931,1.55154571,1.72578704,0.00902090,2.61848168
-5.86793397,3.66766421,0.09314803,0.00554591,1.48395383,1.61408928,0.00851785,2.48346354
-5.86193097,3.49094002,0.08981693,0.00532815,1.41905520,1.50649657,0.00802423,2.35338584
-5.85592796,3.31913803,0.08651178,0.00510588,1.35682555,1.40309932,0.00753958,2.22833360
-5.84992496,3.15222971,0.08319465,0.00487928,1.29726820,1.30393205,0.00706392,2.10838334
-5.84392196,2.99027345,0.07983980,0.00464885,1.24042271,1.20898856,0.00659769,1.99362029
-5.83791896,2.83342598,0.07643320,0.00441537,1.18636958,1.11823618,0.00614169,1.88415101
-5.83191596,2.68194510,0.07297172,0.00417990,1.13523076,1.03162841,0.00569696,1.78011088
-5.82591296,2.53618393,0.06946193,0.00394376,1.08716567,0.94911541,0.00526475,1.68166589
-5.81990995,2.39657695,0.06591869,0.00370840,1.04236320,0.87065208,0.00484644,1.58900898
-5.81390695,2.26361899,0.06236356,0.00347545,1.00103000,0.79620372,0.00444347,1.50235122
-5.80790395,2.13783863,0.05882310,0.00324658,0.96337610,0.72574923,0.00405725,1.42190902
-5.80190095,2.01976801,0.05532712,0.00302348,0.92959859,0.65928235,0.00368918,1.34788822
-5.79589795,1.90991108,0.05190703,0.00280780,0.89986479,0.59681116,0.00334056,1.28046673
-5.78989495,1.80871274,0.04859428,0.00260110,0.87429592,0.53835649,0.00301256,1.21977713
