energy_ev,total_up,Bi_p_up,Bi_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-6.00000000,3.50914787,0.65845848,0.02195771,0.64808730,2.27060357,0.00865456,1.03897429
-5.99399700,3.43568422,0.64893291,0.02185994,0.64190369,2.21970994,0.00827920,1.01045228
-5.98799400,3.35480780,0.63760039,0.02173580,0.63375519,2.16431212,0.00797290,0.97948726
-5.98199100,3.26692752,0.62448019,0.02158449,0.62364619,2.10468314,0.00774497,0.94629405
-5.97598799,3.17254918,0.60961067,0.02140527,0.61160684,2.04115420,0.00760413,0.91112556
-5.96998499,3.07227756,0.59305065,0.02119757,0.59769391,1.97411704,0.00755829,0.87427064
-5.96398199,2.96681544,0.57488045,0.02096116,0.58199120,1.90402415,0.00761429,0.83605074
-5.95797899,2.85695894,0.55520245,0.02069629,0.56460927,1.83138647,0.00777771,0.79681527
-5.95197599,2.74358890,0.53414105,0.02040375,0.54568460,1.75676842,0.00805258,0.75693577
-5.94597299,2.62765836,0.51184180,0.02008498,0.52537802,1.68078010,0.00844117,0.71679911
-5.93996998,2.51017625,0.48846988,0.01974210,0.50387239,1.60406698,0.00894380,0.67679983
-5.93396698,2.39218786,0.46420772,0.01937788,0.48136967,1.52729732,0.00955863,0.63733202
-5.92796398,2.27475285,0.43925195,0.01899571,0.45808726,1.45114789,0.01028151,0.59878099
-5.92196098,2.15892159,0.41380968,0.01859953,0.43425390,1.37628860,0.01110587,0.56151505
-5.91595798,2.04571104,0.38809437,0.01819365,0.41010510,1.30336675,0.01202264,0.52587778
-5.90995498,1.93608118,0.36232135,0.01778267,0.38587842,1.23299167,0.01302028,0.49218111
-5.90395198,1.83091312,0.33670318,0.01737125,0.36180865,1.16572054,0.01408484,0.46069936
-5.89794897,1.73098999,0.31144519,0.01696400,0.33812313,1.10204599,0.01520012,0.43166467
-5.89194597,1.63698141,0.28674123,0.01656526,0.31503740,1.04238616,0.01634792,0.40526377
-5.88594297,1.54943236,0.26276986,0.01617899,0.29275136,0.98707759,0.01750840,0.38163639
-5.87993997,1.46875686,0.23969119,0.01580860,0.27144608,0.93637135,0.01866047,0.36087507
-5.87393697,1.39523673,0.21764445,0.01545693,0.25128141,0.89043242,0.01978235,0.34302662
-5.86793397,1.32902542,0.19674628,0.01512615,0.23239443,0.84934241,0.02085210,0.32809487
-5.86193097,1.27015664,0.17708995,0.01481778,0.21489884,0.81310524,0.02184830,0.31604471
-5.85592796,1.21855722,0.15874535,0.01453271,0.19888533,0.78165561,0.02275066,0.30680711
-5.84992496,1.17406361,0.14175982,0.01427129,0.18442280,0.75486963,0.02354072,0.30028497
-5.84392196,1.13644113,0.12615966,0.01403344,0.17156048,0.73257717,0.02420249,0.29635953
-5.83791896,1.10540503,0.11195223,0.01381878,0.16033073,0.71457518,0.02472307,0.29489702
-5.83191596,1.08064235,0.09912860,0.01362678,0.15075252,0.70064139,0.02509315,0.29575541
-5.82591296,1.06183357,0.08766648,0.01345694,0.14283530,0.69054781,0.02530744,0.29879096
-5.81990995,1.04867324,0.07753334,0.01330891,0.13658324,0.68407326,0.02536504,0.30386433
-5.81390695,1.04088841,0.06868966,0.01318269,0.13199941,0.68101456,0.02526957,0.31084615
-5.80790395,1.03825448,0.06109195,0.01307866,0.12909005,0.68119580,0.02502924,0.31962177
-5.80190095,1.04060755,0.05469573,0.01299776,0.12786832,0.68447543,0.02465675,0.33009513
-5.79589795,1.04785286,0.04945800,0.01294148,0.12835776,0.69075081,0.02416905,0.34219157
-5.78989495,1.05996917,0.04533944,0.01291190,0.13059486,0.69996022,0.02358697,0.35585959
-5.78389195,1.07700864,0.04230601,0.01291164,0.13463094,0.71208211,0.02293471,0.37107131
-5.77788894,1.09909247,0.04033005,0.01294383,0.14053293,0.72713186,0.02223928,0.38782183
-5.77188594,1.12640224,0.03939080,0.01301194,0.14838299,0.74515609,0.02152977,0.40612729
-5.76588294,1.15916737,0.03947432,0.01311971,0.15827697,0.76622483,0.02083667,0.42602176
-5.75987994,1.19764905,0.04057284,0.01327094,0.17032154,0.79042192,0.02019103,0.44755293
-5.75387694,1.24212122,0.04268356,0.01346930,0.18463002,0.81783394,0.01962375,0.47077683
-5.74787394,1.29284915,0.04580698,0.01371816,0.20131698,0.84853824,0.01916470,0.49575160
-5.74187094,1.35006651,0.04994474,0.01402033,0.22049173,0.88259054,0.01884204,0.52253056
-5.73586793,1.41395160,0.05509718,0.01437794,0.24225078,0.92001256,0.01868146,0.55115480
-5.72986493,1.48460381,0.06126063,0.01479217,0.26666960,0.96078035,0.01870552,0.58164552
-5.72386193,1.56202104,0.06842453,0.01526314,0.29379397,1.00481361,0.01893307,0.61399649
-5.71785893,1.64607923,0.07656866,0.01578973,0.32363113,1.05196685,0.01937871,0.64816697
-5.71185593,1.73651484,0.08566031,0.01636951,0.35614140,1.10202250,0.02005239,0.68407533
-5.70585293,1.83291121,0.09565190,0.01699866,0.39123041,1.15468660,0.02095906,0.72159383
-5.69984992,1.93468965,0.10647889,0.01767194,0.42874256,1.20958721,0.02209844,0.76054488
-5.69384692,2.04110587,0.11805820,0.01838273,0.46845611,1.26627600,0.02346490,0.80069893
