energy_ev,total_up,Al_p_up,Al_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,1.21503893,0.04885949,0.00000000,0.86187961,0.33850235,0.00301250,0.58892249
-5.99399700,1.24150725,0.04852482,0.00000000,0.87411118,0.35270387,0.00310939,0.59162077
-5.98799400,1.26723532,0.04817401,0.00000000,0.88540933,0.36691211,0.00322036,0.59324884
-5.98199100,1.29131488,0.04779000,0.00000000,0.89524879,0.38075993,0.00334204,0.59353510
-5.97598799,1.31285874,0.04735501,0.00000000,0.90312598,0.39388473,0.00347111,0.59222366
-5.96998499,1.33103109,0.04685137,0.00000000,0.90857728,0.40593971,0.00360436,0.58908481
-5.96398199,1.34507629,0.04626247,0.00000000,0.91119619,0.41660483,0.00373883,0.58392477
-5.95797899,1.35434503,0.04557358,0.00000000,0.91064835,0.42559682,0.00387184,0.57659418
-5.95197599,1.35831658,0.04477272,0.00000000,0.90668393,0.43267807,0.00400106,0.56699505
-5.94597299,1.35661639,0.04385138,0.00000000,0.89914686,0.43766386,0.00412456,0.55508583
-5.93996998,1.34902824,0.04280518,0.00000000,0.88798044,0.44042783,0.00424082,0.54088438
-5.93396698,1.33550046,0.04163430,0.00000000,0.87322927,0.44090531,0.00434874,0.52446878
-5.92796398,1.31614613,0.04034384,0.00000000,0.85503737,0.43909447,0.00444759,0.50597590
-5.92196098,1.29123740,0.03894396,0.00000000,0.83364277,0.43505534,0.00453699,0.48559794
-5.91595798,1.26119425,0.03744978,0.00000000,0.80936884,0.42890679,0.00461685,0.46357712
-5.90995498,1.22656860,0.03588125,0.00000000,0.78261301,0.42082156,0.00468734,0.44019871
-5.90395198,1.18802457,0.03426274,0.00000000,0.75383346,0.41101982,0.00474875,0.41578300
-5.89794897,1.14631597,0.03262253,0.00000000,0.72353440,0.39976145,0.00480146,0.39067642
-5.89194597,1.10226238,0.03099222,0.00000000,0.69225099,0.38733764,0.00484590,0.36524226
-5.88594297,1.05672490,0.02940601,0.00000000,0.66053435,0.37406204,0.00488242,0.33985150
-5.87993997,1.01058274,0.02789995,0.00000000,0.62893756,0.36026204,0.00491130,0.31487409
-5.87393697,0.96471186,0.02651113,0.00000000,0.59800320,0.34627051,0.00493268,0.29067100
-5.86793397,0.91996625,0.02527687,0.00000000,0.56825285,0.33241833,0.00494657,0.26758723
-5.86193097,0.87716274,0.02423395,0.00000000,0.54017896,0.31902802,0.00495282,0.24594620
-5.85592796,0.83706955,0.02341779,0.00000000,0.51423917,0.30640856,0.00495121,0.22604533
-5.84992496,0.80039874,0.02286171,0.00000000,0.49085312,0.29485165,0.00494139,0.20815310
-5.84392196,0.76780242,0.02259627,0.00000000,0.47040156,0.28462911,0.00492303,0.19250726
-5.83791896,0.73987227,0.02264859,0.00000000,0.45322740,0.27599169,0.00489580,0.17931443
-5.83191596,0.71714190,0.02304177,0.00000000,0.43963838,0.26916874,0.00485953,0.16875049
-5.82591296,0.70009115,0.02379432,0.00000000,0.42991086,0.26436883,0.00481418,0.16096193
-5.81990995,0.68915174,0.02491975,0.00000000,0.42429403,0.26178085,0.00475997,0.15606769
-5.81390695,0.68471319,0.02642609,0.00000000,0.42301429,0.26157535,0.00469743,0.15416132
-5.80790395,0.68712837,0.02831565,0.00000000,0.42627897,0.26390588,0.00462741,0.15531330
-5.80190095,0.69671784,0.03058471,0.00000000,0.43427918,0.26891005,0.00455112,0.15957311
-5.79589795,0.71377235,0.03322345,0.00000000,0.44719129,0.27671004,0.00447015,0.16697111
-5.78989495,0.73855310,0.03621586,0.00000000,0.46517682,0.28741240,0.00438643,0.17751987
-5.78389195,0.77128931,0.03953989,0.00000000,0.48838045,0.30110711,0.00430218,0.19121493
-5.77788894,0.81217317,0.04316766,0.00000000,0.51692634,0.31786574,0.00421989,0.20803492
