energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,5.38596764,0.10068166,0.00919543,0.68347730,3.82573948,2.68571452,0.05971036,1.45051094
-5.99399700,5.58507891,0.10542556,0.00996405,0.70666658,3.91430190,2.80713882,0.06217251,1.49372059
-5.98799400,5.82316553,0.11022776,0.01075906,0.73734178,4.03797046,2.95005182,0.06478941,1.54322654
-5.98199100,6.09792242,0.11502989,0.01157202,0.77534531,4.19710664,3.11316055,0.06751653,1.59821957
-5.97598799,6.40667775,0.11977700,0.01239433,0.82043951,4.39163792,3.29496449,0.07030918,1.65784809
-5.96998499,6.74640813,0.12441882,0.01321741,0.87229924,4.62101407,3.49376149,0.07312343,1.72123772
-5.96398199,7.11375272,0.12891083,0.01403288,0.93050467,4.88416204,3.70765373,0.07591709,1.78750989
-5.95797899,7.50502632,0.13321516,0.01483268,0.99453467,5.17944191,3.93455423,0.07865059,1.85579879
-5.95197599,7.91623217,0.13730109,0.01560929,1.06376157,5.50460662,4.17219428,0.08128768,1.92526587
-5.94597299,8.34307570,0.14114530,0.01635585,1.13744782,5.85676911,4.41813270,0.08379604,1.99511149
-5.93996998,8.78098077,0.14473183,0.01706631,1.21474537,6.23238077,4.66976759,0.08614774,2.06458324
-5.93396698,9.22511033,0.14805167,0.01773550,1.29469829,6.62722513,4.92435161,0.08831938,2.13298095
-5.92796398,9.67039375,0.15110218,0.01835923,1.37624922,7.03643092,5.17901169,0.09029218,2.19965854
-5.92196098,10.11156277,0.15388616,0.01893436,1.45825008,7.45450765,5.43077396,0.09205177,2.26402308
-5.91595798,10.54319802,0.15641088,0.01945877,1.53947721,7.87540646,5.67659471,0.09358786,2.32553154
-5.90995498,10.95978763,0.15868689,0.01993136,1.61865093,8.29260769,5.91339756,0.09489382,2.38368605
-5.90395198,11.35579834,0.16072687,0.02035200,1.69445940,8.69923511,6.13811696,0.09596610,2.43802834
-5.89794897,11.72575933,0.16254443,0.02072146,1.76558601,9.08819547,6.34774749,0.09680362,2.48813429
-5.89194597,12.06435726,0.16415302,0.02104132,1.83073979,9.45234010,6.53939809,0.09740721,2.53360909
-5.88594297,12.36654062,0.16556501,0.02131380,1.88868763,9.78464388,6.71034974,0.09777907,2.57408396
-5.87993997,12.62763002,0.16679087,0.02154170,1.93828718,10.07839542,6.85811468,0.09792227,2.60921459
-5.87393697,12.84343051,0.16783858,0.02172817,1.97851913,10.32739103,6.98049508,0.09784047,2.63868175
-5.86793397,13.01034106,0.16871328,0.02187665,2.00851737,10.52612443,7.07563846,0.09753767,2.66219411
-5.86193097,13.12545631,0.16941712,0.02199063,2.02759569,10.66996364,7.14208759,0.09701817,2.67949302
-5.85592796,13.18665532,0.16994934,0.02207355,2.03526975,10.75530677,7.17882201,0.09628664,2.69035906
-5.84992496,13.19267260,0.17030649,0.02212864,2.03127319,10.77970909,7.18528927,0.09534832,2.69461971
-5.84392196,13.14314713,0.17048294,0.02215881,2.01556704,10.74197479,7.16142379,0.09420934,2.69215768
-5.83791896,13.03864628,0.17047143,0.02216651,1.98834188,10.64220860,7.10765223,0.09287707,2.68291913
-5.83191596,12.88066251,0.17026378,0.02215362,1.95001256,10.48182419,7.02488450,0.09136052,2.66692120
-5.82591296,12.67158224,0.16985171,0.02212143,1.90120565,10.26350833,6.91449075,0.08967076,2.64425823
-5.81990995,12.41462759,0.16922765,0.02207052,1.84274012,9.99114221,6.77826480,0.08782118,2.61510613
-5.81390695,12.11377314,0.16838559,0.02200081,1.77560215,9.66968306,6.61837573,0.08582785,2.57972460
-5.80790395,11.77364112,0.16732193,0.02191151,1.70091510,9.30501147,6.43730937,0.08370960,2.53845688
-5.80190095,11.39937939,0.16603626,0.02180122,1.61990607,8.90375104,6.23780243,0.08148809,2.49172696
-5.79589795,10.99652737,0.16453200,0.02166794,1.53387037,8.47306850,6.02277176,0.07918766,2.44003445
-5.78989495,10.57087551,0.16281706,0.02150923,1.44413552,8.02046281,5.79524183,0.07683511,2.38394709
-5.78389195,10.12832390,0.16090421,0.02132230,1.35202615,7.55355235,5.55827308,0.07445928,2.32409139
-5.77788894,9.67474541,0.15881139,0.02110419,1.25883113,7.07986851,5.31489393,0.07209056,2.26114170
-5.77188594,9.21585826,0.15656179,0.02085191,1.16577408,6.60666380,5.06803857,0.06976025,2.19580807
-5.76588294,8.75711210,0.15418371,0.02056264,1.07398825,6.14074123,4.82049243,0.06749991,2.12882356
-5.75987994,8.30359069,0.15171029,0.02023390,0.98449628,5.68831021,4.57484664,0.06534061,2.06093113
-5.75387694,7.85993346,0.14917888,0.01986370,0.89819532,5.25487311,4.33346229,0.06331217,1.99287081
-5.74787394,7.43027701,0.14663037,0.01945075,0.81584754,4.84514441,4.09844474,0.06144246,1.92536736
-5.74187094,7.01821666,0.14410821,0.01899450,0.73807593,4.46300338,3.87162770,0.05975670,1.85911878
-5.73586793,6.62678752,0.14165732,0.01849533,0.66536491,4.11147918,3.65456675,0.05827683,1.79478609
-5.72986493,6.25846353,0.13932287,0.01795455,0.59806530,3.79276640,3.44854103,0.05702101,1.73298443
-5.72386193,5.91517271,0.13714901,0.01737447,0.53640294,3.50826780,3.25456233,0.05600321,1.67427587
-5.71785893,5.59832618,0.13517755,0.01675835,0.48049011,3.25866023,3.07339014,0.05523295,1.61916405
-5.71185593,5.30885867,0.13344673,0.01611035,0.43033912,3.04397918,2.90555147,0.05471516,1.56809077
-5.70585293,5.04727785,0.13199008,0.01543548,0.38587716,2.86371718,2.75136420,0.05445019,1.52143458
-5.69984992,4.81372008,0.13083549,0.01473943,0.34696173,2.71693119,2.61096281,0.05443397,1.47951154
-5.69384692,4.60801023,0.13000449,0.01402845,0.31339607,2.60235417,2.48432544,0.05465834,1.44257802
-5.68784392,4.42972333,0.12951185,0.01330919,0.28494392,2.51850640,2.37130133,0.05511148,1.41083533
-5.68184092,4.27824617,0.12936543,0.01258852,0.26134323,2.46380240,2.27163791,0.05577845,1.38443627
-5.67583792,4.15283674,0.12956642,0.01187336,0.24231847,2.43664975,2.18500680,0.05664187,1.36349296
-5.66983492,4.05267997,0.13010984,0.01117053,0.22759129,2.43553656,2.11102802,0.05768263,1.34808573
-5.66383192,3.97693810,0.13098535,0.01048660,0.21688934,2.45910486,2.04929206,0.05888068,1.33827253
-5.65782891,3.92479405,0.13217827,0.00982772,0.20995322,2.50620741,1.99937907,0.06021580,1.33409811
-5.65182591,3.89548641,0.13367075,0.00919954,0.20654149,2.57594635,1.96087484,0.06166834,1.33560245
-5.64582291,3.88833480,0.13544299,0.00860712,0.20643381,2.66769217,1.93338310,0.06321992,1.34282758
-5.63981991,3.90275437,0.13747443,0.00805486,0.20943235,2.78108229,1.91653376,0.06485404,1.35582218
-5.63381691,3.93825870,0.13974484,0.00754643,0.21536149,2.91599911,1.90998684,0.06655648,1.37464310
-5.62781391,3.99445052,0.14223512,0.00708478,0.22406603,3.07252794,1.91343183,0.06831561,1.39935354
-5.62181091,4.07100030,0.14492782,0.00667213,0.23540818,3.25089609,1.92658263,0.07012247,1.43001723
-5.61580790,4.16761323,0.14780730,0.00630996,0.24926342,3.45139522,1.94916808,0.07197068,1.46668869
-5.60980490,4.28398574,0.15085950,0.00599904,0.26551563,3.67428970,1.98091872,0.07385607,1.50939949
-5.60380190,4.41975359,0.15407126,0.00573945,0.28405176,3.91971488,2.02155028,0.07577618,1.55814113
-5.59779890,4.57443397,0.15742933,0.00553063,0.30475628,4.18756967,2.07074494,0.07772958,1.61284517
-5.59179590,4.74736492,0.16091903,0.00537140,0.32750595,4.47740883,2.12813162,0.07971499,1.67336161
-5.58579290,4.93764593,0.16452276,0.00526004,0.35216508,4.78834054,2.19326655,0.08173038,1.73943697
