energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,30.00577082,0.52499403,0.00000000,0.02393641,0.08060748,0.14684338,1.05059049,0.56691371,27.97549577
-5.99399700,30.29237100,0.51206252,0.00000000,0.02472838,0.07920536,0.14722322,1.04165397,0.56146533,28.24295138
-5.98799400,30.55874837,0.49872332,0.00000000,0.02566183,0.07807831,0.14734657,1.03219660,0.55663904,28.49141318
-5.98199100,30.79567116,0.48502362,0.00000000,0.02674822,0.07721799,0.14720436,1.02213886,0.55244362,28.71186647
-5.97598799,30.99430778,0.47102355,0.00000000,0.02800171,0.07661796,0.14678901,1.01143183,0.54889718,28.89564204
-5.96998499,31.14647089,0.45679530,0.00000000,0.02943891,0.07627339,0.14609497,1.00006004,0.54602682,29.03465413
-5.96398199,31.24484355,0.44242175,0.00000000,0.03107849,0.07618058,0.14511929,0.98804278,0.54386727,29.12162352
-5.95797899,31.28317803,0.42799464,0.00000000,0.03294054,0.07633624,0.14386209,0.97543369,0.54245853,29.15027672
-5.95197599,31.25645871,0.41361235,0.00000000,0.03504579,0.07673680,0.14232693,0.96231862,0.54184268,29.11551254
-5.94597299,31.16102220,0.39937732,0.00000000,0.03741457,0.07737747,0.14052103,0.94881182,0.54205984,29.01352936
-5.93996998,30.99462973,0.38539321,0.00000000,0.04006570,0.07825133,0.13845537,0.93505067,0.54314350,28.84190767
-5.93396698,30.75648886,0.37176186,0.00000000,0.04301521,0.07934841,0.13614457,0.92118898,0.54511559,28.59964478
-5.92796398,30.44722419,0.35858029,0.00000000,0.04627500,0.08065487,0.13360667,0.90738939,0.54798127,28.28714057
-5.92196098,30.06879891,0.34593763,0.00000000,0.04985150,0.08215217,0.13086268,0.89381505,0.55172409,27.90613545
-5.91595798,29.62439122,0.33391227,0.00000000,0.05374438,0.08381659,0.12793608,0.88062106,0.55630158,27.45960397
-5.90995498,29.11823215,0.32256930,0.00000000,0.05794535,0.08561882,0.12485207,0.86794602,0.56164168,26.95160935
-5.90395198,28.55541259,0.31195827,0.00000000,0.06243722,0.08752386,0.12163687,0.85590424,0.56764027,26.38712622
-5.89794897,27.94166891,0.30211141,0.00000000,0.06719311,0.08949124,0.11831691,0.84457884,0.57416004,25.77183980
-5.89194597,27.28315755,0.29304246,0.00000000,0.07217608,0.09147548,0.11491804,0.83401620,0.58103089,25.11193128
-5.88594297,26.58622909,0.28474602,0.00000000,0.07733908,0.09342691,0.11146474,0.82422208,0.58805186,24.41385899
-5.87993997,25.85721215,0.27719757,0.00000000,0.08262530,0.09529266,0.10797944,0.81515950,0.59499479,23.68414553
-5.87393697,25.10221679,0.27035414,0.00000000,0.08796898,0.09701805,0.10448198,0.80674863,0.60160944,22.92917988
-5.86793397,24.32696580,0.26415560,0.00000000,0.09329665,0.09854799,0.10098915,0.79886874,0.60763005,22.15504289
-5.86193097,23.53666041,0.25852661,0.00000000,0.09852870,0.09982866,0.09751441,0.79136191,0.61278300,21.36736293
-5.85592796,22.73588522,0.25337907,0.00000000,0.10358149,0.10080914,0.09406784,0.78403872,0.61679535,20.57120659
-5.84992496,21.92855450,0.24861502,0.00000000,0.10836956,0.10144311,0.09065615,0.77668526,0.61940379,19.77100736
-5.84392196,21.11790004,0.24412996,0.00000000,0.11280823,0.10169036,0.08728296,0.76907148,0.62036372,18.97053320
-5.83791896,20.30649811,0.23981635,0.00000000,0.11681626,0.10151819,0.08394915,0.76096020,0.61945795,18.17289137
