energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,3.50990748,0.00693899,0.49013847,0.49132912,0.58715313,1.15981971,1.55632634,0.00972437,1.06200459
-5.99399700,3.61725424,0.00721473,0.50567460,0.51675662,0.60253411,1.20120895,1.60322027,0.00905656,1.09094693
-5.98799400,3.73217462,0.00748047,0.52249177,0.54280571,0.61932806,1.24422306,1.65395703,0.00844872,1.12099371
-5.98199100,3.85328854,0.00773054,0.54041526,0.56916623,0.63736132,1.28840363,1.70791479,0.00790565,1.15170713
-5.97598799,3.97892736,0.00795919,0.55921596,0.59550473,0.65641739,1.33321054,1.76433012,0.00743058,1.18259234
-5.96998499,4.10718338,0.00816083,0.57861629,0.62147409,0.67624492,1.37803858,1.82231900,0.00702533,1.21311399
-5.96398199,4.23597041,0.00833022,0.59829853,0.64672399,0.69656701,1.42223754,1.88090347,0.00669040,1.24271513
-5.95797899,4.36309277,0.00846269,0.61791489,0.67091184,0.71709152,1.46513462,1.93904254,0.00642516,1.27083716
-5.95197599,4.48631910,0.00855432,0.63709901,0.69371356,0.73752166,1.50605804,1.99566619,0.00622806,1.29694008
-5.94597299,4.60345747,0.00860211,0.65547834,0.71483370,0.75756645,1.54436044,2.04971053,0.00609678,1.32052184
-5.93996998,4.71242798,0.00860409,0.67268665,0.73401435,0.77695037,1.57944096,2.10015277,0.00602839,1.34113591
-5.93396698,4.81132953,0.00855940,0.68837618,0.75104237,0.79542185,1.61076475,2.14604410,0.00601954,1.35840612
-5.92796398,4.89849749,0.00846836,0.70222893,0.76575459,0.81276009,1.63787892,2.18653912,0.00606658,1.37203821
-5.92196098,4.97254973,0.00833239,0.71396636,0.77804073,0.82878000,1.66042426,2.22092059,0.00616559,1.38182742
-5.91595798,5.03241940,0.00815401,0.72335729,0.78784387,0.84333501,1.67814223,2.24861824,0.00631254,1.38766210
-5.90995498,5.07737308,0.00793670,0.73022365,0.79515871,0.85631780,1.69087700,2.26922129,0.00650323,1.38952317
-5.90395198,5.10701460,0.00768478,0.73444377,0.80002748,0.86765903,1.69857284,2.28248414,0.00673332,1.38747970
-5.89794897,5.12127470,0.00740322,0.73595345,0.80253412,0.87732419,1.70126713,2.28832544,0.00699832,1.38168113
-5.89194597,5.12038842,0.00709745,0.73474456,0.80279697,0.88530903,1.69907986,2.28682090,0.00729352,1.37234668
-5.88594297,5.10486197,0.00677318,0.73086176,0.80096061,0.89163392,1.69220034,2.27819062,0.00761396,1.35975265
-5.87993997,5.07543174,0.00643619,0.72439732,0.79718719,0.89633752,1.68087232,2.26278199,0.00795438,1.34421862
-5.87393697,5.03301835,0.00609209,0.71548474,0.79164809,0.89947034,1.66537844,2.24104916,0.00830917,1.32609311
-5.86793397,4.97867853,0.00574622,0.70429133,0.78451618,0.90108859,1.64602522,2.21353061,0.00867236,1.30573971
-5.86193097,4.91355782,0.00540342,0.69101050,0.77595927,0.90124873,1.62312936,2.18082584,0.00903761,1.28352431
-5.85592796,4.83884641,0.00506797,0.67585398,0.76613501,0.90000307,1.59700631,2.14357264,0.00939830,1.25980389
-5.84992496,4.75574041,0.00474347,0.65904449,0.75518754,0.89739668,1.56796158,2.10242576,0.00974753,1.23491746
-5.84392196,4.66540988,0.00443278,0.64080916,0.74324592,0.89346566,1.53628517,2.05803799,0.01007827,1.20917923
