energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,7.21393103,1.22311457,4.61619933,0.02873526,0.39141008,1.23318085,0.00000000,0.97642332,0.92747156
-5.99399700,7.11950185,1.24488178,4.50857262,0.02839826,0.39037087,1.25087128,0.00000000,0.99008815,0.92779607
-5.98799400,7.02959246,1.26806522,4.40424720,0.02802424,0.38905824,1.27001686,0.00000000,1.00389387,0.92804316
-5.98199100,6.94437579,1.29250422,4.30341898,0.02761805,0.38753098,1.29047106,0.00000000,1.01766408,0.92826275
-5.97598799,6.86377604,1.31800016,4.20610031,0.02718514,0.38584268,1.31204451,0.00000000,1.03121250,0.92848456
-5.96998499,6.78749393,1.34432053,4.11214121,0.02673150,0.38404095,1.33450931,0.00000000,1.04434938,0.92871889
-5.96398199,6.71503818,1.37120353,4.02125525,0.02626351,0.38216709,1.35760393,0.00000000,1.05688769,0.92895816
-5.95797899,6.64576136,1.39836317,3.93304860,0.02578779,0.38025591,1.38103894,0.00000000,1.06864916,0.92917913
-5.95197599,6.57889849,1.42549491,3.84705074,0.02531104,0.37833597,1.40450303,0.00000000,1.07946974,0.92934564
-5.94597299,6.51360680,1.45228152,3.76274549,0.02483986,0.37643001,1.42766959,0.00000000,1.08920441,0.92941166
-5.93996998,6.44900521,1.47839935,3.67960098,0.02438055,0.37455564,1.45020351,0.00000000,1.09773125,0.92932466
-5.93396698,6.38421246,1.50352490,3.59709770,0.02393900,0.37272624,1.47176829,0.00000000,1.10495468,0.92902910
-5.92796398,6.31838313,1.52734165,3.51475374,0.02352049,0.37095204,1.49203344,0.00000000,1.11080787,0.92847005
-5.92196098,6.25074082,1.54954720,3.43214668,0.02312962,0.36924134,1.51068199,0.00000000,1.11525448,0.92759682
-5.91595798,6.18060827,1.56986049,3.34893189,0.02277027,0.36760188,1.52741823,0.00000000,1.11828962,0.92636657
-5.90995498,6.10743413,1.58802928,3.26485716,0.02244553,0.36604226,1.54197542,0.00000000,1.11994034,0.92474784
-5.90395198,6.03081626,1.60383741,3.17977366,0.02215782,0.36457345,1.55412348,0.00000000,1.12026540,0.92272399
-5.89794897,5.95052152,1.61711192,3.09364351,0.02190891,0.36321024,1.56367638,0.00000000,1.11935477,0.92029634
-5.89194597,5.86650181,1.62772966,3.00654418,0.02170010,0.36197259,1.57049908,0.00000000,1.11732851,0.91748703
-5.88594297,5.77890623,1.63562306,2.91867012,0.02153240,0.36088687,1.57451365,0.00000000,1.11433525,0.91434145
-5.87993997,5.68808913,1.64078484,2.83033164,0.02140669,0.35998684,1.57570445,0.00000000,1.11055023,0.91093001
-5.87393697,5.59461345,1.64327137,2.74195154,0.02132396,0.35931420,1.57412184,0.00000000,1.10617267,0.90734917
-5.86793397,5.49924920,1.64320425,2.65405945,0.02128550,0.35891886,1.56988438,0.00000000,1.10142268,0.90372151
-5.86193097,5.40296640,1.64077001,2.56728404,0.02129313,0.35885862,1.56317903,0.00000000,1.09653735,0.90019476
-5.85592796,5.30692222,1.63621765,2.48234316,0.02134930,0.35919832,1.55425935,0.00000000,1.09176631,0.89693962
