energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,0.63894887,0.00078991,0.03657853,0.14432684,0.13640475,0.01406191,0.23149322,0.11651123,0.11394230
-5.99399700,0.60270074,0.00064389,0.03567211,0.14239867,0.12828650,0.01313233,0.21898846,0.11044066,0.10707219
-5.98799400,0.56972107,0.00052118,0.03510344,0.14178957,0.12112955,0.01219418,0.20754306,0.10507188,0.10048193
-5.98199100,0.54008555,0.00041891,0.03485150,0.14241578,0.11491284,0.01126075,0.19720375,0.10039135,0.09423301
-5.97598799,0.51381605,0.00033438,0.03489091,0.14417379,0.10960224,0.01034450,0.18799876,0.09637936,0.08837929
-5.96998499,0.49088088,0.00026509,0.03519227,0.14694168,0.10515125,0.00945689,0.17993771,0.09301002,0.08296635
-5.96398199,0.47119699,0.00020877,0.03572266,0.15058105,0.10150201,0.00860824,0.17301233,0.09025151,0.07803137
-5.95797899,0.45463440,0.00016338,0.03644618,0.15493963,0.09858661,0.00780760,0.16719809,0.08806677,0.07360347
-5.95197599,0.44102294,0.00012713,0.03732479,0.15985470,0.09632883,0.00706277,0.16245681,0.08641456,0.06970457
-5.94597299,0.43016107,0.00009845,0.03831922,0.16515704,0.09464625,0.00638036,0.15874003,0.08525100,0.06635065
-5.93996998,0.42182668,0.00007599,0.03938999,0.17067565,0.09345254,0.00576582,0.15599332,0.08453148,0.06355348
-5.93396698,0.41578951,0.00005863,0.04049858,0.17624281,0.09266020,0.00522365,0.15416111,0.08421297,0.06132266
-5.92796398,0.41182463,0.00004541,0.04160869,0.18169960,0.09218331,0.00475754,0.15319202,0.08425664,0.05966787
-5.92196098,0.40972649,0.00003555,0.04268749,0.18690142,0.09194043,0.00437059,0.15304445,0.08463052,0.05860129
-5.91595798,0.40932289,0.00002841,0.04370683,0.19172352,0.09185745,0.00406551,0.15369202,0.08531237,0.05813995
-5.90995498,0.41048811,0.00002348,0.04464441,0.19606601,0.09187026,0.00384484,0.15512876,0.08629228,0.05830798
-5.90395198,0.41315464,0.00002039,0.04548476,0.19985841,0.09192718,0.00371111,0.15737359,0.08757507,0.05913857
-5.89794897,0.41732264,0.00001882,0.04622006,0.20306322,0.09199094,0.00366705,0.16047391,0.08918220,0.06067548
-5.89194597,0.42306666,0.00001856,0.04685066,0.20567843,0.09204018,0.00371569,0.16450801,0.09115318,0.06297402
-5.88594297,0.43053903,0.00001947,0.04738532,0.20773876,0.09207038,0.00386043,0.16958595,0.09354611,0.06610139
-5.87993997,0.43996952,0.00002146,0.04784114,0.20931540,0.09209411,0.00410504,0.17584891,0.09643752,0.07013624
-5.87393697,0.45166100,0.00002448,0.04824309,0.21051432,0.09214057,0.00445369,0.18346671,0.09992115,0.07516750
-5.86793397,0.46598100,0.00002855,0.04862323,0.21147302,0.09225450,0.00491077,0.19263362,0.10410589,0.08129230
-5.86193097,0.48334929,0.00003371,0.04901951,0.21235575,0.09249438,0.00548078,0.20356221,0.10911267,0.08861314
-5.85592796,0.50422173,0.00004005,0.04947438,0.21334741,0.09292999,0.00616810,0.21647569,0.11507039,0.09723428
-5.84992496,0.52907082,0.00004767,0.05003298,0.21464632,0.09363948,0.00697673,0.23159864,0.12211111,0.10725747
-5.84392196,0.55836365,0.00005673,0.05074121,0.21645598,0.09470599,0.00791000,0.24914658,0.13036444,0.11877708
-5.83791896,0.59253805,0.00006743,0.05164368,0.21897631,0.09621398,0.00897025,0.26931463,0.13995145,0.13187489
-5.83191596,0.63197777,0.00008001,0.05278148,0.22239454,0.09824543,0.01015850,0.29226582,0.15097826,0.14661474
-5.82591296,0.67698790,0.00009476,0.05419015,0.22687631,0.10087600,0.01147412,0.31811940,0.16352965,0.16303714
-5.81990995,0.72777138,0.00011202,0.05589764,0.23255714,0.10417140,0.01291456,0.34693974,0.17766282,0.18115418
-5.81390695,0.78440803,0.00013223,0.05792253,0.23953491,0.10818403,0.01447505,0.37872639,0.19340175,0.20094500
-5.80790395,0.84683676,0.00015588,0.06027261,0.24786349,0.11295010,0.01614848,0.41340575,0.21073242,0.22235200
-5.80190095,0.91484233,0.00018357,0.06294375,0.25754794,0.11848736,0.01792516,0.45082493,0.22959907,0.24527802
-5.79589795,0.98804721,0.00021603,0.06591928,0.26854156,0.12479339,0.01979288,0.49074818,0.24990191,0.26958476
-5.78989495,1.06590925,0.00025407,0.06916983,0.28074494,0.13184481,0.02173688,0.53285624,0.27149637,0.29509243
-5.78389195,1.14772565,0.00029868,0.07265369,0.29400713,0.13959715,0.02374004,0.57674885,0.29419407,0.32158095
-5.77788894,1.23264319,0.00035096,0.07631771,0.30812898,0.14798556,0.02578305,0.62195055,0.31776556,0.34879254
-5.77188594,1.31967472,0.00041219,0.08009870,0.32286852,0.15692629,0.02784477,0.66791957,0.34194491,0.37643575
-5.76588294,1.40772128,0.00048380,0.08392522,0.33794831,0.16631892,0.02990261,0.71405976,0.36643585,0.40419087
-5.75987994,1.49559930,0.00056736,0.08771989,0.35306431,0.17604907,0.03193295,0.75973513,0.39091948,0.43171652
-5.75387694,1.58207166,0.00066459,0.09140190,0.36789617,0.18599176,0.03391172,0.80428641,0.41506310,0.45865720
-5.74787394,1.66588159,0.00077733,0.09488974,0.38211830,0.19601498,0.03581483,0.84704918,0.43852991,0.48465156
-5.74187094,1.74578788,0.00090749,0.09810406,0.39541139,0.20598351,0.03761881,0.88737258,0.46098909,0.50934107
-5.73586793,1.82060002,0.00105703,0.10097042,0.40747377,0.21576273,0.03930124,0.92463815,0.48212593,0.53237876
-5.72986493,1.88921177,0.00122788,0.10342198,0.41803230,0.22522229,0.04084134,0.95827769,0.50165135,0.55343776
-5.72386193,1.95063173,0.00142189,0.10540179,0.42685206,0.23423950,0.04222032,0.98778960,0.51931061,0.57221924
-5.71785893,2.00400973,0.00164074,0.10686481,0.43374459,0.24270221,0.04342182,1.01275288,0.53489054,0.58845958
