energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Na_s_up,S_s_up,S_p_up
-6.00000000,3.83849732,1.93668205,1.51654568,0.00935476,0.98353636,0.12798622,0.04025167,1.40748749
-5.99399700,3.87269074,1.98640354,1.53809872,0.00878645,1.01199516,0.12946321,0.04002273,1.39926731
-5.98799400,3.91173634,2.04337376,1.56060382,0.00826370,1.04195758,0.13102270,0.03985625,1.39252887
-5.98199100,3.95476849,2.10701881,1.58380946,0.00778672,1.07317470,0.13261910,0.03973716,1.38703970
-5.97598799,4.00083818,2.17666765,1.60741798,0.00735507,1.10535878,0.13420612,0.03965048,1.38255224
-5.96998499,4.04893740,2.25156124,1.63109371,0.00696782,1.13818782,0.13573811,0.03958178,1.37881343
-5.96398199,4.09802627,2.33086470,1.65447344,0.00662358,1.17131217,0.13717131,0.03951757,1.37557423
-5.95797899,4.14706177,2.41368198,1.67717859,0.00632067,1.20436288,0.13846492,0.03944570,1.37259858
-5.95197599,4.19502682,2.49907252,1.69882855,0.00605719,1.23696120,0.13958199,0.03935560,1.36967129
-5.94597299,4.24095815,2.58606915,1.71905444,0.00583116,1.26872897,0.14049003,0.03923853,1.36660476
-5.93996998,4.28397183,2.67369627,1.73751246,0.00564061,1.29929903,0.14116149,0.03908771,1.36324395
-5.93396698,4.32328463,2.76098756,1.75389600,0.00548364,1.32832520,0.14157396,0.03889833,1.35946952
-5.92796398,4.35823045,2.84700216,1.76794579,0.00535853,1.35549114,0.14171014,0.03866754,1.35519889
-5.92196098,4.38827054,2.93083878,1.77945733,0.00526378,1.38051750,0.14155765,0.03839434,1.35038529
-5.91595798,4.41299716,3.01164692,1.78828535,0.00519811,1.40316705,0.14110875,0.03807933,1.34501472
-5.90995498,4.43213042,3.08863501,1.79434463,0.00516054,1.42324739,0.14035981,0.03772451,1.33910123
-5.90395198,4.44550876,3.16107523,1.79760762,0.00515029,1.44061110,0.13931086,0.03733298,1.33268061
-5.89794897,4.45307372,3.22830528,1.79809861,0.00516680,1.45515359,0.13796504,0.03690858,1.32580319
-5.89194597,4.45485035,3.28972744,1.79588524,0.00520968,1.46680875,0.13632809,0.03645557,1.31852599
-5.88594297,4.45092477,3.34480572,1.79106790,0.00527861,1.47554279,0.13440788,0.03597835,1.31090512
-5.87993997,4.44142079,3.39306187,1.78376775,0.00537326,1.48134711,0.13221412,0.03548110,1.30298871
