energy_ev,total_up,Bi_p_up,Bi_d_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up
-6.00000000,3.27636783,0.83583223,0.01264190,0.94224473,1.76674090,0.72983981,0.00000000
-5.99399700,3.22768726,0.81359685,0.01238745,0.91237175,1.77194632,0.71047793,0.00000000
-5.98799400,3.18673693,0.79282401,0.01214375,0.88463686,1.78118337,0.69345154,0.00000000
-5.98199100,3.15399933,0.77377680,0.01191402,0.85942395,1.79449774,0.67877886,0.00000000
-5.97598799,3.12983820,0.75668028,0.01170105,0.83707155,1.81189806,0.66644256,0.00000000
-5.96998499,3.11451831,0.74172269,0.01150718,0.81787392,1.83337136,0.65639718,0.00000000
-5.96398199,3.10822851,0.72905771,0.01133444,0.80208385,1.85889888,0.64857780,0.00000000
-5.95797899,3.11110565,0.71880756,0.01118454,0.78991632,1.88847098,0.64290920,0.00000000
-5.95197599,3.12325739,0.71106632,0.01105897,0.78155278,1.92209988,0.63931484,0.00000000
-5.94597299,3.14478179,0.70590329,0.01095903,0.77714529,1.95982917,0.63772517,0.00000000
-5.93996998,3.17578214,0.70336595,0.01088592,0.77682025,2.00173922,0.63808462,0.00000000
-5.93396698,3.21637571,0.70348231,0.01084070,0.78068119,2.04794791,0.64035674,0.00000000
-5.92796398,3.26669574,0.70626258,0.01082436,0.78881049,2.09860641,0.64452735,0.00000000
-5.92196098,3.32688633,0.71169995,0.01083777,0.80126977,2.15389016,0.65060528,0.00000000
-5.91595798,3.39709080,0.71977068,0.01088167,0.81809901,2.21398548,0.65862088,0.00000000
-5.90995498,3.47743404,0.73043347,0.01095662,0.83931452,2.27907253,0.66862223,0.00000000
-5.90395198,3.56800039,0.74362832,0.01106297,0.86490590,2.34930562,0.68066946,0.00000000
-5.89794897,3.66880844,0.75927515,0.01120075,0.89483232,2.42479212,0.69482748,0.00000000
-5.89194597,3.77978472,0.77727228,0.01136965,0.92901848,2.50557130,0.71115764,0.00000000
-5.88594297,3.90073801,0.79749515,0.01156896,0.96735070,2.59159436,0.72970883,0.00000000
-5.87993997,4.03133625,0.81979537,0.01179750,1.00967336,2.68270703,0.75050868,0.00000000
-5.87393697,4.17108768,0.84400032,0.01205357,1.05578628,2.77863581,0.77355529,0.00000000
-5.86793397,4.31932768,0.86991355,0.01233498,1.10544317,2.87897891,0.79881007,0.00000000
-5.86193097,4.47521232,0.89731585,0.01263898,1.15835150,2.98320241,0.82619217,0.00000000
-5.85592796,4.63771935,0.92596719,0.01296233,1.21417389,3.09064221,0.85557474,0.00000000
-5.84992496,4.80565685,0.95560946,0.01330131,1.27253117,3.20051165,0.88678330,0.00000000
-5.84392196,4.97767932,0.98596993,0.01365176,1.33300687,3.31191473,0.91959633,0.00000000
-5.83791896,5.15231059,1.01676528,0.01400920,1.39515329,3.42386435,0.95374803,0.00000000
-5.83191596,5.32797276,1.04770610,0.01436887,1.45849862,3.53530475,0.98893303,0.00000000
-5.82591296,5.50301963,1.07850173,0.01472584,1.52255507,3.64513726,1.02481300,0.00000000
-5.81990995,5.67577355,1.10886515,0.01507515,1.58682748,3.75224827,1.06102458,0.00000000
-5.81390695,5.84456390,1.13851786,0.01541186,1.65082216,3.85553823,1.09718850,0.00000000
-5.80790395,6.00776580,1.16719448,0.01573119,1.71405550,3.95395057,1.13291925,0.00000000
-5.80190095,6.16383752,1.19464706,0.01602865,1.77606212,4.04649937,1.16783505,0.00000000
-5.79589795,6.31135531,1.22064882,0.01630008,1.83640206,4.13229490,1.20156761,0.00000000
-5.78989495,6.44904450,1.24499740,0.01654180,1.89466701,4.21056608,1.23377139,0.00000000
-5.78389195,6.57580595,1.26751736,0.01675063,1.95048525,4.28067930,1.26413196,0.00000000
-5.77788894,6.69073726,1.28806213,0.01692399,2.00352526,4.34215298,1.29237329,0.00000000
-5.77188594,6.79314832,1.30651515,0.01705995,2.05349807,4.39466772,1.31826375,0.00000000
-5.76588294,6.88257103,1.32279042,0.01715723,2.10015836,4.43807186,1.34162064,0.00000000
-5.75987994,6.95876323,1.33683244,0.01721524,2.14330451,4.47238243,1.36231333,0.00000000
-5.75387694,7.02170712,1.34861546,0.01723406,2.18277772,4.49778172,1.38026482,0.00000000
-5.74787394,7.07160234,1.35814234,0.01721444,2.21846056,4.51460975,1.39545186,0.00000000
-5.74187094,7.10885428,1.36544281,0.01715776,2.25027497,4.52335288,1.40790368,0.00000000
-5.73586793,7.13405794,1.37057141,0.01706598,2.27818001,4.52462902,1.41769934,0.00000000
-5.72986493,7.14797796,1.37360504,0.01694158,2.30216960,4.51916995,1.42496388,0.00000000
-5.72386193,7.15152516,1.37464023,0.01678751,2.32227007,4.50780098,1.42986336,0.00000000
-5.71785893,7.14573014,1.37379012,0.01660707,2.33853789,4.49141872,1.43259885,0.00000000
-5.71185593,7.13171457,1.37118123,0.01640386,2.35105725,4.47096720,1.43339961,0.00000000
-5.70585293,7.11066054,1.36695012,0.01618166,2.35993773,4.44741313,1.43251552,0.00000000
-5.69984992,7.08377886,1.36123983,0.01594438,2.36531158,4.42172074,1.43020901,0.00000000
-5.69384692,7.05227674,1.35419630,0.01569592,2.36733095,4.39482692,1.42674670,0.00000000
-5.68784392,7.01732604,1.34596480,0.01544009,2.36616452,4.36761741,1.42239098,0.00000000
-5.68184092,6.98003274,1.33668639,0.01518058,2.36199387,4.34090469,1.41739180,0.00000000
-5.67583792,6.94140894,1.32649459,0.01492082,2.35500929,4.31540856,1.41197903,0.00000000
-5.66983492,6.90234835,1.31551226,0.01466396,2.34540533,4.29174000,1.40635575,0.00000000
-5.66383192,6.86360657,1.30384895,0.01441280,2.33337614,4.27038919,1.40069264,0.00000000
-5.65782891,6.82578723,1.29159876,0.01416980,2.31911083,4.25171846,1.39512398,0.00000000
-5.65182591,6.78933488,1.27883882,0.01393704,2.30278924,4.23596049,1.38974549,0.00000000
-5.64582291,6.75453561,1.26562856,0.01371624,2.28457842,4.22322230,1.38461413,0.00000000
-5.63981991,6.72152555,1.25200990,0.01350880,2.26463010,4.21349504,1.37975001,0.00000000
-5.63381691,6.69030764,1.23800828,0.01331580,2.24307962,4.20666943,1.37514053,0.00000000
-5.62781391,6.66077589,1.22363466,0.01313812,2.22004649,4.20255622,1.37074645,0.00000000
-5.62181091,6.63274651,1.20888847,0.01297649,2.19563672,4.20091098,1.36650973,0.00000000
-5.61580790,6.60599438,1.19376130,0.01283154,2.16994700,4.20146190,1.36236276,0.00000000
-5.60980490,6.58029296,1.17824133,0.01270393,2.14307060,4.20393932,1.35823839,0.00000000
-5.60380190,6.55545561,1.16231813,0.01259439,2.11510464,4.20810525,1.35408026,0.00000000
-5.59779890,6.53137554,1.14598779,0.01250384,2.08615847,4.21378119,1.34985266,0.00000000
-5.59179590,6.50806216,1.12925782,0.01243339,2.05636238,4.22087249,1.34554941,0.00000000
-5.58579290,6.48567102,1.11215185,0.01238445,2.02587615,4.22938767,1.34120087,0.00000000
-5.57978989,6.46452526,1.09471355,0.01235871,1.99489675,4.23945114,1.33687880,0.00000000
-5.57378689,6.44512663,1.07700969,0.01235816,1.96366439,4.25130848,1.33269836,0.00000000
-5.56778389,6.42815485,1.05913197,0.01238502,1.93246634,4.26532341,1.32881719,0.00000000
-5.56178089,6.41445463,1.04119760,0.01244175,1.90163806,4.28196636,1.32543128,0.00000000
-5.55577789,6.40501059,1.02334846,0.01253093,1.87156119,4.30179506,1.32276790,0.00000000
-5.54977489,6.40091089,1.00574873,0.01265516,1.84265817,4.32542785,1.32107570,0.00000000
-5.54377189,6.40330136,0.98858125,0.01281694,1.81538368,4.35351126,1.32061271,0.00000000
-5.53776888,6.41333230,0.97204265,0.01301857,1.79021300,4.38668334,1.32163267,0.00000000
-5.53176588,6.43210090,0.95633743,0.01326196,1.76762777,4.42553505,1.32437056,0.00000000
-5.52576288,6.46059235,0.94167141,0.01354853,1.74809984,4.47057166,1.32902818,0.00000000
-5.51975988,6.49962301,0.92824469,0.01387910,1.73207389,4.52217662,1.33576057,0.00000000
-5.51375688,6.54978878,0.91624459,0.01425372,1.71994975,4.58057979,1.34466417,0.00000000
-5.50775388,6.61142184,0.90583893,0.01467166,1.71206534,4.64583218,1.35576728,0.00000000
-5.50175088,6.68455800,0.89716977,0.01513129,1.70868104,4.71778849,1.36902367,0.00000000
-5.49574787,6.76891686,0.89034819,0.01563010,1.70996650,4.79609867,1.38430949,0.00000000
-5.48974487,6.86389578,0.88545004,0.01616469,1.71599034,4.88020906,1.40142381,0.00000000
-5.48374187,6.96857822,0.88251311,0.01673085,1.72671365,4.96937306,1.42009288,0.00000000
-5.47773887,7.08175610,0.88153556,0.01732360,1.74198734,5.06267096,1.43997778,0.00000000
