energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Na_s_up,Na_s_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,4.05123224,-3.41152205,0.06598052,-0.06104997,0.46381198,-0.46292858,0.65508910,-0.50092551,1.47479007,-1.45232208,0.99015264,-0.69438770,0.07448407,-0.07153718,1.75626685,-1.41814391
-5.99399700,4.03711139,-3.50794188,0.06536025,-0.06222368,0.45390820,-0.47634073,0.65122224,-0.52336238,1.46544320,-1.48545910,0.98545626,-0.71848720,0.07268745,-0.07427858,1.76318124,-1.45678396
-5.98799400,4.02099630,-3.59452607,0.06478008,-0.06324820,0.44370849,-0.48836846,0.64606269,-0.54455181,1.45594421,-1.51303461,0.98037073,-0.74173768,0.07078134,-0.07672420,1.76944153,-1.49114263
-5.98199100,4.00353109,-3.67026983,0.06424910,-0.06411636,0.43344083,-0.49881057,0.63970709,-0.56427050,1.44656224,-1.53475956,0.97517578,-0.76378344,0.06880246,-0.07884259,1.77508789,-1.52092546
-5.97598799,3.98515005,-3.73440625,0.06377166,-0.06482431,0.42330733,-0.50749584,0.63224106,-0.58231388,1.43745693,-1.55048018,0.97010279,-0.78428799,0.06678468,-0.08060868,1.78006715,-1.54594850
-5.96998499,3.96606376,-3.78643181,0.06334720,-0.06537176,0.41347900,-0.51428822,0.62373712,-0.59850107,1.42867341,-1.56018343,0.96532617,-0.80294476,0.06475833,-0.08200451,1.78423285,-1.56614527
-5.96398199,3.94625745,-3.82612328,0.06297032,-0.06576209,0.40409195,-0.51909078,0.61425373,-0.61267958,1.42014327,-1.56399703,0.96095761,-0.81948713,0.06274984,-0.08301973,1.78735058,-1.58156995
-5.95797899,3.92550123,-3.85354521,0.06263099,-0.06600241,0.39524543,-0.52184846,0.60383554,-0.62472933,1.41169124,-1.56218448,0.95704330,-0.83369732,0.06078153,-0.08365190,1.78910811,-1.59239624
-5.95197599,3.90337133,-3.86904763,0.06231510,-0.06610338,0.38700141,-0.52254935,0.59251465,-0.63456602,1.40304730,-1.55513488,0.95356425,-0.84541377,0.05887165,-0.08390643,1.78912993,-1.59891213
-5.94597299,3.87928088,-3.87325387,0.06200506,-0.06607904,0.37938572,-0.52122454,0.58031295,-0.64214359,1.39386335,-1.54334831,0.95043939,-0.85453684,0.05703456,-0.08379639,1.78699534,-1.60151048
