energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Na_s_up,Na_s_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,0.60650746,-0.60314097,0.48066076,-0.50104778,0.21281154,-0.20716377,0.00037525,-0.00045372,0.31109729,-0.31833262,0.01667373,-0.00913527,0.05314771,-0.04578811,0.00000000,-0.00000000
-5.99399700,0.59878344,-0.58972008,0.46477380,-0.48505652,0.21221423,-0.20521751,0.00032509,-0.00038112,0.30361915,-0.31133852,0.01973360,-0.01061536,0.05522412,-0.04375879,0.00000000,-0.00000000
-5.98799400,0.59288218,-0.57760879,0.44850292,-0.46878891,0.21187401,-0.20325974,0.00028698,-0.00032214,0.29552754,-0.30367694,0.02339362,-0.01251591,0.05913770,-0.04335265,0.00000000,-0.00000000
-5.98199100,0.58896302,-0.56680424,0.43182273,-0.45209843,0.21190253,-0.20134853,0.00025971,-0.00027542,0.28687383,-0.29532490,0.02770274,-0.01488219,0.06491285,-0.04457096,0.00000000,-0.00000000
-5.97598799,0.58726445,-0.55741057,0.41477836,-0.43491928,0.21243666,-0.19957797,0.00024221,-0.00023970,0.27775117,-0.28630968,0.03270778,-0.01776246,0.07258042,-0.04742940,0.00000000,-0.00000000
-5.96998499,0.58808801,-0.54963142,0.39747715,-0.41726261,0.21363210,-0.19807469,0.00023347,-0.00021383,0.26828809,-0.27670527,0.03845123,-0.02120697,0.08217472,-0.05195743,0.00000000,-0.00000000
-5.96398199,0.59177879,-0.54375791,0.38007815,-0.39920973,0.21565608,-0.19699297,0.00023259,-0.00019677,0.25864082,-0.26662695,0.04496906,-0.02526655,0.09372972,-0.05819670,0.00000000,-0.00000000
-5.95797899,0.59870352,-0.54015255,0.36278014,-0.38090282,0.21867922,-0.19650855,0.00023874,-0.00018759,0.24898466,-0.25622445,0.05228824,-0.02999093,0.10727466,-0.06619848,0.00000000,-0.00000000
-5.95197599,0.60922732,-0.53923004,0.34580875,-0.36253366,0.22286708,-0.19681144,0.00025117,-0.00018549,0.23950499,-0.24567386,0.06042430,-0.03542680,0.12282928,-0.07602028,0.00000000,-0.00000000
-5.94597299,0.62369016,-0.54143559,0.32940349,-0.34433112,0.22837166,-0.19809801,0.00026918,-0.00018975,0.23038817,-0.23516884,0.06937896,-0.04161559,0.14039894,-0.08772177,0.00000000,-0.00000000
-5.93996998,0.64238426,-0.54722184,0.31380526,-0.32654819,0.23532321,-0.20056260,0.00029210,-0.00019972,0.22181289,-0.22491159,0.07913786,-0.04859115,0.15996980,-0.10136007,0.00000000,-0.00000000
-5.93396698,0.66553323,-0.55702527,0.29924483,-0.30944886,0.24382285,-0.20438904,0.00031930,-0.00021485,0.21394223,-0.21510373,0.08966874,-0.05637734,0.18150439,-0.11698473,0.00000000,-0.00000000
-5.92796398,0.69327417,-0.57124309,0.28593290,-0.29329579,0.25393613,-0.20974240,0.00035014,-0.00023459,0.20691682,-0.20593781,0.10092002,-0.06498557,0.20493785,-0.13463252,0.00000000,-0.00000000
-5.92196098,0.72564342,-0.59021158,0.27405197,-0.27833908,0.26568801,-0.21676121,0.00038400,-0.00025847,0.20084929,-0.19758943,0.11281993,-0.07441255,0.23017500,-0.15432222,0.00000000,-0.00000000
-5.91595798,0.76256661,-0.61418657,0.26375033,-0.26480652,0.27905931,-0.22555054,0.00042022,-0.00028599,0.19582024,-0.19021059,0.12527636,-0.08463826,0.25708853,-0.17604978,0.00000000,-0.00000000
-5.90995498,0.80385353,-0.64332707,0.25513822,-0.25289577,0.29398500,-0.23617619,0.00045814,-0.00031668,0.19187581,-0.18392415,0.13817754,-0.09562429,0.28551846,-0.19978398,0.00000000,-0.00000000
-5.90395198,0.84919797,-0.67768247,0.24828618,-0.24276841,0.31035424,-0.24866019,0.00049708,-0.00035004,0.18902678,-0.17881988,0.15139339,-0.10731272,0.31527301,-0.22546286,0.00000000,-0.00000000
-5.89794897,0.89818269,-0.71718393,0.24322550,-0.23454625,0.32801224,-0.26297775,0.00053633,-0.00038556,0.18724934,-0.17495184,0.16477790,-0.11962557,0.34613088,-0.25299118,0.00000000,-0.00000000
-5.89194597,0.95028910,-0.76164028,0.23995041,-0.22830950,0.34676396,-0.27905601,0.00057520,-0.00042268,0.18648721,-0.17233745,0.17817213,-0.13246498,0.37784496,-0.28223900,0.00000000,-0.00000000
-5.88594297,1.00491143,-0.81073850,0.23842193,-0.22409700,0.36637937,-0.29677430,0.00061298,-0.00046083,0.18665507,-0.17095788,0.19140808,-0.14571418,0.41014738,-0.31304160,0.00000000,-0.00000000
-5.87993997,1.06137453,-0.86404897,0.23857283,-0.22190804,0.38660014,-0.31596628,0.00064898,-0.00049941,0.18764299,-0.17075990,0.20431304,-0.15923917,0.44275568,-0.34520076,0.00000000,-0.00000000
-5.87393697,1.11895471,-0.92103499,0.24031336,-0.22170568,0.40714748,-0.33642363,0.00068255,-0.00053780,0.18932171,-0.17165891,0.21671449,-0.17289132,0.47537992,-0.37848750,0.00000000,-0.00000000
-5.86793397,1.17690252,-0.98106647,0.24353746,-0.22342112,0.42773073,-0.35790136,0.00071310,-0.00057539,0.19154838,-0.17354303,0.22844513,-0.18651056,0.50773037,-0.41264613,0.00000000,-0.00000000
-5.86193097,1.23446652,-1.04343706,0.24812889,-0.22695890,0.44805646,-0.38012434,0.00074011,-0.00061155,0.19417259,-0.17627796,0.23934798,-0.19992930,0.53952551,-0.44739951,0.00000000,-0.00000000
-5.85592796,1.29091704,-1.10738410,0.25396697,-0.23220246,0.46783755,-0.40279508,0.00076320,-0.00064571,0.19704237,-0.17971248,0.24928126,-0.21297678,0.57049989,-0.48245542,0.00000000,-0.00000000
-5.84992496,1.34556883,-1.17211064,0.26093176,-0.23901982,0.48680212,-0.42560222,0.00078206,-0.00067733,0.20000992,-0.18368426,0.25812276,-0.22548381,0.60041158,-0.51751365,0.00000000,-0.00000000
-5.84392196,1.39780172,-1.23680853,0.26890823,-0.24726905,0.50470162,-0.44822958,0.00079660,-0.00070597,0.20293686,-0.18802583,0.26577360,-0.23728751,0.62904883,-0.55227369,0.00000000,-0.00000000
-5.83791896,1.44707842,-1.30068187,0.27778936,-0.25680318,0.52131813,-0.47036534,0.00080684,-0.00073127,0.20569881,-0.19257039,0.27216106,-0.24823614,0.65623562,-0.58644250,0.00000000,-0.00000000
-5.83191596,1.49295895,-1.36296970,0.28747813,-0.26747461,0.53647032,-0.49171105,0.00081306,-0.00075304,0.20818916,-0.19715734,0.27724046,-0.25819341,0.68183596,-0.61974227,0.00000000,-0.00000000
-5.82591296,1.53511101,-1.42296726,0.29788832,-0.27913848,0.55001802,-0.51199017,0.00081573,-0.00077120,0.21032193,-0.20163727,0.28099594,-0.26704244,0.70575671,-0.65191767,0.00000000,-0.00000000
-5.81990995,1.57331639,-1.48004497,0.30894424,-0.29165536,0.56186530,-0.53095568,0.00081555,-0.00078591,0.21203370,-0.20587638,0.28344004,-0.27468893,0.72794885,-0.68274238,0.00000000,-0.00000000
-5.81390695,1.60747303,-1.53366457,0.32057959,-0.30489296,0.57196187,-0.54839671,0.00081349,-0.00079751,0.21328456,-0.20976001,0.28461229,-0.28106352,0.74840736,-0.71202469,0.00000000,-0.00000000
-5.80790395,1.63759333,-1.58339191,0.33273562,-0.31872699,0.58030291,-0.56414378,0.00081078,-0.00080659,0.21405811,-0.21319543,0.28457674,-0.28612321,0.76716962,-0.73961196,0.00000000,-0.00000000
-5.80190095,1.66379863,-1.62890612,0.34535883,-0.33304147,0.58692742,-0.57807264,0.00080895,-0.00081403,0.21436071,-0.21611370,0.28341861,-0.28985173,0.78431272,-0.76539386,0.00000000,-0.00000000
-5.79589795,1.68631081,-1.67000494,0.35839865,-0.34772840,0.59191524,-0.59010648,0.00080978,-0.00082096,0.21421982,-0.21847059,0.28124037,-0.29225904,0.79994968,-0.78930433,0.00000000,-0.00000000
-5.78989495,1.70544129,-1.70660651,0.37180512,-0.36268717,0.59538279,-0.60021663,0.00081538,-0.00082884,0.21368185,-0.22024671,0.27815728,-0.29337977,0.81422518,-0.81132233,0.00000000,-0.00000000
-5.78389195,1.72157827,-1.73874750,0.38552708,-0.37782388,0.59747793,-0.60842158,0.00082813,-0.00083942,0.21280941,-0.22144670,0.27429278,-0.29327094,0.82731066,-0.83147141,0.00000000,-0.00000000
-5.77788894,1.73517273,-1.76657807,0.39951101,-0.39305074,0.59837407,-0.61478471,0.00085071,-0.00085481,0.21167822,-0.22209781,0.26977393,-0.29200898,0.83939944,-0.84981828,0.00000000,-0.00000000
-5.77188594,1.74672395,-1.79035412,0.41370053,-0.40828580,0.59826377,-0.61941051,0.00088610,-0.00087743,0.21037381,-0.22224775,0.26472711,-0.28968627,0.85070184,-0.86647056,0.00000000,-0.00000000
-5.76588294,1.75676487,-1.81042712,0.42803690,-0.42345304,0.59735201,-0.62243979,0.00093755,-0.00091003,0.20898808,-0.22196199,0.25927415,-0.28640742,0.86144046,-0.88157369,0.00000000,-0.00000000
-5.75987994,1.76584784,-1.82723201,0.44246025,-0.43848306,0.59584953,-0.62404390,0.00100853,-0.00095568,0.20761582,-0.22132075,0.25352918,-0.28228540,0.87184588,-0.89530744,0.00000000,-0.00000000
