energy_ev,total_up,N_s_up,N_p_up,Re_p_up,Re_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,1.79315494,0.00375357,0.44631283,0.64926542,0.42646115,0.44164713,0.15670782,0.00420013,0.80117251
-5.99399700,1.91045592,0.00421221,0.47595077,0.67809789,0.45694514,0.47004361,0.16885216,0.00453169,0.85227569
-5.98799400,2.02669676,0.00472513,0.50475123,0.70593689,0.48723792,0.49843248,0.18107918,0.00487242,0.90339111
-5.98199100,2.14046327,0.00529012,0.53228294,0.73245337,0.51696100,0.52650065,0.19326331,0.00521988,0.95398043
-5.97598799,2.25042835,0.00590444,0.55813285,0.75737462,0.54575295,0.55395382,0.20528004,0.00557179,1.00354830
-5.96998499,2.35537999,0.00656468,0.58191683,0.78048709,0.57327818,0.58052094,0.21700840,0.00592610,1.05165074
-5.96398199,2.45424708,0.00726667,0.60328995,0.80163712,0.59923560,0.60595808,0.22833347,0.00628099,1.09790234
-5.95797899,2.54612193,0.00800537,0.62195578,0.82072970,0.62336654,0.63005168,0.23914888,0.00663488,1.14198206
-5.95197599,2.63027825,0.00877481,0.63767437,0.83772529,0.64546174,0.65262090,0.24935899,0.00698650,1.18363721
-5.94597299,2.70618364,0.00956814,0.65026839,0.85263475,0.66536688,0.67351892,0.25888095,0.00733483,1.22268535
-5.93996998,2.77350608,0.01037758,0.65962727,0.86551279,0.68298662,0.69263328,0.26764620,0.00767912,1.25901412
-5.93396698,2.83211391,0.01119458,0.66570909,0.87645009,0.69828667,0.70988502,0.27560172,0.00801883,1.29257877
-5.92796398,2.88206930,0.01200990,0.66854003,0.88556456,0.71129399,0.72522686,0.28271068,0.00835362,1.32339767
-5.92196098,2.92361561,0.01281381,0.66821163,0.89299210,0.72209504,0.73864047,0.28895265,0.00868327,1.35154592
-5.91595798,2.95715917,0.01359622,0.66487577,0.89887740,0.73083209,0.75013294,0.29432335,0.00900762,1.37714740
-5.90995498,2.98324643,0.01434697,0.65873772,0.90336508,0.73769792,0.75973279,0.29883385,0.00932655,1.40036561
-5.90395198,3.00253770,0.01505604,0.65004768,0.90659179,0.74292895,0.76748566,0.30250951,0.00963988,1.42139394
-5.89794897,3.01577873,0.01571380,0.63909109,0.90867947,0.74679733,0.77344995,0.30538841,0.00994736,1.44044560
-5.89194597,3.02377146,0.01631127,0.62617828,0.90973020,0.74960216,0.77769274,0.30751971,0.01024863,1.45774398
-5.88594297,3.02734546,0.01684034,0.61163388,0.90982285,0.75166033,0.78028613,0.30896163,0.01054322,1.47351368
-5.87993997,3.02733117,0.01729398,0.59578647,0.90901166,0.75329730,0.78130429,0.30977955,0.01083054,1.48797279
-5.87393697,3.02453615,0.01766645,0.57895899,0.90732681,0.75483810,0.78082121,0.31004395,0.01110994,1.50132656
-5.86793397,3.01972516,0.01795342,0.56146021,0.90477690,0.75659902,0.77890949,0.30982852,0.01138075,1.51376285
-5.86193097,3.01360471,0.01815206,0.54357752,0.90135322,0.75888001,0.77563987,0.30920839,0.01164235,1.52544929
-5.85592796,3.00681238,0.01826113,0.52557139,0.89703548,0.76195822,0.77108176,0.30825856,0.01189424,1.53653226
-5.84992496,2.99991084,0.01828095,0.50767157,0.89179877,0.76608259,0.76530441,0.30705255,0.01213619,1.54713744
-5.84392196,2.99338646,0.01821337,0.49007491,0.88562124,0.77146969,0.75837872,0.30566137,0.01236824,1.55737177
-5.83791896,2.98765190,0.01806171,0.47294502,0.87849225,0.77830070,0.75037946,0.30415267,0.01259086,1.56732653
-5.83191596,2.98305196,0.01783058,0.45641331,0.87042035,0.78671958,0.74138763,0.30259020,0.01280497,1.57708108
-5.82591296,2.97987203,0.01752577,0.44058146,0.86144077,0.79683232,0.73149283,0.30103352,0.01301196,1.58670705
-5.81990995,2.97834808,0.01715407,0.42552487,0.85162203,0.80870704,0.72079528,0.29953788,0.01321376,1.59627241
-5.81390695,2.97867740,0.01672303,0.41129691,0.84107125,0.82237502,0.70940755,0.29815428,0.01341271,1.60584525
-5.80790395,2.98102925,0.01624081,0.39793363,0.82993782,0.83783237,0.69745558,0.29692968,0.01361160,1.61549695
-5.80190095,2.98555467,0.01571592,0.38545858,0.81841539,0.85504223,0.68507907,0.29590726,0.01381344,1.62530442
-5.79589795,2.99239475,0.01515706,0.37388758,0.80674173,0.87393750,0.67243114,0.29512672,0.01402142,1.63535140
-5.78989495,3.00168709,0.01457292,0.36323298,0.79519670,0.89442379,0.65967725,0.29462459,0.01423866,1.64572877
-5.78389195,3.01356993,0.01397200,0.35350743,0.78409818,0.91638267,0.64699343,0.29443446,0.01446805,1.65653366
-5.77788894,3.02818390,0.01336250,0.34472678,0.77379602,0.93967503,0.63456387,0.29458716,0.01471202,1.66786783
-5.77188594,3.04567136,0.01275214,0.33691212,0.76466432,0.96414442,0.62257807,0.29511075,0.01497240,1.67983502
-5.76588294,3.06617340,0.01214813,0.33009082,0.75709213,0.98962042,0.61122757,0.29603043,0.01525012,1.69253778
-5.75987994,3.08982476,0.01155705,0.32429659,0.75147297,1.01592177,0.60070244,0.29736825,0.01554517,1.70607372
-5.75387694,3.11674684,0.01098484,0.31956856,0.74819338,1.04285935,0.59118771,0.29914268,0.01585640,1.72053157
-5.74787394,3.14703935,0.01043679,0.31594945,0.74762099,1.07023874,0.58285974,0.30136798,0.01618147,1.73598705
-5.74187094,3.18077084,0.00991751,0.31348303,0.75009237,1.09786251,0.57588284,0.30405349,0.01651684,1.75249885
-5.73586793,3.21796861,0.00943102,0.31221088,0.75590126,1.12553197,0.57040597,0.30720272,0.01685777,1.77010488
-5.72986493,3.25860865,0.00898072,0.31216884,0.76528734,1.15304853,0.56655986,0.31081249,0.01719850,1.78881887
-5.72386193,3.30260591,0.00856948,0.31338310,0.77842624,1.18021453,0.56445440,0.31487197,0.01753230,1.80862751
-5.71785893,3.34980559,0.00819974,0.31586642,0.79542097,1.20683380,0.56417651,0.31936180,0.01785178,1.82948829
-5.71185593,3.39997612,0.00787349,0.31961452,0.81629521,1.23271172,0.56578832,0.32425342,0.01814903,1.85132807
-5.70585293,3.45280411,0.00759242,0.32460297,0.84098892,1.25765529,0.56932600,0.32950848,0.01841599,1.87404265
-5.69984992,3.50789210,0.00735790,0.33078469,0.86935629,1.28147300,0.57479885,0.33507869,0.01864467,1.89749726
-5.69384692,3.56475942,0.00717110,0.33808834,0.90116650,1.30397503,0.58218910,0.34090591,0.01882747,1.92152830
-5.68784392,3.62284653,0.00703296,0.34641765,0.93610714,1.32497366,0.59145207,0.34692274,0.01895747,1.94594612
-5.68184092,3.68152311,0.00694422,0.35565189,0.97379047,1.34428430,0.60251696,0.35305350,0.01902868,1.97053912
-5.67583792,3.74009998,0.00690547,0.36564733,1.01376240,1.36172720,0.61528807,0.35921573,0.01903625,1.99507900
-5.66983492,3.79784463,0.00691701,0.37623993,1.05551379,1.37712987,0.62964665,0.36532212,0.01897665,2.01932704
-5.66383192,3.85400004,0.00697893,0.38724898,1.09849395,1.39033036,0.64545314,0.37128282,0.01884783,2.04304138
-5.65782891,3.90780622,0.00709095,0.39848160,1.14212566,1.40118129,0.66254991,0.37700813,0.01864927,2.06598496
-5.65182591,3.95852352,0.00725239,0.40973803,1.18582137,1.40955446,0.68076445,0.38241140,0.01838199,2.08793372
-5.64582291,4.00545690,0.00746207,0.42081734,1.22899976,1.41534589,0.69991274,0.38741202,0.01804855,2.10868487
-5.63981991,4.04797984,0.00771818,0.43152340,1.27110214,1.41848093,0.71980300,0.39193841,0.01765295,2.12806461
-5.63381691,4.08555671,0.00801826,0.44167083,1.31160796,1.41891916,0.74023947,0.39593081,0.01720049,2.14593495
-5.62781391,4.11776243,0.00835904,0.45109058,1.35004872,1.41665865,0.76102617,0.39934373,0.01669766,2.16219912
-5.62181091,4.14429817,0.00873641,0.45963508,1.38601984,1.41173922,0.78197057,0.40214793,0.01615192,2.17680520
-5.61580790,4.16500211,0.00914539,0.46718244,1.41918984,1.40424431,0.80288698,0.40433180,0.01557148,2.18974757
-5.60980490,4.17985452,0.00958008,0.47363976,1.44930657,1.39430134,0.82359951,0.40590207,0.01496511,2.20106604
-5.60380190,4.18897655,0.01003372,0.47894532,1.47620017,1.38208003,0.84394456,0.40688379,0.01434194,2.21084246
-5.59779890,4.19262277,0.01049874,0.48306947,1.49978276,1.36778897,0.86377271,0.40731944,0.01371117,2.21919491
-5.59179590,4.19116740,0.01096687,0.48601435,1.52004489,1.35167014,0.88294996,0.40726741,0.01308194,2.22626960
-5.58579290,4.18508493,0.01142931,0.48781232,1.53704899,1.33399180,0.90135819,0.40679966,0.01246306,2.23223085
-5.57978989,4.17492600,0.01187690,0.48852331,1.55092018,1.31503978,0.91889502,0.40599887,0.01186289,2.23724964
-5.57378689,4.16128956,0.01230035,0.48823111,1.56183498,1.29510779,0.93547289,0.40495498,0.01128915,2.24149117
-5.56778389,4.14479279,0.01269049,0.48703886,1.57000841,1.27448706,0.95101753,0.40376147,0.01074877,2.24510232
-5.56178089,4.12604019,0.01303854,0.48506390,1.57568017,1.25345592,0.96546595,0.40251138,0.01024775,2.24819936
-5.55577789,4.10559348,0.01333636,0.48243223,1.57910056,1.23226984,0.97876397,0.40129334,0.00979112,2.25085698
-5.54977489,4.08394375,0.01357676,0.47927287,1.58051674,1.21115252,0.99086349,0.40018774,0.00938281,2.25309892
-5.54377189,4.06148730,0.01375368,0.47571222,1.58016007,1.19028845,1.00171970,0.39926317,0.00902558,2.25489107
-5.53776888,4.03850649,0.01386243,0.47186887,1.57823496,1.16981747,1.01128840,0.39857337,0.00872105,2.25613730
-5.53176588,4.01515642,0.01389986,0.46784888,1.57490971,1.14983161,1.01952354,0.39815469,0.00846962,2.25667843
-5.52576288,3.99145826,0.01386445,0.46374181,1.57030982,1.13037435,1.02637534,0.39802432,0.00827053,2.25629455
-5.51975988,3.96729954,0.01375641,0.45961766,1.56451387,1.11144249,1.03178891,0.39817924,0.00812186,2.25471056
-5.51375688,3.94244147,0.01357761,0.45552481,1.55755215,1.09299054,1.03570374,0.39859594,0.00802061,2.25160497
-5.50775388,3.91653290,0.01333158,0.45148898,1.54940803,1.07493731,1.03805401,0.39923109,0.00796280,2.24662150
-5.50175088,3.88913036,0.01302336,0.44751332,1.54002190,1.05717459,1.03876978,0.40002293,0.00794353,2.23938306
-5.49574787,3.85972329,0.01265929,0.44357951,1.52929739,1.03957734,1.03777912,0.40089347,0.00795716,2.22950756
-5.48974487,3.82776314,0.01224685,0.43964987,1.51710954,1.02201495,1.03501100,0.40175134,0.00799741,2.21662488
-5.48374187,3.79269515,0.01179436,0.43567028,1.50331446,1.00436300,1.03039895,0.40249535,0.00805757,2.20039417
-5.47773887,3.75399126,0.01131071,0.43157378,1.48775987,0.98651496,1.02388517,0.40301835,0.00813065,2.18052083
-5.47173587,3.71118250,0.01080508,0.42728475,1.47029608,0.96839313,1.01542493,0.40321155,0.00820956,2.15677225
-5.46573287,3.66388949,0.01028664,0.42272329,1.45078672,0.94995841,1.00499105,0.40296888,0.00828734,2.12899170
-5.45972986,3.61184937,0.00976427,0.41780972,1.42911870,0.93121825,0.99257803,0.40219138,0.00835728,2.09710959
-5.45372686,3.55493802,0.00924633,0.41246895,1.40521097,0.91223239,0.97820572,0.40079135,0.00841318,2.06115168
-5.44772386,3.49318629,0.00874039,0.40663449,1.37902149,0.89311598,0.96192224,0.39869615,0.00844944,2.02124356
-5.44172086,3.42678947,0.00825309,0.40025196,1.35055227,0.87403998,0.94380577,0.39585136,0.00846126,1.97761142
-5.43571786,3.35610941,0.00779000,0.39328193,1.31985213,0.85522851,0.92396535,0.39222334,0.00844473,1.93057879
-5.42971486,3.28166906,0.00735549,0.38570195,1.28701717,0.83695331,0.90254032,0.38780092,0.00839691,1.88055943
-5.42371186,3.20413952,0.00695271,0.37750785,1.25218903,0.81952537,0.87969849,0.38259619,0.00831594,1.82804650
-5.41770885,3.12432023,0.00658361,0.36871406,1.21555106,0.80328403,0.85563316,0.37664435,0.00820101,1.77359860
-5.41170585,3.04311279,0.00624893,0.35935325,1.17732270,0.78858387,0.83055894,0.37000263,0.00805237,1.71782305
-5.40570285,2.96148988,0.00594832,0.34947509,1.13775254,0.77577991,0.80470676,0.36274822,0.00787128,1.66135726
-5.39969985,2.88046020,0.00568044,0.33914446,1.09711033,0.76521175,0.77831816,0.35497547,0.00765995,1.60484877
-5.39369685,2.80103130,0.00544309,0.32843910,1.05567864,0.75718716,0.75163911,0.34679233,0.00742144,1.54893496
-5.38769385,2.72417160,0.00523336,0.31744682,1.01374434,0.75196594,0.72491381,0.33831620,0.00715948,1.49422313
-5.38169085,2.65077347,0.00504784,0.30626261,0.97159065,0.74974475,0.69837851,0.32966942,0.00687840,1.44127176
-5.37568784,2.58161877,0.00488274,0.29498546,0.92948989,0.75064350,0.67225581,0.32097468,0.00658290,1.39057375
-5.36968484,2.51734848,0.00473406,0.28371541,0.88769727,0.75469412,0.64674949,0.31235025,0.00627792,1.34254212
-5.36368184,2.45843754,0.00459781,0.27255058,0.84644601,0.76183222,0.62204017,0.30390563,0.00596849,1.29749887
-5.35767884,2.40517613,0.00447008,0.26158450,0.80594376,0.77189206,0.59828176,0.29573754,0.00565953,1.25566716
-5.35167584,2.35765797,0.00434725,0.25090376,0.76637043,0.78460540,0.57559897,0.28792643,0.00535571,1.21716717
-5.34567284,2.31577620,0.00422602,0.24058593,0.72787719,0.79960427,0.55408571,0.28053383,0.00506133,1.18201556
-5.33966983,2.27922693,0.00410356,0.23069791,0.69058667,0.81642772,0.53380442,0.27360044,0.00478020,1.15012856
-5.33366683,2.24752022,0.00397754,0.22129459,0.65459403,0.83453256,0.51478625,0.26714519,0.00451555,1.12132835
-5.32766383,2.21999811,0.00384617,0.21241795,0.61996870,0.85330764,0.49703213,0.26116508,0.00426992,1.09535243
-5.32166083,2.19585868,0.00370823,0.20409643,0.58675660,0.87209126,0.48051436,0.25563610,0.00404519,1.07186549
-5.31565783,2.17418541,0.00356302,0.19634472,0.55498257,0.89019111,0.46517894,0.25051482,0.00384250,1.05047331
-5.30965483,2.15398035,0.00341040,0.18916382,0.52465290,0.90690591,0.45094826,0.24574083,0.00366230,1.03073808
-5.30365183,2.13419999,0.00325066,0.18254147,0.49575777,0.92154795,0.43772427,0.24123977,0.00350433,1.01219453
-5.29764882,2.11379226,0.00308452,0.17645286,0.46827353,0.93346557,0.42539195,0.23692686,0.00336773,0.99436637
-5.29164582,2.09173328,0.00291305,0.17086161,0.44216479,0.94206477,0.41382304,0.23271069,0.00325107,0.97678232
-5.28564282,2.06706259,0.00273757,0.16572107,0.41738632,0.94682888,0.40287991,0.22849730,0.00315244,0.95899147
-5.27963982,2.03891539,0.00255960,0.16097592,0.39388479,0.94733562,0.39241966,0.22419409,0.00306957,0.94057716
-5.27363682,2.00655092,0.00238076,0.15656390,0.37160037,0.94327087,0.38229824,0.21971366,0.00299989,0.92116931
-5.26763382,1.96937590,0.00220272,0.15241792,0.35046836,0.93443848,0.37237458,0.21497735,0.00294067,0.90045475
-5.26163082,1.92696246,0.00202711,0.14846814,0.33042078,0.92076596,0.36251473,0.20991827,0.00288912,0.87818529
-5.25562781,1.87906004,0.00185550,0.14464435,0.31138803,0.90230578,0.35259577,0.20448384,0.00284249,0.85418350
-5.24962481,1.82560122,0.00168931,0.14087829,0.29330067,0.87923237,0.34250961,0.19863773,0.00279817,0.82834606
-5.24362181,1.76670141,0.00152982,0.13710591,0.27609123,0.85183509,0.33216632,0.19236118,0.00275376,0.80064478
-5.23761881,1.70265291,0.00137810,0.13326960,0.25969614,0.82050766,0.32149712,0.18565353,0.00270717,0.77112537
-5.23161581,1.63391369,0.00123503,0.12932017,0.24405761,0.78573449,0.31045686,0.17853228,0.00265667,0.73990415
-5.22561281,1.56109174,0.00110128,0.12521854,0.22912550,0.74807479,0.29902573,0.17103241,0.00260091,0.70716293
-5.21960980,1.48492574,0.00097734,0.12093710,0.21485903,0.70814507,0.28721047,0.16320522,0.00253902,0.67314236
-5.21360680,1.40626301,0.00086348,0.11646062,0.20122826,0.66660088,0.27504463,0.15511667,0.00247052,0.63813406
-5.20760380,1.32603568,0.00075981,0.11178683,0.18821528,0.62411856,0.26258814,0.14684534,0.00239542,0.60247185
-5.20160080,1.24523597,0.00066630,0.10692634,0.17581509,0.58137766,0.24992613,0.13848013,0.00231413,0.56652239
-5.19559780,1.16489151,0.00058277,0.10190229,0.16403602,0.53904467,0.23716685,0.13011779,0.00222745,0.53067564
-5.18959480,1.08604141,0.00050896,0.09674947,0.15289976,0.49775847,0.22443907,0.12186026,0.00213654,0.49533536
-5.18359180,1.00971371,0.00044452,0.09151304,0.14244090,0.45811789,0.21188872,0.11381215,0.00204286,0.46090987
-5.17758879,0.93690475,0.00038902,0.08624696,0.13270619,0.42067157,0.19967507,0.10607816,0.00194808,0.42780345
-5.17158579,0.86856070,0.00034201,0.08101219,0.12375324,0.38591012,0.18796657,0.09876070,0.00185408,0.39640838
-5.16558279,0.80556149,0.00030303,0.07587465,0.11564909,0.35426048,0.17693629,0.09195765,0.00176280,0.36709777
-5.15957979,0.74870710,0.00027158,0.07090317,0.10846833,0.32608244,0.16675736,0.08576039,0.00167624,0.34021932
