energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,4.16480618,0.04241464,0.35079685,1.03407606,0.65330941,0.10762937,2.08302970,1.07000554,0.09203650
-5.99399700,4.09351280,0.04328913,0.36224200,1.02763950,0.64578768,0.10667521,2.01152347,1.02384568,0.09011863
-5.98799400,4.03620597,0.04425415,0.37452405,1.02440300,0.63964144,0.10616000,1.94748118,0.98190360,0.08867498
-5.98199100,3.99416056,0.04531542,0.38760509,1.02450207,0.63501977,0.10612306,1.89184564,0.94465331,0.08774416
-5.97598799,3.96825846,0.04647437,0.40140819,1.02798061,0.63201510,0.10658928,1.84537873,0.91248248,0.08735443
-5.96998499,3.95897500,0.04772809,0.41581908,1.03479135,0.63066281,0.10756839,1.80864805,0.88568570,0.08752339
-5.96398199,3.96638649,0.04906953,0.43068992,1.04480192,0.63094423,0.10905487,1.78202364,0.86446248,0.08825802
-5.95797899,3.99019825,0.05048792,0.44584488,1.05780596,0.63279263,0.11102850,1.76568471,0.84892011,0.08955525
-5.95197599,4.02979161,0.05196942,0.46108739,1.07353898,0.63610202,0.11345539,1.75963591,0.83908120,0.09140295
-5.94597299,4.08428725,0.05349799,0.47620863,1.09169795,0.64073809,0.11628960,1.76373220,0.83489530,0.09378122
-5.93996998,4.15262103,0.05505636,0.49099675,1.11196350,0.64655070,0.11947525,1.77771049,0.83625398,0.09666405
-5.93396698,4.23362794,0.05662711,0.50524651,1.13402349,0.65338703,0.12294886,1.80122631,0.84300838,0.10002117
-5.92796398,4.32612896,0.05819379,0.51876862,1.15759642,0.66110473,0.12664206,1.83389306,0.85498800,0.10381994
-5.92196098,4.42901566,0.05974192,0.53139839,1.18245332,0.66958406,0.13048430,1.87532121,0.87201962,0.10802733
-5.91595798,4.54132707,0.06125998,0.54300313,1.20843648,0.67873833,0.13440559,1.92515504,0.89394492,0.11261167
-5.90995498,4.66231385,0.06274015,0.55348793,1.23547407,0.68852199,0.13833911,1.98310426,0.92063575,0.11754421
-5.90395198,4.79148543,0.06417887,0.56279950,1.26358918,0.69893563,0.14222349,2.04896817,0.95200560,0.12280031
-5.89794897,4.92863647,0.06557708,0.57092774,1.29290274,0.71002776,0.14600474,2.12265049,0.98801655,0.12836020
