energy_ev,total_up,total_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.81661224,-3.73312906,0.01208486,-0.02264808,0.00000000,-0.00000000,1.18952442,-4.28881959,0.46251607,-0.69514012,0.01319821,-0.01650229,0.23288627,-0.69615377,0.01914478,-0.01975043,0.88298007,-1.73427167
-5.99399700,1.80690850,-3.81783626,0.01183949,-0.02313722,0.00000000,-0.00000000,1.13014772,-4.38072116,0.48030853,-0.71303684,0.01233204,-0.01735743,0.24559686,-0.71830358,0.01847203,-0.02048114,0.86042823,-1.76771597
-5.98799400,1.80899377,-3.89215430,0.01164955,-0.02354464,0.00000000,-0.00000000,1.08191323,-4.45326760,0.50174617,-0.73065792,0.01150425,-0.01815323,0.26105874,-0.73897861,0.01783506,-0.02116317,0.84209544,-1.79550901
-5.98199100,1.82216733,-3.95454033,0.01151252,-0.02386220,0.00000000,-0.00000000,1.04417161,-4.50502450,0.52646374,-0.74761376,0.01072468,-0.01887772,0.27900089,-0.75775711,0.01724061,-0.02178331,0.82787706,-1.81707989
-5.97598799,1.84548700,-4.00357370,0.01142435,-0.02408275,0.00000000,-0.00000000,1.01614895,-4.53491733,0.55402594,-0.76349305,0.01000187,-0.01952003,0.29911476,-0.77423508,0.01669346,-0.02232865,0.81755894,-1.83192846
-5.96998499,1.87778732,-4.03799745,0.01137965,-0.02420039,0.00000000,-0.00000000,0.99697155,-4.54225568,0.58393316,-0.77787417,0.00934297,-0.02007068,0.32105827,-0.78803526,0.01619634,-0.02278700,0.81082399,-1.83964288
-5.96398199,1.91770430,-4.05675708,0.01137181,-0.02421071,0.00000000,-0.00000000,0.98569070,-4.52674689,0.61562935,-0.79033777,0.00875369,-0.02052197,0.34446059,-0.79881580,0.01574997,-0.02314728,0.80726208,-1.83991535
-5.95797899,1.96370655,-4.05903489,0.01139322,-0.02411096,0.00000000,-0.00000000,0.98130716,-4.48849871,0.64851209,-0.80047986,0.00823823,-0.02086818,0.36892781,-0.80627856,0.01535310,-0.02339992,0.80638273,-1.83255514
-5.95197599,2.01413209,-4.04427865,0.01143550,-0.02390019,0.00000000,-0.00000000,0.98279486,-4.42801119,0.68194464,-0.80792509,0.00779927,-0.02110581,0.39404946,-0.81017658,0.01500271,-0.02353721,0.80763067,-1.81749830
-5.94597299,2.06723031,-4.01222298,0.01148977,-0.02357936,0.00000000,-0.00000000,0.98912361,-4.34615813,0.71526985,-0.81233949,0.00743803,-0.02123368,0.41940589,-0.81032072,0.01469420,-0.02355359,0.81040351,-1.79481352
-5.93996998,2.12120756,-3.96290263,0.01154694,-0.02315138,0.00000000,-0.00000000,0.99928020,-4.24415914,0.74782528,-0.81344226,0.00715428,-0.02125295,0.44457613,-0.80658504,0.01442175,-0.02344586,0.81407126,-1.76470362
-5.93396698,2.17427517,-3.89665695,0.01159799,-0.02262104,0.00000000,-0.00000000,1.01228780,-4.12354328,0.77895933,-0.81101606,0.00694644,-0.02116708,0.46914614,-0.79891082,0.01417863,-0.02321333,0.81799690,-1.72750266
-5.92796398,2.22469830,-3.81412511,0.01163425,-0.02199492,0.00000000,-0.00000000,1.02722311,-3.98610573,0.80804761,-0.80491518,0.00681169,-0.02098167,0.49271726,-0.78730902,0.01395761,-0.02285788,0.82155744,-1.68366867
-5.92196098,2.27084363,-3.71623228,0.01164774,-0.02128127,0.00000000,-0.00000000,1.04323100,-3.83385922,0.83450888,-0.79507155,0.00674607,-0.02070421,0.51491425,-0.77186101,0.01375135,-0.02238391,0.82416457,-1.63377227
-5.91595798,2.31122437,-3.60416717,0.01163135,-0.02048978,0.00000000,-0.00000000,1.05953640,-3.66898171,0.85782012,-0.78149798,0.00674466,-0.02034383,0.53539296,-0.75271740,0.01355283,-0.02179821,0.82528429,-1.57848168
-5.90995498,2.34454076,-3.47935194,0.01157914,-0.01963133,0.00000000,-0.00000000,1.07545325,-3.49376233,0.87752986,-0.76428873,0.00680172,-0.01991087,0.55384697,-0.73009513,0.01335573,-0.02110975,0.82445485,-1.51854478
-5.90395198,2.36971449,-3.34340556,0.01148649,-0.01871771,0.00000000,-0.00000000,1.09039043,-3.31054719,0.89326937,-0.74361731,0.00691089,-0.01941654,0.57001323,-0.70427273,0.01315478,-0.02032944,0.82130210,-1.45476904
-5.89794897,2.38591583,-3.19810229,0.01135027,-0.01776134,0.00000000,-0.00000000,1.10385465,-3.12168686,0.90476114,-0.71973166,0.00706542,-0.01887246,0.58367620,-0.67558383,0.01294610,-0.01946971,0.81555205,-1.38800023
-5.89194597,2.39258241,-3.04532694,0.01116891,-0.01677493,0.00000000,-0.00000000,1.11545052,-2.92948693,0.91182438,-0.69294696,0.00725833,-0.01829026,0.59467056,-0.64440930,0.01272744,-0.01854419,0.80703983,-1.31910084
-5.88594297,2.38942913,-2.88702880,0.01094246,-0.01577123,0.00000000,-0.00000000,1.12487798,-2.73616318,0.91437734,-0.66363649,0.00748266,-0.01768116,0.60288220,-0.61116811,0.01249837,-0.01756730,0.79571510,-1.24892917
-5.87993997,2.37644891,-2.72517610,0.01067256,-0.01476268,0.00000000,-0.00000000,1.13192751,-2.54380227,0.91243628,-0.63222093,0.00773170,-0.01705563,0.60824774,-0.57630738,0.01226037,-0.01655382,0.78164341,-1.17831998
-5.87393697,2.35390455,-2.56171283,0.01036238,-0.01376124,0.00000000,-0.00000000,1.13647350,-2.35432904,0.90611146,-0.59915666,0.00799917,-0.01642306,0.61075249,-0.54029188,0.01201690,-0.01551848,0.76500379,-1.10806740
