energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,5.78618295,-9.39909607,0.06048760,-0.12294097,0.55918256,-0.86834852,1.19590683,-2.61455332,0.17803941,-0.69175293,1.34478896,-1.33159037,0.87590117,-0.80650838,0.05126191,-0.12739768,2.39196547,-4.13457197
-5.99399700,5.68150161,-9.56565347,0.05512670,-0.12506178,0.54288280,-0.89013175,1.16543263,-2.67075299,0.17544048,-0.70047305,1.34530059,-1.37150946,0.83641356,-0.82196102,0.05149063,-0.12939150,2.36756322,-4.20301233
-5.98799400,5.58237346,-9.70687768,0.04999854,-0.12679135,0.52670745,-0.91012437,1.13379247,-2.72294536,0.17321780,-0.70708478,1.34513347,-1.40828035,0.79828640,-0.83512400,0.05194543,-0.13109437,2.34579733,-4.25973008
-5.98199100,5.48894052,-9.82035182,0.04513070,-0.12808433,0.51076333,-0.92796940,1.10125835,-2.77003772,0.17137014,-0.71149776,1.34421770,-1.44131390,0.76175756,-0.84576226,0.05261669,-0.13248858,2.32649186,-4.30378360
-5.97598799,5.40114451,-9.90395609,0.04054545,-0.12890177,0.49514602,-0.94332400,1.06807037,-2.81096847,0.16988782,-0.71364874,1.34245013,-1.47004662,0.72703394,-0.85366638,0.05349227,-0.13355874,2.30937779,-4.33437478
-5.96998499,5.31874804,-9.95590136,0.03625981,-0.12921196,0.47993944,-0.95586685,1.03443609,-2.84473273,0.16875324,-0.71350184,1.33970167,-1.49395147,0.69429016,-0.85865681,0.05455783,-0.13429168,2.29410761,-4.35085993
-5.96398199,5.24136481,-9.97476057,0.03228566,-0.12899111,0.46521639,-0.96530567,1.00053268,-2.87040835,0.16794182,-0.71104843,1.33582690,-1.51254918,0.66366871,-0.86058779,0.05579741,-0.13467640,2.28027333,-4.35275929
-5.95797899,5.16849736,-9.95949749,0.02863002,-0.12822388,0.45103999,-0.97138465,0.96651144,-2.88718150,0.16742317,-0.70630678,1.33067540,-1.52541984,0.63528143,-0.85935100,0.05719398,-0.13470416,2.26742734,-4.33976544
-5.95197599,5.09958035,-9.90949245,0.02529544,-0.12690375,0.43746590,-0.97389150,0.93250441,-2.89437088,0.16716273,-0.69932153,1.32410409,-1.53221424,0.60921222,-0.85487875,0.05873000,-0.13436849,2.25510507,-4.31175025
-5.94597299,5.03402697,-9.82456397,0.02228047,-0.12503326,0.42454498,-0.97266400,0.89863238,-2.89144981,0.16712354,-0.69016296,1.31598987,-1.53266484,0.58552074,-0.84714656,0.06038807,-0.13366536,2.24284841,-4.26877043
