energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up
-6.00000000,0.70276059,0.01132029,0.00637665,0.19669923,0.03918461,0.26882069,0.30578764,0.00347215,0.44689357
-5.99399700,0.74819125,0.01243854,0.00600760,0.21147530,0.04072354,0.28781376,0.32627036,0.00342521,0.47766486
-5.98799400,0.80264828,0.01363879,0.00578028,0.22860755,0.04303195,0.31044461,0.34994171,0.00343193,0.51425547
-5.98199100,0.86523436,0.01490469,0.00568194,0.24784259,0.04607747,0.33639303,0.37635547,0.00348467,0.55612268
-5.97598799,0.93494827,0.01621773,0.00569978,0.26889276,0.04982474,0.36529618,0.40501794,0.00357575,0.60265554
-5.96998499,1.01069589,0.01755744,0.00582116,0.29143898,0.05423547,0.39675150,0.43539500,0.00369750,0.65318094
-5.96398199,1.09130317,0.01890175,0.00603371,0.31513452,0.05926837,0.43032065,0.46692050,0.00384246,0.70697105
-5.95797899,1.17553138,0.02022738,0.00632546,0.33960970,0.06487885,0.46553436,0.49900591,0.00400337,0.76325223
-5.95197599,1.26209462,0.02151036,0.00668488,0.36447764,0.07101879,0.50189838,0.53105118,0.00417337,0.82121555
-5.94597299,1.34967959,0.02272660,0.00710091,0.38934085,0.07763619,0.53890057,0.56245668,0.00434600,0.88002893
-5.93996998,1.43696737,0.02385249,0.00756298,0.41379874,0.08467484,0.57601898,0.59263582,0.00451534,0.93885062
-5.93396698,1.52265669,0.02486557,0.00806104,0.43745561,0.09207416,0.61273083,0.62102813,0.00467603,0.99684386
-5.92796398,1.60548810,0.02574513,0.00858557,0.45992907,0.09976901,0.64852212,0.64711225,0.00482339,1.05319237
-5.92196098,1.68426837,0.02647287,0.00912759,0.48085853,0.10768987,0.68289765,0.67041837,0.00495345,1.10711605
-5.91595798,1.75789431,0.02703344,0.00967872,0.49991340,0.11576301,0.71539102,0.69053971,0.00506298,1.15788662
-5.90995498,1.82537513,0.02741491,0.01023117,0.51680078,0.12391109,0.74557449,0.70714247,0.00514955,1.20484254
-5.90395198,1.88585273,0.02760915,0.01077786,0.53127220,0.13205389,0.77306807,0.71997390,0.00521151,1.24740272
-5.89794897,1.93861908,0.02761209,0.01131244,0.54312931,0.14010942,0.79754782,0.72886809,0.00524803,1.28507866
-5.89194597,1.98313022,0.02742381,0.01182939,0.55222815,0.14799522,0.81875280,0.73374931,0.00525907,1.31748448
-5.88594297,2.01901638,0.02704855,0.01232412,0.55848190,0.15563001,0.83649071,0.73463275,0.00524532,1.34434466
-5.87993997,2.04608805,0.02649448,0.01279303,0.56186207,0.16293546,0.85064180,0.73162254,0.00520819,1.36549925
-5.87393697,2.06433774,0.02577345,0.01323365,0.56239796,0.16983827,0.86116105,0.72490744,0.00514970,1.38090628
-5.86793397,2.07393751,0.02490056,0.01364467,0.56017468,0.17627219,0.86807857,0.71475403,0.00507246,1.39064153
-5.86193097,2.07523253,0.02389361,0.01402610,0.55532954,0.18218023,0.87149813,0.70149807,0.00497955,1.39489556
-5.85592796,2.06873071,0.02277253,0.01437925,0.54804724,0.18751667,0.87159391,0.68553423,0.00487442,1.39396814
-5.84992496,2.05508887,0.02155874,0.01470681,0.53855397,0.19224893,0.86860557,0.66730458,0.00476084,1.38826016
-5.84392196,2.03509586,0.02027448,0.01501284,0.52711055,0.19635910,0.86283167,0.64728643,0.00464275,1.37826339
-5.83791896,2.00965291,0.01894215,0.01530276,0.51400505,0.19984513,0.85462171,0.62597987,0.00452422,1.36454813
-5.83191596,1.97975183,0.01758370,0.01558324,0.49954498,0.20272147,0.84436688,0.60389545,0.00440931,1.34774909
-5.82591296,1.94645142,0.01622010,0.01586213,0.48404937,0.20501910,0.83248975,0.58154234,0.00430204,1.32854981
-5.81990995,1.91085266,0.01487080,0.01614826,0.46784098,0.20678501,0.81943316,0.55941740,0.00420627,1.30766598
-5.81390695,1.87407326,0.01355337,0.01645126,0.45123874,0.20808093,0.80564856,0.53799537,0.00412565,1.28582787
-5.80790395,1.83722198,0.01228321,0.01678131,0.43455077,0.20898155,0.79158409,0.51772032,0.00406358,1.26376257
-5.80190095,1.80137358,0.01107333,0.01714886,0.41806796,0.20957205,0.77767276,0.49899865,0.00402315,1.24217620
-5.79589795,1.76754490,0.00993427,0.01756434,0.40205834,0.20994522,0.76432101,0.48219367,0.00400709,1.22173683
-5.78989495,1.73667281,0.00887409,0.01803782,0.38676239,0.21019821,0.75189813,0.46762177,0.00401775,1.20305850
-5.78389195,1.70959477,0.00789844,0.01857871,0.37238922,0.21042908,0.74072683,0.45555028,0.00405710,1.18668707
-5.77788894,1.68703267,0.00701073,0.01919545,0.35911387,0.21073331,0.73107531,0.44619691,0.00412669,1.17308822
-5.77188594,1.66958065,0.00621229,0.01989521,0.34707557,0.21120051,0.72315128,0.43973072,0.00422767,1.16263834
-5.76588294,1.65769732,0.00550266,0.02068367,0.33637717,0.21191143,0.71709811,0.43627461,0.00436079,1.15561860
