energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,2.42484840,-1.84016386,0.42368259,-0.46754381,0.22920401,-0.22824212,1.05482763,-0.85739749,0.76596926,-0.14312374,0.00116025,-0.00433582,0.52161290,-0.12376430,0.01139363,-0.04862282,0.84462771,-1.02964909
-5.99399700,2.51797045,-1.80032171,0.44688116,-0.45380733,0.24010346,-0.22521522,1.09757398,-0.84110177,0.78973650,-0.13967101,0.00114744,-0.00423853,0.53418552,-0.11992939,0.01154092,-0.04750276,0.88624993,-1.01002394
-5.98799400,2.60607822,-1.75581647,0.46967384,-0.43923273,0.25092672,-0.22136737,1.13951574,-0.82390112,0.81055918,-0.13590480,0.00114396,-0.00412210,0.54472918,-0.11601799,0.01174314,-0.04617002,0.92722693,-0.98750074
-5.98199100,2.68738657,-1.70699819,0.49161576,-0.42395735,0.26142125,-0.21673439,1.18008318,-0.80567620,0.82803931,-0.13186563,0.00114913,-0.00398847,0.55310339,-0.11204311,0.01198806,-0.04464591,0.96664971,-0.96226502
-5.97598799,2.76026327,-1.65425432,0.51227004,-0.40811614,0.27133467,-0.21136233,1.21877315,-0.78632505,0.84185749,-0.12759627,0.00116220,-0.00383976,0.55923296,-0.10801930,0.01226330,-0.04295390,1.00362460,-0.93452660
-5.96998499,2.82327595,-1.59801509,0.53122017,-0.39184312,0.28042213,-0.20530751,1.25516491,-0.76577676,0.85178213,-0.12314243,0.00118236,-0.00367823,0.56311048,-0.10396404,0.01255660,-0.04111902,1.03729906,-0.90452221
-5.96398199,2.87523294,-1.53875912,0.54808198,-0.37527332,0.28845375,-0.19863646,1.28893293,-0.74400395,0.85767559,-0.11855349,0.00120881,-0.00350621,0.56479600,-0.09989914,0.01285611,-0.03916717,1.06688694,-0.87251818
-5.95797899,2.91521624,-1.47701844,0.56251480,-0.35854482,0.29522172,-0.19142574,1.31985584,-0.72103364,0.85949716,-0.11388330,0.00124073,-0.00332606,0.56441427,-0.09585191,0.01315059,-0.03712456,1.09169208,-0.83881275
-5.95197599,2.94260558,-1.41338234,0.57423124,-0.34180077,0.30054678,-0.18376158,1.34782138,-0.69695577,0.85730270,-0.10919080,0.00127729,-0.00314010,0.56214943,-0.09185633,0.01342969,-0.03501717,1.11112920,-0.80373766
-5.94597299,2.95709256,-1.34849948,0.58300531,-0.32519112,0.30428387,-0.17573938,1.37282707,-0.67192920,0.85124117,-0.10454066,0.00131769,-0.00295061,0.55823775,-0.08795385,0.01368411,-0.03287030,1.12474133,-0.76765869
-5.93996998,2.95868458,-1.28307773,0.58867828,-0.30887379,0.30632675,-0.16746292,1.39497670,-0.64618468,0.84154822,-0.10000355,0.00136114,-0.00275976,0.55295861,-0.08419399,0.01390575,-0.03070812,1.13221283,-0.73097495
-5.93396698,2.94769863,-1.21788138,0.59116234,-0.29301525,0.30661121,-0.15904335,1.41447299,-0.62002498,0.82853730,-0.09565632,0.00140687,-0.00256956,0.54662435,-0.08063462,0.01408786,-0.02855338,1.13337768,-0.69411666
-5.92796398,2.92474548,-1.15372570,0.59044169,-0.27779034,0.30511698,-0.15059797,1.43160676,-0.59382191,0.81258868,-0.09158173,0.00145417,-0.00238191,0.53956944,-0.07734187,0.01422509,-0.02642714,1.12822255,-0.65754145
-5.92196098,2.89070524,-1.09146867,0.58657127,-0.26338119,0.30186819,-0.14224874,1.44674358,-0.56801067,0.79413701,-0.08786796,0.00150237,-0.00219849,0.53213961,-0.07438975,0.01431352,-0.02434857,1.11688471,-0.62172911
-5.91595798,2.84669570,-1.03200005,0.57967304,-0.24997544,0.29693227,-0.13412062,1.46030833,-0.54308165,0.77365803,-0.08460777,0.00155087,-0.00202081,0.52468141,-0.07185936,0.01435065,-0.02233483,1.09964488,-0.58717501
-5.90995498,2.79403496,-0.97622825,0.56993022,-0.23776360,0.29041764,-0.12633968,1.47276901,-0.51957004,0.75165487,-0.08189730,0.00159914,-0.00185018,0.51753269,-0.06983782,0.01433536,-0.02040096,1.07691552,-0.55438229
-5.90395198,2.73420026,-0.92506506,0.55757976,-0.22693577,0.28246997,-0.11903114,1.48462030,-0.49804377,0.72864473,-0.07983461,0.00164674,-0.00168771,0.51101441,-0.06841681,0.01426786,-0.01855993,1.04922515,-0.52385306
-5.89794897,2.66878487,-0.87940905,0.54290333,-0.21767778,0.27326755,-0.11231726,1.49636814,-0.47909009,0.70514623,-0.07851790,0.00169336,-0.00153429,0.50542417,-0.06769091,0.01414955,-0.01682259,1.01719950,-0.49607899
-5.89194597,2.59945478,-0.84012787,0.52621754,-0.21016696,0.26301569,-0.10631522,1.50851590,-0.46330127,0.68166810,-0.07804359,0.00173880,-0.00139064,0.50103148,-0.06775565,0.01398297,-0.01519775,0.98154038,-0.47153153
