energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,Ti_p_up,Ti_d_up
-6.00000000,2.71891845,0.04734576,0.15352429,0.00766809,1.62706512,0.81647908,0.25903702,1.15833685,0.24035130
-5.99399700,2.59077635,0.04620965,0.14454444,0.00735414,1.55337339,0.78497693,0.24409314,1.09607446,0.22919874
-5.98799400,2.46842386,0.04504811,0.13557976,0.00708861,1.48368307,0.75554992,0.22957904,1.03672749,0.21828259
-5.98199100,2.35400175,0.04389986,0.12675093,0.00687643,1.41927731,0.72884529,0.21571251,0.98120585,0.20780839
-5.97598799,2.24941360,0.04280193,0.11816820,0.00672195,1.36129089,0.70542952,0.20269082,0.93029496,0.19796820
-5.96998499,2.15628274,0.04178843,0.10992882,0.00662882,1.31068476,0.68577452,0.19068716,0.88464125,0.18893605
-5.96398199,2.07591991,0.04088936,0.10211506,0.00659977,1.26822731,0.67024745,0.17984805,0.84474260,0.18086405
-5.95797899,2.00930243,0.04012963,0.09479287,0.00663659,1.23448255,0.65910443,0.17029179,0.81094389,0.17387945
-5.95197599,1.95706552,0.03952834,0.08801112,0.00673999,1.20980572,0.65248827,0.16210807,0.78343776,0.16808272
-5.94597299,1.91950554,0.03909832,0.08180147,0.00690958,1.19434619,0.65043041,0.15535839,0.76227027,0.16354656
-5.93996998,1.89659472,0.03884593,0.07617887,0.00714385,1.18805724,0.65285668,0.15007761,0.74735107,0.16031592
-5.93396698,1.88800622,0.03877111,0.07114261,0.00744024,1.19071212,0.65959670,0.14627612,0.73846756,0.15840895
-5.92796398,1.89314813,0.03886774,0.06667780,0.00779517,1.20192547,0.67039631,0.14394270,0.73530219,0.15781877
-5.92196098,1.91120456,0.03912427,0.06275728,0.00820415,1.22117900,0.68493246,0.14304786,0.73745224,0.15851586
-5.91595798,1.94118167,0.03952442,0.05934379,0.00866191,1.24784996,0.70282981,0.14354731,0.74445093,0.16045107
-5.90995498,1.98195639,0.04004822,0.05639232,0.00916256,1.28124116,0.72367823,0.14538562,0.75578907,0.16355891
-5.90395198,2.03232545,0.04067303,0.05385250,0.00969975,1.32061097,0.74705022,0.14849964,0.77093629,0.16776101
-5.89794897,2.09105239,0.04137469,0.05167103,0.01026684,1.36520183,0.77251766,0.15282163,0.78936070,0.17296957
-5.89194597,2.15691039,0.04212866,0.04979390,0.01085711,1.41426597,0.79966680,0.15828185,0.81054645,0.17909063
-5.88594297,2.22871891,0.04291104,0.04816842,0.01146390,1.46708708,0.82811098,0.16481064,0.83400825,0.18602696
-5.87993997,2.30537266,0.04369961,0.04674501,0.01208080,1.52299697,0.85750032,0.17233964,0.85930237,0.19368045
-5.87393697,2.38586173,0.04447460,0.04547859,0.01270176,1.58138658,0.88752813,0.18080236,0.88603381,0.20195401
-5.86793397,2.46928212,0.04521935,0.04432967,0.01332122,1.64171082,0.91793364,0.19013391,0.91385931,0.21075271
-5.86193097,2.55483682,0.04592071,0.04326502,0.01393417,1.70348747,0.94850114,0.20027007,0.94248653,0.21998439
-5.85592796,2.64182766,0.04656924,0.04225799,0.01453619,1.76629020,0.97905559,0.21114566,0.97166942,0.22955953
-5.84992496,2.72963913,0.04715921,0.04128848,0.01512346,1.82973666,1.00945527,0.22269239,1.00120046,0.23939062
-5.84392196,2.81771557,0.04768831,0.04034258,0.01569269,1.89347253,1.03958184,0.23483648,1.03090033,0.24939110
-5.83791896,2.90553372,0.04815725,0.03941197,0.01624106,1.95715284,1.06932880,0.24749602,1.06060598,0.25947391
-5.83191596,2.99257281,0.04856914,0.03849310,0.01676612,2.02042207,1.09858898,0.26057849,1.09015782,0.26954994
-5.82591296,3.07828468,0.04892881,0.03758622,0.01726563,2.08289468,1.12724216,0.27397853,1.11938717,0.27952646
-5.81990995,3.16206625,0.04924205,0.03669436,0.01773742,2.14413750,1.15514371,0.28757628,1.14810492,0.28930583
-5.81390695,3.24323679,0.04951479,0.03582224,0.01817928,2.20365576,1.18211513,0.30123642,1.17609208,0.29878449
-5.80790395,3.32102187,0.04975237,0.03497531,0.01858879,2.26088384,1.20793725,0.31480804,1.20309329,0.30785257
-5.80190095,3.39454572,0.04995891,0.03415877,0.01896322,2.31518186,1.23234673,0.32812558,1.22881355,0.31639406
-5.79589795,3.46283302,0.05013672,0.03337688,0.01929944,2.36583880,1.25503633,0.34101073,1.25291874,0.32428776
