energy_ev,total_up,Ag_p_up,Ag_d_up,Bi_p_up,Bi_d_up,S_s_up,S_p_up
-6.00000000,4.62919125,0.41700172,3.90020340,0.27190756,0.00850750,0.03118330,0.23626823
-5.99399700,4.60183907,0.40436428,3.89270278,0.26166851,0.00844875,0.03001641,0.23217532
-5.98799400,4.57581357,0.39250357,3.88530224,0.25242562,0.00839367,0.02881507,0.22845259
-5.98199100,4.55094458,0.38145550,3.87781367,0.24417499,0.00834140,0.02758360,0.22506666
-5.97598799,4.52697431,0.37122849,3.86999991,0.23688712,0.00829091,0.02632743,0.22197116
-5.96998499,4.50357133,0.36180563,3.86158490,0.23050961,0.00824106,0.02505286,0.21910921
-5.96398199,4.48034829,0.35314778,3.85226632,0.22497059,0.00819064,0.02376689,0.21641631
-5.95797899,4.45688260,0.34519755,3.84173028,0.22018272,0.00813843,0.02247697,0.21382340
-5.95197599,4.43273933,0.33788387,3.82966767,0.21604749,0.00808330,0.02119079,0.21126010
-5.94597299,4.40749547,0.33112700,3.81579134,0.21245986,0.00802422,0.01991608,0.20865793
-5.93996998,4.38076441,0.32484359,3.79985353,0.20931274,0.00796037,0.01866041,0.20595344
-5.93396698,4.35221969,0.31895178,3.78166265,0.20650145,0.00789112,0.01743101,0.20309110
-5.92796398,4.32161683,0.31337581,3.76109866,0.20392766,0.00781608,0.01623463,0.20002587
-5.92196098,4.28881226,0.30805023,3.73812619,0.20150287,0.00773516,0.01507745,0.19672541
-5.91595798,4.25377834,0.30292325,3.71280480,0.19915125,0.00764851,0.01396498,0.19317172
-5.90995498,4.21661382,0.29795923,3.68529569,0.19681172,0.00755656,0.01290202,0.18936233
-5.90395198,4.17754901,0.29314024,3.65586439,0.19443921,0.00746000,0.01189265,0.18531085
-5.89794897,4.13694548,0.28846653,3.62487935,0.19200510,0.00735972,0.01094023,0.18104690
-5.89194597,4.09529011,0.28395590,3.59280616,0.18949694,0.00725680,0.01004746,0.17661553
-5.88594297,4.05318367,0.27964225,3.56019764,0.18691732,0.00715242,0.00921640,0.17207596
-5.87993997,4.01132447,0.27557306,3.52768020,0.18428224,0.00704788,0.00844855,0.16749985
-5.87393697,3.97048759,0.27180624,3.49593681,0.18161886,0.00694446,0.00774491,0.16296903
-5.86793397,3.93150070,0.26840639,3.46568750,0.17896291,0.00684343,0.00710607,0.15857289
-5.86193097,3.89521731,0.26544056,3.43766788,0.17635588,0.00674597,0.00653224,0.15440539
-5.85592796,3.86248860,0.26297404,3.41260670,0.17384218,0.00665312,0.00602331,0.15056193
-5.84992496,3.83413491,0.26106596,3.39120323,0.17146625,0.00656574,0.00557893,0.14713604
-5.84392196,3.81091807,0.25976530,3.37410543,0.16926997,0.00648449,0.00519846,0.14421613
-5.83791896,3.79351542,0.25910723,3.36188946,0.16729037,0.00640981,0.00488106,0.14188229
-5.83191596,3.78249674,0.25911004,3.35504153,0.16555767,0.00634190,0.00462563,0.14020345
-5.82591296,3.77830452,0.25977288,3.35394252,0.16409389,0.00628071,0.00443081,0.13923469
