energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Mg_p_up,Mg_d_up,Te_p_up,Te_d_up
-6.00000000,4.30310232,0.01775895,0.19973339,0.79314952,2.74146866,0.45197302,0.00000000,1.55953272,0.00000000
-5.99399700,4.28180475,0.01829330,0.19661604,0.79312513,2.73439106,0.46010441,0.00000000,1.54624972,0.00000000
-5.98799400,4.26840986,0.01886988,0.19516866,0.79424835,2.73086476,0.46869273,0.00000000,1.53641898,0.00000000
-5.98199100,4.26361825,0.01948744,0.19541710,0.79654657,2.73141183,0.47773649,0.00000000,1.53034231,0.00000000
-5.97598799,4.26807675,0.02014403,0.19737070,0.80004547,2.73653001,0.48725842,0.00000000,1.52829217,0.00000000
-5.96998499,4.28237146,0.02083702,0.20102238,0.80477040,2.74668222,0.49730687,0.00000000,1.53051422,0.00000000
-5.96398199,4.30702346,0.02156315,0.20634888,0.81074796,2.76228823,0.50795642,0.00000000,1.53723017,0.00000000
-5.95797899,4.34248660,0.02231857,0.21331112,0.81800765,2.78371852,0.51930761,0.00000000,1.54864067,0.00000000
-5.95197599,4.38914668,0.02309898,0.22185475,0.82658336,2.81128986,0.53148567,0.00000000,1.56492777,0.00000000
-5.94597299,4.44732130,0.02389977,0.23191078,0.83651450,2.84526241,0.54463829,0.00000000,1.58625644,0.00000000
-5.93996998,4.51725952,0.02471617,0.24339625,0.84784660,2.88583770,0.55893238,0.00000000,1.61277490,0.00000000
-5.93396698,4.59914048,0.02554346,0.25621519,0.86063127,2.93315695,0.57454979,0.00000000,1.64461331,0.00000000
-5.92796398,4.69307018,0.02637713,0.27025949,0.87492523,2.98729925,0.59168218,0.00000000,1.68188072,0.00000000
-5.92196098,4.79907590,0.02721307,0.28541010,0.89078844,3.04827898,0.61052493,0.00000000,1.72466004,0.00000000
-5.91595798,4.91709785,0.02804774,0.30153826,0.90828126,3.11604220,0.63127032,0.00000000,1.77300126,0.00000000
-5.90995498,5.04697787,0.02887825,0.31850696,0.92746058,3.19046185,0.65410007,0.00000000,1.82691282,0.00000000
