energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,7.12991107,0.03398394,0.91595817,1.77311691,0.25518942,2.80935298,1.70245991,0.17301306,2.89492028
-5.99399700,7.03181086,0.03395063,0.90228238,1.75050329,0.25642342,2.74893787,1.69257392,0.16694237,2.84814941
-5.98799400,6.92880085,0.03374882,0.88785711,1.72647642,0.25778445,2.68803235,1.68140939,0.16068461,2.79967392
-5.98199100,6.82170456,0.03338536,0.87260817,1.70128238,0.25929691,2.62676530,1.66904948,0.15430876,2.75005690
-5.97598799,6.71140727,0.03287029,0.85647594,1.67519548,0.26098457,2.56529967,1.65560988,0.14788019,2.69986779
-5.96998499,6.59885433,0.03221666,0.83941891,1.64851716,0.26286993,2.50384588,1.64123834,0.14145975,2.64967723
-5.96398199,6.48504760,0.03144025,0.82141647,1.62157495,0.26497371,2.44267389,1.62611245,0.13510306,2.60005245
-5.95797899,6.37103999,0.03055926,0.80247087,1.59472126,0.26731441,2.38212371,1.61043595,0.12886007,2.55155317
-5.95197599,6.25792851,0.02959391,0.78260837,1.56833193,0.26990808,2.32261360,1.59443369,0.12277465,2.50472830
-5.94597299,6.14684622,0.02856605,0.76187952,1.54280436,0.27276831,2.26464602,1.57834566,0.11688446,2.46011337
-5.93996998,6.03895387,0.02749872,0.74035874,1.51855520,0.27590647,2.20881094,1.56242060,0.11122094,2.41822892
-5.93396698,5.93543174,0.02641574,0.71814335,1.49601750,0.27933233,2.15578668,1.54690971,0.10580948,2.37957983
-5.92796398,5.83747227,0.02534129,0.69535203,1.47563731,0.28305492,2.10633806,1.53206085,0.10066975,2.34465560
-5.92196098,5.74627411,0.02429949,0.67212311,1.45786967,0.28708368,2.06131226,1.51811372,0.09581610,2.31393137
-5.91595798,5.66303730,0.02331403,0.64861253,1.44317404,0.29142983,2.02163216,1.50529631,0.09125814,2.28786961
-5.90995498,5.58895987,0.02240776,0.62499185,1.43200914,0.29610779,1.98828743,1.49382294,0.08700135,2.26692182
-5.90395198,5.52523489,0.02160243,0.60144615,1.42482717,0.30113666,1.96232336,1.48389362,0.08304772,2.25153000
-5.89794897,5.47304741,0.02091826,0.57817206,1.42206735,0.30654142,1.94482737,1.47569495,0.07939646,2.24212729
-5.89194597,5.43357002,0.02037374,0.55537572,1.42414882,0.31235388,1.93691320,1.46940199,0.07604463,2.23913702
